time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025453,1160.9,379.3,1635.7,194.0,3339.6,336.2,900.3,1698.8,3278.5,218.4,70.6,-1.9
0.027453,1146.5,437.9,1657.7,254.4,3415.8,530.3,900.1,1698.9,3278.5,218.2,70.9,-1.6
0.029453,1097.7,450.5,1716.9,334.6,3581.2,593.9,899.8,1699.2,3278.4,218,72.2,-1.6
0.031453,1067.6,499.5,1742.6,384.8,3517.2,2401.1,899.3,1699.5,3278.4,217.7,74.3,-1.5
0.033453,1037.8,545.4,1747.8,411.7,3415.5,3386.3,898.7,1699.9,3278.4,217.5,76.4,-1.3
0.035453,992.6,526.3,1738.0,411.8,3208.4,3727.7,898,1700.5,3278.3,217.2,78.4,-0.9
0.037453,956.1,471.7,1716.4,408.4,2991.4,3614.8,897.2,1701.1,3278.2,217,80,-0.4
0.039453,942.3,433.3,1695.2,409.8,2841.0,3591.9,896.2,1701.8,3278.2,216.7,81.3,0.2
0.041453,939.7,417.7,1677.9,416.8,2748.7,3718.1,895.2,1702.6,3278.1,216.5,82.4,1
0.043453,940.3,419.9,1661.6,434.9,2687.7,4029.2,893.9,1703.5,3278,216.2,83.1,2
0.045453,944.5,434.4,1648.3,470.7,2569.1,4792.2,892.6,1704.5,3277.9,216,83.7,3.3
0.047453,962.5,449.0,1169.3,8284.7,1649.3,537.9,891.1,1705.6,3277.8,215.7,84,5.1
0.049453,999.5,427.1,1688.2,610.1,3672.7,349.5,889.6,1706.8,3277.7,215.5,84.3,7.2
0.051453,1029.4,362.2,1752.1,609.5,3687.6,328.0,887.8,1708,3277.5,215.3,84.4,9.2
0.053453,1040.6,314.6,1797.0,562.3,3684.7,331.0,886,1709.4,3277.4,215.1,84.5,11.1
0.055453,1041.5,305.4,1816.3,541.0,3651.8,351.3,884.1,1710.8,3277.3,215,84.6,12.5
0.057453,1034.2,323.7,1819.3,558.6,3601.6,356.0,882,1712.4,3277.1,214.8,84.7,13.6
0.059453,1019.0,361.1,1810.1,601.6,3568.0,339.7,879.8,1714,3276.9,214.7,84.7,14.4
0.061453,996.8,403.9,1794.9,635.2,3553.6,316.5,877.5,1715.8,3276.8,214.6,84.7,15.2
0.063453,976.8,426.8,1792.3,626.5,3550.8,287.9,875,1717.6,3276.6,214.5,84.8,15.9
0.065453,970.8,423.0,1810.1,597.3,3555.1,262.3,872.5,1719.5,3276.4,214.4,84.8,16.5
