time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025797,493.2,534.0,1883.9,82.0,2909.7,4521.2,509.4,1865,2892.2,0,62.8,-200
0.027797,482.1,535.3,1877.5,101.5,2561.4,3239.2,509.3,1865.1,2892.3,0,63.6,-200
0.029797,472.3,510.6,1866.0,125.4,2420.8,2451.3,509.3,1865.3,2892.3,0,64.6,-169.1
0.031797,455.4,491.5,1858.8,139.4,2357.2,2138.5,509.3,1865.5,2892.4,232.1,65.8,-123.7
0.033797,412.3,473.1,1857.7,146.7,2295.5,2009.1,509.2,1865.8,2892.5,231.6,67.8,-73.3
0.035797,340.1,394.4,1858.2,152.8,2252.4,1911.4,509.1,1866.2,2892.7,231.1,70.4,-27.7
0.037797,288.9,221.2,1851.5,164.4,2270.4,1826.4,509,1866.7,2892.8,230.6,73.2,3.6
0.039797,269.8,104.8,1833.0,195.8,2298.8,2060.2,508.9,1867.2,2893,230,75.9,17.5
0.041797,268.1,71.3,1820.9,230.5,2163.7,2935.5,508.8,1867.7,2893.2,229.4,78.3,20.3
0.043797,273.8,71.2,1826.9,228.1,3159.9,205.0,508.7,1868.4,2893.5,228.8,80.3,16.8
0.045797,282.6,83.7,1826.3,207.1,3140.2,177.4,508.5,1869.1,2893.8,228.1,82,11.5
0.047797,291.6,95.6,1823.6,196.7,3131.4,142.4,508.4,1869.9,2894,227.4,83.3,9
0.049797,298.7,104.2,1825.0,194.7,3132.8,115.0,508.2,1870.7,2894.4,226.7,84.2,9
0.051797,303.5,111.1,1829.6,194.4,3137.2,99.4,508,1871.7,2894.7,226,84.9,8.5
0.053797,306.7,118.8,1837.2,193.2,3140.9,91.0,507.8,1872.7,2895.1,225.2,85.2,7.8
0.055797,307.3,126.6,1849.3,194.0,3141.1,88.6,507.6,1873.7,2895.5,224.5,85.3,7.5
0.057797,303.8,131.9,1869.1,202.2,3135.5,92.1,507.4,1874.8,2895.9,223.7,85.2,8.1
