time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025016,523.5,171.9,2162.5,118.6,2918.6,262.9,406.1,2163.3,2848.6,194.6,77.1,-0.9
0.027016,523.5,142.1,2169.4,149.6,2931.9,241.9,406.1,2163.5,2848.8,194.8,79,-0.7
0.029016,529.5,118.1,2180.5,168.3,2939.4,223.4,406.2,2163.7,2849,194.9,80.5,-0.5
0.031016,539.4,95.0,2193.7,168.5,2946.2,213.0,406.3,2164.1,2849.3,195.1,81.7,-0.2
0.033016,551.1,75.2,2205.6,153.7,2954.2,211.1,406.3,2164.5,2849.6,195.3,82.6,0.4
0.035016,561.3,60.5,2213.7,135.3,2962.8,220.5,406.4,2165.1,2850.1,195.4,83.2,1.3
0.037016,568.3,50.2,2217.5,124.6,2970.8,248.0,406.5,2165.7,2850.6,195.6,83.6,2.9
0.039016,571.0,44.5,2216.6,129.5,2971.7,284.1,406.7,2166.4,2851.2,195.7,83.9,5.3
0.041016,571.0,42.4,2211.8,143.9,2963.0,303.7,406.8,2167.3,2851.9,195.8,84,8.2
0.043016,570.1,44.0,2207.7,152.2,2953.9,293.7,407,2168.2,2852.6,195.9,84.1,11
0.045016,569.4,48.3,2210.0,149.3,2950.3,268.0,407.1,2169.2,2853.5,195.9,84.1,13.2
0.047016,569.0,53.6,2220.9,142.2,2947.8,231.6,407.3,2170.3,2854.4,196,84.1,14.3
0.049016,568.0,57.4,2238.2,137.2,2945.0,191.4,407.5,2171.5,2855.4,196,84.1,14.3
0.051016,565.7,59.5,2258.0,131.9,2943.7,152.4,407.8,2172.8,2856.4,196,84.2,13.7
0.053016,562.0,60.9,2271.7,126.1,2943.7,123.9,408,2174.2,2857.6,196,84.3,12.9
0.055016,557.7,62.6,2274.6,122.7,2943.9,106.6,408.3,2175.7,2858.8,196,84.4,12.2
0.057016,553.7,65.7,2267.1,122.9,2944.3,97.4,408.5,2177.3,2860.1,195.9,84.4,12.1
0.059016,550.9,70.1,2255.2,125.1,2945.8,96.7,408.8,2179,2861.5,195.9,84.4,12.2
0.061016,548.0,76.0,2245.0,127.4,2947.7,104.5,409.1,2180.7,2862.9,195.8,84.3,12.4
0.063016,543.2,83.0,2240.3,129.4,2947.6,116.2,409.4,2182.6,2864.4,195.7,84.2,12.7
0.065016,536.3,89.6,2237.9,132.2,2944.0,121.5,409.8,2184.5,2866,195.6,84,13
0.067016,528.4,95.1,2233.6,134.6,2937.3,114.2,410.1,2186.5,2867.7,195.5,83.9,13.6
0.069016,522.4,98.3,2226.6,134.6,2930.4,98.8,410.5,2188.6,2869.4,195.3,83.8,14.3
0.071016,517.9,99.4,2217.5,134.5,2924.4,82.8,410.9,2190.8,2871.2,195.2,83.7,15.1
0.073016,513.3,98.3,2209.1,138.2,2920.6,73.7,411.3,2193,2873,195.1,83.6,16
0.075016,507.0,95.9,2203.5,146.0,2918.7,73.8,411.7,2195.4,2875,195,83.5,16.6
0.077016,498.1,92.5,2199.1,155.5,2917.3,84.1,412.1,2197.8,2877,194.9,83.4,17.1
0.079016,488.1,88.9,2192.1,162.3,2914.4,104.8,412.5,2200.3,2879,194.8,83.3,17.4
0.081016,477.3,85.6,2178.2,165.1,2907.0,139.6,413,2202.9,2881.1,194.7,83.2,17.6
0.083016,467.1,83.0,2157.4,164.1,2893.5,191.0,413.4,2205.5,2883.3,194.6,83,17.6
0.085016,458.4,81.3,2133.2,161.4,2875.1,262.1,413.9,2208.2,2885.5,194.6,82.8,17.5
0.087016,450.7,80.8,2108.1,159.6,2849.7,367.9,414.4,2211,2887.8,194.6,82.5,17.1
0.089016,444.7,81.6,2088.1,165.1,2816.1,506.7,414.9,2213.9,2890.2,194.5,82.1,16.4
0.091016,439.0,83.4,2071.4,190.7,2763.4,671.1,415.4,2216.8,2892.6,194.5,81.8,15.5
0.093016,432.4,86.5,2054.1,248.3,2711.5,723.7,415.9,2219.8,2895.1,194.6,81.4,14.6
0.095016,423.7,92.6,2037.1,331.6,2713.7,597.8,416.5,2222.8,2897.6,194.6,81.2,13.7
0.097016,411.8,105.1,2046.8,451.7,2734.7,450.8,417,2225.9,2900.2,194.6,81.1,13.2
0.099016,400.4,122.8,2108.7,601.4,2736.1,389.7,417.6,2229.1,2902.8,194.7,81.1,12.5
0.101016,391.6,140.5,2186.2,755.4,2708.6,376.0,418.1,2232.3,2905.4,194.8,81.2,11.9
0.103016,386.0,147.6,2171.1,927.5,2660.6,332.0,418.7,2235.6,2908.1,194.9,81.3,11.6
0.105016,382.4,143.6,2053.4,1051.1,2627.9,268.4,419.3,2238.9,2910.9,195,81.4,11.8
0.107016,379.6,132.2,1904.5,1094.6,2606.2,222.6,419.9,2242.3,2913.7,195.1,81.5,12.9
0.109016,378.6,122.5,1831.4,1092.2,2593.5,202.7,420.5,2245.7,2916.5,195.2,81.4,14.9
0.111016,380.5,121.2,1910.9,1110.0,2593.7,203.7,421.1,2249.2,2919.4,195.4,81.4,17.6
0.113016,385.0,128.5,2093.7,949.9,2612.3,215.4,421.7,2252.7,2922.3,195.5,81.4,20.3
0.115016,390.1,138.1,2187.3,730.5,2640.0,221.0,422.4,2256.3,2925.3,195.6,81.4,22.6
0.117016,395.8,148.4,2236.9,604.2,2666.5,221.4,423,2259.9,2928.3,195.8,81.3,24
