time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025562,278.9,532.8,1835.2,394.8,2374.2,325.6,509.3,1642.6,2364.4,225.4,69.2,-200
0.027562,309.4,293.5,1797.0,354.0,2385.2,345.2,509.3,1642.6,2364.5,224.9,71.9,-187.2
0.029562,313.7,185.9,1758.6,340.8,2406.8,397.8,509.3,1642.7,2364.6,224.3,74,-148.6
0.031562,315.4,148.2,1728.5,345.2,2434.2,452.6,509.3,1642.9,2364.7,223.7,75.7,-100.4
0.033562,316.9,140.7,1711.1,362.5,2455.6,481.2,509.3,1643,2364.9,223.2,76.9,-51.9
0.035562,317.4,146.4,1698.3,393.3,2468.3,499.1,509.3,1643.2,2365.1,222.7,77.8,-12.5
0.037562,316.5,159.3,1680.5,434.5,2479.3,516.5,509.2,1643.4,2365.3,222.1,78.5,9.9
0.039562,314.4,177.0,1649.6,475.2,2500.7,513.3,509.2,1643.7,2365.6,221.6,78.9,19
0.041562,312.3,189.9,1612.9,479.7,2536.5,457.3,509.1,1644,2365.9,221.2,79.2,19.9
0.043562,311.9,191.7,1587.7,447.9,2577.4,384.2,509.1,1644.4,2366.3,220.7,79.5,16.9
0.045562,313.2,187.8,1577.8,425.3,2621.5,335.8,509,1644.7,2366.7,220.3,79.8,14.4
0.047562,314.9,183.2,1578.2,439.8,2655.6,318.8,509,1645.1,2367.2,219.9,80.1,15.8
0.049562,315.5,177.2,1581.4,492.9,2670.5,337.8,508.9,1645.6,2367.6,219.5,80.4,18
0.051562,313.7,168.2,1571.0,552.9,2657.5,388.5,508.8,1646.1,2368.1,219.1,80.6,20
0.053562,310.4,156.1,1539.6,572.7,2616.0,436.0,508.8,1646.6,2368.7,218.8,80.8,21.6
0.055562,307.7,145.2,1515.5,561.4,2570.9,444.4,508.7,1647.1,2369.3,218.5,81,22.7
0.057562,306.9,139.4,1519.4,577.7,2543.2,446.9,508.6,1647.7,2369.9,218.3,81.2,23.2
0.059562,307.3,136.6,1553.7,652.0,2515.0,480.2,508.5,1648.3,2370.6,218,81.4,22.8
0.061562,307.3,133.2,1612.0,771.3,2471.7,532.3,508.4,1649,2371.3,217.8,81.6,21.9
0.063562,305.7,128.3,1668.3,886.8,2426.7,551.5,508.3,1649.7,2372,217.6,81.8,20.7
0.065562,303.3,123.3,1684.8,947.4,2411.6,515.5,508.2,1650.4,2372.8,217.4,82,19.7
0.067562,302.1,120.6,1665.7,951.4,2419.9,455.6,508.1,1651.1,2373.6,217.2,82.2,19
0.069562,304.6,122.8,1640.8,936.8,2425.8,399.0,508,1651.9,2374.5,217,82.3,18.5
0.071562,313.0,135.6,1606.1,921.6,2418.8,358.5,507.9,1652.7,2375.4,216.8,82.4,18.1
0.073562,329.3,168.4,1524.9,886.7,2398.8,328.4,507.8,1653.6,2376.3,216.6,82.5,17.6
0.075562,351.9,227.8,1406.9,803.2,2370.3,313.7,507.7,1654.5,2377.3,216.4,82.4,16.9
0.077562,377.1,316.1,1314.8,716.5,2342.7,323.7,507.6,1655.4,2378.3,216.1,82.3,15.8
0.079562,411.0,479.0,1256.4,697.8,2320.7,366.5,507.4,1656.3,2379.4,215.9,82,14.2
0.081562,500.4,919.1,1217.5,863.7,2314.5,456.3,507.3,1657.3,2380.4,215.6,81.7,12.4
0.083562,891.8,647.3,1495.4,1207.9,2338.1,617.1,507.2,1658.3,2381.6,215.3,81.5,10.7
0.085562,917.4,469.6,1651.1,890.0,2420.9,831.9,507.1,1659.4,2382.7,214.9,81.3,9.6
0.087562,926.1,409.2,1658.1,663.3,2548.7,969.1,506.9,1660.4,2383.9,214.6,81.2,9.4
