time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025375,219.2,548.8,1936.1,346.4,2657.5,239.6,367,1602.4,2459.2,239.3,63.5,-200
0.027375,186.3,640.6,1913.3,345.0,2659.4,225.5,367.1,1602.6,2459.5,238.1,63.9,-186.9
0.029375,158.3,687.6,1894.7,346.9,2661.2,218.9,367.2,1603,2460,236.8,64.7,-147.4
0.031375,132.5,704.2,1878.8,340.6,2662.8,222.1,367.3,1603.6,2460.7,235.4,66.2,-98
0.033375,156.7,650.2,1867.1,286.7,2666.8,242.5,367.5,1604.3,2461.6,234.1,68.7,-48.6
0.035375,243.6,441.6,1861.2,193.6,2669.9,275.0,367.8,1605.2,2462.7,232.7,71.4,-9
0.037375,277.6,243.7,1854.2,144.2,2660.0,290.3,368,1606.3,2464,231.2,74.1,12.5
0.039375,283.2,140.0,1846.4,137.0,2648.8,293.2,368.3,1607.5,2465.6,229.8,76.3,19.3
0.041375,284.8,91.9,1837.9,159.2,2642.5,311.9,368.7,1608.9,2467.3,228.4,78.2,17.2
0.043375,286.8,72.7,1827.2,217.8,2632.1,353.2,369.1,1610.4,2469.2,227,79.6,11.2
0.045375,288.7,69.2,1812.2,319.6,2602.2,393.6,369.5,1612.1,2471.3,225.6,80.6,6.1
0.047375,289.7,73.0,1786.4,426.2,2557.2,394.2,370,1614,2473.6,224.2,81.3,5.9
0.049375,289.7,79.4,1751.2,476.5,2519.4,367.3,370.5,1616,2476.2,222.9,81.7,6.7
0.051375,289.1,86.6,1717.7,481.4,2492.2,346.3,371.1,1618.1,2478.9,221.6,81.8,7.6
0.053375,288.7,93.3,1693.8,487.1,2474.2,346.8,371.7,1620.5,2481.8,220.3,81.9,8.8
0.055375,288.3,97.2,1675.7,513.1,2465.6,365.2,372.3,1622.9,2484.9,219.2,82,10.2
0.057375,288.4,97.8,1653.4,549.1,2471.1,383.0,373,1625.6,2488.2,218,82,12.1
0.059375,289.5,97.6,1623.8,572.0,2492.4,386.4,373.7,1628.4,2491.6,217,82.2,14.5
0.061375,291.5,99.4,1599.6,566.3,2518.6,381.8,374.4,1631.3,2495.3,216,82.3,17.4
0.063375,293.3,103.5,1589.2,537.7,2533.6,383.3,375.2,1634.4,2499.2,215.1,82.4,20.1
0.065375,294.4,106.9,1580.6,499.0,2528.7,391.3,376,1637.6,2503.2,214.2,82.6,22.4
0.067375,294.6,108.2,1568.2,467.0,2504.7,403.7,376.9,1641,2507.4,213.4,82.7,23.8
0.069375,294.1,110.9,1562.0,461.8,2469.8,421.6,377.8,1644.5,2511.8,212.7,82.8,24.5
0.071375,293.5,116.4,1568.0,486.1,2435.0,434.0,378.7,1648.2,2516.4,212,82.9,24.7
0.073375,293.5,124.1,1584.4,525.4,2417.8,444.4,379.7,1652,2521.2,211.4,83,24.7
0.075375,294.1,134.4,1607.2,565.8,2428.4,477.2,380.7,1655.9,2526.1,210.9,83.1,24.7
0.077375,294.7,147.4,1628.0,596.4,2463.2,525.8,381.8,1660,2531.2,210.3,83.2,24.7
0.079375,294.8,160.7,1640.2,619.1,2498.4,547.1,382.8,1664.3,2536.5,209.8,83.3,24.5
0.081375,294.8,172.4,1650.4,651.1,2508.5,530.0,384,1668.6,2541.9,209.4,83.4,24.2
0.083375,295.1,180.2,1663.4,694.8,2501.9,501.2,385.1,1673.1,2547.6,209,83.5,23.9
0.085375,295.3,182.0,1672.0,736.0,2499.0,475.1,386.3,1677.8,2553.3,208.6,83.6,23.8
0.087375,295.1,175.4,1660.2,747.9,2503.8,440.1,387.5,1682.5,2559.3,208.2,83.7,24
0.089375,294.4,161.2,1627.6,705.4,2508.9,386.9,388.7,1687.4,2565.3,207.8,83.8,24.8
0.091375,293.6,145.6,1596.2,621.7,2507.1,330.4,390,1692.4,2571.6,207.4,83.9,25.7
0.093375,292.9,133.9,1576.6,539.2,2497.9,290.3,391.3,1697.5,2578,207,83.9,26.6
0.095375,292.5,128.7,1567.1,489.5,2488.6,277.5,392.6,1702.8,2584.5,206.6,83.9,27.1
0.097375,292.7,130.7,1566.9,480.5,2485.0,295.0,394,1708.2,2591.2,206.2,83.9,27.1
0.099375,294.2,138.9,1576.5,503.6,2488.2,338.8,395.4,1713.6,2598,205.8,83.8,26.8
0.101375,297.0,150.1,1594.4,537.5,2494.2,393.6,396.8,1719.2,2605,205.4,83.7,26.3
0.103375,300.2,161.5,1617.8,562.9,2498.7,438.1,398.2,1724.9,2612.1,205,83.6,25.4
0.105375,302.7,174.7,1650.2,580.2,2505.5,471.7,399.7,1730.8,2619.4,204.5,83.6,24.2
0.107375,304.6,194.8,1694.4,592.7,2521.1,526.6,401.2,1736.7,2626.7,204,83.5,22.5
0.109375,307.4,229.7,1734.4,597.7,2544.5,640.6,402.7,1742.7,2634.2,203.6,83.5,20.2
0.111375,314.5,292.0,1740.9,614.6,2552.6,842.0,404.2,1748.8,2641.8,203.1,83.5,17.4
0.113375,329.7,380.3,1703.3,660.0,2476.0,1087.1,405.8,1755.1,2649.6,202.5,83.5,14.7
0.115375,358.6,461.3,1647.9,693.8,2336.5,1158.1,407.4,1761.4,2657.4,202,83.4,12.3
0.117375,403.2,492.2,1612.6,674.7,2252.8,1087.5,409,1767.8,2665.4,201.4,83.3,10.6
0.119375,448.7,460.9,1595.9,594.3,2237.7,947.6,410.6,1774.3,2673.5,200.9,83.3,9.1
0.121375,480.3,402.7,1583.9,480.5,2256.9,780.3,412.2,1780.9,2681.6,200.3,83.2,8
0.123375,501.2,354.6,1576.9,380.3,2274.6,645.6,413.9,1787.6,2689.9,199.7,83.3,7.2
0.125375,520.2,327.9,1575.8,314.9,2282.7,569.0,415.6,1794.3,2698.3,199.2,83.4,7
0.127375,541.7,320.6,1580.1,281.5,2286.3,549.9,417.3,1801.1,2706.8,198.6,83.5,7.6
0.129375,567.0,330.1,1590.9,271.5,2294.4,590.5,419,1808,2715.3,198,83.7,9.2
0.131375,596.5,351.6,1609.3,274.6,2316.6,695.1,420.7,1815,2724,197.5,83.7,11.5
0.133375,628.8,375.3,1633.2,280.5,2362.4,857.7,422.5,1822.1,2732.7,196.9,83.8,13.8
0.135375,661.0,393.9,1659.9,283.5,2446.9,1059.4,424.2,1829.2,2741.5,196.4,83.8,15.6
0.137375,691.0,406.9,1687.9,282.9,2587.9,1239.1,426,1836.4,2750.4,195.9,83.9,16.3
