time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025672,1184.7,1231.9,2077.5,773.9,2476.3,170.5,590.3,1619.8,2514.9,277.5,63.5,-200
0.027672,1126.3,1116.6,2102.3,648.3,2494.0,179.6,590.4,1619.9,2515.1,275.2,64.1,-186.9
0.029672,1077.7,1215.9,2069.0,674.8,2492.7,173.9,590.5,1620,2515.4,272.8,65,-147.4
0.031672,268.0,1059.6,1916.6,663.5,2477.7,146.7,590.6,1620.2,2515.9,270.3,66.5,-98
0.033672,388.9,286.4,1803.5,476.9,2462.9,119.4,590.7,1620.5,2516.4,267.8,68.7,-48.7
0.035672,377.2,126.4,1764.7,387.6,2452.9,120.8,591,1620.8,2517.2,265.1,71.2,-9.1
0.037672,360.8,84.6,1769.5,367.3,2454.5,146.3,591.2,1621.1,2518,262.5,73.8,12.2
0.039672,337.2,69.1,1790.3,366.6,2469.1,178.3,591.5,1621.5,2519,259.7,76.2,18.8
0.041672,309.8,58.2,1800.9,366.2,2486.1,204.6,591.8,1621.9,2520.1,257,78.5,16.5
0.043672,290.6,54.6,1786.2,374.5,2489.6,197.3,592.1,1622.4,2521.3,254.2,80.4,10.1
0.045672,284.7,63.3,1762.1,382.3,2482.4,157.3,592.5,1623,2522.7,251.5,81.9,4.6
0.047672,286.0,76.4,1747.5,396.5,2481.3,137.1,592.9,1623.6,2524.2,248.8,83.1,3.8
0.049672,288.8,87.2,1742.4,424.6,2487.3,139.7,593.4,1624.2,2525.8,246.1,83.9,4
0.051672,292.1,98.7,1751.3,440.6,2498.9,148.0,593.9,1624.9,2527.6,243.5,84.3,4.2
0.053672,295.9,112.4,1772.7,443.1,2514.7,159.7,594.4,1625.7,2529.4,241,84.4,4.6
0.055672,301.0,128.7,1794.6,441.8,2529.4,176.8,595,1626.5,2531.4,238.6,84.3,5.3
0.057672,306.2,145.7,1792.1,450.0,2530.1,195.9,595.6,1627.4,2533.6,236.2,83.9,6.5
0.059672,309.6,158.9,1743.9,455.1,2512.4,203.2,596.2,1628.3,2535.8,234,83.4,8.5
0.061672,311.7,165.3,1674.6,414.8,2493.3,192.5,596.9,1629.2,2538.2,231.9,83,10.8
