time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025969,845.8,265.7,1247.5,1344.1,2549.5,1594.4,787,1768.7,3368.9,0,67.4,4.9
0.027969,874.7,238.3,1031.4,1025.9,2726.1,1218.4,786.9,1768.5,3368.7,0,67.7,10.6
0.029969,893.6,778.7,910.9,227.3,2890.6,1153.8,786.7,1768.2,3368.5,0,68.1,14.5
0.031969,836.1,674.9,935.1,214.9,3015.8,1197.6,786.5,1767.8,3368.1,0,68.4,12.2
0.033969,828.8,675.2,941.2,208.1,3102.0,1229.2,786.2,1767.3,3367.7,0,68.5,-1
0.035969,857.2,819.0,931.7,198.3,3146.1,1319.9,785.8,1766.7,3367.2,0,68.3,-31.4
0.037969,902.8,1167.4,919.0,181.3,3128.2,1557.5,785.4,1765.9,3366.5,0,67.8,-76.1
0.039969,904.8,177.0,967.9,1797.2,2984.2,1943.3,784.9,1765.1,3365.8,0,67.1,-125.3
0.041969,888.3,186.7,1100.8,2409.9,2772.4,2167.8,784.3,1764.1,3365,0,66.3,-169.8
0.043969,885.6,192.1,1283.5,2344.6,2783.1,2279.9,783.7,1763,3364.1,0,65.5,-200
0.045969,904.9,181.3,1358.0,2043.8,2987.1,2405.6,783,1761.9,3363,0,64.8,-212.7
0.047969,931.6,150.7,1419.3,1932.3,3215.6,2617.2,782.2,1760.6,3361.9,0,64.2,-214.3
0.049969,953.2,111.4,1582.3,1964.7,3421.6,3155.8,781.4,1759.2,3360.7,0,63.6,-209.6
0.051969,963.3,85.8,1924.8,1874.8,3474.1,4636.7,780.5,1757.7,3359.4,0,62.8,-203.2
0.053969,963.0,81.9,2085.5,1426.4,3420.2,4257.7,779.6,1756,3358,0,62,-200
0.055969,952.1,99.4,1978.1,1061.6,3266.4,2083.2,778.6,1754.3,3356.6,0,61.1,-203.2
0.057969,937.7,125.0,1889.2,740.7,3205.9,1266.6,777.5,1752.5,3355,0,60,-209.7
0.059969,932.5,145.2,1855.2,555.8,3202.7,966.9,776.4,1750.6,3353.3,0,59.4,-214.5
0.061969,940.7,150.9,1843.7,486.4,3229.7,860.8,775.2,1748.6,3351.6,0,60,-212.9
0.063969,945.9,167.4,1830.4,517.8,3245.0,849.6,773.9,1746.4,3349.7,248.9,62.5,-200
0.065969,905.0,311.3,1743.6,788.6,3185.7,1013.3,772.6,1744.2,3347.8,247.8,66,-169.5
0.067969,735.7,686.5,1521.6,1072.7,3095.8,1100.3,771.2,1741.9,3345.8,246.6,69.8,-124.5
0.069969,534.0,470.9,1561.9,1087.5,3129.6,1009.3,769.8,1739.5,3343.6,245.3,73.2,-74.7
0.071969,506.9,293.1,1547.5,1481.0,3161.6,1152.2,768.2,1737,3341.5,243.9,76.2,-29.6
0.073969,522.2,245.1,1362.5,2028.5,3198.8,1343.6,766.7,1734.4,3339.2,242.5,78.6,1.2
0.075969,523.4,208.6,1143.3,1447.1,3106.6,1332.3,765.1,1731.7,3336.8,241,80.6,14.4
0.077969,519.0,177.4,1114.6,1062.7,3046.0,1355.2,763.4,1728.9,3334.4,239.5,82.2,16.5
0.079969,520.9,159.2,1139.7,947.4,3113.5,1599.8,761.6,1726.1,3331.8,237.9,83.3,12.3
0.081969,524.5,156.8,1185.6,896.5,3597.5,1696.5,759.8,1723.1,3329.2,236.3,84,6.5
0.083969,525.6,169.1,1208.7,775.7,3522.8,4257.8,758,1720.1,3326.6,234.7,84.4,3.8
0.085969,523.2,201.6,1189.0,606.3,3354.6,3589.2,756.1,1717,3323.8,233,84.5,4.2
0.087969,524.0,269.8,1159.7,496.3,3151.7,2479.6,754.1,1713.9,3321,231.4,84.3,4.6
0.089969,542.2,437.1,1116.4,494.9,2841.0,1867.5,752.1,1710.6,3318,229.7,84,5
0.091969,580.1,884.6,998.4,508.9,2552.2,1491.4,750,1707.3,3315.1,228.1,83.6,5.3
