time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025016,579.9,178.0,863.6,215.5,2451.3,258.5,651.1,1417.1,2580.2,0,71.5,-3
0.027016,587.0,217.8,875.0,230.4,2433.9,248.4,651,1417.1,2580.2,0,71.1,-1.6
0.029016,597.6,225.5,899.9,256.4,2406.8,268.5,650.9,1416.9,2580,0,70.6,1.4
0.031016,595.2,204.2,931.5,266.3,2376.2,301.5,650.7,1416.7,2579.8,0,70,4.9
0.033016,581.5,184.2,950.6,259.0,2359.2,323.8,650.5,1416.5,2579.6,0,69.4,8.4
0.035016,567.2,168.4,959.6,256.6,2378.3,313.8,650.2,1416.1,2579.3,0,68.8,11.1
0.037016,558.5,157.6,967.6,279.3,2422.7,272.3,649.9,1415.8,2579,0,68,12.7
0.039016,560.8,156.9,982.5,375.3,2462.3,238.0,649.6,1415.3,2578.6,0,67.2,13.1
0.041016,586.2,165.1,1010.8,652.6,2478.4,270.1,649.2,1414.9,2578.2,0,66,12.9
0.043016,638.4,163.1,1066.9,1326.0,2468.0,439.9,648.7,1414.3,2577.7,0,64.7,12.4
0.045016,697.6,152.4,2296.9,922.7,2703.5,2551.4,648.2,1413.7,2577.2,0,63.6,12
0.047016,742.4,154.2,2079.9,634.4,3209.8,1140.3,647.7,1413.1,2576.7,0,63.3,11.8
0.049016,774.9,174.8,2075.9,483.6,3329.3,924.9,647.1,1412.4,2576,0,64.6,11.8
0.051016,784.9,216.7,2096.8,428.0,3439.1,907.8,646.5,1411.6,2575.4,0,67.9,11.8
0.053016,737.1,348.4,2167.6,426.7,3576.4,751.8,645.8,1410.8,2574.7,0,71.5,11.7
0.055016,480.9,345.3,957.7,531.6,2264.9,314.7,645.1,1410,2573.9,0,74.8,11.4
0.057016,456.9,191.4,996.4,288.7,2323.7,228.7,644.3,1409.1,2573.1,0,77.6,10.9
0.059016,466.3,143.9,1009.9,209.6,2358.5,186.4,643.5,1408.1,2572.3,0,79.9,10.2
0.061016,481.6,121.5,1022.3,171.3,2373.8,171.4,642.6,1407.1,2571.4,0,81.7,9.3
0.063016,496.4,103.5,1031.8,140.2,2378.5,173.5,641.7,1406.1,2570.4,0,83.1,8.4
0.065016,510.7,88.3,1040.7,112.8,2377.8,185.5,640.8,1405,2569.5,0,84,7.4
0.067016,525.3,78.6,1051.6,91.9,2377.7,196.9,639.8,1403.9,2568.4,0,84.6,6.5
0.069016,541.9,75.4,1066.7,76.8,2384.4,200.9,638.8,1402.7,2567.4,0,84.8,5.4
0.071016,558.1,81.2,1084.5,68.4,2396.3,201.4,637.7,1401.5,2566.3,0,84.8,4.2
0.073016,570.6,98.1,1102.8,66.5,2404.0,211.0,636.6,1400.2,2565.2,221.6,84.6,3.3
0.075016,580.5,125.9,1120.4,71.4,2400.9,234.2,635.4,1398.9,2564,221.4,84.4,2.6
0.077016,594.3,156.2,1136.2,82.9,2389.7,257.3,634.2,1397.5,2562.8,221.3,84.1,2.6
0.079016,617.9,179.0,1152.1,104.0,2383.4,264.9,633,1396.2,2561.5,221.1,83.9,3.3
0.081016,646.1,181.4,1168.2,134.2,2390.8,256.2,631.7,1394.7,2560.2,220.9,83.8,4.4
0.083016,668.6,166.9,1184.5,167.3,2401.1,245.0,630.4,1393.3,2558.9,220.8,83.7,5.6
0.085016,682.2,151.8,1200.0,195.9,2407.4,235.9,629,1391.8,2557.6,220.6,83.6,6.6
0.087016,691.1,146.1,1214.7,220.2,2408.9,226.4,627.6,1390.3,2556.2,220.4,83.5,7.1
0.089016,699.6,151.1,1230.3,249.3,2405.6,217.6,626.2,1388.8,2554.8,220.2,83.4,7.2
0.091016,709.5,167.4,1246.7,289.0,2399.8,215.9,624.8,1387.2,2553.4,220,83.2,7.1
0.093016,722.6,192.3,1266.7,342.6,2396.4,227.1,623.3,1385.6,2551.9,219.9,82.9,7
0.095016,739.6,217.6,1293.2,409.6,2396.7,255.6,621.7,1384,2550.4,219.7,82.7,7.2
0.097016,758.7,232.2,1329.3,479.4,2400.9,298.5,620.1,1382.3,2548.9,219.6,82.4,7.7
0.099016,776.6,231.4,1381.5,530.2,2412.5,361.4,618.5,1380.7,2547.3,219.4,82.2,8.8
0.101016,788.3,221.2,1442.0,530.1,2440.5,444.0,616.9,1379,2545.8,219.3,81.9,10.1
0.103016,796.1,213.4,1502.2,494.7,2490.8,527.5,615.2,1377.3,2544.2,219.2,81.8,11.3
0.105016,801.8,211.9,1557.5,460.3,2546.0,582.7,613.5,1375.6,2542.6,219.1,81.7,12.3
0.107016,804.1,213.0,1603.0,441.1,2583.9,614.8,611.8,1373.8,2541,219.1,81.7,12.6
0.109016,803.9,211.6,1635.2,417.5,2609.1,626.7,610,1372.1,2539.3,219.1,81.7,12.3
0.111016,802.5,206.6,1645.0,383.5,2630.0,607.6,608.2,1370.3,2537.7,219.1,81.7,11.7
0.113016,799.6,201.5,1643.7,356.1,2653.7,574.7,606.4,1368.6,2536,219.1,81.8,11
0.115016,795.2,198.9,1645.8,348.0,2667.2,555.9,604.6,1366.8,2534.3,219.2,81.8,10.5
0.117016,790.4,200.6,1657.9,361.6,2658.0,573.6,602.7,1365.1,2532.6,219.3,81.8,10.4
0.119016,785.8,208.1,1683.7,395.2,2622.8,628.5,600.8,1363.3,2530.9,219.4,81.7,10.5
0.121016,782.6,220.9,1721.6,437.7,2575.9,694.0,598.8,1361.5,2529.2,219.6,81.6,10.7
0.123016,781.5,235.6,1765.8,466.5,2552.3,743.7,596.9,1359.8,2527.5,219.7,81.5,11
0.125016,782.0,248.5,1807.6,469.6,2565.8,773.7,594.9,1358,2525.8,220,81.3,11.3
0.127016,782.9,257.7,1842.7,460.9,2589.3,798.7,592.9,1356.3,2524.1,220.2,81.1,11.4
0.129016,784.6,264.4,1875.2,443.0,2603.4,839.3,590.9,1354.6,2522.4,220.5,80.9,11.4
0.131016,786.9,271.4,1897.7,410.2,2614.1,912.5,588.8,1352.8,2520.6,220.9,80.7,11.3
0.133016,789.1,283.9,1904.1,365.4,2643.2,1031.5,586.8,1351.1,2518.9,221.2,80.4,11.3
0.135016,791.3,306.4,1897.7,323.5,2708.7,1203.7,584.7,1349.4,2517.2,221.6,80.2,11.3
0.137016,790.9,348.1,1889.8,300.8,2852.9,1441.0,582.6,1347.8,2515.5,222.1,79.9,11.3
0.139016,779.9,427.4,1884.9,300.8,3187.9,1407.9,580.4,1346.1,2513.8,222.5,79.6,11.5
0.141016,748.6,519.4,1877.0,321.2,3304.4,1201.9,578.3,1344.5,2512.1,223.1,79.3,11.7
0.143016,702.6,564.9,1861.5,345.2,3467.5,1132.9,576.1,1342.9,2510.4,223.6,79.1,12
0.145016,657.0,556.6,1848.7,354.4,2826.7,2537.3,574,1341.3,2508.7,224.2,78.9,12.1
0.147016,624.5,530.9,1846.4,355.4,2767.4,2406.4,571.8,1339.8,2507.1,224.8,78.7,12.1
0.149016,602.3,519.8,1849.9,359.4,2961.8,2584.8,569.6,1338.3,2505.4,225.4,78.6,12.1
0.151016,584.0,542.3,1850.6,368.9,3069.6,937.3,567.4,1336.8,2503.8,226.1,78.5,12
0.153016,551.2,596.1,1847.2,385.7,2963.0,659.3,565.1,1335.4,2502.2,226.8,78.5,11.8
0.155016,476.8,617.6,1157.7,3263.5,1846.0,430.7,562.9,1334,2500.6,227.6,78.7,11.6
0.157016,400.4,522.5,1628.0,2280.4,1847.5,538.2,560.7,1332.6,2499.1,228.3,79.1,11.4
0.159016,355.7,385.8,1824.0,799.7,1929.4,1481.0,558.4,1331.3,2497.5,229.1,79.6,11
0.161016,335.1,287.1,1679.6,964.7,2178.4,1029.4,556.1,1330.1,2496,230,80.1,10.6
0.163016,326.8,232.5,1594.0,1081.5,2233.0,826.2,553.9,1328.9,2494.5,230.8,80.7,10.3
0.165016,325.3,202.3,1514.7,1209.4,2200.5,709.1,551.6,1327.7,2493.1,231.7,81.2,10.5
0.167016,327.1,181.9,1442.5,1332.9,2134.2,613.0,549.3,1326.6,2491.6,232.6,81.6,11.3
0.169016,330.1,162.6,1358.6,1432.1,2085.9,509.6,547,1325.6,2490.2,233.5,82,12.9
0.171016,332.7,144.0,1293.6,1467.6,2079.1,444.4,544.7,1324.6,2488.9,234.5,82.4,15
0.173016,335.5,129.6,1259.4,1513.7,2096.2,417.9,542.4,1323.6,2487.6,235.4,82.7,17.1
0.175016,338.7,122.5,1222.0,1651.4,2113.5,404.5,540.1,1322.8,2486.3,236.4,83,18.7
0.177016,342.1,123.5,1134.9,1880.0,2120.3,388.0,537.8,1322,2485,237.4,83.3,19.6
0.179016,344.7,131.5,975.5,2034.7,2119.0,363.4,535.5,1321.2,2483.8,238.4,83.5,19.6
0.181016,344.7,142.8,854.3,1923.0,2106.3,341.4,533.2,1320.6,2482.6,239.5,83.7,19.3
0.183016,342.0,153.0,804.5,1757.9,2080.0,329.6,531,1320,2481.5,240.5,83.9,18.8
0.185016,338.8,158.8,780.4,1656.6,2057.0,325.0,528.7,1319.5,2480.5,241.6,84,18.6
0.187016,337.1,160.5,767.6,1579.9,2060.4,327.4,526.4,1319,2479.4,242.7,84.2,18.8
0.189016,338.4,162.4,752.6,1487.9,2094.0,331.4,524.1,1318.6,2478.4,243.8,84.3,19.3
0.191016,342.9,166.4,733.2,1389.1,2136.6,329.4,521.8,1318.4,2477.5,244.9,84.3,20.1
0.193016,347.4,169.0,734.0,1271.1,2168.6,328.7,519.5,1318.1,2476.6,246.1,84.4,20.9
0.195016,348.8,168.1,756.5,1128.4,2192.5,337.2,517.3,1318,2475.8,247.2,84.5,21.4
0.197016,347.3,166.0,776.4,1004.6,2215.2,357.9,515,1318,2475,248.4,84.6,21.6
0.199016,344.4,165.6,784.7,937.6,2241.9,401.5,512.8,1318,2474.3,249.6,84.7,21.4
0.201016,341.3,167.5,784.0,947.0,2269.7,471.5,510.5,1318.2,2473.7,250.9,84.9,21
0.203016,338.7,168.7,780.9,1020.1,2294.8,561.6,508.3,1318.4,2473.1,252.2,85.1,20.6
0.205016,336.9,166.6,775.4,1158.0,2305.1,671.8,506.1,1318.7,2472.5,253.4,85.3,20.4
0.207016,334.5,158.5,771.1,1310.3,2276.1,755.7,503.9,1319.1,2472.1,254.8,85.5,20.5
0.209016,329.0,142.6,794.4,1363.4,2230.3,735.5,501.7,1319.7,2471.7,256.1,85.7,21
0.211016,322.7,125.2,844.7,1301.6,2203.4,667.6,499.5,1320.3,2471.3,257.5,85.8,21.6
0.213016,317.9,112.8,886.7,1212.9,2188.9,608.3,497.3,1321,2471,258.9,85.8,22.3
0.215016,315.1,106.5,907.2,1139.9,2189.1,564.2,495.2,1321.8,2470.8,260.3,85.8,22.8
0.217016,314.0,103.9,911.2,1115.5,2209.8,543.0,493.1,1322.7,2470.7,261.8,85.8,23
0.219016,313.8,102.1,905.5,1167.9,2252.4,544.2,490.9,1323.7,2470.6,263.3,85.7,22.9
0.221016,314.2,100.2,887.3,1322.5,2297.3,557.5,488.8,1324.9,2470.6,264.8,85.6,22.7
0.223016,315.2,98.6,839.5,1598.1,2315.9,581.0,486.7,1326.1,2470.7,266.3,85.5,22.4
0.225016,316.3,97.8,730.9,1945.7,2297.8,612.3,484.7,1327.4,2470.8,267.8,85.5,22.1
0.227016,317.4,97.6,522.2,2297.4,2257.7,647.4,482.6,1328.9,2471,269.4,85.4,22
