time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025422,579.9,369.1,1547.8,866.8,2602.7,384.6,486,1293.9,2363.5,0,67.8,-167.8
0.027422,520.4,311.4,1440.3,791.5,2579.2,399.0,486,1294.1,2363.7,0,71.2,-120.2
0.029422,488.9,254.7,1274.2,713.7,2511.0,443.6,486,1294.6,2364.1,0,74.4,-67.7
0.031422,474.7,195.4,1143.3,501.6,2420.2,407.1,486.1,1295.3,2364.6,0,77.3,-20.6
0.033422,471.7,140.6,1098.1,344.1,2383.1,339.3,486.2,1296.2,2365.2,0,79.7,10.6
0.035422,478.6,110.9,1092.1,285.7,2393.2,307.8,486.3,1297.2,2366,0,81.7,22.1
0.037422,488.9,93.5,1096.4,265.2,2416.7,288.4,486.4,1298.5,2366.9,0,83.2,20.8
0.039422,500.1,79.3,1097.2,251.0,2435.7,269.1,486.6,1299.9,2368,0,84.4,12.6
0.041422,512.5,67.7,1091.4,240.9,2452.5,249.4,486.7,1301.6,2369.1,0,85.2,3.2
0.043422,526.6,59.9,1081.0,240.1,2472.5,227.3,486.9,1303.4,2370.5,0,85.6,-1.5
0.045422,540.8,57.3,1070.2,253.5,2495.5,205.3,487.1,1305.4,2371.9,199.3,85.8,-1.2
0.047422,553.1,61.8,1066.2,282.7,2516.2,191.8,487.3,1307.6,2373.5,199.2,85.8,0.3
0.049422,561.9,73.8,1074.0,320.8,2530.4,191.0,487.6,1310,2375.3,199.2,85.7,2.3
0.051422,567.2,88.9,1088.6,358.8,2536.0,199.9,487.8,1312.5,2377.2,199.1,85.6,4.6
0.053422,569.4,97.7,1099.6,394.6,2530.4,216.0,488.1,1315.3,2379.2,199,85.5,6.5
0.055422,569.8,94.6,1101.5,425.6,2513.1,231.7,488.4,1318.2,2381.3,198.9,85.5,8.3
0.057422,570.3,83.9,1098.0,447.4,2490.4,232.7,488.7,1321.3,2383.6,198.8,85.6,10.2
0.059422,571.3,72.7,1094.5,457.5,2470.4,221.1,489,1324.6,2386,198.7,85.8,12
0.061422,571.8,64.5,1095.8,458.6,2455.1,210.0,489.4,1328.1,2388.5,198.5,85.9,13.7
0.063422,573.4,60.9,1113.1,474.3,2449.2,203.0,489.7,1331.8,2391.1,198.4,86.1,14.9
0.065422,578.0,61.2,1165.2,517.3,2457.2,188.6,490.1,1335.6,2393.9,198.2,86.2,15.5
0.067422,583.0,60.7,1222.5,521.3,2465.2,170.6,490.5,1339.6,2396.8,198,86.2,15.8
0.069422,582.6,58.0,1216.3,508.1,2464.5,180.8,490.9,1343.7,2399.8,197.8,86.2,15.8
0.071422,579.5,54.2,1199.4,486.2,2458.0,206.9,491.4,1348.1,2403,197.5,86.2,15.8
0.073422,575.5,51.8,1200.1,477.4,2447.9,244.3,491.8,1352.6,2406.2,197.3,86.2,15.9
0.075422,571.1,50.9,1200.2,482.8,2426.8,293.5,492.3,1357.2,2409.6,197,86.3,16.4
0.077422,567.8,50.7,1193.2,485.0,2390.5,328.2,492.8,1362.1,2413.1,196.7,86.4,16.9
0.079422,565.9,50.2,1189.8,478.5,2355.4,335.0,493.3,1367,2416.7,196.4,86.5,17.5
0.081422,564.5,49.0,1198.1,471.4,2331.3,341.4,493.8,1372.2,2420.4,196.1,86.5,17.9
0.083422,562.9,47.0,1213.8,470.4,2309.7,366.1,494.3,1377.5,2424.2,195.8,86.6,18.2
0.085422,561.0,44.7,1229.4,478.7,2281.6,407.5,494.9,1382.9,2428.1,195.5,86.5,18.3
0.087422,559.7,43.3,1243.9,495.7,2246.1,455.1,495.4,1388.5,2432.2,195.1,86.4,18.4
0.089422,558.9,43.1,1260.0,507.5,2202.5,497.8,496,1394.3,2436.3,194.8,86.1,18.2
