time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025297,899.7,1033.3,1841.1,680.2,2919.7,957.4,547,1318.4,2360.8,0,61.5,-200
0.027297,852.6,880.9,1813.4,559.7,2988.0,738.9,546.9,1318.7,2361,0,61.9,-203.2
0.029297,831.6,760.3,1803.7,471.3,3019.9,660.4,546.9,1319.1,2361.3,0,61.7,-209.6
0.031297,823.5,711.5,1812.7,420.5,3038.1,747.7,546.8,1319.7,2361.6,0,61.4,-214.4
0.033297,815.9,736.1,1823.9,425.2,2981.1,1123.4,546.7,1320.5,2362.1,0,61.6,-212.8
0.035297,796.0,840.0,1813.7,534.5,2581.3,1377.5,546.5,1321.5,2362.6,251.5,63.2,-200
0.037297,670.3,994.3,1669.9,703.5,2337.7,828.8,546.4,1322.7,2363.3,250.2,66.4,-169.5
0.039297,475.2,764.1,1555.0,592.3,2377.6,543.2,546.2,1324,2364.1,248.8,70.1,-124.6
0.041297,432.0,331.6,1480.0,572.7,2420.0,433.7,546,1325.5,2365,247.4,73.5,-74.9
0.043297,433.8,199.9,1268.1,665.0,2406.8,411.2,545.7,1327.2,2365.9,245.9,76.6,-29.9
0.045297,444.5,165.4,1072.4,544.6,2377.1,468.5,545.5,1329,2367,244.4,79.1,0.7
0.047297,455.4,135.0,1022.9,410.0,2319.2,602.8,545.2,1331,2368.2,242.9,81.2,13.5
0.049297,467.3,113.4,1023.3,341.1,2290.9,654.9,544.9,1333.2,2369.5,241.3,82.7,15.1
0.051297,476.7,99.1,1036.0,295.1,2317.6,586.6,544.6,1335.6,2370.9,239.7,83.9,10.3
0.053297,481.0,91.8,1051.9,259.7,2353.8,458.5,544.2,1338.1,2372.3,238,84.7,4.2
0.055297,479.5,89.8,1069.1,224.0,2375.6,328.1,543.8,1340.8,2373.9,236.4,85.1,1.7
0.057297,471.4,94.1,1086.2,189.9,2385.9,232.8,543.4,1343.7,2375.6,234.8,85.2,2.9
0.059297,458.6,104.8,1100.7,164.5,2390.0,175.6,543,1346.7,2377.3,233.1,85.2,4.6
0.061297,448.1,118.7,1110.8,151.1,2387.8,146.5,542.6,1349.9,2379.2,231.5,85.1,6.5
0.063297,446.6,132.3,1117.3,147.4,2380.3,138.1,542.1,1353.3,2381.2,229.9,84.9,8.3
0.065297,449.9,148.8,1123.1,145.3,2371.0,141.1,541.6,1356.8,2383.2,228.4,84.7,10
0.067297,452.8,169.2,1127.3,142.1,2362.9,150.0,541.1,1360.5,2385.4,226.9,84.5,11.5
0.069297,455.3,189.1,1128.6,141.0,2356.5,160.6,540.6,1364.3,2387.6,225.4,84.4,13
0.071297,461.0,203.5,1129.0,145.1,2352.3,166.7,540,1368.3,2390,223.9,84.3,14.4
0.073297,472.0,208.2,1132.7,152.4,2351.7,162.8,539.4,1372.5,2392.4,222.6,84.2,15.5
0.075297,488.2,203.7,1142.8,158.7,2355.0,152.2,538.8,1376.8,2394.9,221.2,84.1,16.3
0.077297,506.4,192.4,1158.1,162.1,2360.6,140.4,538.2,1381.2,2397.5,220,84.1,16.5
0.079297,520.9,177.0,1173.9,161.8,2364.8,129.0,537.6,1385.8,2400.2,218.7,84.1,16.4
0.081297,527.8,160.7,1187.3,160.0,2364.7,120.0,536.9,1390.6,2403,217.6,84.2,16
0.083297,528.7,148.7,1198.4,163.1,2360.2,119.5,536.3,1395.5,2405.8,216.5,84.4,15.5
0.085297,529.5,143.2,1211.7,179.0,2353.0,133.4,535.6,1400.5,2408.8,215.4,84.6,15.1
0.087297,533.2,144.2,1230.3,214.0,2344.5,168.9,534.9,1405.7,2411.8,214.5,84.8,14.8
0.089297,538.4,148.0,1254.0,270.0,2332.8,228.0,534.1,1411,2414.9,213.5,84.9,14.5
0.091297,541.8,149.9,1282.5,348.0,2312.1,295.4,533.4,1416.5,2418.1,212.7,85.1,14.2
0.093297,540.9,147.6,1314.8,436.6,2286.0,331.9,532.6,1422.1,2421.4,211.8,85.2,13.8
0.095297,534.9,139.6,1353.1,513.5,2259.7,328.8,531.9,1427.8,2424.7,211.1,85.3,13.5
0.097297,524.9,127.2,1395.1,538.0,2239.5,303.9,531.1,1433.6,2428.2,210.4,85.2,13.3
0.099297,515.0,115.4,1434.5,497.6,2228.1,281.8,530.3,1439.6,2431.7,209.7,85.1,13.2
0.101297,508.2,108.0,1464.1,420.7,2220.8,273.5,529.4,1445.7,2435.2,209.1,84.9,13
0.103297,506.9,106.8,1485.1,360.0,2212.6,286.4,528.6,1451.9,2438.9,208.6,84.5,12.6
0.105297,510.9,111.5,1512.4,334.7,2203.0,331.5,527.7,1458.2,2442.6,208,83.9,11.8
0.107297,519.0,121.5,1559.4,338.2,2199.4,424.6,526.9,1464.7,2446.4,207.5,83.1,10.3
0.109297,527.7,135.5,1629.5,335.2,2220.1,581.3,526,1471.2,2450.2,207.1,82.2,8.2
0.111297,530.3,154.6,1699.2,292.0,2300.4,780.8,525.1,1477.9,2454.1,206.7,81,5.9
0.113297,516.2,180.6,1736.8,256.3,2404.9,901.6,524.2,1484.7,2458.1,206.3,79.9,4.1
0.115297,478.8,212.1,1747.1,272.8,2420.3,967.2,523.3,1491.5,2462.1,205.9,78.7,3
0.117297,432.2,235.2,1716.3,382.4,2283.3,900.5,522.4,1498.5,2466.2,205.6,77.8,3.2
0.119297,400.4,256.4,1612.6,545.2,2208.2,649.0,521.5,1505.6,2470.4,205.2,77.1,4.1
0.121297,391.0,320.8,1584.2,751.4,2223.6,636.7,520.5,1512.7,2474.6,204.9,76.6,5.4
0.123297,398.4,424.5,1821.4,1339.9,2105.1,768.1,519.6,1520,2478.9,204.6,76.2,6.7
0.125297,403.3,522.3,2048.4,489.2,2097.7,2736.6,518.6,1527.3,2483.2,204.3,75.9,7.5
0.127297,382.0,663.9,2064.7,396.8,2255.3,3259.0,517.7,1534.7,2487.6,204,75.8,7.6
