time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025937,717.5,573.5,1853.4,531.3,2846.0,680.6,574.6,1335.2,2380.1,0,64.2,-200
0.027937,697.9,616.4,1790.8,500.6,2682.6,632.6,574.5,1335.4,2380.2,0,64.3,-200
0.029937,703.7,599.6,1750.5,408.5,2598.2,526.0,574.4,1335.7,2380.4,0,64.2,-200
0.031937,728.2,545.0,1742.0,339.4,2569.3,497.3,574.2,1336.2,2380.6,0,63.6,-200
0.033937,743.2,487.5,1742.9,304.7,2558.7,539.8,574,1336.7,2381,0,62.8,-200
0.035937,747.4,450.4,1744.3,310.0,2553.9,673.4,573.8,1337.5,2381.4,0,62.5,-203.2
0.037937,754.8,441.1,1749.0,374.9,2557.4,947.6,573.4,1338.3,2381.9,0,61.4,-209.6
0.039937,766.4,452.8,1764.5,527.4,2589.3,1299.6,573.1,1339.3,2382.5,0,61.1,-214.3
0.041937,759.7,462.5,1802.6,778.5,2632.1,1504.8,572.7,1340.4,2383.1,252.7,62.3,-212.7
0.043937,699.5,447.2,1880.3,969.3,2592.6,1792.7,572.2,1341.6,2383.8,251.4,64.5,-200
0.045937,586.1,394.3,1979.3,1051.6,2283.3,2098.0,571.7,1343,2384.6,250,68.1,-169.8
0.047937,510.4,336.5,1542.8,2182.2,2250.4,991.7,571.1,1344.5,2385.5,248.5,71.5,-125.2
0.049937,468.5,294.9,1051.1,957.6,2454.6,632.0,570.5,1346.1,2386.5,247,74.6,-75.8
0.051937,439.8,199.3,995.5,449.1,2519.2,488.7,569.9,1347.9,2387.5,245.3,77.1,-31.2
0.053937,446.9,152.3,991.2,344.8,2539.1,499.8,569.2,1349.8,2388.6,243.7,79.2,-0.9
0.055937,460.4,126.4,998.3,322.0,2525.0,526.3,568.5,1351.8,2389.8,241.9,80.8,11.9
0.057937,471.3,104.6,1006.2,303.3,2499.1,512.4,567.7,1353.9,2391,240.2,82,13.5
0.059937,478.4,87.9,1016.0,276.6,2480.9,473.7,566.8,1356.2,2392.3,238.4,82.7,8.8
0.061937,481.2,78.2,1029.3,243.3,2470.8,435.9,566,1358.6,2393.7,236.6,83.1,2.7
0.063937,478.5,77.6,1046.9,210.3,2463.1,403.1,565,1361.1,2395.2,234.8,83.2,0.2
0.065937,469.8,89.6,1067.9,186.5,2453.2,360.3,564.1,1363.7,2396.7,232.9,83,1.5
0.067937,459.0,116.0,1087.6,177.9,2441.6,308.7,563.1,1366.5,2398.3,231.1,82.7,3.2
0.069937,456.0,149.7,1100.7,186.6,2429.7,277.2,562,1369.4,2400,229.4,82.3,5.1
0.071937,463.9,179.8,1107.6,206.3,2418.9,267.0,560.9,1372.4,2401.8,227.6,82.1,7
0.073937,475.4,202.7,1112.7,224.9,2413.3,259.5,559.8,1375.5,2403.6,225.9,81.9,8.8
0.075937,484.3,214.5,1118.2,235.7,2418.3,249.7,558.6,1378.8,2405.5,224.3,81.8,10.3
0.077937,490.1,210.0,1124.7,240.6,2432.9,246.0,557.4,1382.2,2407.5,222.7,81.8,11.8
0.079937,497.7,195.5,1136.3,246.0,2450.9,245.8,556.1,1385.7,2409.5,221.1,81.9,13.2
0.081937,507.2,177.1,1152.2,250.7,2465.4,248.1,554.8,1389.3,2411.6,219.7,82,14.5
0.083937,514.2,156.8,1164.9,249.5,2471.7,260.5,553.5,1393,2413.8,218.3,82.2,15.6
0.085937,517.8,139.1,1171.0,245.8,2468.9,288.7,552.1,1396.9,2416,216.9,82.4,16.4
0.087937,520.0,127.3,1173.7,247.3,2460.7,335.0,550.7,1400.8,2418.3,215.7,82.6,17
0.089937,522.1,120.8,1177.0,257.4,2451.8,402.9,549.2,1404.9,2420.7,214.5,82.8,17.5
0.091937,524.1,117.1,1183.7,274.0,2444.8,488.9,547.7,1409.1,2423.2,213.4,82.9,17.9
0.093937,524.5,113.3,1191.1,292.5,2431.4,575.8,546.2,1413.4,2425.7,212.4,83,18.2
0.095937,521.0,107.3,1189.6,310.0,2384.6,646.5,544.7,1417.8,2428.3,211.4,83.1,18.5
0.097937,514.2,100.0,1175.6,321.0,2294.8,647.6,543.1,1422.4,2430.9,210.5,83,18.8
0.099937,508.1,95.4,1163.9,328.4,2225.1,561.2,541.4,1427,2433.6,209.7,83,19
0.101937,506.0,97.7,1168.5,356.6,2199.6,487.3,539.8,1431.8,2436.4,208.9,82.9,19
0.103937,509.3,105.8,1193.3,422.4,2192.3,464.4,538.1,1436.6,2439.2,208.2,82.8,18.6
0.105937,516.0,115.4,1240.1,521.4,2186.0,501.3,536.4,1441.6,2442.1,207.5,82.6,18
0.107937,523.1,123.4,1317.1,626.3,2181.4,628.4,534.6,1446.7,2445,206.9,82.3,17
0.109937,528.9,129.5,1434.5,660.4,2213.0,907.0,532.8,1451.9,2448.1,206.4,81.9,15.8
0.111937,533.5,134.1,1530.6,554.2,2371.6,1125.3,531,1457.2,2451.1,205.8,81.4,14.5
0.113937,537.3,136.9,1569.1,483.4,2340.4,1091.0,529.2,1462.6,2454.3,205.4,80.8,13.1
0.115937,540.7,140.4,1591.9,486.3,2169.7,1019.9,527.3,1468,2457.5,205,80,11.3
0.117937,543.8,154.6,1617.5,481.5,2105.4,920.3,525.4,1473.6,2460.7,204.6,79,9.2
0.119937,541.1,193.6,1649.8,433.1,2158.1,991.5,523.5,1479.3,2464,204.2,77.9,7
