time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025859,322.7,27.9,1907.7,493.6,3059.0,212.2,509.9,1761.6,2895.9,287.4,69.2,-200
0.027859,313.9,23.7,1915.0,488.8,3070.4,320.4,509.8,1761.8,2895.9,284.7,69.2,-200
0.029859,305.7,18.7,1905.1,520.4,3071.8,533.3,509.7,1762.2,2896,281.8,68.9,-200
0.031859,298.6,14.7,1864.7,575.8,2945.3,1077.2,509.5,1762.7,2896.1,278.7,68.3,-200
0.033859,293.2,13.3,1813.2,563.1,2574.1,863.2,509.3,1763.3,2896.3,275.6,67.4,-200
0.035859,288.4,15.1,1803.8,518.7,2513.1,667.7,509,1764.1,2896.4,272.2,66.2,-200
0.037859,284.3,22.5,1824.5,487.1,2523.8,664.7,508.6,1765.1,2896.6,268.8,64.7,-200
0.039859,280.8,41.6,1844.0,444.0,2595.1,717.1,508.2,1766.2,2896.9,265.3,62.9,-203.4
0.041859,278.3,88.8,1847.7,410.7,2722.4,698.4,507.7,1767.4,2897.1,261.7,61.2,-210.1
0.043859,272.5,157.3,1839.7,412.5,2829.3,589.2,507.2,1768.8,2897.4,258,60.4,-215.1
0.045859,261.2,152.4,1820.9,405.4,2888.1,460.8,506.7,1770.3,2897.8,254.4,61.4,-213.5
0.047859,254.7,96.2,1798.2,374.4,2923.1,387.6,506,1771.9,2898.1,250.7,63.8,-200
0.049859,253.8,63.0,1789.9,365.6,2962.8,362.4,505.4,1773.7,2898.5,247,66.5,-168
0.051859,259.3,54.1,1832.6,398.6,3002.4,348.3,504.7,1775.7,2898.9,243.4,69.2,-120.7
0.053859,268.6,61.3,1897.9,387.5,3010.4,360.2,503.9,1777.8,2899.4,239.8,71.5,-68.4
0.055859,280.3,71.4,1933.3,397.7,2994.3,400.4,503.1,1780,2899.9,236.3,73.4,-21.3
0.057859,289.1,74.0,1947.4,462.7,2975.3,426.4,502.2,1782.3,2900.4,232.9,74.8,10.2
0.059859,293.3,74.2,1965.1,558.5,2964.1,431.6,501.3,1784.8,2900.9,229.6,75.8,22.6
0.061859,295.6,76.2,2013.8,651.9,2949.5,430.4,500.3,1787.4,2901.5,226.5,76.4,22.7
0.063859,298.3,79.6,2079.3,713.2,2913.5,432.5,499.3,1790.2,2902.1,223.5,76.6,16
0.065859,301.0,84.9,2132.7,739.7,2861.7,397.3,498.2,1793.1,2902.7,220.6,76.5,7.9
0.067859,297.2,92.1,2163.3,724.9,2837.6,338.8,497.1,1796.1,2903.4,217.9,76.2,3.9
0.069859,281.1,93.7,2166.7,753.8,2835.6,337.1,496,1799.2,2904,215.4,75.8,4.3
0.071859,264.8,93.8,2100.2,831.2,2839.7,431.0,494.8,1802.5,2904.8,213,75.5,5.3
0.073859,262.7,125.7,2048.3,782.2,2871.3,607.0,493.5,1805.9,2905.5,210.8,75.3,6.7
0.075859,274.8,210.6,2078.0,700.7,2982.5,762.3,492.2,1809.4,2906.3,208.8,75.3,8.1
0.077859,298.5,313.1,2113.7,645.6,3085.9,721.2,490.9,1813.1,2907.1,206.9,75.4,9.2
0.079859,329.0,367.2,2138.2,634.5,3124.3,636.4,489.6,1816.8,2907.9,205.1,75.6,9.9
0.081859,349.2,357.5,2166.3,669.8,3129.9,570.6,488.1,1820.7,2908.8,203.5,75.8,10.5
0.083859,350.7,318.1,2210.6,743.7,3121.0,532.8,486.7,1824.7,2909.6,202,76.1,11
0.085859,345.8,264.5,2271.3,840.3,3104.7,515.6,485.2,1828.9,2910.6,200.7,76.6,11.5
0.087859,350.7,221.2,2269.3,896.3,3086.8,483.5,483.7,1833.1,2911.5,199.4,77.1,12.1
0.089859,372.9,206.0,2156.8,758.8,3086.4,402.7,482.1,1837.5,2912.5,198.3,77.7,12.9
0.091859,427.3,229.1,2059.1,442.5,3101.8,313.7,480.5,1841.9,2913.5,197.2,78.4,13.9
0.093859,510.1,210.7,2014.5,244.8,3101.3,267.8,478.9,1846.5,2914.5,196.2,79.1,14.8
0.095859,558.7,154.6,2003.6,164.1,3070.2,245.6,477.3,1851.2,2915.5,195.2,79.8,15.5
0.097859,579.0,121.2,2003.9,139.9,3023.8,230.8,475.6,1856,2916.6,194.3,80.4,15.8
0.099859,587.7,100.9,2002.0,135.7,2996.0,221.1,473.8,1860.8,2917.7,193.5,81,15.4
0.101859,590.8,88.3,1993.6,140.2,2994.7,212.3,472.1,1865.8,2918.8,192.7,81.4,14.5
0.103859,591.5,81.0,1978.5,146.1,3008.2,196.1,470.3,1870.9,2919.9,191.9,81.8,13.4
0.105859,591.9,77.3,1955.8,153.0,3027.2,169.6,468.5,1876.1,2921.1,191.1,82,12.3
0.107859,593.7,77.4,1927.0,163.2,3042.8,143.8,466.7,1881.4,2922.3,190.3,82.1,11.5
0.109859,597.4,82.7,1890.9,183.5,3050.6,127.3,464.8,1886.7,2923.5,189.6,82.1,10.9
0.111859,603.4,97.1,1847.0,220.5,3048.3,127.0,462.9,1892.2,2924.8,188.8,82.1,10.4
0.113859,612.7,121.0,1806.8,260.5,3038.6,147.4,461,1897.7,2926,188,82,10
0.115859,629.8,151.8,1786.0,281.9,3025.0,201.5,459.1,1903.3,2927.3,187.3,81.8,9.9
0.117859,651.8,178.4,1794.0,280.4,3007.6,300.2,457.2,1909,2928.6,186.5,81.8,9.9
0.119859,671.0,197.8,1814.4,270.9,2978.7,410.6,455.2,1914.8,2930,185.8,81.8,10.4
0.121859,683.2,212.1,1834.5,254.0,2954.4,448.3,453.3,1920.6,2931.3,185,81.9,11.3
0.123859,688.6,224.8,1851.0,233.3,2958.2,440.4,451.3,1926.5,2932.7,184.2,82.1,12.4
0.125859,692.2,238.4,1865.2,209.1,2982.7,440.7,449.3,1932.5,2934.1,183.5,82.2,13.3
0.127859,697.9,251.8,1876.0,184.5,3018.0,456.7,447.3,1938.6,2935.5,182.7,82.4,13.9
