time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025609,435.9,655.3,1694.7,234.3,2837.7,400.5,466.1,1824.3,2942.3,0,55.1,-200
0.027609,474.5,479.2,1694.1,189.4,2763.7,351.3,466.1,1824.4,2942.3,0,55.9,-200
0.029609,485.1,384.8,1694.2,158.8,2729.6,305.9,466.1,1824.4,2942.2,0,56.8,-200
0.031609,484.2,339.9,1696.4,142.1,2715.2,289.7,466.1,1824.5,2942.2,0,57.5,-200
0.033609,474.4,313.4,1699.9,133.0,2708.6,293.0,466.1,1824.6,2942.2,0,58.1,-200
0.035609,450.3,292.7,1703.0,132.7,2711.0,319.8,466,1824.8,2942.2,0,58.9,-203.4
0.037609,417.1,272.2,1701.8,146.7,2733.4,369.9,466,1824.9,2942.2,0,59.7,-210.3
0.039609,388.0,253.7,1688.6,179.0,2784.8,388.3,466,1825.1,2942.1,0,60.8,-215.4
0.041609,367.6,245.5,1661.0,213.5,2809.2,318.8,465.9,1825.4,2942.1,0,62.6,-213.7
0.043609,339.6,236.3,1632.4,240.6,2811.4,277.6,465.9,1825.6,2942.1,222.1,65.2,-200
0.045609,296.0,174.9,1616.5,276.3,2831.5,286.1,465.8,1825.9,2942,221.4,68.2,-167.3
0.047609,273.7,92.0,1605.2,371.0,2892.0,343.8,465.7,1826.2,2942,220.6,71.1,-119.1
0.049609,271.0,65.5,1590.8,591.2,3020.7,339.4,465.7,1826.5,2941.9,219.8,73.6,-65.7
0.051609,273.7,64.9,1612.7,699.3,3074.9,216.6,465.6,1826.8,2941.9,219,75.7,-17.8
0.053609,275.0,66.1,1622.7,712.3,3086.9,157.7,465.5,1827.2,2941.8,218.2,77.3,14.4
0.055609,273.2,66.1,1614.7,792.1,3089.7,141.5,465.4,1827.6,2941.7,217.3,78.6,26.8
0.057609,269.0,66.9,1591.2,945.5,2137.7,4343.8,465.4,1828.1,2941.7,216.5,79.5,26.4
0.059609,263.8,70.8,1553.0,1156.0,2292.6,3477.0,465.3,1828.5,2941.6,215.7,80.1,19.1
0.061609,260.1,79.1,1571.4,1379.7,2449.8,4372.1,465.2,1829,2941.5,214.9,80.5,10.9
0.063609,259.7,91.3,1711.4,1478.8,3043.0,309.9,465.1,1829.5,2941.5,214.1,80.7,7.5
0.065609,262.5,104.0,1829.1,1415.9,3048.0,327.2,465,1830,2941.4,213.3,80.8,9.7
0.067609,265.5,111.9,1904.4,1569.7,3057.4,313.5,464.8,1830.6,2941.3,212.5,80.8,13.6
0.069609,267.6,117.2,2342.6,2440.6,3071.9,313.2,464.7,1831.2,2941.2,211.8,80.9,18.1
0.071609,269.9,123.8,801.9,2182.5,2739.4,1503.7,464.6,1831.8,2941.2,211.1,81,22.2
0.073609,273.7,134.3,656.3,1951.4,2772.0,1328.3,464.5,1832.5,2941.1,210.4,81.1,24.9
0.075609,236.1,2217.1,280.1,147.5,2778.6,1622.0,464.4,1833.1,2941,209.8,81.2,25.7
0.077609,286.4,155.2,2564.9,2379.1,3102.6,242.9,464.2,1833.8,2940.9,209.2,81.3,25.4
0.079609,289.4,155.8,2117.2,2132.5,3093.6,240.0,464.1,1834.6,2940.8,208.7,81.5,24.5
0.081609,290.6,153.6,2102.6,1811.1,3085.0,249.8,463.9,1835.3,2940.7,208.1,81.6,23.6
0.083609,294.1,152.0,2181.2,1639.9,3085.3,243.4,463.8,1836.1,2940.6,207.7,81.8,23.1
0.085609,300.4,152.1,2307.5,1531.5,3089.1,229.8,463.6,1836.9,2940.5,207.2,81.9,23
0.087609,306.8,155.5,2461.6,1409.8,3084.3,240.9,463.5,1837.8,2940.4,206.8,81.9,23.1
0.089609,310.9,163.1,2641.9,1095.5,3071.4,303.4,463.3,1838.6,2940.3,206.4,81.9,23.2
0.091609,311.8,170.7,2715.8,679.9,3081.2,389.9,463.1,1839.5,2940.2,206,81.9,23.5
0.093609,312.0,174.6,2701.8,437.1,3113.8,356.2,462.9,1840.4,2940.1,205.7,81.9,23.9
0.095609,310.4,175.9,2691.4,338.4,3123.4,269.2,462.8,1841.4,2940,205.3,81.9,24.4
0.097609,304.8,175.6,2694.5,331.2,3119.3,220.5,462.6,1842.4,2939.9,205,81.9,25.3
0.099609,214.2,1567.0,296.6,169.8,2706.6,401.2,462.4,1843.4,2939.8,204.7,81.9,26.1
0.101609,292.2,161.5,375.8,1511.6,2720.0,529.5,462.2,1844.4,2939.8,204.4,81.9,26.8
0.103609,293.4,156.9,348.0,1583.9,2720.9,676.4,462,1845.5,2939.7,204.1,82,27.1
0.105609,300.8,156.7,2686.6,817.9,3059.8,146.8,461.8,1846.6,2939.6,203.8,82,27
0.107609,312.1,156.1,2594.5,940.3,3049.4,128.2,461.6,1847.7,2939.5,203.6,81.9,26.7
0.109609,324.8,152.6,2442.4,977.9,3037.0,117.6,461.4,1848.9,2939.4,203.3,81.9,26.1
0.111609,335.3,148.7,2306.1,899.9,3020.4,116.6,461.2,1850.1,2939.3,202.9,81.9,25.3
0.113609,342.3,148.1,2203.4,798.3,2999.5,121.8,461,1851.3,2939.2,202.6,81.8,24.4
0.115609,342.9,156.8,2131.8,739.5,2977.0,137.2,460.7,1852.6,2939.1,202.3,81.7,23.1
0.117609,334.5,173.8,2090.2,771.9,2955.1,172.8,460.5,1853.9,2939,202,81.7,21.4
0.119609,319.3,184.1,2051.3,881.9,2929.5,235.8,460.3,1855.2,2939,201.6,81.6,19.6
0.121609,312.8,178.9,1997.8,933.1,2912.9,308.3,460,1856.5,2938.9,201.2,81.5,18
0.123609,322.9,174.3,1956.4,818.9,2923.2,381.4,459.8,1857.9,2938.8,200.8,81.4,16.9
0.125609,350.3,180.0,1946.7,634.9,2961.1,432.4,459.6,1859.3,2938.8,200.4,81.4,16.5
0.127609,389.1,195.3,1946.3,494.5,2997.7,433.0,459.3,1860.7,2938.7,200,81.4,16.7
0.129609,438.2,210.7,1946.4,395.9,3022.0,399.0,459.1,1862.2,2938.6,199.6,81.4,17
0.131609,483.9,210.2,1945.9,332.1,3037.4,350.9,458.8,1863.7,2938.6,199.1,81.5,17.2
0.133609,518.8,196.2,1942.1,284.5,3049.0,293.3,458.6,1865.3,2938.5,198.6,81.6,17.1
0.135609,543.2,175.8,1934.7,242.3,3056.4,234.7,458.3,1866.8,2938.5,198.1,81.7,16.4
0.137609,559.6,156.9,1927.9,205.1,3059.9,190.8,458,1868.4,2938.5,197.6,81.7,15.5
0.139609,572.6,142.4,1923.7,173.8,3063.6,158.5,457.8,1870.1,2938.4,197.1,81.8,14.4
0.141609,582.2,135.1,1920.3,155.5,3067.6,135.4,457.5,1871.7,2938.4,196.6,81.8,13.5
0.143609,590.6,133.3,1912.7,146.4,3067.7,117.0,457.2,1873.4,2938.4,196,81.7,12.9
0.145609,598.9,136.3,1898.3,140.3,3061.6,102.9,457,1875.1,2938.4,195.5,81.7,12.7
0.147609,606.2,143.3,1883.9,134.9,3055.7,95.7,456.7,1876.9,2938.4,194.9,81.6,12.8
0.149609,613.2,153.9,1876.2,134.1,3058.7,98.7,456.4,1878.7,2938.4,194.3,81.5,13
0.151609,620.6,163.2,1876.2,140.2,3073.9,114.0,456.1,1880.5,2938.4,193.7,81.5,13.2
0.153609,630.8,167.9,1879.2,147.5,3097.0,138.7,455.8,1882.4,2938.4,193.1,81.4,13.3
0.155609,644.3,167.3,1882.1,150.5,3123.8,171.3,455.5,1884.3,2938.4,192.6,81.4,13.1
0.157609,658.4,163.3,1882.1,147.4,3149.0,207.6,455.2,1886.2,2938.4,192,81.5,12.9
0.159609,672.8,157.8,1877.8,137.3,3169.1,244.4,455,1888.2,2938.5,191.4,81.5,12.6
0.161609,684.3,154.0,1870.3,123.7,3171.0,263.5,454.7,1890.2,2938.5,190.8,81.5,12.4
0.163609,694.0,152.8,1862.1,109.5,3154.5,261.2,454.4,1892.2,2938.6,190.2,81.6,12.3
0.165609,704.6,154.2,1854.6,98.0,3135.4,256.2,454.1,1894.3,2938.7,189.7,81.6,12.6
0.167609,716.0,157.4,1848.4,92.9,3131.2,267.9,453.7,1896.4,2938.7,189.1,81.7,13
0.169609,728.4,159.6,1842.4,92.0,3139.6,291.2,453.4,1898.5,2938.8,188.6,81.7,13.4
0.171609,739.5,157.3,1836.9,91.2,3144.1,307.8,453.1,1900.7,2938.9,188.1,81.8,13.8
0.173609,748.0,151.3,1831.6,89.4,3133.8,315.7,452.8,1902.9,2939,187.6,81.9,13.9
0.175609,752.3,143.9,1827.0,89.0,3107.6,318.6,452.5,1905.1,2939.2,187.1,82,13.5
0.177609,752.0,137.5,1824.1,90.9,3074.1,311.4,452.2,1907.4,2939.3,186.6,82.2,12.8
0.179609,750.3,130.8,1822.8,91.8,3039.3,285.8,451.9,1909.7,2939.4,186.1,82.3,12
0.181609,749.6,125.2,1822.7,88.0,3014.7,250.8,451.6,1912,2939.6,185.7,82.4,11.5
0.183609,750.1,122.1,1822.5,81.3,2998.8,216.6,451.2,1914.4,2939.8,185.3,82.5,11.4
0.185609,751.7,122.8,1821.5,74.7,2985.4,187.2,450.9,1916.8,2939.9,184.9,82.6,12
0.187609,753.9,127.4,1820.3,71.0,2972.6,166.2,450.6,1919.2,2940.1,184.5,82.7,13.1
0.189609,755.7,136.2,1819.5,70.3,2960.3,151.2,450.3,1921.7,2940.3,184.1,82.7,14.5
0.191609,755.8,146.4,1818.9,71.1,2950.4,141.4,450,1924.2,2940.6,183.7,82.8,15.7
0.193609,753.2,155.5,1817.9,71.6,2941.5,134.8,449.6,1926.8,2940.8,183.4,82.9,16.4
0.195609,746.7,161.7,1816.2,71.7,2932.1,129.6,449.3,1929.3,2941,183.1,82.9,16.6
0.197609,737.4,164.0,1814.5,71.7,2922.0,122.4,449,1931.9,2941.3,182.7,83,16.5
0.199609,727.4,163.1,1813.8,70.8,2910.8,109.9,448.7,1934.6,2941.6,182.4,83.1,16.2
0.201609,718.8,162.0,1814.5,69.6,2902.7,96.6,448.3,1937.3,2941.9,182.1,83.1,15.8
0.203609,710.7,162.8,1816.5,68.8,2900.0,86.5,448,1940,2942.2,181.8,83.1,15.6
0.205609,702.5,166.7,1820.0,68.1,2902.4,80.6,447.7,1942.7,2942.5,181.5,83.2,15.4
0.207609,694.5,173.4,1824.6,67.6,2907.2,78.6,447.3,1945.5,2942.8,181.2,83.1,15.3
0.209609,684.9,181.4,1829.4,67.9,2910.8,79.2,447,1948.3,2943.2,180.9,83,15.1
0.211609,674.8,189.0,1832.6,69.5,2910.3,82.5,446.7,1951.2,2943.5,180.6,82.9,14.9
0.213609,664.5,196.9,1835.1,73.5,2906.3,88.8,446.4,1954.1,2943.9,180.3,82.7,14.6
0.215609,652.6,204.7,1839.4,81.3,2900.2,99.6,446,1957,2944.3,180,82.5,14.2
0.217609,639.1,209.8,1847.6,92.4,2892.8,116.1,445.7,1959.9,2944.7,179.7,82.4,13.7
0.219609,623.9,210.6,1859.5,105.1,2880.9,139.0,445.4,1962.9,2945.1,179.4,82.2,13.2
0.221609,608.9,204.9,1870.3,114.9,2865.3,159.1,445,1965.9,2945.6,179.1,82.2,12.7
0.223609,592.3,192.0,1877.3,121.4,2851.8,173.3,444.7,1969,2946,178.8,82.1,12.2
0.225609,573.6,172.7,1880.0,122.4,2847.5,186.1,444.4,1972,2946.5,178.5,82.2,11.9
0.227609,555.6,153.1,1879.0,116.9,2852.8,203.0,444.1,1975.1,2947,178.1,82.2,11.6
0.229609,538.2,136.1,1875.9,108.8,2862.1,228.1,443.7,1978.3,2947.5,177.9,82.1,11.3
0.231609,524.6,126.1,1871.5,104.6,2868.3,256.4,443.4,1981.5,2948,177.6,82.1,10.9
0.233609,513.4,122.1,1864.4,107.5,2867.7,285.0,443.1,1984.7,2948.6,177.3,81.9,10.6
0.235609,501.0,122.2,1852.5,117.7,2859.3,312.8,442.8,1987.9,2949.1,177,81.7,10
0.237609,486.2,124.2,1837.4,130.1,2847.2,330.3,442.5,1991.2,2949.7,176.8,81.3,9.2
0.239609,466.6,125.4,1820.6,140.8,2834.8,328.2,442.1,1994.5,2950.3,176.6,80.9,8.4
0.241609,443.9,121.1,1806.0,148.2,2824.2,309.6,441.8,1997.8,2950.9,176.4,80.4,7.9
0.243609,422.1,108.5,1795.2,157.9,2810.2,291.7,441.5,2001.1,2951.6,176.2,79.8,7.9
0.245609,408.1,94.3,1793.2,179.0,2787.1,285.5,441.2,2004.5,2952.2,176,79.1,8.5
0.247609,405.4,88.4,1801.3,214.6,2764.6,289.2,440.9,2008,2952.9,175.9,78.4,9.7
0.249609,409.5,90.1,1811.0,267.5,2755.9,304.1,440.6,2011.4,2953.6,175.8,77.7,11.1
0.251609,414.9,98.2,1815.1,324.6,2766.4,323.1,440.3,2014.9,2954.3,175.8,76.9,12.3
0.253609,420.6,114.9,1813.8,358.0,2794.1,321.7,440,2018.4,2955,175.8,76.1,13
0.255609,429.2,143.2,1804.5,328.7,2833.4,290.4,439.6,2021.9,2955.7,175.8,75.3,13.1
0.257609,444.8,178.4,1794.8,260.1,2867.8,263.9,439.3,2025.5,2956.5,175.9,74.7,12.7
0.259609,469.0,214.5,1796.8,213.4,2882.6,270.0,439,2029,2957.3,176,74.2,12.1
0.261609,490.0,240.8,1812.9,215.5,2864.4,307.2,438.8,2032.7,2958.1,176.1,73.9,11.6
0.263609,503.9,258.3,1841.2,254.2,2823.5,353.3,438.5,2036.3,2958.9,176.2,73.9,11.6
0.265609,510.8,267.0,1882.5,316.7,2783.9,403.8,438.2,2040,2959.7,176.4,74,12.1
0.267609,508.0,265.7,1928.1,373.8,2762.9,457.7,437.9,2043.6,2960.5,176.6,74.3,12.9
0.269609,492.5,254.4,1964.0,403.3,2757.1,496.7,437.6,2047.3,2961.4,176.8,74.6,13.9
0.271609,466.5,233.1,1972.7,403.0,2756.1,492.8,437.3,2051.1,2962.3,177.1,75,14.9
0.273609,438.0,200.4,1969.1,394.9,2747.7,466.1,437,2054.8,2963.2,177.4,75.3,15.6
0.275609,415.4,162.6,1982.5,397.7,2727.6,457.4,436.8,2058.6,2964.1,177.6,75.6,16.1
0.277609,404.2,134.6,2028.4,402.2,2706.9,477.3,436.5,2062.4,2965.1,177.9,75.9,16.5
0.279609,401.4,116.9,2090.2,364.8,2710.9,469.4,436.2,2066.3,2966,178.2,76.2,16.7
0.281609,401.9,105.8,2134.4,307.3,2739.3,398.4,436,2070.1,2967,178.5,76.5,16.9
