time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025547,478.0,215.8,1387.5,1805.1,2218.9,117.2,456,2033.5,2766.8,192.9,76.2,0.4
0.027547,476.6,201.3,1414.7,2140.6,2226.6,124.2,455.9,2033.4,2766.8,193.3,78,-0.7
0.029547,485.3,185.8,1789.3,2319.5,2225.8,137.3,455.9,2033.4,2766.8,193.8,79.5,-1.3
0.031547,499.8,165.8,2011.6,2269.8,2218.7,145.2,455.8,2033.2,2766.9,194.2,80.6,-1.7
0.033547,519.4,137.3,2211.7,147.0,2233.2,2187.4,455.7,2033.1,2766.9,194.6,81.4,-1.6
0.035547,537.1,105.8,2208.2,144.9,2434.9,2035.9,455.6,2032.8,2766.9,195,81.9,-1
0.037547,549.0,81.0,2207.3,146.0,2562.0,1822.5,455.4,2032.6,2766.9,195.4,82.3,0.3
0.039547,555.2,66.8,2206.8,158.7,2599.0,1625.9,455.3,2032.3,2767,195.8,82.5,2.7
0.041547,557.5,61.5,2203.5,185.4,2593.1,1501.6,455.1,2032,2767,196.1,82.6,5.7
0.043547,557.9,61.3,2191.8,224.4,2607.8,1427.1,454.9,2031.6,2767.1,196.4,82.6,8.7
0.045547,557.9,63.5,2168.9,253.0,2688.4,1398.7,454.7,2031.3,2767.1,196.7,82.6,11.4
0.047547,558.3,66.5,2149.6,247.2,2847.3,1443.6,454.4,2030.8,2767.2,197,82.6,13.2
0.049547,558.8,69.7,2150.9,216.9,3036.2,310.8,454.2,2030.4,2767.3,197.2,82.7,14.5
0.051547,558.6,72.6,2165.4,185.1,3016.2,261.9,453.9,2029.8,2767.3,197.3,82.8,15.5
0.053547,557.0,75.1,2182.4,160.4,3010.4,217.1,453.6,2029.3,2767.4,197.5,82.9,16.2
0.055547,554.0,78.4,2196.0,148.0,3011.4,182.3,453.2,2028.7,2767.5,197.5,83.1,16.7
0.057547,550.6,85.2,2205.0,146.6,3014.7,156.5,452.9,2028.1,2767.6,197.6,83.2,17
0.059547,547.7,97.8,2207.9,156.1,3018.7,139.0,452.5,2027.5,2767.7,197.5,83.3,16.9
0.061547,544.9,114.5,2205.1,173.6,3022.1,127.9,452.1,2026.8,2767.8,197.4,83.4,16.6
0.063547,539.2,134.6,2199.7,190.7,3025.4,120.9,451.7,2026,2767.8,197.3,83.4,16.2
0.065547,528.4,153.3,2195.9,193.6,3028.7,120.1,451.3,2025.3,2767.9,197.1,83.4,16
0.067547,514.9,163.1,2195.3,189.1,3030.3,128.4,450.9,2024.5,2768,196.8,83.4,16.2
0.069547,505.7,157.9,2197.3,193.3,3026.8,148.4,450.4,2023.6,2768.1,196.5,83.4,16.7
0.071547,503.3,143.9,2200.2,208.6,3017.0,179.2,449.9,2022.8,2768.2,196.1,83.5,17.3
0.073547,503.8,127.7,2202.5,229.7,3002.8,224.1,449.4,2021.8,2768.3,195.7,83.6,18
0.075547,504.2,115.1,2204.2,249.0,2832.6,2979.6,448.9,2020.9,2768.4,195.2,83.6,18.5
0.077547,502.8,107.7,2205.7,260.3,2812.6,2492.2,448.4,2019.9,2768.5,194.7,83.7,18.8
0.079547,498.8,105.5,2206.2,256.5,2874.6,2548.1,447.8,2018.9,2768.6,194.2,83.7,18.9
0.081547,492.6,106.5,2202.4,239.4,2905.0,364.4,447.3,2017.8,2768.7,193.6,83.8,18.9
0.083547,483.8,107.8,2190.0,214.7,2880.3,328.3,446.7,2016.7,2768.8,192.9,83.8,18.8
0.085547,473.7,106.1,2167.2,189.4,2859.3,300.8,446.1,2015.6,2768.8,192.3,83.7,18.4
0.087547,462.6,101.3,2137.0,166.4,2838.0,295.9,445.5,2014.5,2768.9,191.6,83.5,17.6
0.089547,450.2,95.9,2104.5,149.3,2815.4,318.3,444.9,2013.3,2769,190.9,83.3,16.3
0.091547,437.4,91.7,2074.3,143.7,2795.3,369.8,444.2,2012,2769.1,190.1,83,14.6
0.093547,423.5,87.5,2043.6,154.1,2786.2,465.9,443.6,2010.7,2769.1,189.4,82.6,13.1
0.095547,410.3,84.1,2011.2,189.2,2828.2,1227.6,442.9,2009.4,2769.2,188.7,82.2,11.8
0.097547,398.9,83.7,1962.8,263.2,2507.2,782.2,442.2,2008.1,2769.3,187.9,81.9,11.2
