time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025813,208.3,623.3,1642.6,453.8,2446.9,94.0,423.3,1734.2,2592.5,236.9,64.4,-167.8
0.027813,235.3,493.6,1645.1,417.0,2446.4,81.5,423.3,1734.2,2592.5,236.2,67.2,-120.2
0.029813,260.5,356.7,1635.6,376.7,2450.3,76.1,423.3,1734.2,2592.5,235.4,70.1,-67.6
0.031813,276.8,192.3,1621.7,316.0,2455.2,75.3,423.3,1734.2,2592.5,234.5,72.9,-20.3
0.033813,278.2,93.9,1605.6,253.1,2460.3,87.3,423.4,1734.2,2592.5,233.6,75.4,11.7
0.035813,277.7,63.7,1598.4,218.0,2469.8,117.0,423.4,1734.2,2592.5,232.7,77.5,24.6
0.037813,277.4,62.7,1600.1,210.7,2488.1,133.2,423.5,1734.2,2592.5,231.7,79.3,25.3
0.039813,276.7,70.3,1601.1,213.3,2504.6,126.6,423.5,1734.2,2592.6,230.7,80.6,19.2
0.041813,275.6,78.8,1599.3,224.1,2515.6,120.7,423.6,1734.2,2592.6,229.6,81.6,11.7
0.043813,274.8,85.9,1598.7,243.9,2522.8,121.9,423.7,1734.2,2592.6,228.6,82.3,8.2
0.045813,274.4,91.2,1604.3,273.4,2528.7,130.4,423.8,1734.2,2592.7,227.5,82.7,8.7
0.047813,274.2,95.7,1623.5,314.4,2536.3,145.6,423.9,1734.2,2592.7,226.4,82.9,9.7
0.049813,273.7,100.9,1666.2,363.2,2545.9,161.0,424,1734.2,2592.7,225.3,82.9,11
0.051813,272.4,106.2,1728.5,407.0,2550.4,166.4,424.2,1734.2,2592.8,224.2,82.8,12.4
0.053813,269.6,109.3,1780.1,448.2,2544.4,165.9,424.3,1734.1,2592.8,223.2,82.6,13.9
0.055813,266.0,110.1,1790.8,505.6,2531.9,172.1,424.4,1734.1,2592.9,222.1,82.4,15.6
0.057813,263.4,110.6,1755.5,560.4,2516.8,185.2,424.6,1734.1,2592.9,221.1,82.2,17.6
0.059813,263.4,112.0,1708.0,570.6,2504.2,195.2,424.8,1734.1,2593,220,82.1,19.6
0.061813,266.4,114.5,1682.3,554.7,2500.6,197.1,424.9,1734.1,2593.1,219.1,82,21.3
0.063813,271.0,116.5,1673.7,537.0,2508.8,199.5,425.1,1734.1,2593.1,218.1,81.9,22.3
0.065813,275.7,117.2,1676.7,512.3,2533.0,208.2,425.3,1734.1,2593.2,217.2,81.9,22.5
0.067813,279.6,116.6,1689.2,462.4,2577.1,213.6,425.5,1734.1,2593.3,216.3,82,21.9
