time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025781,625.4,257.8,2140.3,30.5,3150.5,207.0,490.2,2105.6,3156.4,0,65.1,-34.2
0.027781,604.1,222.0,2142.8,35.7,3181.7,265.8,490.2,2105.6,3156.3,0,64.4,-85.2
0.029781,588.5,264.5,2154.5,74.0,3213.1,307.7,490.2,2105.6,3156.2,0,64.3,-139.5
0.031781,577.0,335.5,2193.0,178.8,3210.6,303.3,490.2,2105.6,3156,0,65.4,-182.6
0.033781,551.2,374.5,2241.7,259.9,3207.2,289.9,490.1,2105.6,3155.7,0,67.7,-200
0.035781,490.4,337.0,2260.9,258.1,3212.1,267.4,490.1,2105.6,3155.4,0,70.5,-182.1
0.037781,454.7,211.6,2253.9,253.2,3226.9,275.5,490,2105.6,3155.1,0,73.1,-138.5
0.039781,456.6,148.2,2234.2,298.9,3257.2,330.4,489.9,2105.5,3154.6,0,75.3,-83.7
0.041781,470.6,128.4,2209.1,356.2,3275.9,348.0,489.9,2105.5,3154.1,0,77.1,-32.1
0.043781,484.3,114.2,2174.8,381.8,3252.2,316.7,489.8,2105.5,3153.6,0,78.5,1.9
0.045781,496.0,97.6,2141.7,368.2,3217.8,279.6,489.7,2105.5,3153,188.7,79.5,15
0.047781,505.1,82.8,2126.4,331.1,3195.9,257.2,489.6,2105.5,3152.3,189,80.3,16.9
0.049781,511.9,72.1,2127.1,297.4,3189.7,255.8,489.4,2105.5,3151.6,189.3,80.8,12.5
0.051781,520.3,63.8,2135.9,273.4,3199.8,277.7,489.3,2105.5,3150.9,189.6,81.1,6.5
0.053781,532.9,56.2,2147.7,252.3,3229.0,314.1,489.2,2105.5,3150,189.9,81.5,3.9
0.055781,547.0,46.3,2159.2,223.8,3269.7,346.1,489,2105.4,3149.2,190.2,81.8,4.6
0.057781,554.9,36.1,2164.9,208.2,3286.6,356.7,488.9,2105.4,3148.2,190.5,82.2,5.6
0.059781,556.8,28.6,2166.3,222.5,3268.5,327.8,488.7,2105.4,3147.3,190.8,82.6,6.6
0.061781,557.6,24.1,2169.3,263.0,3247.4,278.7,488.6,2105.4,3146.2,191.1,82.8,7.6
0.063781,559.7,22.1,2178.5,311.3,3241.6,248.4,488.4,2105.4,3145.1,191.3,83,8.4
0.065781,563.0,21.9,2194.2,342.2,3252.6,246.5,488.2,2105.3,3144,191.6,83,9.1
0.067781,565.7,23.5,2208.0,341.7,3286.8,275.6,488,2105.3,3142.8,191.8,82.9,9.7
0.069781,566.5,27.3,2214.3,333.7,3343.7,309.7,487.8,2105.3,3141.5,191.9,82.7,10.2
0.071781,564.7,32.7,2212.3,360.9,3387.9,302.7,487.6,2105.3,3140.2,192,82.4,10.6
0.073781,560.3,38.7,2205.2,463.8,3384.5,270.6,487.4,2105.2,3138.9,192.1,82,10.8
0.075781,553.9,46.7,2200.6,671.9,3360.2,245.5,487.1,2105.2,3137.4,192.2,81.7,10.9
0.077781,546.6,56.3,2219.1,958.7,3336.9,237.7,486.9,2105.2,3136,192.2,81.4,10.7
0.079781,539.3,63.0,2270.0,1111.0,3323.1,246.6,486.6,2105.2,3134.5,192.2,81.1,10.4
0.081781,531.7,63.8,2292.0,1046.0,3314.2,275.0,486.4,2105.1,3132.9,192.1,80.9,10.2
0.083781,524.4,61.4,2267.8,1003.2,3295.8,327.2,486.1,2105.1,3131.3,192.1,80.8,10.4
0.085781,516.0,59.4,2208.5,1031.6,3256.8,392.6,485.9,2105.1,3129.6,191.9,80.6,10.9
0.087781,505.1,59.4,2141.4,1038.3,3210.3,433.2,485.6,2105,3127.9,191.7,80.4,11.7
0.089781,491.4,60.4,2101.4,1015.2,3178.4,468.6,485.3,2105,3126.2,191.5,80.2,12.6
0.091781,475.8,61.2,2087.0,979.2,3155.7,544.2,485,2105,3124.4,191.3,80,13.5
0.093781,463.5,61.4,2094.2,923.0,3141.7,659.6,484.7,2104.9,3122.5,191,79.9,14.5
0.095781,456.3,62.0,2123.1,831.0,3167.5,779.2,484.4,2104.9,3120.6,190.7,79.7,15.5
0.097781,454.8,65.1,2164.1,700.2,3254.4,765.5,484.1,2104.9,3118.7,190.4,79.6,16.6
0.099781,457.1,71.4,2187.6,564.4,3307.5,625.9,483.8,2104.8,3116.7,190.1,79.5,17.8
0.101781,461.4,79.0,2193.3,469.6,3314.0,492.3,483.4,2104.8,3114.6,189.7,79.4,18.8
0.103781,463.7,82.4,2193.1,445.5,3295.5,418.4,483.1,2104.8,3112.5,189.3,79.3,19.5
0.105781,462.9,79.9,2186.2,462.3,3271.2,388.3,482.8,2104.7,3110.4,188.9,79.2,20.1
0.107781,462.0,75.0,2167.0,460.3,3254.9,374.3,482.4,2104.7,3108.3,188.5,79.2,20.5
0.109781,463.3,70.8,2144.3,418.7,3251.8,366.3,482.1,2104.7,3106,188,79.2,20.8
0.111781,466.1,67.7,2125.6,366.8,3258.3,372.3,481.7,2104.6,3103.8,187.6,79.3,20.9
0.113781,467.6,65.7,2114.0,338.6,3266.3,394.9,481.4,2104.6,3101.5,187.1,79.3,20.8
0.115781,465.8,64.2,2108.1,343.8,3267.2,428.6,481,2104.6,3099.2,186.6,79.4,20.4
0.117781,460.1,62.7,2107.1,385.7,3259.6,468.4,480.6,2104.5,3096.8,186.2,79.5,19.7
0.119781,452.0,60.9,2107.3,439.8,3252.4,510.3,480.2,2104.5,3094.4,185.7,79.6,18.9
0.121781,442.1,58.4,2103.2,465.6,3255.0,542.7,479.8,2104.5,3092,185.2,79.7,18.2
0.123781,432.7,55.8,2092.7,456.6,3268.7,558.1,479.5,2104.4,3089.5,184.7,79.8,17.7
0.125781,424.0,53.7,2078.4,445.2,3286.1,560.1,479.1,2104.4,3087,184.3,79.9,17.5
0.127781,417.1,52.6,2064.3,440.2,3295.9,546.0,478.7,2104.4,3084.4,183.8,79.9,17.5
0.129781,412.0,51.9,2053.7,417.2,3293.2,522.2,478.2,2104.3,3081.8,183.3,80,17.5
0.131781,407.8,50.7,2046.2,360.9,3274.8,503.6,477.8,2104.3,3079.2,182.8,80.1,17.7
0.133781,404.3,49.0,2038.7,304.1,3235.2,498.5,477.4,2104.3,3076.5,182.4,80.2,18.1
0.135781,401.5,46.7,2028.3,266.8,3172.8,474.4,477,2104.2,3073.8,181.9,80.3,18.8
0.137781,400.2,44.6,2017.3,249.7,3118.4,422.6,476.6,2104.2,3071.1,181.5,80.5,19.8
0.139781,400.3,43.2,2008.5,247.3,3089.4,387.6,476.2,2104.2,3068.4,181.1,80.6,20.8
0.141781,401.2,42.7,2001.9,256.3,3074.5,380.3,475.7,2104.1,3065.6,180.6,80.8,21.7
0.143781,401.8,43.5,1998.0,269.5,3061.7,374.8,475.3,2104.1,3062.8,180.2,80.9,22.2
0.145781,400.7,45.7,1997.1,274.8,3044.5,340.7,474.9,2104.1,3059.9,179.8,81,22.2
0.147781,396.7,48.2,1999.4,260.1,3025.0,282.7,474.4,2104,3057.1,179.4,81.1,21.9
0.149781,389.8,50.2,2005.4,227.7,3007.6,226.0,474,2104,3054.2,179,81.1,21.3
0.151781,381.2,51.0,2015.2,188.6,2992.5,187.8,473.5,2104,3051.3,178.7,81.2,20.7
0.153781,373.3,50.1,2025.8,159.4,2980.0,181.2,473.1,2103.9,3048.3,178.3,81.2,20.3
0.155781,367.2,48.5,2034.1,141.1,2964.6,203.1,472.6,2103.9,3045.4,178,81.1,20
0.157781,363.0,47.4,2033.1,130.9,2938.5,240.3,472.2,2103.9,3042.4,177.7,81,19.8
0.159781,359.9,46.4,2020.5,123.8,2899.6,270.1,471.7,2103.9,3039.4,177.4,80.9,19.5
0.161781,356.7,44.8,2000.8,116.4,2855.6,286.9,471.3,2103.8,3036.3,177.1,80.7,19.4
0.163781,353.5,42.7,1982.7,110.5,2825.2,302.8,470.8,2103.8,3033.3,176.9,80.4,19.5
0.165781,350.9,41.3,1968.5,108.8,2815.1,332.7,470.3,2103.8,3030.2,176.6,80,19.9
0.167781,350.2,41.2,1959.5,113.0,2828.2,379.0,469.9,2103.8,3027.1,176.4,79.7,20.7
0.169781,351.2,42.0,1957.1,122.6,2858.5,439.0,469.4,2103.7,3024,176.2,79.3,21.5
0.171781,352.9,43.3,1964.2,137.9,2901.4,511.1,469,2103.7,3020.9,176.1,78.9,22.1
0.173781,353.7,44.6,1981.4,159.5,2933.3,588.5,468.5,2103.7,3017.8,175.9,78.4,22.1
0.175781,352.7,45.2,2005.5,194.7,2912.0,680.8,468,2103.7,3014.6,175.8,77.9,21.5
0.177781,350.6,45.5,2025.5,251.0,2804.6,726.4,467.6,2103.7,3011.5,175.8,77.4,20.4
0.179781,349.4,46.8,2028.6,323.5,2680.7,655.7,467.1,2103.6,3008.3,175.7,76.9,19.1
0.181781,350.5,50.6,2013.4,391.9,2607.3,550.7,466.6,2103.6,3005.1,175.7,76.3,17.9
0.183781,354.0,57.0,1999.6,415.9,2588.5,501.9,466.2,2103.6,3001.9,175.7,75.8,17
