time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025781,441.1,123.8,1896.7,119.7,3003.5,512.4,594.3,1714.7,2712.3,192.7,78.2,28.2
0.027781,461.1,111.1,1902.1,106.3,3016.1,513.7,594.3,1714.7,2712.3,192.9,79,27
0.029781,479.3,102.8,1905.3,98.6,3025.9,534.5,594.3,1714.8,2712.3,193.3,79.4,18.6
0.031781,493.3,105.2,1902.5,103.4,3028.4,605.4,594.3,1714.9,2712.3,193.6,79.6,9
0.033781,502.0,120.4,1892.1,123.9,3030.9,704.3,594.3,1715.1,2712.3,193.9,79.6,4.1
0.035781,509.2,136.9,1877.1,149.9,3043.7,722.5,594.4,1715.2,2712.4,194.2,79.5,4.2
0.037781,520.5,141.6,1864.8,165.4,3048.6,633.5,594.4,1715.4,2712.4,194.5,79.5,5.5
0.039781,533.8,132.5,1861.9,166.3,3039.3,524.3,594.4,1715.6,2712.4,194.8,79.6,7.3
0.041781,545.4,116.3,1867.3,155.5,3027.7,444.9,594.4,1715.9,2712.4,195.1,79.8,9.1
0.043781,554.7,99.0,1874.4,137.2,3018.6,398.9,594.5,1716.2,2712.4,195.4,80,10.6
0.045781,562.1,83.7,1877.0,119.3,3004.4,373.3,594.5,1716.5,2712.5,195.7,80.3,11.5
0.047781,567.6,72.9,1874.0,110.7,2974.5,356.3,594.5,1716.8,2712.5,195.9,80.6,12.4
0.049781,571.6,66.1,1866.1,111.4,2935.1,334.0,594.6,1717.2,2712.5,196.1,80.9,13.2
0.051781,574.6,61.2,1855.3,116.2,2908.6,309.8,594.6,1717.6,2712.5,196.3,81.2,13.9
0.053781,577.2,57.6,1843.8,121.7,2903.6,302.6,594.7,1718,2712.6,196.5,81.5,14.5
0.055781,580.1,54.7,1831.9,123.6,2912.4,320.0,594.7,1718.5,2712.6,196.7,81.8,14.9
0.057781,583.4,52.0,1819.4,118.0,2928.2,364.0,594.8,1719,2712.7,196.8,82,15.3
0.059781,586.6,49.8,1808.1,108.1,2951.8,437.7,594.8,1719.5,2712.7,196.9,82.3,15.6
0.061781,589.1,48.3,1799.8,100.2,2990.4,535.4,594.9,1720,2712.8,196.9,82.5,15.8
0.063781,591.4,47.0,1794.1,95.6,3045.8,635.2,594.9,1720.6,2712.8,196.9,82.8,15.8
0.065781,594.8,46.2,1789.8,93.2,3097.9,720.7,595,1721.2,2712.9,196.9,83,15.7
0.067781,599.6,46.1,1785.7,93.7,3102.7,799.4,595.1,1721.8,2712.9,196.8,83.2,15.5
0.069781,605.3,47.3,1779.6,98.1,3060.3,854.2,595.1,1722.5,2713,196.7,83.3,15.1
0.071781,611.7,50.2,1769.8,102.6,3027.8,864.1,595.2,1723.2,2713.1,196.6,83.5,14.6
0.073781,619.4,55.4,1757.4,102.1,3021.2,845.4,595.3,1723.9,2713.2,196.4,83.5,14
0.075781,629.7,64.0,1746.4,97.8,3017.3,823.3,595.4,1724.7,2713.2,196.2,83.5,13
0.077781,642.5,76.9,1739.4,96.5,3003.3,833.0,595.5,1725.4,2713.3,196,83.4,11.7
0.079781,656.9,94.5,1736.2,102.6,2991.3,894.1,595.6,1726.2,2713.4,195.7,83.3,10.3
0.081781,673.2,114.9,1735.5,114.1,2980.8,966.3,595.7,1727.1,2713.5,195.4,83.2,9.2
0.083781,693.9,131.9,1735.3,122.5,2930.6,912.1,595.7,1727.9,2713.6,195.1,83,8.7
0.085781,719.7,138.0,1735.0,120.4,2864.8,677.3,595.8,1728.8,2713.7,194.8,83,9
0.087781,743.6,134.4,1737.0,115.2,2845.3,452.7,595.9,1729.8,2713.9,194.4,82.9,9.8
