time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025875,304.5,63.3,1881.5,337.6,2516.6,105.1,388.4,1966.8,2961,246.5,68.7,-200
0.027875,292.0,41.4,1845.2,334.5,2524.3,120.0,388.4,1966.7,2960.9,245.3,71.1,-186.9
0.029875,282.8,28.4,1808.4,413.4,2539.3,162.2,388.5,1966.6,2960.7,244,73.6,-147.4
0.031875,277.5,27.0,1812.5,638.5,2562.0,231.9,388.5,1966.4,2960.5,242.7,75.9,-98.1
0.033875,274.3,30.9,1883.6,839.8,2580.0,283.9,388.5,1966.3,2960.1,241.3,77.8,-48.7
0.035875,272.3,35.4,1931.4,918.6,2589.7,308.8,388.5,1966,2959.8,239.9,79.4,-8.9
0.037875,271.2,39.5,1931.9,982.3,2594.6,299.8,388.5,1965.7,2959.3,238.4,80.6,12.9
0.039875,269.9,44.1,1891.5,1057.2,2598.7,247.8,388.6,1965.4,2958.8,237,81.5,20.3
0.041875,268.0,49.3,1833.3,1100.3,2604.0,195.9,388.6,1965.1,2958.2,235.5,82.1,18.9
0.043875,265.6,55.8,1787.1,1134.4,2608.1,170.7,388.6,1964.7,2957.5,234,82.3,13.6
0.045875,263.7,64.1,1760.7,1185.8,2610.2,173.4,388.7,1964.2,2956.8,232.5,82.4,9.5
0.047875,262.8,73.1,1747.6,1243.9,2611.4,205.0,388.7,1963.8,2956,231,82.4,10.4
0.049875,261.4,80.1,1759.9,1392.7,2617.0,288.3,388.7,1963.2,2955.1,229.5,82.2,13.1
0.051875,259.1,82.4,1852.5,1770.5,2618.5,406.4,388.8,1962.7,2954.2,228,82.1,16.1
0.053875,257.2,82.3,895.3,2977.0,2552.0,2375.5,388.8,1962.1,2953.1,226.6,81.9,19
0.055875,257.8,84.6,819.4,2418.4,2489.2,387.6,388.9,1961.4,2952.1,225.2,81.8,21.1
0.057875,261.7,92.4,459.4,2825.1,2458.5,303.8,389,1960.8,2950.9,223.8,81.6,21.9
0.059875,270.3,108.0,2453.5,258.2,2821.6,2953.3,389,1960,2949.7,222.4,81.4,21.4
0.061875,284.1,130.0,2268.6,2194.1,2465.1,237.5,389.1,1959.3,2948.4,221.1,81.2,20.1
0.063875,301.0,153.7,2232.5,2118.6,2476.2,223.5,389.2,1958.5,2947.1,219.8,81,18.6
0.065875,315.4,176.1,2474.0,209.9,2506.8,2827.1,389.2,1957.7,2945.7,218.5,80.7,17.4
0.067875,326.1,191.4,2467.2,189.7,3324.0,1946.1,389.3,1956.8,2944.2,217.3,80.5,17.1
0.069875,337.0,196.6,2471.9,163.2,3280.9,1409.1,389.4,1955.9,2942.7,216.1,80.4,17.4
0.071875,349.0,194.2,2490.4,137.4,3239.3,1221.3,389.5,1954.9,2941.1,215,80.3,18
0.073875,364.8,187.7,2515.3,114.8,3209.8,1133.0,389.6,1953.9,2939.4,213.9,80.2,18.7
0.075875,382.9,175.4,2540.9,100.1,3183.7,1090.5,389.7,1952.9,2937.7,212.8,80.1,19.3
0.077875,396.4,160.8,2562.6,99.4,3137.0,1096.5,389.8,1951.8,2935.9,211.8,80,19.7
0.079875,404.1,147.6,2585.6,111.1,3065.2,1179.8,389.9,1950.7,2934.1,210.8,80,20.2
0.081875,405.1,143.1,2606.5,116.9,3098.8,1303.0,390,1949.6,2932.2,209.8,79.9,20.6
0.083875,397.5,151.4,2615.5,108.1,3356.0,1097.3,390.1,1948.4,2930.2,208.9,79.8,20.9
0.085875,388.9,154.0,2615.6,101.9,3522.8,688.8,390.2,1947.2,2928.2,208,79.7,20.8
0.087875,393.8,148.7,2612.8,109.9,3572.9,514.9,390.4,1946,2926.1,207.1,79.6,20.2
0.089875,409.7,141.4,2615.3,134.0,3601.3,503.8,390.5,1944.7,2923.9,206.3,79.5,18.7
0.091875,427.3,132.1,2623.2,182.2,3702.7,596.4,390.6,1943.4,2921.7,205.5,79.4,16.9
0.093875,442.2,123.8,2625.1,267.8,3143.9,1100.3,390.8,1942.1,2919.5,204.7,79.3,15
0.095875,454.3,119.8,2599.6,372.8,3057.0,669.6,390.9,1940.7,2917.2,204,79.1,13.8
0.097875,464.0,120.2,2568.1,432.0,3072.8,487.0,391.1,1939.3,2914.8,203.3,78.9,13.5
0.099875,473.1,123.2,2555.5,480.2,3108.3,428.1,391.2,1937.9,2912.4,202.6,78.8,14.1
0.101875,479.0,130.0,2565.5,529.4,3157.6,446.5,391.4,1936.4,2909.9,202,78.7,15.2
0.103875,479.9,143.5,2588.0,585.4,3226.7,496.2,391.6,1935,2907.4,201.4,78.6,16.5
0.105875,472.1,165.6,2608.2,658.1,3304.1,514.8,391.7,1933.4,2904.9,200.8,78.6,17.6
0.107875,454.1,187.0,2618.4,715.8,3357.5,487.6,391.9,1931.9,2902.2,200.2,78.7,18.1
0.109875,429.1,195.0,2619.0,722.2,3391.7,458.9,392.1,1930.3,2899.6,199.7,78.7,18.3
0.111875,409.0,188.2,2618.0,691.4,3421.5,458.3,392.3,1928.7,2896.9,199.3,78.9,18.4
0.113875,395.9,176.1,2628.0,640.7,3465.8,462.3,392.5,1927.1,2894.1,198.8,78.9,18.4
0.115875,386.9,161.2,594.6,3344.8,2642.9,548.1,392.7,1925.4,2891.3,198.4,79,18.5
0.117875,381.3,145.8,1134.7,2086.6,2643.6,451.2,392.9,1923.8,2888.4,198,79,18.8
0.119875,378.6,133.3,1250.5,1584.7,2641.5,396.1,393.1,1922,2885.6,197.7,78.9,19.2
0.121875,378.2,126.2,1329.3,1355.4,2652.0,393.7,393.4,1920.3,2882.6,197.4,78.7,19.8
0.123875,377.9,120.6,1404.6,1166.6,2679.6,420.1,393.6,1918.6,2879.7,197.1,78.4,20.2
