time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025703,629.3,457.4,2124.2,121.2,2935.5,217.7,488.6,1997.4,3040,0,69.6,11.3
0.027703,622.8,375.4,2122.9,104.2,2929.9,190.8,488.7,1997.3,3040,0,70.2,17.5
0.029703,613.0,300.8,2122.5,91.7,2932.1,169.5,488.7,1997,3039.8,0,70.6,14.6
0.031703,598.5,244.6,2125.6,90.0,2951.2,160.2,488.8,1996.7,3039.7,0,70.8,7.7
0.033703,581.4,221.1,2137.9,113.5,2996.8,173.3,489,1996.2,3039.4,0,71.1,1.7
0.035703,566.1,229.3,2173.1,195.0,3065.1,223.4,489.1,1995.7,3039.1,0,71.8,0.6
0.037703,554.4,253.0,2221.9,312.4,3131.4,315.8,489.3,1995,3038.8,0,73,0.7
0.039703,534.8,282.9,2209.9,314.4,3201.5,410.6,489.6,1994.3,3038.4,0,74.5,0.9
0.041703,512.0,272.2,2159.0,218.4,3254.1,474.8,489.8,1993.5,3038,0,76,1.2
0.043703,501.9,227.5,2131.7,153.3,3258.5,535.8,490.1,1992.6,3037.5,0,77.4,1.4
0.045703,501.9,184.0,2120.8,121.1,3229.4,606.0,490.4,1991.5,3036.9,0,78.6,1.4
0.047703,508.2,150.7,2117.7,108.4,3199.5,692.9,490.7,1990.4,3036.3,0,79.5,1.1
0.049703,521.4,120.9,2118.0,108.1,3178.7,838.3,491.1,1989.2,3035.7,207.9,80.1,0.7
0.051703,540.4,96.1,2121.7,122.2,3158.5,1095.8,491.5,1987.9,3035,207.7,80.5,0.5
0.053703,558.9,80.4,2131.7,152.1,3110.5,1494.3,491.9,1986.5,3034.3,207.5,80.7,0.8
0.055703,572.6,72.4,2150.0,199.0,2985.1,1949.5,492.3,1985,3033.5,207.2,80.7,1.8
0.057703,578.9,70.2,2165.3,254.8,2870.8,2180.1,492.8,1983.5,3032.6,207,80.7,3.7
0.059703,579.5,70.8,2155.7,310.5,2938.2,2130.0,493.3,1981.8,3031.7,206.8,80.6,6.1
0.061703,575.5,70.5,2110.9,323.5,3060.5,1714.1,493.8,1980.1,3030.8,206.5,80.6,8.5
0.063703,569.2,67.8,2070.4,287.8,3035.6,1386.8,494.4,1978.2,3029.8,206.3,80.5,10.7
0.065703,563.0,64.0,2048.7,254.0,2965.9,1158.3,494.9,1976.3,3028.7,206,80.5,12.2
0.067703,558.8,60.8,2037.1,241.0,2921.0,980.3,495.5,1974.3,3027.7,205.8,80.5,13.5
0.069703,555.3,59.3,2028.1,241.9,2907.5,868.3,496.1,1972.2,3026.5,205.5,80.5,14.5
0.071703,551.2,60.4,2019.8,250.6,2923.0,829.3,496.8,1970.1,3025.3,205.3,80.5,15.2
0.073703,546.4,63.9,2008.9,261.5,2961.0,836.7,497.4,1967.8,3024.1,205.1,80.4,15.7
0.075703,541.1,69.1,1992.0,268.1,3023.4,866.5,498.1,1965.5,3022.8,204.9,80.3,15.8
0.077703,535.6,75.7,1977.4,255.8,3109.0,873.4,498.8,1963.1,3021.5,204.7,80.1,15.5
0.079703,528.2,86.4,1974.9,219.2,3197.8,789.0,499.5,1960.6,3020.1,204.5,79.8,14.8
0.081703,516.1,102.9,1980.7,178.2,3243.7,673.7,500.2,1958.1,3018.7,204.3,79.6,14
0.083703,496.1,122.5,1985.2,149.7,3265.1,612.3,500.9,1955.5,3017.3,204.1,79.4,13.4
0.085703,465.4,139.0,1986.2,133.2,3281.8,611.3,501.7,1952.8,3015.8,204,79.2,13.2
0.087703,432.5,141.8,1985.6,126.7,3288.2,669.6,502.4,1950.1,3014.2,203.8,79.2,13.2
0.089703,405.4,132.9,1985.5,126.5,3260.9,766.3,503.2,1947.3,3012.6,203.7,79.2,13.3
0.091703,388.1,122.7,1983.9,130.5,3186.5,828.0,504,1944.4,3011,203.6,79.3,13.6
0.093703,377.9,115.8,1978.2,134.8,3103.1,807.2,504.8,1941.5,3009.3,203.5,79.4,14.1
0.095703,372.7,110.7,1971.1,135.4,3054.8,745.3,505.6,1938.5,3007.6,203.4,79.5,14.9
0.097703,373.4,107.5,1968.9,131.9,3063.5,695.0,506.4,1935.5,3005.8,203.3,79.6,16.1
0.099703,377.8,106.6,1969.7,126.0,3103.0,644.6,507.2,1932.4,3004,203.3,79.6,17.5
0.101703,381.8,108.2,1968.2,121.4,3128.3,591.2,508.1,1929.3,3002.2,203.3,79.7,18.9
0.103703,383.2,113.3,1964.9,119.5,3129.6,542.4,508.9,1926.1,3000.3,203.2,79.7,20.2
0.105703,383.6,123.2,1962.8,118.1,3121.4,489.6,509.7,1922.9,2998.4,203.2,79.7,21.1
0.107703,384.6,135.4,1962.8,115.9,3114.4,435.1,510.6,1919.6,2996.5,203.3,79.7,21.7
0.109703,386.6,146.5,1962.7,114.4,3112.1,383.6,511.4,1916.3,2994.5,203.3,79.7,22.3
0.111703,388.7,152.8,1961.3,116.2,3116.6,348.1,512.3,1913,2992.4,203.4,79.6,22.7
0.113703,390.8,155.6,1958.8,121.7,3126.7,328.9,513.1,1909.6,2990.4,203.5,79.5,22.9
0.115703,393.5,158.5,1954.7,130.0,3138.8,315.7,513.9,1906.2,2988.3,203.6,79.4,23
0.117703,397.3,162.0,1948.9,138.2,3145.6,302.5,514.8,1902.7,2986.2,203.8,79.3,22.9
0.119703,403.5,164.5,1943.3,145.5,3144.8,285.1,515.6,1899.2,2984,203.9,79.2,22.6
0.121703,413.3,165.0,1942.2,150.9,3138.8,260.9,516.4,1895.7,2981.8,204.1,79.1,22.3
0.123703,425.4,163.3,1945.2,154.9,3129.6,232.4,517.3,1892.2,2979.6,204.4,79,21.9
0.125703,437.6,158.2,1946.5,159.6,3115.3,212.1,518.1,1888.7,2977.3,204.6,79,21.6
0.127703,446.8,150.8,1941.1,164.7,3096.0,212.8,518.9,1885.1,2975,204.9,78.9,21.3
0.129703,454.1,144.3,1929.3,166.5,3069.1,233.4,519.7,1881.6,2972.7,205.2,78.9,21
0.131703,459.8,142.0,1913.8,160.6,3035.2,263.3,520.4,1878,2970.4,205.6,79,20.7
0.133703,464.0,144.5,1897.0,146.0,3000.5,279.8,521.2,1874.4,2968,206,79,20.4
0.135703,467.1,150.2,1877.3,123.6,2976.8,272.7,521.9,1870.8,2965.6,206.4,79.1,20
0.137703,469.4,154.6,1856.9,101.3,2980.7,255.7,522.7,1867.2,2963.2,206.8,79.2,19.5
0.139703,472.6,157.4,1837.1,83.3,3011.9,225.7,523.4,1863.6,2960.7,207.3,79.3,19
0.141703,477.5,160.7,1821.5,74.0,3043.2,182.1,524.1,1860.1,2958.2,207.8,79.4,18.6
0.143703,482.6,164.3,1811.2,73.0,3055.4,148.6,524.8,1856.5,2955.7,208.3,79.5,18.1
0.145703,487.1,167.8,1805.1,78.4,3054.4,129.0,525.4,1852.9,2953.2,208.8,79.5,17.7
0.147703,491.5,172.3,1802.1,89.2,3046.7,121.0,526.1,1849.3,2950.7,209.3,79.5,17.4
0.149703,497.9,180.2,1799.5,106.8,3036.5,123.7,526.7,1845.8,2948.1,209.8,79.5,17.1
0.151703,507.1,192.2,1793.1,128.0,3028.6,140.8,527.3,1842.3,2945.5,210.4,79.5,16.8
0.153703,518.0,206.2,1781.2,143.7,3027.2,173.0,527.8,1838.8,2942.9,210.9,79.5,16.4
0.155703,531.5,220.1,1766.7,149.3,3034.1,221.0,528.4,1835.3,2940.3,211.5,79.7,15.7
0.157703,547.9,226.1,1755.7,148.6,3048.5,276.2,528.9,1831.8,2937.7,212.1,79.9,14.8
0.159703,568.4,213.5,1747.6,148.5,3067.8,343.9,529.3,1828.4,2935,212.6,80.2,13.7
0.161703,587.8,182.2,1739.5,152.3,3087.2,445.1,529.8,1825,2932.4,213.2,80.7,12.7
0.163703,602.3,148.9,1729.6,160.9,3099.1,655.5,530.2,1821.6,2929.7,213.7,81.1,12
0.165703,614.2,122.5,1717.9,176.2,2915.6,929.5,530.6,1818.3,2927,214.3,81.5,11.8
0.167703,623.9,106.8,1706.0,199.2,2764.7,862.7,530.9,1815,2924.3,214.8,81.9,12
0.169703,632.6,97.1,1690.7,230.7,2661.5,750.4,531.3,1811.8,2921.6,215.3,82.2,12.6
0.171703,639.9,90.9,1669.0,261.0,2601.9,630.1,531.5,1808.6,2918.9,215.9,82.5,13.3
0.173703,646.0,88.0,1642.8,279.0,2585.9,541.8,531.8,1805.4,2916.2,216.4,82.8,13.9
0.175703,651.5,87.4,1614.6,279.0,2597.1,489.0,532,1802.3,2913.4,216.9,83,14.3
0.177703,655.5,86.3,1590.9,259.9,2612.5,462.4,532.1,1799.3,2910.7,217.4,83.1,14.6
0.179703,658.3,83.1,1572.3,231.4,2617.0,452.8,532.3,1796.3,2908,217.9,83.3,14.9
0.181703,660.2,79.0,1559.2,206.0,2608.5,455.8,532.3,1793.4,2905.2,218.3,83.4,15.1
0.183703,661.6,75.5,1549.6,187.5,2595.7,458.0,532.4,1790.5,2902.5,218.8,83.5,15.4
0.185703,663.0,73.2,1542.1,175.2,2587.2,453.4,532.4,1787.7,2899.7,219.3,83.6,15.7
0.187703,664.5,73.3,1537.2,171.3,2585.4,447.7,532.3,1785,2897,219.8,83.5,16
0.189703,666.0,76.4,1533.5,177.0,2582.2,447.6,532.2,1782.3,2894.2,220.3,83.4,16.3
0.191703,667.7,83.3,1530.0,196.2,2569.1,463.6,532.1,1779.7,2891.5,220.8,83.3,16.6
0.193703,669.8,94.9,1526.6,233.4,2545.5,503.7,531.9,1777.2,2888.7,221.3,83,16.9
0.195703,673.2,111.6,1523.1,295.3,2512.7,567.4,531.7,1774.7,2886,221.8,82.8,16.9
0.197703,677.4,128.9,1516.5,372.5,2477.2,624.3,531.4,1772.4,2883.3,222.3,82.5,16.9
0.199703,680.9,143.6,1498.8,448.6,2443.2,643.3,531.1,1770.1,2880.5,222.8,82.2,16.8
0.201703,681.5,154.2,1466.9,487.2,2422.4,626.2,530.7,1767.9,2877.8,223.4,81.9,16.6
0.203703,679.3,163.6,1433.6,483.0,2417.9,623.2,530.3,1765.8,2875.1,224,81.7,16.3
0.205703,676.6,179.0,1407.8,473.6,2424.6,674.5,529.8,1763.7,2872.4,224.6,81.5,16
0.207703,675.9,205.6,1391.2,493.5,2437.5,768.9,529.3,1761.8,2869.7,225.2,81.2,15.5
0.209703,677.6,250.1,1375.6,556.0,2453.5,850.3,528.7,1760,2867.1,225.8,81,14.9
0.211703,679.7,312.8,1355.0,650.0,2468.9,858.8,528.1,1758.2,2864.4,226.5,80.8,14.4
0.213703,676.4,388.7,1331.7,734.1,2479.8,812.5,527.4,1756.5,2861.7,227.1,80.6,13.9
0.215703,658.6,491.4,1310.4,782.3,2481.5,766.6,526.7,1755,2859.1,227.8,80.3,13.5
0.217703,621.0,653.2,1285.6,816.8,2463.4,780.7,525.9,1753.5,2856.5,228.5,80.1,13.3
0.219703,522.0,1007.0,1227.3,858.1,2407.9,868.3,525.1,1752.2,2853.9,229.3,80,13.1
0.221703,1168.2,842.9,2315.7,958.7,3686.1,1141.8,524.2,1750.9,2851.3,230,79.9,13
0.223703,1188.6,948.6,2257.1,1061.1,3634.0,1458.8,523.3,1749.7,2848.8,230.7,80,12.9
0.225703,1502.0,1074.1,2497.3,1353.6,3556.6,2614.8,522.3,1748.7,2846.3,231.4,80.2,12.7
0.227703,294.2,580.6,1629.0,679.0,2724.3,738.7,521.2,1747.8,2843.8,232.2,80.7,12.4
0.229703,316.7,353.2,1672.5,566.5,2768.2,403.3,520.1,1746.9,2841.3,232.9,81.4,12
0.231703,317.0,257.3,1724.1,628.1,2788.9,269.1,519,1746.2,2838.8,233.6,82.2,11.8
0.233703,316.0,211.0,1792.1,758.2,2798.5,228.4,517.8,1745.6,2836.4,234.4,83,11.8
