time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025844,631.2,292.2,2101.6,72.1,2997.6,281.7,507.9,2285.4,3121.2,0,64.9,3.7
0.027844,618.9,309.0,2101.5,72.5,3003.2,276.7,507.8,2285.2,3121.1,0,65.5,1.5
0.029844,602.0,304.1,2102.5,71.1,3007.5,266.1,507.7,2284.8,3121,0,65.8,0
0.031844,582.4,274.6,2104.2,70.1,3009.3,254.2,507.5,2284.4,3120.8,0,66,-1.3
0.033844,554.9,236.2,2107.7,76.1,3011.1,247.4,507.4,2283.8,3120.6,0,66.3,-2.1
0.035844,519.2,221.0,2116.4,104.3,3016.3,258.2,507.1,2283.1,3120.3,0,66.9,-2.4
0.037844,487.2,233.3,2139.9,193.1,3025.5,298.5,506.9,2282.2,3119.9,0,67.8,-1.8
0.039844,464.0,249.0,2195.9,389.3,3044.6,365.4,506.5,2281.3,3119.5,0,68.9,-0.2
0.041844,441.4,252.1,2263.8,553.4,3081.1,406.0,506.2,2280.2,3119,0,70.4,2.2
0.043844,416.0,252.8,2248.2,434.0,3102.0,338.7,505.8,2278.9,3118.5,225.1,72.1,4.6
0.045844,387.7,258.6,2224.3,274.2,3103.1,271.0,505.4,2277.6,3117.9,224.1,73.9,6.4
0.047844,368.6,253.4,2219.8,200.0,3098.7,231.8,504.9,2276.1,3117.3,223,75.6,7
0.049844,367.9,238.1,2220.2,162.2,3093.9,208.7,504.4,2274.5,3116.6,221.9,77.2,6.5
0.051844,381.6,229.7,2221.7,135.9,3089.4,189.7,503.8,2272.8,3115.8,220.8,78.5,5.5
0.053844,417.3,230.1,2223.6,117.2,3088.1,169.4,503.2,2270.9,3115.1,219.7,79.4,4.4
0.055844,468.4,200.5,2225.9,111.1,3094.1,151.6,502.6,2268.9,3114.2,218.5,80,3.8
0.057844,508.5,151.0,2230.7,120.4,3108.0,136.5,501.9,2266.8,3113.3,217.4,80.4,4.2
0.059844,535.9,115.4,2241.1,143.0,3123.6,124.7,501.2,2264.6,3112.4,216.3,80.5,5.3
0.061844,552.1,93.6,2254.4,163.1,3131.8,121.9,500.4,2262.3,3111.4,215.2,80.4,7
0.063844,555.4,80.4,2261.6,170.0,3127.6,128.2,499.6,2259.8,3110.3,214.1,80.3,8.8
0.065844,547.9,74.3,2262.5,173.9,3111.1,134.6,498.8,2257.2,3109.2,213.1,80.3,10.4
0.067844,535.5,72.1,2261.1,180.8,3087.7,136.1,497.9,2254.5,3108,212,80.2,11.7
0.069844,523.3,72.5,2256.6,185.2,3067.3,134.8,497,2251.7,3106.8,211.1,80.3,12.9
