time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025438,377.0,607.5,1776.1,287.5,2471.5,149.9,265.7,1962.4,2608.5,262.6,61.3,-200
0.027438,329.4,674.0,1790.3,218.1,2512.0,182.1,265.8,1962.5,2608.6,262.2,62.4,-169.1
0.029438,279.9,714.8,1796.4,178.7,2548.8,194.1,266,1962.5,2608.9,261.7,63.5,-123.7
0.031438,275.4,678.1,1792.5,166.7,2562.8,193.6,266.3,1962.5,2609.2,261.1,65.2,-73.4
0.033438,310.2,550.7,1783.5,163.6,2563.9,189.4,266.7,1962.6,2609.6,260.5,66.6,-27.9
0.035438,344.5,357.5,1770.2,165.0,2556.9,182.4,267.2,1962.7,2610,259.8,68.1,3.2
0.037437,351.8,205.4,1754.1,180.1,2546.3,177.3,267.8,1962.8,2610.6,259,69.5,16.6
0.039438,344.6,120.8,1739.6,225.6,2538.5,178.3,268.4,1962.9,2611.3,258.1,70.9,18.8
0.041438,332.8,84.1,1740.5,308.6,2541.8,186.8,269.2,1963,2612,257.1,72.6,14.6
0.043438,319.4,65.0,1767.6,400.4,2555.1,197.6,270,1963.1,2612.9,256,74.6,8.8
0.045438,307.7,47.7,1800.4,449.9,2562.9,217.9,270.9,1963.2,2613.8,254.9,76.9,6.2
0.047438,304.1,37.6,1825.7,530.1,2554.7,287.2,271.9,1963.4,2614.8,253.7,79.2,6.8
0.049438,305.0,40.2,1897.7,630.6,2570.1,400.6,273,1963.5,2615.9,252.4,81.4,7.5
0.051438,306.2,49.4,1943.9,546.6,2653.0,410.6,274.2,1963.7,2617.1,251.1,83.2,8.2
0.053437,307.2,60.4,1925.1,425.6,2722.1,282.4,275.4,1963.9,2618.3,249.8,84.6,8.7
0.055438,307.1,70.7,1904.2,346.2,2748.1,167.1,276.8,1964.1,2619.7,248.4,85.7,9
0.057438,304.5,78.6,1901.6,309.4,2751.8,106.9,278.2,1964.3,2621.1,247,86.5,8.7
0.059438,299.6,85.9,1915.0,301.3,2747.0,78.9,279.7,1964.5,2622.6,245.6,86.9,8
0.061438,296.2,96.1,1935.3,315.3,2738.9,69.5,281.3,1964.8,2624.2,244.1,87.1,7.2
0.063438,298.7,112.9,1954.9,351.4,2728.4,71.8,282.9,1965,2625.9,242.7,87,6.9
0.065438,306.3,132.6,1975.9,425.2,2713.7,87.8,284.7,1965.3,2627.7,241.3,86.8,7.5
0.067438,312.4,146.9,2015.0,560.2,2691.4,124.0,286.5,1965.5,2629.5,240,86.6,9.6
0.069437,314.5,155.3,2112.4,798.0,2653.4,186.7,288.4,1965.8,2631.4,238.6,86.4,12.8
0.071438,315.8,157.9,2292.5,1121.1,2600.1,233.5,290.4,1966.1,2633.4,237.3,86.3,16.4
0.073438,312.9,156.2,2490.3,1449.4,2565.3,224.0,292.5,1966.4,2635.5,236.1,86.2,19.6
0.075438,301.5,151.6,2561.3,226.2,2603.1,1584.2,294.6,1966.7,2637.6,234.9,86.2,21.5
0.077438,290.9,142.7,2472.5,1573.2,2575.1,242.9,296.8,1967,2639.8,233.8,86.1,21.9
0.079437,287.4,138.8,2153.5,1357.3,2598.4,230.7,299.1,1967.4,2642.1,232.7,86.1,21.2
0.081437,289.9,146.0,1991.8,1030.5,2614.9,198.5,301.4,1967.7,2644.5,231.7,86,20.1
0.083437,297.1,162.5,1941.4,844.8,2625.4,168.6,303.9,1968.1,2646.9,230.7,85.9,18.8
0.085437,307.4,179.9,1935.8,779.1,2631.6,147.6,306.4,1968.4,2649.5,229.8,85.8,18
0.087438,313.4,185.3,1944.4,781.5,2635.3,140.3,308.9,1968.8,2652,228.9,85.8,17.7
0.089438,309.7,174.2,1943.9,788.5,2639.9,143.5,311.6,1969.2,2654.7,228.1,86,17.6
0.091438,298.3,151.3,1940.9,792.1,2642.7,157.7,314.3,1969.6,2657.4,227.3,86.2,17.5
0.093438,286.2,126.1,1975.1,843.2,2630.7,195.2,317.1,1970,2660.2,226.5,86.5,17.4
0.095438,280.1,108.0,2090.6,919.7,2592.1,269.0,319.9,1970.4,2663,225.8,86.7,17.1
0.097438,281.1,101.5,2283.0,853.9,2544.3,402.5,322.8,1970.8,2665.9,225.1,86.9,16.6
0.099437,287.1,104.5,2339.1,442.9,2665.7,696.3,325.8,1971.2,2668.9,224.4,86.9,16
0.101437,294.3,113.8,2307.6,357.4,2820.9,611.4,328.8,1971.6,2671.9,223.8,86.8,15.3
0.103438,299.6,127.0,2293.3,376.2,2900.6,516.3,331.9,1972.1,2675,223.1,86.6,14.9
0.105438,302.1,140.0,2288.3,479.9,2950.0,474.0,335,1972.5,2678.2,222.4,86.2,14.8
0.107438,303.2,147.4,2301.9,689.4,2992.7,470.0,338.2,1972.9,2681.4,221.8,85.8,15.3
0.109438,307.2,153.6,2312.5,1065.9,3022.9,432.5,341.5,1973.4,2684.6,221.1,85.4,16.3
0.111438,315.2,164.5,2201.5,1447.7,3043.4,333.1,344.8,1973.8,2687.9,220.5,85,17.5
0.113437,325.2,179.0,2063.4,1584.9,3073.0,255.9,348.1,1974.3,2691.3,219.8,84.6,18.5
0.115437,337.2,198.6,2034.4,1634.2,3096.2,224.5,351.5,1974.8,2694.7,219.2,84.3,19
0.117438,353.3,223.9,2125.0,1679.6,3104.6,231.5,355,1975.2,2698.1,218.5,84,18.9
0.119438,381.0,252.0,2337.3,1647.2,3102.9,275.2,358.5,1975.7,2701.6,217.9,83.8,18.3
0.121438,422.5,256.2,2580.3,1335.2,3110.8,358.8,362.1,1976.2,2705.2,217.2,83.7,17.6
0.123438,459.3,219.8,2652.7,874.6,3163.6,425.2,365.7,1976.7,2708.8,216.6,83.7,17
0.125438,478.8,175.9,2614.6,644.0,3210.1,397.4,369.3,1977.1,2712.4,215.9,83.7,16.7
0.127438,486.2,148.2,2571.0,571.7,3227.6,378.1,373,1977.6,2716.1,215.3,83.8,16.9
0.129438,488.1,135.6,2533.5,570.5,3238.9,374.8,376.7,1978.1,2719.8,214.6,83.9,17.3
0.131437,486.6,134.4,2517.8,616.8,3247.4,369.1,380.5,1978.6,2723.5,214,84,17.8
0.133437,481.6,140.6,2540.3,711.0,3249.9,373.0,384.3,1979.1,2727.3,213.4,84.1,18.3
0.135437,472.8,151.0,2616.7,860.9,3240.1,409.6,388.1,1979.6,2731.1,212.8,84.2,18.9
0.137437,461.3,160.9,2743.0,1075.9,3198.1,474.5,392,1980.1,2734.9,212.2,84.2,19.4
0.139437,447.8,166.2,2828.6,1573.7,3114.8,437.5,395.9,1980.6,2738.8,211.6,84.2,20.1
0.141437,434.1,166.2,2676.1,2118.1,3086.7,342.4,399.8,1981.1,2742.7,211.1,84.1,20.7
0.143437,420.6,161.4,2490.6,2613.2,3077.3,286.5,403.8,1981.5,2746.6,210.5,84,21.2
0.145437,409.7,152.1,2215.8,3557.3,3067.1,249.4,407.8,1982,2750.6,210,84,21.4
0.147437,403.9,142.4,820.8,3387.0,3056.2,221.1,411.8,1982.5,2754.5,209.5,83.9,21.2
0.149438,403.2,134.7,1045.0,2386.9,3048.7,199.0,415.8,1983,2758.5,209,83.7,20.6
0.151438,406.8,131.0,1141.7,2211.7,3047.0,188.5,419.9,1983.5,2762.5,208.6,83.6,19.9
0.153438,413.6,131.6,1309.1,2302.5,3047.3,193.2,423.9,1984,2766.6,208.1,83.4,19.3
0.155438,422.8,137.0,1637.2,2214.5,3043.7,216.9,428,1984.5,2770.6,207.7,83.3,18.8
0.157438,433.0,144.8,1872.7,1907.0,3032.4,259.5,432.1,1984.9,2774.6,207.3,83.2,18.6
0.159438,443.8,152.5,2046.3,1582.1,3011.2,320.7,436.2,1985.4,2778.7,206.9,83.1,18.5
0.161438,454.2,157.8,2178.8,1272.5,2986.4,386.5,440.4,1985.9,2782.8,206.5,83.1,18.5
0.163438,464.7,160.0,2270.2,973.3,2970.7,449.2,444.5,1986.3,2786.8,206.1,83.2,18.5
0.165438,475.1,158.2,2316.9,714.9,2968.2,510.8,448.7,1986.8,2790.9,205.8,83.2,18.5
0.167438,482.3,154.4,2333.2,537.5,2967.6,580.4,452.8,1987.2,2795,205.4,83.3,18.6
0.169438,484.3,152.7,2334.0,432.8,2941.9,686.9,457,1987.7,2799.1,205.1,83.3,18.7
0.171437,480.6,156.8,2320.0,418.6,2838.4,786.3,461.2,1988.1,2803.1,204.8,83.4,18.7
0.173437,471.7,166.7,2265.1,520.3,2682.7,673.4,465.3,1988.6,2807.2,204.5,83.5,18.7
0.175437,458.1,179.5,2118.8,584.6,2638.3,455.5,469.5,1989,2811.3,204.2,83.6,18.5
0.177437,441.3,189.1,2004.1,525.6,2644.9,352.7,473.7,1989.4,2815.3,203.9,83.7,18
0.179437,422.7,192.6,1941.8,465.5,2662.2,298.5,477.8,1989.8,2819.4,203.6,83.9,17.2
0.181438,409.4,190.0,1917.3,444.8,2688.3,274.9,482,1990.2,2823.4,203.4,84.1,16.4
0.183438,407.3,184.5,1903.2,451.7,2723.9,265.1,486.1,1990.6,2827.4,203.1,84.2,15.7
0.185438,415.4,176.6,1875.7,454.9,2757.3,241.7,490.2,1991,2831.5,202.9,84.2,15.5
0.187438,427.4,166.9,1840.1,438.7,2769.5,204.3,494.4,1991.3,2835.4,202.7,84.1,15.6
0.189438,440.0,157.1,1816.6,414.3,2761.7,168.5,498.5,1991.7,2839.4,202.4,84,16.1
0.191438,450.8,149.9,1813.3,394.7,2751.0,144.2,502.6,1992.1,2843.4,202.2,83.8,16.8
