time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025531,416.4,263.2,1874.2,156.3,2640.6,211.0,385.8,1995.6,2947.5,229.8,56.3,-203.3
0.027531,395.9,241.4,1850.7,157.3,2630.4,195.9,385.9,1995.6,2947.4,229.2,58.4,-210
0.029531,359.7,205.9,1826.9,167.5,2618.9,165.0,385.9,1995.6,2947.3,228.6,61,-215
0.031531,331.1,168.3,1819.1,182.2,2619.5,143.0,385.9,1995.6,2947.2,227.9,63.9,-213.4
0.033531,310.0,138.7,1822.7,196.6,2625.9,132.4,385.9,1995.6,2947,227.2,66.7,-200
0.035531,291.0,108.8,1828.9,213.9,2632.8,127.3,386,1995.5,2946.9,226.5,69.3,-168.2
0.037531,275.7,79.4,1840.8,247.0,2638.6,129.5,386,1995.5,2946.6,225.7,71.7,-121.4
0.039531,269.3,63.9,1875.8,292.2,2639.7,142.4,386.1,1995.5,2946.4,225,73.7,-69.5
0.041531,271.5,65.4,1918.4,306.6,2627.3,176.7,386.2,1995.5,2946.1,224.2,75.4,-22.7
0.043531,275.9,70.3,1929.6,312.6,2608.8,229.4,386.2,1995.5,2945.8,223.5,76.7,9
0.045531,276.6,73.1,1924.7,336.1,2612.6,264.7,386.3,1995.5,2945.4,222.7,77.6,21.9
0.047531,273.7,75.9,1921.4,397.9,2633.8,262.9,386.4,1995.5,2945,221.9,78.2,22.8
0.049531,268.8,79.5,1929.1,544.1,2646.7,245.8,386.5,1995.5,2944.6,221.2,78.6,17.1
0.051531,264.8,86.1,1950.1,781.3,2643.9,232.5,386.6,1995.4,2944.1,220.5,78.7,10.3
0.053531,264.8,96.5,1974.3,908.6,2638.5,227.3,386.7,1995.4,2943.7,219.8,78.7,7.8
0.055531,269.2,107.8,1994.2,821.3,2635.9,240.3,386.9,1995.4,2943.1,219.1,78.7,10.1
0.057531,276.5,117.9,2008.7,718.9,2630.5,259.5,387,1995.4,2942.6,218.5,78.7,13.7
0.059531,285.3,126.9,2021.4,670.9,2632.4,266.2,387.1,1995.4,2942,217.9,78.8,17.6
0.061531,293.7,134.0,2034.0,669.1,2650.1,256.6,387.3,1995.3,2941.4,217.3,78.9,21.2
0.063531,299.1,137.6,2050.4,727.4,2669.8,247.6,387.4,1995.3,2940.7,216.8,79.1,23.6
0.065531,300.2,138.6,2081.4,870.6,2672.7,264.5,387.6,1995.3,2940,216.3,79.3,24.7
0.067531,299.4,138.9,2151.5,1119.2,2641.4,320.2,387.8,1995.2,2939.3,215.9,79.5,24.9
0.069531,302.1,140.3,2203.5,1469.9,2568.1,342.2,388,1995.2,2938.6,215.5,79.7,24.5
0.071531,312.8,141.3,2077.5,1422.9,2531.4,291.3,388.2,1995.2,2937.8,215.1,80,24
0.073531,325.8,134.6,2002.9,1068.5,2542.4,255.8,388.4,1995.1,2937,214.8,80.2,23.6
0.075531,332.2,127.1,1969.4,802.2,2573.7,233.9,388.6,1995.1,2936.2,214.6,80.3,23.2
0.077531,335.1,125.1,1940.1,651.0,2603.4,215.4,388.8,1995.1,2935.3,214.3,80.5,22.7
0.079531,337.5,127.8,1926.6,610.6,2622.0,219.9,389,1995,2934.4,214.1,80.5,22.1
0.081531,339.6,133.2,1946.0,677.8,2629.1,270.1,389.2,1995,2933.5,214,80.6,21.7
0.083531,341.4,138.9,2024.3,850.0,2618.9,390.4,389.5,1994.9,2932.6,213.9,80.7,21.6
0.085531,343.1,143.0,2237.3,1095.9,2555.0,602.8,389.7,1994.9,2931.6,213.8,80.7,22
0.087531,344.3,144.5,2429.7,620.4,2553.1,1416.6,390,1994.8,2930.6,213.7,80.8,23
0.089531,344.7,143.1,2314.5,925.7,2585.6,923.3,390.2,1994.8,2929.6,213.7,80.9,24
0.091531,345.0,140.5,2055.9,704.9,2738.8,704.0,390.5,1994.7,2928.5,213.6,81,24.7
0.093531,345.6,138.9,1967.9,489.9,2842.7,658.7,390.8,1994.7,2927.5,213.6,81.1,24.7
0.095531,349.3,137.3,1931.6,382.8,2933.9,620.5,391.1,1994.6,2926.4,213.6,81.2,23.7
0.097531,357.5,136.5,1918.8,362.6,2984.0,527.8,391.4,1994.6,2925.2,213.6,81.2,22
0.099531,367.7,139.0,1928.0,434.0,3008.3,433.4,391.7,1994.5,2924.1,213.6,81.1,20
0.101531,377.6,145.3,1970.1,647.8,3022.5,392.5,392,1994.5,2922.9,213.6,81,18.2
0.103531,386.9,152.3,2074.7,1081.2,3025.2,417.3,392.3,1994.4,2921.7,213.6,80.8,17.2
0.105531,396.4,155.1,2243.5,1597.2,3021.7,465.9,392.6,1994.3,2920.5,213.6,80.6,17
0.107531,402.8,152.6,2309.9,1646.2,3060.4,485.5,393,1994.3,2919.3,213.6,80.5,17.3
0.109531,405.9,147.7,2260.3,1379.6,3130.5,467.8,393.3,1994.2,2918,213.6,80.5,17.9
0.111531,408.3,141.8,2244.5,1164.4,3189.7,435.1,393.6,1994.1,2916.7,213.5,80.5,18.7
0.113531,410.8,135.6,2286.2,1022.7,3243.1,402.5,394,1994.1,2915.4,213.5,80.6,19.3
0.115531,412.6,130.2,2347.6,921.8,3307.6,362.8,394.4,1994,2914.1,213.4,80.7,20
0.117531,413.1,126.1,2393.3,851.3,3372.3,283.9,394.8,1993.9,2912.7,213.4,80.7,20.9
0.119531,413.4,121.8,2406.0,798.3,3402.0,198.3,395.1,1993.8,2911.4,213.3,80.8,21.7
0.121531,414.0,115.3,2393.3,755.1,3410.5,158.4,395.5,1993.8,2910,213.2,80.9,22.5
0.123531,414.2,107.8,2389.1,721.3,3414.5,152.0,395.9,1993.7,2908.6,213,81,22.9
0.125531,413.9,101.9,2424.5,696.2,3420.0,165.0,396.3,1993.6,2907.2,212.9,81.1,23
0.127531,414.1,98.8,2501.6,655.7,3430.1,177.1,396.7,1993.5,2905.8,212.7,81.1,22.8
0.129531,415.0,97.9,2570.7,590.4,3436.5,169.2,397.2,1993.4,2904.3,212.5,81.2,22.5
0.131531,416.1,98.6,2591.5,573.4,3435.2,157.1,397.6,1993.3,2902.9,212.3,81.2,22.2
0.133531,416.8,99.1,2549.0,641.4,3431.8,165.3,398,1993.2,2901.4,212.1,81.2,22
0.135531,417.4,98.2,2434.2,694.8,3421.9,193.8,398.5,1993.1,2899.9,211.9,81.2,22.1
0.137531,417.4,97.5,2318.3,668.3,3406.2,200.4,398.9,1993,2898.4,211.6,81.1,22.3
0.139531,416.3,98.9,2238.7,646.3,3399.4,185.0,399.4,1992.9,2896.9,211.4,81.1,22.6
0.141531,413.8,103.1,2195.2,675.5,3394.2,174.8,399.9,1992.8,2895.4,211.1,81.1,22.7
0.143531,410.5,108.7,2180.9,757.8,3388.2,175.3,400.3,1992.7,2893.8,210.8,81.1,22.5
0.145531,407.3,113.4,2179.7,872.4,3386.5,182.8,400.8,1992.6,2892.3,210.6,81,21.9
0.147531,404.9,116.5,2163.6,1008.1,3388.2,189.8,401.3,1992.5,2890.8,210.3,80.9,21.1
0.149531,402.3,119.0,2094.3,1164.5,3385.3,187.6,401.8,1992.4,2889.2,210,80.8,20.1
0.151531,399.2,121.4,1948.8,1261.0,3374.3,172.4,402.3,1992.3,2887.6,209.7,80.7,19.1
