time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025609,426.6,365.8,2333.1,243.9,3206.6,3317.2,754,1906.3,3172.6,0,61.2,-200
0.027609,428.4,365.2,2363.1,319.1,3014.3,3875.5,753.9,1906.2,3172.8,0,61.4,-200
0.029609,427.3,385.4,2408.9,422.5,2779.0,4066.5,753.7,1906,3173.1,0,61.2,-200
0.031609,425.4,440.6,2488.2,553.9,2743.2,3729.1,753.4,1905.8,3173.4,0,60.8,-200
0.033609,423.0,525.9,2556.4,741.6,2904.4,2242.4,753.1,1905.6,3173.9,0,60,-200
0.035609,413.8,760.1,2503.9,961.2,2994.6,1237.2,752.6,1905.3,3174.5,0,59.1,-200
0.037609,171.5,1551.8,2366.2,1444.5,2948.7,837.8,752.1,1904.9,3175.2,0,58.2,-200
0.039609,1764.3,1500.1,2936.9,592.7,4791.5,267.8,751.5,1904.5,3176,0,57.7,-200
0.041609,1549.1,1052.5,2945.5,501.7,4352.6,4202.0,750.8,1904,3176.9,0,57.5,-200
0.043609,1425.1,880.3,2963.7,500.2,4284.1,4345.6,750.1,1903.5,3177.9,0,57.8,-200
0.045609,1308.4,818.6,2994.9,572.0,4153.0,5819.9,749.3,1902.9,3179,0,58.3,-200
0.047609,1181.0,747.7,1307.5,4319.8,3052.5,725.7,748.3,1902.3,3180.2,0,58.8,-200.9
0.049609,1099.0,633.6,1776.6,2755.7,3147.0,946.2,747.4,1901.6,3181.5,0,59.8,-206.6
0.051609,1063.8,560.7,1839.5,2034.8,3303.4,1222.2,746.3,1900.8,3182.9,0,61.5,-213
0.053609,1045.8,602.8,1789.9,1542.7,3524.3,1502.6,745.2,1900.1,3184.4,0,64.6,-215.3
0.055609,1027.0,938.8,1674.6,1421.9,3985.9,1747.6,743.9,1899.2,3186,0,68.1,-208.4
0.057609,993.8,1261.8,1809.5,1408.0,4069.6,1194.7,742.6,1898.3,3187.7,0,71.5,-186.7
0.059609,913.4,797.3,1963.1,1097.2,4050.1,1046.7,741.3,1897.4,3189.5,0,74.5,-146.1
0.061609,870.3,558.8,1975.9,954.0,4059.5,1065.0,739.8,1896.4,3191.4,0,77,-95.6
0.063609,830.8,480.8,1991.2,903.7,4115.3,1313.8,738.3,1895.3,3193.4,0,79.1,-45.1
0.065609,795.7,418.2,2018.6,792.7,4006.8,1455.2,736.7,1894.3,3195.5,0,80.6,-4.9
0.067609,762.4,362.8,2052.6,671.4,3966.9,1356.5,735.1,1893.1,3197.6,0,81.7,16.2
0.069609,730.9,322.2,2087.0,591.5,4035.0,1298.0,733.3,1892,3199.9,0,82.4,21.7
0.071609,702.1,284.8,2119.6,547.9,4226.7,1243.3,731.5,1890.7,3202.3,210.3,82.7,17.7
0.073609,684.6,249.4,2148.6,536.3,4400.3,744.1,729.6,1889.5,3204.7,210.3,82.8,9.7
0.075609,681.8,227.7,748.7,4106.4,2176.3,544.3,727.7,1888.2,3207.3,210.4,82.7,3.3
0.077609,687.0,225.6,1326.9,2842.0,2200.2,572.9,725.7,1886.8,3209.9,210.5,82.5,2.7
0.079609,693.7,236.4,1507.0,2568.4,2187.5,660.7,723.6,1885.4,3212.6,210.5,82.2,4.4
0.081609,699.6,252.3,1866.5,2944.3,2066.8,803.4,721.4,1884,3215.4,210.6,81.9,6.8
0.083609,702.0,271.4,1885.6,733.0,2590.3,4126.6,719.2,1882.5,3218.3,210.6,81.7,9.3
0.085609,700.7,293.2,1771.6,590.9,3912.1,1206.7,716.9,1881,3221.2,210.6,81.4,11.3
0.087609,700.3,326.0,1705.2,467.1,3721.2,1271.9,714.6,1879.5,3224.3,210.6,81.1,12.4
0.089609,708.0,389.2,1681.1,397.8,3611.7,1256.2,712.1,1877.9,3227.4,210.7,80.8,12.9
0.091609,732.4,518.9,1681.0,375.2,3589.6,1182.6,709.6,1876.3,3230.6,210.7,80.6,12.9
0.093609,785.9,723.5,1688.9,379.1,3634.4,1021.0,707.1,1874.7,3233.8,210.6,80.4,12.8
0.095609,850.8,919.0,1691.8,392.1,3695.9,855.7,704.5,1873.1,3237.2,210.6,80.3,12.7
0.097609,889.6,1049.6,1700.5,405.9,3747.4,724.7,701.8,1871.4,3240.6,210.6,80.3,12.8
0.099609,894.3,1090.7,1723.9,412.8,3783.9,647.8,699.1,1869.7,3244.1,210.6,80.3,13
0.101609,857.4,1054.2,1750.3,407.4,3809.9,620.8,696.3,1867.9,3247.6,210.6,80.3,13.1
0.103609,797.1,934.5,1762.8,395.9,3821.9,643.5,693.4,1866.2,3251.2,210.5,80.3,13.3
0.105609,753.3,777.6,1758.2,385.9,3819.1,703.5,690.5,1864.4,3254.9,210.5,80.3,13.5
0.107609,727.5,636.2,1742.2,376.6,3804.9,784.1,687.6,1862.6,3258.6,210.5,80.3,13.6
0.109609,713.6,540.9,1726.4,370.3,3785.5,856.1,684.5,1860.8,3262.4,210.5,80.3,13.8
0.111609,705.6,482.7,1720.2,375.7,3764.7,903.3,681.5,1858.9,3266.3,210.5,80.2,14
