time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025828,740.4,553.3,1753.2,635.4,2797.3,769.5,526.1,1522.3,2479,0,64.9,2.4
0.027828,763.4,603.9,1774.4,694.5,2827.2,875.1,526.2,1522.4,2479,0,64.3,3.3
0.029828,824.4,704.5,1848.1,831.4,2918.3,1228.0,526.2,1522.4,2479,0,63.4,-30.6
0.031828,918.8,797.6,1997.5,879.1,3386.6,1086.6,526.2,1522.5,2479,0,62.2,-82.8
0.033828,900.1,840.0,1995.3,787.4,3301.8,2057.7,526.2,1522.6,2478.9,0,61,-138.3
0.035828,751.4,672.6,1898.7,576.3,2964.1,1341.5,526.2,1522.7,2478.9,0,60.1,-182.4
0.037828,682.2,477.3,1864.8,432.7,2930.4,1125.1,526.2,1522.9,2478.9,0,59.9,-200
0.039828,654.3,396.0,1847.5,408.9,2850.5,1193.8,526.2,1523.1,2478.8,242.8,61.4,-181.3
0.041828,607.2,364.3,1807.1,502.9,2487.5,1235.4,526.3,1523.3,2478.8,241.8,64.3,-136.1
0.043828,511.1,343.1,1668.2,681.6,2266.5,748.4,526.3,1523.5,2478.7,240.7,67.7,-79.5
0.045828,427.2,261.6,1494.7,775.0,2253.0,557.4,526.3,1523.7,2478.7,239.6,71,-26.3
0.047828,420.4,227.1,1234.7,964.1,2291.5,572.3,526.3,1524,2478.6,238.5,74,8.4
0.049828,431.5,206.8,1043.0,771.5,2412.6,649.7,526.4,1524.3,2478.5,237.3,76.5,21.3
0.051828,436.0,160.3,1008.4,540.5,2512.8,685.5,526.4,1524.6,2478.5,236.1,78.6,22.3
0.053828,442.1,120.5,1010.1,423.2,2534.8,675.5,526.4,1524.9,2478.4,234.9,80.2,16.5
0.055828,446.3,88.9,1013.4,347.5,2498.7,656.5,526.5,1525.3,2478.3,233.6,81.5,9.2
0.057828,448.2,65.7,1016.2,288.9,2447.9,635.5,526.5,1525.7,2478.2,232.4,82.3,5.5
0.059828,447.9,51.0,1019.5,237.8,2404.0,603.7,526.6,1526.1,2478.1,231.1,82.9,5.4
0.061828,445.4,44.3,1023.4,192.3,2374.9,554.1,526.6,1526.5,2478.1,229.8,83.1,5.5
0.063828,440.8,44.4,1028.4,156.0,2357.6,495.3,526.7,1527,2478,228.6,83.2,5.7
0.065828,435.3,50.0,1034.0,130.4,2341.8,451.0,526.7,1527.4,2477.9,227.3,83,6.3
0.067828,431.8,59.2,1038.3,113.2,2323.9,432.0,526.8,1527.9,2477.8,226,82.8,7.2
0.069828,432.9,69.4,1040.4,101.2,2308.9,431.0,526.8,1528.5,2477.7,224.8,82.6,8.8
0.071828,438.6,78.5,1041.9,92.4,2302.9,436.2,526.9,1529,2477.6,223.6,82.4,11
0.073828,446.6,86.0,1044.6,87.2,2303.1,451.3,526.9,1529.6,2477.5,222.4,82.3,13.4
0.075828,455.2,92.4,1048.2,86.2,2302.9,491.6,527,1530.2,2477.4,221.3,82.3,15.6
0.077828,464.1,98.4,1051.9,89.3,2308.5,554.6,527,1530.9,2477.3,220.2,82.3,17
0.079828,473.6,103.3,1054.8,94.6,2342.1,586.2,527.1,1531.5,2477.2,219.1,82.4,17.6
0.081828,482.5,104.8,1055.0,99.4,2395.2,519.8,527.2,1532.2,2477.1,218,82.6,17.7
0.083828,488.9,102.8,1051.0,103.8,2423.9,409.6,527.2,1532.9,2477,217,82.7,17.4
0.085828,493.0,99.7,1043.6,109.4,2424.0,334.0,527.3,1533.7,2476.9,216,82.9,17.1
0.087828,496.8,97.1,1035.3,117.9,2408.6,302.4,527.4,1534.4,2476.9,215,83.1,17
0.089828,501.5,95.4,1027.9,130.8,2383.2,304.7,527.4,1535.2,2476.8,214,83.3,17.1
0.091828,506.4,95.4,1021.3,150.9,2355.0,326.1,527.5,1536,2476.7,213.1,83.4,17.3
0.093828,510.4,98.6,1014.5,181.7,2345.9,340.2,527.5,1536.9,2476.6,212.2,83.6,17.5
0.095828,513.6,104.6,1007.8,224.2,2372.1,322.9,527.6,1537.8,2476.6,211.3,83.7,17.6
0.097828,515.3,108.6,1000.4,270.9,2406.6,286.3,527.7,1538.7,2476.5,210.5,83.8,17.6
0.099828,515.2,106.8,992.2,308.9,2421.4,260.1,527.7,1539.6,2476.5,209.6,83.9,17.5
0.101828,515.0,101.3,990.8,341.4,2414.9,256.0,527.8,1540.6,2476.4,208.8,84,17.2
0.103828,517.0,96.6,1006.4,382.9,2395.8,280.0,527.9,1541.6,2476.4,208,84.1,17
0.105828,521.4,94.7,1036.8,436.1,2370.6,335.9,528,1542.6,2476.4,207.1,84.1,16.7
