time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.024984,513.0,892.4,1912.2,283.0,2942.5,1041.9,567.8,1506.7,2456.7,0,61.8,4.4
0.026984,382.4,1319.7,1867.0,307.2,2883.1,1138.0,567.7,1506.8,2456.8,0,62.3,-13.6
0.028984,212.5,1614.8,1814.9,300.2,2851.7,1187.6,567.7,1506.9,2456.9,0,62.8,-57.7
0.030984,435.0,1370.5,1782.4,265.7,2851.9,1072.4,567.6,1507.2,2457.1,0,63.2,-113.3
0.032984,584.2,1018.0,1762.6,223.4,2855.7,837.6,567.6,1507.4,2457.3,0,63.5,-165.7
0.034984,671.3,823.3,1751.5,196.8,2875.2,614.7,567.5,1507.7,2457.6,0,63.7,-200
0.036984,764.6,759.9,1740.7,198.3,2895.6,472.1,567.4,1508.1,2457.9,0,63.8,-213.1
0.038984,880.3,744.1,1723.1,228.9,2908.9,402.8,567.3,1508.6,2458.2,0,63.7,-214.7
0.040984,986.2,726.3,1702.8,283.0,2915.5,376.8,567.1,1509.1,2458.7,0,63.5,-209.8
0.042984,1067.6,717.6,1687.8,370.0,2916.1,388.7,567,1509.6,2459.1,0,63.2,-203.3
0.044984,1116.0,716.4,1694.8,505.7,2914.3,460.6,566.8,1510.2,2459.6,0,62.6,-200
0.046984,1115.5,684.8,1756.5,675.8,2926.3,623.7,566.7,1510.9,2460.2,0,61.8,-200
0.048984,1061.9,625.1,1873.5,746.3,3000.4,869.4,566.5,1511.6,2460.8,0,61.4,-200
0.050984,997.3,572.6,1941.4,684.9,3135.0,964.0,566.3,1512.4,2461.4,0,59.8,-200
0.052984,934.7,530.6,1934.3,634.6,3157.0,902.8,566.1,1513.3,2462.1,0,59.4,-200
0.054984,877.1,484.9,1889.7,642.1,3090.9,864.1,565.8,1514.2,2462.9,0,58.2,-200
0.056984,834.8,439.2,1840.4,728.5,3015.6,884.6,565.6,1515.1,2463.7,0,58.9,-203.3
0.058984,817.6,444.3,1790.5,1017.1,2931.5,1068.7,565.3,1516.1,2464.5,0,60.8,-209.9
0.060984,859.1,613.0,1486.5,2513.5,2647.2,1309.5,565.1,1517.2,2465.4,0,64.5,-214.8
0.062984,956.8,665.2,2622.1,1083.5,3738.8,638.3,564.8,1518.3,2466.4,239.5,68.4,-213.2
0.064984,436.8,647.9,1161.0,1007.2,2775.5,898.4,564.5,1519.5,2467.3,238.1,72,-200
0.066984,425.1,289.7,1190.7,631.1,2716.6,810.2,564.1,1520.8,2468.4,236.8,75,-168.6
0.068984,433.6,197.3,1152.1,450.0,2566.9,841.2,563.8,1522.1,2469.4,235.3,77.6,-122.4
0.070984,444.3,150.0,1129.2,342.3,2427.4,787.4,563.5,1523.4,2470.5,233.8,79.6,-71.2
0.072984,453.7,114.3,1118.4,262.1,2352.3,674.0,563.1,1524.8,2471.7,232.3,81.2,-25
0.074984,460.6,92.7,1117.6,215.0,2336.6,604.1,562.7,1526.3,2472.9,230.8,82.4,6.1
0.076984,463.5,80.2,1120.0,185.3,2342.8,565.6,562.3,1527.8,2474.2,229.2,83.2,18.6
0.078984,461.6,74.3,1121.5,163.1,2350.9,529.7,561.9,1529.3,2475.4,227.7,83.7,19.1
0.080984,456.0,75.3,1120.0,145.2,2350.2,463.2,561.5,1530.9,2476.8,226.1,83.8,13.1
0.082984,448.3,83.3,1114.2,127.5,2339.6,346.3,561.1,1532.6,2478.2,224.5,83.8,5.9
0.084984,442.8,95.7,1106.7,112.6,2332.6,239.2,560.6,1534.3,2479.6,223,83.7,2.9
0.086984,442.2,106.3,1099.1,104.6,2334.5,178.0,560.2,1536.1,2481,221.4,83.6,4.7
0.088984,444.7,110.5,1091.2,105.4,2341.1,152.7,559.7,1537.9,2482.5,219.9,83.5,7.6
0.090984,447.8,109.0,1083.4,114.1,2348.3,153.3,559.2,1539.8,2484.1,218.4,83.4,10.9
0.092984,452.1,104.4,1078.8,131.1,2352.7,181.4,558.7,1541.7,2485.7,216.9,83.5,14
0.094984,458.3,98.8,1083.1,152.6,2344.0,241.3,558.2,1543.7,2487.3,215.5,83.6,16.2
0.096984,464.9,93.8,1095.3,173.3,2310.3,311.8,557.7,1545.7,2489,214.1,83.8,17.3
0.098984,469.3,89.7,1108.8,189.1,2262.3,349.7,557.2,1547.8,2490.7,212.8,83.9,17.9
0.100984,470.8,87.7,1121.4,202.0,2227.0,364.1,556.6,1549.9,2492.4,211.5,84.1,18.1
0.102984,470.7,89.2,1135.3,220.4,2208.3,393.2,556.1,1552.1,2494.2,210.3,84.2,18.1
0.104984,471.2,93.2,1148.4,246.2,2203.9,446.7,555.5,1554.3,2496,209.1,84.3,18
0.106984,474.6,97.9,1158.7,283.4,2205.4,523.2,554.9,1556.6,2497.9,207.9,84.3,17.9
0.108984,482.3,104.0,1169.5,347.4,2201.6,624.8,554.3,1558.9,2499.8,206.8,84.4,17.6
0.110984,494.1,112.4,1189.7,459.8,2191.1,734.5,553.7,1561.2,2501.7,205.8,84.4,17.2
0.112984,509.5,120.3,1231.2,650.5,2186.2,798.2,553.1,1563.6,2503.6,204.8,84.4,16.7
0.114984,523.2,121.7,1285.1,887.0,2175.6,708.9,552.4,1566.1,2505.6,203.8,84.3,16.3
0.116984,531.5,118.8,1310.4,1086.2,2142.1,537.6,551.8,1568.5,2507.7,202.9,84.1,16
0.118984,535.7,117.2,1316.9,1217.0,2112.3,421.5,551.1,1571.1,2509.7,202.1,83.9,15.7
0.120984,537.0,118.2,1345.6,1322.7,2081.5,382.3,550.5,1573.6,2511.8,201.3,83.7,15.4
0.122984,535.4,120.9,1401.9,1412.8,2033.7,383.2,549.8,1576.2,2514,200.5,83.3,15
0.124984,530.7,123.6,1466.6,1395.9,1975.4,383.0,549.1,1578.9,2516.1,199.8,82.8,14.4
0.126984,524.5,126.9,1532.9,1260.5,1923.4,381.2,548.4,1581.6,2518.3,199.1,82.1,13.6
0.128984,521.3,138.1,1644.9,1235.9,1858.0,399.0,547.7,1584.3,2520.5,198.5,81.3,12.6
0.130984,522.3,161.4,1777.2,355.6,1820.6,1534.2,547,1587.1,2522.8,197.9,80.4,11.4
0.132984,525.1,195.0,1727.6,287.2,2101.3,2189.2,546.3,1589.9,2525.1,197.3,79.3,10.3
0.134984,523.3,235.5,1692.4,256.3,2812.9,2883.0,545.5,1592.7,2527.4,196.8,78,9.4
0.136984,511.8,297.6,1664.7,253.5,3204.6,1242.6,544.8,1595.6,2529.7,196.4,76.9,8.4
0.138984,487.4,411.5,1652.3,270.7,3069.8,950.7,544,1598.5,2532.1,195.9,75.9,7.4
0.140984,450.4,576.5,1663.6,291.9,3039.0,868.9,543.3,1601.5,2534.5,195.6,75.2,6.5
0.142984,420.0,694.3,1699.5,289.0,3067.2,842.0,542.5,1604.4,2536.9,195.2,75.1,5.9
0.144984,430.0,582.2,1731.9,261.4,3086.4,852.4,541.7,1607.5,2539.3,194.9,75.3,5.7
0.146984,440.2,425.5,1738.3,250.5,3019.4,992.4,540.9,1610.5,2541.8,194.7,75.9,6
0.148984,439.4,326.9,1715.9,256.4,2768.0,1051.4,540.1,1613.6,2544.3,194.4,76.8,6.8
0.150984,432.8,261.5,1681.6,248.0,2568.3,811.6,539.3,1616.7,2546.8,194.2,77.7,7.8
0.152984,423.5,202.9,1649.9,215.8,2448.1,564.3,538.5,1619.8,2549.3,194,78.7,9
0.154984,414.1,150.5,1625.7,169.9,2375.1,374.1,537.7,1623,2551.9,193.9,79.5,9.9
0.156984,405.9,110.6,1610.7,125.8,2342.6,253.3,536.8,1626.2,2554.4,193.8,80.1,10.8
