time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025484,711.7,644.5,1932.6,575.1,2590.1,692.0,533.7,1519.4,2340.1,0,66.7,-2.6
0.027484,702.1,621.3,1948.3,604.6,2524.5,669.8,533.7,1519.6,2340.3,0,66.6,-40.7
0.029484,686.5,569.5,1957.1,685.9,2459.1,596.8,533.6,1519.8,2340.5,0,66.5,-98.4
0.031484,648.3,527.4,1940.7,907.2,2402.9,473.8,533.5,1520.1,2340.8,0,68.1,-156.1
0.033484,545.5,462.4,1742.8,1253.1,2392.7,322.1,533.4,1520.6,2341.2,235.2,70.7,-194.3
0.035484,473.5,277.6,1379.8,800.7,2424.6,221.7,533.2,1521.1,2341.6,234.2,73.7,-195.3
0.037484,453.6,141.8,1250.2,365.8,2422.2,210.6,533.1,1521.7,2342.2,233.2,76.5,-162.7
0.039484,457.9,96.2,1222.7,260.9,2391.8,253.7,532.9,1522.5,2342.8,232.1,78.8,-111.5
0.041484,464.7,76.3,1221.5,234.9,2354.4,285.4,532.7,1523.3,2343.6,231,80.7,-56.1
0.043484,469.9,63.6,1226.8,233.5,2317.9,307.7,532.4,1524.2,2344.4,229.9,82.1,-11.3
0.045484,473.0,55.4,1230.7,247.3,2278.6,330.3,532.1,1525.2,2345.3,228.7,83.1,10.8
0.047484,474.6,52.2,1225.8,272.9,2233.5,354.3,531.8,1526.3,2346.2,227.5,83.8,17.4
0.049484,475.3,55.2,1206.9,299.4,2187.7,372.4,531.5,1527.5,2347.3,226.3,84.1,15
0.051484,475.4,65.7,1181.2,308.1,2152.8,381.9,531.1,1528.8,2348.4,225.1,84.1,8.9
0.053484,476.4,83.8,1163.6,298.7,2133.4,393.2,530.8,1530.2,2349.6,223.9,83.9,3.9
0.055484,481.8,104.8,1158.2,288.2,2127.1,406.1,530.4,1531.7,2351,222.7,83.7,4
0.057484,494.0,117.4,1160.8,284.7,2137.9,401.0,529.9,1533.2,2352.3,221.6,83.5,5.9
0.059484,509.5,115.4,1167.3,286.2,2162.9,366.7,529.5,1534.9,2353.8,220.4,83.4,8.1
0.061484,522.1,106.2,1175.5,292.5,2188.4,321.3,529,1536.6,2355.4,219.3,83.4,10.4
0.063484,529.5,98.1,1184.3,307.1,2205.6,287.5,528.5,1538.5,2357,218.3,83.6,12.5
0.065484,533.0,93.9,1194.5,333.4,2211.7,275.8,528,1540.4,2358.7,217.3,83.8,14
0.067484,534.8,92.5,1207.6,375.4,2207.4,286.6,527.4,1542.4,2360.5,216.4,84,15.3
0.069484,536.5,92.8,1226.3,437.9,2198.6,307.0,526.8,1544.5,2362.4,215.5,84.2,16.4
0.071484,538.4,94.3,1259.9,520.3,2195.9,314.1,526.2,1546.7,2364.3,214.7,84.4,17.3
0.073484,540.1,96.3,1323.9,593.5,2201.4,293.4,525.6,1549,2366.4,213.9,84.5,17.9
0.075484,540.6,97.4,1405.4,591.5,2203.5,257.8,525,1551.4,2368.5,213.3,84.6,18.2
0.077484,538.7,97.0,1460.5,537.5,2194.7,234.5,524.3,1553.8,2370.7,212.7,84.6,18.3
0.079484,533.9,95.3,1488.7,502.3,2172.6,237.2,523.6,1556.4,2372.9,212.1,84.4,18.1
0.081484,526.4,91.5,1496.1,507.7,2128.9,268.2,522.9,1559,2375.3,211.7,84.2,17.6
0.083484,517.8,83.1,1463.1,534.5,2049.3,293.8,522.2,1561.7,2377.7,211.3,83.8,16.7
0.085484,512.1,70.2,1400.0,480.9,1967.1,241.0,521.4,1564.5,2380.2,211,83.2,15.2
0.087484,512.1,58.3,1375.4,389.4,1926.8,186.2,520.6,1567.3,2382.7,210.7,82.4,12.8
0.089484,516.4,51.8,1386.9,336.5,1912.6,176.3,519.8,1570.3,2385.4,210.5,81.5,10
0.091484,520.5,51.5,1417.5,309.8,1915.5,208.2,519,1573.3,2388.1,210.4,80.3,7.1
0.093484,519.0,58.4,1451.8,284.8,1936.3,280.7,518.2,1576.4,2390.8,210.3,79,4.8
0.095484,504.2,77.6,1474.5,260.0,1981.9,394.8,517.3,1579.6,2393.7,210.2,77.7,3.4
0.097484,465.5,115.4,1478.4,251.2,2065.1,548.2,516.4,1582.8,2396.6,210.2,76.4,2.7
0.099484,414.0,159.3,1463.6,268.8,2212.0,705.5,515.5,1586.1,2399.6,210.2,75.3,2.4
0.101484,385.8,195.3,1440.1,324.2,2401.4,697.3,514.6,1589.5,2402.6,210.2,74.6,2.5
0.103484,384.2,235.0,1454.6,462.7,2387.1,631.7,513.7,1593,2405.8,210.2,74.1,2.6
0.105484,399.9,279.3,1621.8,737.2,2189.6,669.2,512.7,1596.5,2409,210.2,73.7,2.7
0.107484,421.7,288.7,1791.8,545.4,2139.9,626.8,511.7,1600.1,2412.2,210.3,73.3,3.1
0.109484,455.3,343.3,1795.2,337.3,2206.0,492.9,510.7,1603.8,2415.5,210.3,73.1,3.7
0.111484,497.9,466.8,1805.6,271.9,2248.5,452.1,509.7,1607.5,2418.9,210.3,73,4.3
