time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025594,634.8,1110.3,1661.9,398.9,2729.0,518.4,497,1331.3,2344.7,250.8,64.7,-157.7
0.027594,665.4,827.6,1709.1,306.5,2732.5,547.1,497,1331.4,2344.8,249.6,64.8,-200
0.029594,665.8,781.7,1735.8,269.7,2744.9,633.5,497,1331.7,2344.9,248.3,66.3,-182.3
0.031594,599.5,871.3,1758.5,274.0,2769.1,739.5,497,1332,2345,247,68.3,-137.9
0.033594,469.3,690.7,1775.9,275.2,2761.5,759.5,497,1332.4,2345.2,245.6,71,-81.8
0.035594,429.0,318.4,1785.7,297.3,2745.9,729.1,497,1332.9,2345.4,244.2,73.7,-28.9
0.037594,433.2,217.3,1800.4,431.4,2775.5,769.7,497.1,1333.4,2345.7,242.7,76.2,5.8
0.039594,460.3,218.2,1750.3,750.7,2674.0,825.7,497.1,1334.1,2346,241.1,78.3,19.1
0.041594,451.3,188.5,1198.2,824.4,2445.0,576.7,497.1,1334.9,2346.3,239.5,80.1,20.9
0.043594,441.0,129.9,1081.7,391.0,2386.7,390.3,497.1,1335.7,2346.7,237.9,81.4,16.1
0.045594,444.2,94.1,1075.7,248.7,2369.5,300.4,497.1,1336.6,2347.1,236.3,82.4,9.7
0.047594,446.8,77.4,1086.5,190.1,2372.2,243.6,497.2,1337.7,2347.5,234.7,83.1,6.5
0.049594,444.3,69.7,1098.5,156.1,2380.9,200.6,497.2,1338.8,2348,233.1,83.5,6.4
0.051594,436.3,68.8,1108.4,133.9,2390.7,170.4,497.2,1340,2348.5,231.4,83.7,6.2
0.053594,427.1,73.9,1113.5,122.2,2398.3,157.6,497.2,1341.3,2349.1,229.8,83.7,6
0.055594,421.4,83.0,1112.4,116.9,2401.9,161.6,497.3,1342.6,2349.7,228.2,83.6,6.1
0.057594,421.9,92.5,1106.8,115.5,2400.0,178.0,497.3,1344.1,2350.4,226.7,83.5,6.8
0.059594,427.0,103.6,1100.8,117.9,2396.0,196.9,497.3,1345.6,2351.1,225.2,83.3,8.4
0.061594,436.1,116.4,1096.5,125.5,2392.9,207.4,497.4,1347.3,2351.8,223.7,83.3,10.7
0.063594,448.1,126.2,1094.5,135.9,2391.7,204.7,497.4,1349,2352.6,222.3,83.3,13.3
0.065594,462.6,131.2,1095.0,147.2,2391.6,199.7,497.4,1350.8,2353.4,220.9,83.4,15.6
0.067594,476.5,132.8,1097.2,157.7,2391.8,209.3,497.5,1352.7,2354.2,219.6,83.6,17.1
0.069594,490.0,134.4,1101.0,172.4,2390.8,242.2,497.5,1354.7,2355.1,218.3,83.8,17.7
0.071594,504.0,136.7,1106.0,196.9,2382.7,290.9,497.6,1356.8,2356,217.1,84.1,17.6
0.073594,515.6,136.1,1108.7,227.4,2364.7,315.6,497.6,1358.9,2357,216,84.4,17.3
0.075594,524.4,131.6,1107.8,258.8,2347.9,303.5,497.6,1361.2,2358,214.9,84.6,17
0.077594,529.6,125.5,1106.6,281.0,2342.6,287.8,497.7,1363.5,2359,213.9,84.9,17.1
0.079594,533.1,119.5,1109.6,293.4,2343.8,288.6,497.7,1365.9,2360.1,212.9,85.1,17.8
0.081594,535.8,114.7,1119.2,301.8,2344.3,305.9,497.8,1368.4,2361.3,212,85.3,18.9
0.083594,536.4,111.0,1129.6,314.1,2335.1,332.0,497.8,1371,2362.4,211.1,85.4,20.1
0.085594,534.4,107.3,1136.3,336.0,2312.1,371.2,497.8,1373.7,2363.6,210.3,85.5,21.1
0.087594,531.3,103.4,1138.4,361.2,2281.4,432.9,497.9,1376.4,2364.9,209.5,85.6,21.6
0.089594,528.8,99.5,1138.8,385.1,2242.9,529.5,497.9,1379.3,2366.2,208.8,85.6,21.7
0.091594,527.2,95.4,1135.9,407.5,2177.8,647.9,498,1382.2,2367.5,208.1,85.7,21.4
0.093594,526.2,91.0,1122.2,426.7,2079.6,674.0,498,1385.2,2368.9,207.5,85.7,20.9
0.095594,526.5,86.8,1098.0,448.5,2008.8,565.1,498.1,1388.3,2370.3,206.9,85.6,20.3
0.097594,529.3,85.3,1079.1,494.2,1995.6,455.5,498.1,1391.5,2371.7,206.3,85.4,19.6
0.099594,534.9,86.0,1075.1,588.6,2002.4,388.1,498.1,1394.8,2373.2,205.8,85.2,18.8
0.101594,542.5,86.9,1103.3,751.5,2011.5,369.6,498.2,1398.1,2374.8,205.4,84.9,17.9
0.103594,549.4,86.4,1195.6,957.3,2022.3,410.1,498.2,1401.5,2376.3,204.9,84.4,16.9
0.105594,554.7,85.9,1423.7,1041.1,2055.6,535.5,498.2,1405,2377.9,204.5,83.8,15.7
0.107594,557.6,88.8,1576.9,727.4,2152.6,705.3,498.3,1408.6,2379.6,204.2,83,14.4
0.109594,559.8,99.0,1600.0,496.1,2296.8,812.5,498.3,1412.3,2381.3,203.8,82.1,12.9
0.111594,561.2,124.4,1620.5,383.8,2412.1,840.8,498.3,1416,2383,203.5,81.1,11
0.113594,560.3,176.7,1674.2,340.1,2450.2,920.8,498.4,1419.9,2384.8,203.3,80.1,9.1
0.115594,553.6,276.8,1760.9,287.4,2482.7,1132.3,498.4,1423.8,2386.6,203.1,79.3,7.5
