time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025953,591.1,70.0,2214.3,186.9,2918.9,327.2,409.6,2123.5,3002.7,0,63.2,-209.4
0.027953,589.1,96.8,2232.9,198.1,2906.4,334.0,409.6,2123.5,3002.6,0,64.6,-221.9
0.029953,574.0,151.4,2235.1,215.5,2888.6,363.4,409.6,2123.5,3002.4,0,66.9,-225.9
0.031953,538.3,203.9,2237.2,242.7,2879.5,412.8,409.6,2123.5,3002.1,0,69.7,-221.6
0.033953,498.0,223.3,2249.7,256.1,2901.5,448.2,409.7,2123.5,3001.8,0,72.5,-209.2
0.035953,472.0,212.6,2260.6,246.3,2946.4,422.8,409.7,2123.4,3001.4,0,75.1,-187
0.037953,462.8,182.5,2260.0,247.3,2985.2,376.8,409.8,2123.4,3000.9,0,77.3,-147.5
0.039953,463.5,151.7,2256.6,264.6,3009.9,340.2,409.9,2123.4,3000.3,0,79.1,-98.2
0.041953,471.2,130.6,2258.1,281.6,3022.4,309.9,410,2123.4,2999.7,0,80.4,-48.9
0.043953,484.7,118.0,2266.6,291.4,3027.8,284.7,410.1,2123.3,2999,0,81.4,-9.3
0.045953,502.5,109.6,2282.0,287.6,3031.8,268.7,410.2,2123.3,2998.2,0,82,12.3
0.047953,521.8,103.2,2301.0,260.9,3040.5,266.6,410.3,2123.3,2997.3,212.8,82.3,19.3
0.049953,538.8,101.9,2316.1,221.7,3057.1,280.4,410.4,2123.2,2996.4,212.8,82.4,17.5
0.051953,549.3,110.9,2323.6,196.3,3076.5,307.4,410.6,2123.2,2995.3,212.8,82.3,11.8
0.053953,548.4,131.6,2323.3,197.3,3084.3,334.3,410.7,2123.1,2994.3,212.8,82.2,7.1
0.055953,535.3,156.1,2311.4,218.6,3071.8,340.2,410.9,2123.1,2993.1,212.8,82.1,7.4
0.057953,520.3,166.7,2288.5,236.3,3053.0,317.9,411.1,2123,2991.9,212.8,82.1,9.2
0.059953,514.0,160.8,2268.6,235.0,3046.1,284.9,411.2,2123,2990.6,212.8,82.2,11.3
0.061953,511.3,152.1,2261.8,226.2,3052.1,255.5,411.4,2122.9,2989.2,212.8,82.3,13.4
0.063953,503.8,150.5,2266.8,226.8,3061.7,236.1,411.6,2122.9,2987.7,212.7,82.4,15.1
0.065953,488.0,156.8,2280.6,246.2,3067.6,235.6,411.8,2122.8,2986.2,212.7,82.5,16.3
0.067953,467.7,161.7,2300.5,277.3,3069.5,254.5,412.1,2122.7,2984.6,212.7,82.7,17.2
0.069953,451.7,160.3,2317.2,296.3,3068.2,277.9,412.3,2122.7,2983,212.6,82.8,17.7
0.071953,442.5,157.3,2317.7,288.2,3060.4,288.8,412.5,2122.6,2981.3,212.5,82.8,18.1
