time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025422,472.4,275.0,2291.3,319.1,3152.1,549.2,473.1,2169.4,3112,218,76.4,-1.1
0.027422,484.0,149.3,2270.1,412.6,3075.6,562.0,473.2,2169.2,3111.9,217.7,78.4,-2.2
0.029422,496.4,102.5,2212.1,451.3,2994.1,493.8,473.2,2168.9,3111.7,217.5,80.1,-2.9
0.031422,509.6,80.5,2171.8,395.9,2956.7,425.8,473.2,2168.4,3111.5,217.2,81.2,-3
0.033422,523.1,72.7,2165.2,316.6,2956.6,392.0,473.2,2167.8,3111.3,216.9,82,-2.8
0.035422,537.2,75.7,2172.9,252.7,2978.5,383.6,473.3,2167.1,3111,216.6,82.4,-2
0.037422,551.5,89.9,2184.6,213.9,3017.0,404.2,473.3,2166.3,3110.6,216.3,82.6,-0.6
0.039422,563.9,116.3,2199.1,198.8,3080.9,469.4,473.4,2165.3,3110.2,215.9,82.5,1.6
0.041422,570.3,147.2,2215.3,199.0,3182.3,577.4,473.5,2164.2,3109.8,215.6,82.4,4.1
0.043422,569.4,165.2,2230.1,207.3,3311.8,677.2,473.6,2162.9,3109.2,215.3,82.2,6.5
0.045422,565.1,165.4,2245.0,225.2,3423.8,729.4,473.6,2161.6,3108.7,214.9,82.1,8.4
0.047422,560.4,160.6,2269.5,260.8,3491.3,782.0,473.7,2160.1,3108,214.6,82.1,9.9
0.049422,556.5,162.4,2319.9,322.8,3528.5,894.8,473.8,2158.5,3107.3,214.2,82.1,11.1
0.051422,553.3,173.9,2409.3,399.1,3574.7,1076.7,474,2156.7,3106.6,213.9,82.1,12.1
0.053422,549.1,187.4,2500.5,446.3,3620.6,1235.5,474.1,2154.9,3105.8,213.5,82.1,13
0.055422,540.8,187.6,2508.7,506.8,3474.9,1271.4,474.2,2152.9,3105,213.1,82.2,13.8
0.057422,528.3,166.7,2395.0,573.4,3244.0,953.9,474.3,2150.8,3104.1,212.7,82.3,14.3
0.059422,515.1,138.3,2261.4,513.2,3159.2,644.9,474.5,2148.6,3103.1,212.3,82.4,14.7
0.061422,503.0,117.8,2189.6,449.2,3129.4,492.1,474.6,2146.2,3102.2,211.9,82.5,15
0.063422,492.1,107.6,2156.3,448.0,3122.3,438.0,474.8,2143.8,3101.1,211.5,82.6,15.2
0.065422,483.1,103.7,2139.4,514.9,3123.9,452.6,474.9,2141.2,3100,211,82.7,15.5
0.067422,476.3,102.9,2126.6,634.1,3119.2,502.3,475.1,2138.5,3098.9,210.6,82.8,15.8
0.069422,470.6,102.4,2110.4,725.0,3102.3,521.7,475.2,2135.7,3097.7,210.1,82.9,16.2
0.071422,464.4,99.8,2092.8,707.2,3088.4,486.7,475.4,2132.8,3096.4,209.6,82.9,16.5
0.073422,457.0,96.2,2080.2,642.0,3082.3,438.0,475.6,2129.8,3095.1,209.1,82.9,16.8
0.075422,448.9,92.8,2072.3,612.9,3076.6,400.8,475.8,2126.7,3093.8,208.6,82.9,16.9
0.077422,441.2,90.1,2068.0,659.5,3063.0,379.3,475.9,2123.4,3092.4,208.1,82.9,17
0.079422,435.4,88.6,2061.2,794.0,3037.6,367.8,476.1,2120.1,3091,207.5,82.9,16.9
0.081422,431.7,87.8,2036.4,957.0,3007.8,351.0,476.3,2116.7,3089.5,207,82.8,16.8
0.083422,428.9,85.9,1992.6,1006.3,2987.8,327.5,476.5,2113.1,3088,206.5,82.6,16.5
0.085422,426.3,82.4,1954.7,915.1,2978.0,304.3,476.7,2109.5,3086.4,205.9,82.3,16.2
0.087422,423.6,79.7,1937.8,794.0,2975.0,282.1,476.9,2105.8,3084.8,205.3,82,15.5
0.089422,418.9,80.7,1942.2,713.3,2982.9,261.8,477.1,2102,3083.2,204.8,81.7,14.7
0.091422,410.0,86.6,1965.1,685.0,3002.6,245.3,477.2,2098.1,3081.5,204.2,81.4,13.8
0.093422,396.6,95.9,1998.9,676.6,3026.2,233.6,477.4,2094.1,3079.8,203.6,81,13
0.095422,380.8,104.0,2022.6,619.4,3046.0,227.6,477.6,2090.1,3078,203.1,80.8,12.6
0.097422,365.3,106.7,2019.3,492.9,3061.8,231.9,477.8,2085.9,3076.2,202.5,80.7,12.4
0.099422,351.7,102.4,2007.3,359.0,3079.3,254.0,478,2081.7,3074.4,202,80.6,12.6
0.101422,341.4,92.7,2005.3,260.4,3102.9,280.3,478.2,2077.4,3072.5,201.4,80.7,12.9
0.103422,336.2,80.6,2011.9,196.9,3121.7,284.1,478.4,2073.1,3070.6,200.9,80.7,13.2
0.105422,336.8,68.9,2018.7,157.3,3123.1,272.2,478.6,2068.6,3068.6,200.4,80.8,13.4
0.107422,341.8,60.9,2019.6,133.8,3109.7,263.7,478.7,2064.1,3066.6,199.9,80.9,13.5
0.109422,348.1,57.9,2014.4,123.2,3085.7,258.2,478.9,2059.6,3064.6,199.4,81,13.5
0.111422,353.2,59.0,2005.8,121.1,3054.9,246.3,479.1,2054.9,3062.6,198.9,81,13.6
0.113422,357.1,61.8,1997.2,122.3,3025.8,232.6,479.2,2050.2,3060.5,198.5,80.9,13.6
0.115422,361.4,65.2,1990.0,123.7,3004.2,234.2,479.4,2045.5,3058.4,198.1,80.8,13.6
0.117422,366.4,68.8,1983.1,122.4,2988.5,264.3,479.5,2040.7,3056.2,197.7,80.7,13.4
0.119422,371.0,72.2,1973.2,111.5,2969.4,321.5,479.7,2035.9,3054.1,197.3,80.5,13.2
0.121422,374.1,74.6,1960.7,89.6,2934.6,355.1,479.8,2031,3051.9,197,80.3,13
0.123422,376.9,74.8,1949.7,67.3,2895.5,304.7,479.9,2026.1,3049.7,196.7,80.1,12.8
0.125422,381.6,72.8,1941.5,52.5,2871.6,228.8,480.1,2021.1,3047.4,196.4,79.9,12.7
0.127422,388.2,68.3,1933.9,45.5,2856.1,175.7,480.2,2016.1,3045.2,196.2,79.8,12.9
0.129422,394.4,62.9,1926.1,43.1,2843.3,141.0,480.3,2011,3042.9,196,79.7,13.1
0.131422,398.5,60.4,1920.3,42.8,2836.5,114.5,480.4,2006,3040.6,195.9,79.6,13.4
0.133422,400.7,63.5,1918.2,43.0,2838.8,94.3,480.5,2000.9,3038.2,195.8,79.6,13.8
0.135422,402.6,72.3,1917.4,43.8,2845.5,81.2,480.5,1995.8,3035.9,195.7,79.5,14.1
0.137422,406.1,85.4,1915.1,45.9,2851.1,73.8,480.6,1990.6,3033.5,195.7,79.4,14.5
0.139422,412.7,100.7,1911.2,51.0,2852.8,71.2,480.6,1985.5,3031.1,195.7,79.4,15
0.141422,423.4,114.0,1907.6,60.3,2850.5,72.5,480.7,1980.3,3028.8,195.7,79.3,15.4
0.143422,437.8,121.9,1906.3,74.4,2846.4,74.5,480.7,1975.1,3026.3,195.8,79.3,15.7
0.145422,454.6,124.4,1907.7,91.9,2843.5,73.7,480.7,1969.9,3023.9,195.9,79.4,15.7
0.147422,472.5,124.2,1908.7,110.2,2842.2,70.5,480.7,1964.8,3021.5,196.1,79.4,15.3
