time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025016,277.5,62.2,2012.7,365.5,2731.1,219.3,326.7,1883,2669.4,225.9,81.2,21.7
0.027016,279.1,65.1,2029.9,357.5,2734.8,253.8,326.8,1883,2669.4,225.3,82.6,27.1
0.029016,278.8,68.6,2028.2,356.4,2728.1,264.3,326.9,1883.1,2669.6,224.7,83.7,22.7
0.031016,277.4,73.3,2012.4,358.8,2712.5,254.6,327.2,1883.1,2669.8,224.1,84.4,14.3
0.033016,277.1,80.5,1992.2,354.1,2692.1,228.6,327.5,1883.2,2670,223.5,84.8,7.7
0.035016,280.3,90.4,1985.8,330.7,2676.7,198.4,327.8,1883.4,2670.3,222.9,85,7.4
0.037016,288.0,101.9,1995.9,286.8,2672.3,175.6,328.2,1883.5,2670.7,222.3,85,9.7
0.039016,296.5,111.3,2006.0,246.6,2675.9,167.2,328.7,1883.7,2671.1,221.7,85,12.9
0.041016,304.1,118.2,2009.6,224.2,2677.8,171.3,329.2,1883.8,2671.5,221.1,84.9,16.2
0.043016,312.3,122.6,2009.2,221.8,2671.3,185.7,329.8,1884,2672,220.5,84.8,19
0.045016,320.6,125.3,2006.9,239.1,2659.1,204.8,330.5,1884.2,2672.6,219.9,84.8,20.7
0.047016,328.9,128.1,2004.5,281.6,2651.3,228.8,331.2,1884.5,2673.2,219.4,84.7,21.5
0.049016,336.2,131.7,2002.2,353.0,2654.3,257.6,332,1884.7,2673.8,218.9,84.7,21.9
0.051016,342.7,136.2,1992.4,459.4,2659.5,288.1,332.9,1885,2674.6,218.4,84.6,22
0.053016,346.4,142.7,1965.7,582.8,2655.7,315.7,333.8,1885.3,2675.3,217.9,84.6,22.1
0.055016,345.4,149.1,1941.6,663.0,2634.5,347.0,334.8,1885.6,2676.2,217.4,84.7,22.2
0.057016,340.1,152.4,1942.9,726.9,2587.1,378.5,335.8,1886,2677,217,84.8,22.1
0.059016,336.2,150.4,1961.7,775.0,2540.2,373.9,336.9,1886.3,2677.9,216.6,84.9,21.9
0.061016,339.6,145.9,1989.5,749.1,2525.0,356.4,338.1,1886.7,2678.9,216.3,85,21.8
0.063016,349.5,140.7,2028.4,661.5,2544.2,369.8,339.3,1887.1,2679.9,215.9,85.2,21.9
0.065016,359.3,138.7,2064.9,594.3,2585.6,417.2,340.5,1887.5,2681,215.6,85.3,22.5
0.067016,366.6,141.3,2090.0,579.7,2633.1,478.1,341.9,1888,2682.1,215.3,85.4,23.7
0.069016,370.2,144.7,2088.0,608.4,2655.3,520.9,343.3,1888.4,2683.3,215,85.4,25.3
0.071016,370.7,146.4,2066.2,614.7,2658.7,558.9,344.7,1888.9,2684.5,214.8,85.5,26.6
0.073016,368.0,147.6,2060.4,554.0,2670.3,649.2,346.2,1889.4,2685.8,214.5,85.6,27.2
0.075016,362.8,149.3,2078.6,463.7,2706.2,788.0,347.8,1889.9,2687.1,214.3,85.7,26.6
0.077016,356.7,148.9,2098.8,375.5,2755.2,879.5,349.4,1890.4,2688.4,214.1,85.8,24.7
0.079016,352.6,144.9,2106.1,304.1,2781.9,863.8,351,1891,2689.8,213.8,85.9,22
0.081016,349.6,139.5,2108.1,244.8,2809.4,837.9,352.8,1891.5,2691.3,213.6,86,19.2
0.083016,349.1,133.8,2114.4,206.3,2860.4,900.9,354.5,1892.1,2692.8,213.4,86,16.8
0.085016,355.9,131.2,2124.9,190.2,2934.2,1048.3,356.3,1892.7,2694.3,213.2,85.9,15.4
0.087016,373.3,132.7,2139.7,193.8,3021.0,1183.5,358.2,1893.3,2695.9,212.9,85.7,14.5
0.089016,397.0,131.5,2158.9,228.5,3071.8,1144.4,360.1,1893.9,2697.5,212.7,85.4,13.9
0.091016,418.1,124.4,2183.6,308.8,3080.1,946.7,362.1,1894.6,2699.2,212.4,85.2,13.7
0.093016,430.2,117.2,2202.6,426.5,3096.0,701.1,364.1,1895.2,2700.9,212.2,84.9,13.7
0.095016,432.5,114.7,2199.9,532.4,3135.4,507.3,366.2,1895.9,2702.6,211.9,84.7,14.2
0.097016,430.0,113.9,2168.4,636.6,3168.1,359.1,368.3,1896.6,2704.4,211.6,84.6,15.3
0.099016,427.5,111.6,2107.5,731.0,3182.4,260.6,370.5,1897.3,2706.2,211.3,84.6,16.8
0.101016,426.8,107.9,2028.9,801.8,3188.1,198.5,372.7,1898,2708.1,210.9,84.6,18.3
0.103016,427.3,104.0,1962.7,859.3,3186.3,173.3,374.9,1898.8,2710,210.6,84.7,19.6
0.105016,427.2,102.0,1942.0,947.0,3172.5,187.5,377.2,1899.5,2711.9,210.2,84.9,20.3
0.107016,426.3,101.1,1951.4,1064.6,3146.1,218.7,379.6,1900.3,2713.9,209.9,85,20.6
0.109016,425.1,100.0,1957.3,1128.2,3128.3,225.2,382,1901.1,2715.9,209.5,85.1,20.7
0.111016,423.3,98.3,1947.9,1120.1,3132.7,204.9,384.4,1901.8,2718,209.1,85.2,20.7
0.113016,420.8,96.4,1924.5,1077.4,3151.6,179.5,386.8,1902.6,2720,208.7,85.3,20.6
0.115016,418.5,95.6,1891.1,1031.2,3170.8,165.9,389.3,1903.5,2722.2,208.2,85.3,20.6
0.117016,417.1,96.9,1849.7,994.1,3185.7,163.5,391.9,1904.3,2724.3,207.8,85.3,20.4
0.119016,416.3,101.4,1810.4,1009.2,3192.2,164.3,394.4,1905.1,2726.5,207.4,85.3,20.3
0.121016,415.5,109.4,1771.4,1098.7,3194.1,157.5,397,1906,2728.7,206.9,85.3,20
0.123016,415.3,120.6,1730.3,1245.5,3199.7,144.3,399.7,1906.8,2730.9,206.5,85.3,19.8
0.125016,417.1,132.9,1705.9,1382.5,3209.8,133.8,402.3,1907.7,2733.2,206,85.2,19.6
0.127016,423.4,145.4,1731.9,1455.4,3220.2,128.2,405,1908.6,2735.5,205.5,85.2,19.3
0.129016,434.9,152.1,1817.4,1414.6,3225.2,131.4,407.7,1909.4,2737.8,205.1,85.2,19
0.131016,449.0,149.8,1928.8,1282.4,3222.3,151.1,410.5,1910.3,2740.1,204.6,85.1,18.8
0.133016,460.9,143.4,2031.9,1131.6,3207.6,204.8,413.3,1911.2,2742.5,204.1,85.1,18.7
0.135016,466.6,143.3,2095.4,1045.9,3181.5,300.3,416.1,1912.1,2744.9,203.7,85,18.8
0.137016,466.0,151.4,2107.6,1016.3,3152.6,411.5,418.9,1913.1,2747.3,203.2,85,19.2
0.139016,460.2,160.7,2056.8,978.2,3149.4,443.8,421.8,1914,2749.7,202.8,85,19.7
