time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025469,739.0,1239.6,1686.3,836.9,2105.1,848.0,548.6,2003.7,2771,168.8,63.6,-168.8
0.027469,664.6,1127.5,1860.7,495.3,2005.0,1879.7,548.6,2003.6,2770.9,168.4,66.3,-122.9
0.029469,609.4,599.0,1802.2,268.9,2724.2,1242.1,548.6,2003.5,2770.7,168,69.1,-72
0.031469,606.6,420.4,1783.9,182.4,2635.5,795.4,548.5,2003.4,2770.5,167.7,71.6,-26.1
0.033469,632.1,386.8,1795.5,145.1,2627.8,606.7,548.4,2003.3,2770.2,167.2,73.8,4.9
0.035469,679.7,378.1,1826.0,118.9,2661.5,502.7,548.3,2003.1,2769.8,166.8,75.6,17.8
0.037469,728.8,342.0,1860.1,95.0,2709.2,430.9,548.2,2002.9,2769.4,166.4,77.1,18.9
0.039469,760.2,299.2,1884.6,78.0,2747.3,382.8,548.1,2002.6,2768.9,166,78.3,13.5
0.041469,777.1,274.3,1897.6,70.8,2768.9,362.9,547.9,2002.3,2768.3,165.6,79.3,6.7
0.043469,786.7,273.8,1904.1,73.9,2780.4,369.3,547.8,2002,2767.7,165.1,79.9,3.8
0.045469,793.5,299.8,1908.6,89.6,2788.4,396.5,547.6,2001.7,2767,164.7,80.4,5
0.047469,798.6,348.3,1915.8,121.4,2793.9,433.2,547.4,2001.3,2766.2,164.3,80.7,6.9
0.049469,802.9,401.0,1932.4,161.6,2793.2,470.5,547.2,2000.9,2765.4,163.9,80.9,9.1
0.051469,808.2,436.0,1959.0,182.6,2782.7,507.1,547,2000.5,2764.5,163.5,81,11
0.053469,812.3,458.2,1979.3,182.3,2756.4,545.8,546.7,2000,2763.6,163.1,81.1,12.3
0.055469,812.7,490.9,1985.8,192.8,2712.8,601.0,546.4,1999.6,2762.6,162.8,81.2,12.8
0.057469,810.9,538.4,1983.9,229.5,2666.5,662.1,546.1,1999.1,2761.5,162.4,81.3,12.8
0.059469,810.6,574.4,1984.1,275.2,2642.5,699.0,545.8,1998.6,2760.4,162.1,81.4,12.6
0.061469,815.0,565.0,2003.4,277.6,2658.5,720.7,545.5,1998,2759.3,161.8,81.5,12.3
0.063469,819.8,507.0,2034.0,213.9,2709.1,700.9,545.2,1997.5,2758,161.5,81.6,12.1
0.065469,817.6,434.9,2052.9,144.0,2752.0,610.4,544.8,1996.9,2756.8,161.2,81.7,12.1
0.067469,815.9,375.6,2060.1,101.9,2770.2,515.2,544.4,1996.4,2755.4,160.9,81.8,12
0.069469,819.0,339.1,2063.1,81.8,2785.3,462.6,544,1995.8,2754.1,160.7,81.9,11.9
0.071469,823.5,325.0,2065.8,73.5,2807.5,442.6,543.6,1995.2,2752.6,160.5,81.9,11.9
