time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025219,778.1,155.4,1904.7,137.1,2437.4,287.2,514.6,1707.6,2213.8,0,44.2,-200
0.027219,781.7,142.9,1931.0,131.2,2426.4,331.8,514.5,1707.8,2214.1,0,45.2,-200
0.029219,787.5,140.8,1961.7,124.8,2423.8,345.1,514.4,1708.1,2214.6,0,46.5,-200
0.031219,794.7,148.4,1990.3,121.6,2416.1,316.4,514.3,1708.5,2215.3,0,47.8,-200
0.033219,801.3,168.4,2014.7,125.0,2403.5,298.7,514.1,1709,2216.1,0,49.2,-200
0.035219,803.2,196.6,2036.2,136.6,2388.8,320.5,513.8,1709.7,2217.1,0,50.7,-200
0.037219,798.6,215.0,2049.0,161.5,2364.1,371.1,513.6,1710.4,2218.4,0,52,-200
0.039219,792.0,224.4,2048.6,217.6,2312.9,387.0,513.2,1711.3,2219.8,0,53.1,-200
0.041219,777.8,227.4,2007.1,344.5,2250.3,265.2,512.9,1712.2,2221.4,0,54,-200
0.043219,754.8,215.2,1912.5,378.1,2240.7,135.4,512.5,1713.3,2223.1,0,54.8,-200
0.045219,728.6,195.0,1843.8,341.4,2240.7,69.2,512,1714.5,2225.1,0,55.4,-200
0.047219,707.1,179.7,1790.1,322.4,2242.0,39.2,511.5,1715.8,2227.3,0,55.9,-200
0.049219,692.4,173.6,1740.2,322.6,2243.3,25.4,511,1717.3,2229.6,0,56.4,-200
0.051219,684.2,181.9,1704.9,343.3,2244.0,19.9,510.4,1718.8,2232.1,0,56.8,-200
0.053219,687.1,218.9,1708.9,416.9,2244.6,21.5,509.8,1720.4,2234.8,0,57.2,-200
0.055219,717.8,313.7,1819.3,610.2,2248.6,37.4,509.1,1722.2,2237.6,0,57.7,-200
0.057219,793.3,409.6,2082.8,554.2,2264.3,90.2,508.4,1724,2240.6,0,58.5,-200
0.059219,832.1,410.0,2131.9,306.9,2318.0,142.8,507.7,1726,2243.8,0,59.2,-203.3
0.061219,805.2,434.9,2112.9,278.8,2346.5,108.8,506.9,1728,2247.2,0,60.5,-209.9
0.063219,758.2,521.0,2100.4,316.2,2346.8,80.9,506.1,1730.2,2250.7,190.9,61.9,-214.8
0.065219,709.0,654.6,2091.2,384.6,2340.6,63.5,505.3,1732.4,2254.4,190.2,63.5,-213.1
0.067219,660.9,733.6,2078.8,475.0,2336.8,54.9,504.4,1734.8,2258.3,189.4,65.4,-200
0.069219,593.0,688.3,2063.1,590.1,2337.6,53.8,503.4,1737.2,2262.3,188.6,67.3,-168.8
0.071219,545.9,527.2,2061.8,717.0,2344.1,62.7,502.5,1739.8,2266.4,187.7,69.2,-123
0.073219,538.1,361.3,2082.3,822.6,2357.5,83.8,501.5,1742.4,2270.8,186.8,71.1,-72.1
0.075219,533.4,250.2,2104.0,909.3,2379.3,112.1,500.4,1745.2,2275.2,185.9,72.7,-26.2
0.077219,521.6,199.6,2115.8,962.8,2390.2,123.8,499.4,1748,2279.8,185,74.2,5.2
0.079219,500.8,177.7,2100.0,1020.1,2375.1,113.4,498.2,1750.9,2284.6,184,75.5,18.7
0.081219,470.4,165.5,2031.5,1160.4,2348.6,90.1,497.1,1753.9,2289.5,183,76.6,20.7
0.083219,436.1,151.8,1906.2,1379.2,2326.7,68.8,495.9,1757,2294.5,182.1,77.5,16.3
0.085219,402.3,128.4,1704.2,1652.0,2312.2,56.7,494.7,1760.2,2299.7,181.1,78.2,10.5
0.087219,379.4,101.5,1457.7,1845.1,2308.5,60.0,493.5,1763.4,2305,180.1,78.8,8.1
0.089219,366.7,80.2,1292.2,1780.0,2317.2,80.4,492.2,1766.7,2310.4,179.2,79.2,9.5
0.091219,359.7,66.9,1337.7,1651.3,2332.4,109.8,490.9,1770.2,2315.9,178.3,79.6,11.2
0.093219,356.4,61.5,1531.6,1694.0,2344.9,144.2,489.6,1773.6,2321.5,177.3,79.9,13
0.095219,356.1,63.3,1893.6,1573.8,2363.4,199.7,488.2,1777.2,2327.3,176.4,80.2,14.6
0.097219,359.0,71.2,2105.5,1070.8,2401.4,253.5,486.8,1780.8,2333.2,175.6,80.4,15.7
0.099219,363.3,82.1,2109.2,783.0,2438.5,239.9,485.4,1784.5,2339.2,174.7,80.6,16.2
0.101219,366.2,92.1,2082.1,710.0,2444.8,205.8,484,1788.2,2345.2,173.9,80.8,16.1
0.103219,366.3,97.9,2057.6,689.6,2436.4,185.8,482.5,1792,2351.4,173.2,81,15.9
0.105219,364.4,99.9,2056.0,657.0,2422.3,180.1,481,1795.9,2357.7,172.4,81.1,15.6
0.107219,362.8,100.6,2086.8,593.7,2412.9,188.1,479.5,1799.8,2364,171.8,81.3,15.4
0.109219,363.5,104.3,2110.0,508.7,2411.3,192.2,478,1803.8,2370.4,171.1,81.4,15.5
0.111219,366.6,112.3,2117.6,443.8,2409.5,183.8,476.4,1807.8,2376.9,170.5,81.5,15.7
0.113219,370.0,122.4,2121.1,417.7,2400.4,175.4,474.8,1811.9,2383.5,170,81.5,16
0.115219,374.1,133.2,2114.5,418.7,2380.8,164.9,473.2,1816,2390.1,169.5,81.5,16.1
0.117219,379.0,142.6,2092.7,416.7,2359.9,148.9,471.6,1820.2,2396.8,169,81.5,16.2
0.119219,381.9,150.0,2076.8,381.7,2349.1,147.1,470,1824.4,2403.6,168.6,81.5,16.1
0.121219,378.7,154.2,2081.3,318.7,2352.5,179.4,468.3,1828.7,2410.4,168.3,81.4,16
0.123219,370.0,152.1,2090.5,251.9,2371.4,240.1,466.6,1832.9,2417.3,168,81.4,15.8
0.125219,358.2,140.5,2091.4,205.7,2399.8,313.5,465,1837.3,2424.2,167.7,81.3,15.5
0.127219,345.5,120.7,2085.9,198.9,2417.7,400.9,463.3,1841.6,2431.1,167.5,81.2,15.2
0.129219,333.9,98.3,755.8,4749.8,2075.2,233.8,461.5,1846,2438.1,167.3,81.1,14.8
0.131219,324.8,80.6,1569.1,3272.6,2050.4,326.8,459.8,1850.3,2445.1,167.2,80.9,14.4
0.133219,318.6,70.9,1661.7,3369.4,1973.7,459.0,458.1,1854.7,2452.1,167.1,80.8,13.9
0.135219,314.3,66.1,1571.0,3636.4,1860.1,542.5,456.3,1859.2,2459.2,167,80.7,13.5
0.137219,312.2,61.6,1517.4,4817.7,1684.7,639.7,454.6,1863.6,2466.2,167,80.7,13.2
0.139219,313.3,57.2,1496.9,452.9,2324.6,459.0,452.8,1868,2473.3,167,80.8,12.8
