time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025448,244.9,279.0,1528.7,465.9,2713.3,604.1,468.6,1479.3,2648.2,0,55.8,-168.5
0.027448,247.0,162.8,1462.0,459.1,2722.6,573.7,468.6,1479.3,2648.1,0,59.2,-122.1
0.029448,251.2,102.0,1375.7,463.7,2703.0,610.4,468.5,1479.4,2648,168.7,62.2,-70.8
0.031448,258.4,73.8,1305.7,486.6,2680.5,823.3,468.5,1479.4,2647.9,168.5,64.9,-24.3
0.033448,267.2,65.0,1299.8,573.0,2648.8,1712.1,468.4,1479.4,2647.7,168.4,67.2,7.3
0.035448,277.8,67.6,1404.3,628.1,1861.3,4105.8,468.3,1479.5,2647.5,168.2,69.2,20.8
0.037448,289.8,72.7,1475.6,510.7,3201.4,492.9,468.2,1479.5,2647.3,168,70.8,22.7
0.039448,300.0,72.5,1484.0,457.9,3216.2,481.3,468.1,1479.6,2647,167.8,72.2,18.1
0.041448,303.4,63.1,1456.9,486.8,3202.8,518.3,467.9,1479.7,2646.7,167.6,73.3,11.8
0.043448,303.3,47.9,1351.0,499.0,1810.3,4144.2,467.8,1479.8,2646.3,167.4,74.2,8.8
0.045448,306.6,37.9,1266.5,313.7,2661.2,1989.3,467.6,1479.9,2645.9,167.2,74.9,9
0.047448,314.2,37.7,1250.6,184.0,2658.6,1105.3,467.4,1480,2645.5,167,75.5,9.1
0.049448,324.8,46.6,1254.1,123.5,2624.5,891.5,467.2,1480.1,2645,166.8,76,9.3
0.051448,338.4,65.3,1265.1,94.8,2597.2,804.0,467,1480.2,2644.5,166.6,76.4,9.4
0.053448,355.5,95.5,1277.0,81.2,2566.6,734.7,466.7,1480.4,2644,166.4,76.7,9.5
0.055448,375.4,136.0,1286.7,76.4,2547.2,673.5,466.5,1480.5,2643.4,166.1,77,9.6
0.057448,395.6,182.5,1294.2,78.3,2548.0,619.9,466.2,1480.7,2642.8,165.9,77.2,9.6
0.059448,413.8,238.2,1300.6,88.8,2571.6,564.0,465.9,1480.8,2642.2,165.7,77.3,9.6
0.061448,432.1,324.0,1309.5,115.2,2609.9,482.1,465.6,1481,2641.5,165.4,77.4,9.7
0.063448,460.7,480.4,1330.9,166.3,2637.0,377.3,465.3,1481.2,2640.8,165.2,77.4,10
0.065448,563.4,752.4,1382.3,228.5,2644.4,288.1,465,1481.4,2640.1,165,77.4,10.6
0.067448,742.1,716.7,1456.7,243.3,2641.8,231.2,464.7,1481.6,2639.3,164.8,77.4,11.4
0.069448,798.2,636.1,1520.6,214.1,2640.8,209.1,464.3,1481.8,2638.5,164.5,77.5,12.2
0.071448,826.2,598.7,1571.3,170.6,2646.4,207.0,464,1482,2637.7,164.3,77.6,13
