time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025500,500.2,680.0,1713.9,468.6,2950.4,271.0,792.6,1548.1,2629.2,0,53,-200
0.027500,524.9,670.0,1743.0,472.3,2952.1,292.9,792.4,1548.7,2629.6,0,53.2,-200
0.029500,510.1,618.7,1641.2,4515.9,1753.1,503.9,792,1549.7,2630.2,0,52.2,-200
0.031500,489.7,642.7,1760.7,595.2,1839.2,2460.9,791.4,1551.1,2631.2,0,52.2,-200
0.033500,461.6,918.2,1532.8,1909.7,1821.0,705.4,790.8,1552.8,2632.4,0,53.6,-200
0.035500,1095.4,1040.7,1894.7,606.8,2956.9,393.5,789.9,1555,2633.8,0,54.8,-203.3
0.037500,1108.9,667.0,1912.1,497.1,2949.2,341.5,788.9,1557.5,2635.6,0,57.3,-209.9
0.039500,1115.2,641.7,1913.4,485.1,2966.2,337.5,787.8,1560.5,2637.6,0,60.3,-214.9
0.041500,1257.1,975.8,1937.0,693.9,3021.8,399.0,786.5,1563.8,2639.8,172.3,63.5,-213.3
0.043500,225.5,360.2,1424.7,596.2,2181.5,827.0,785,1567.5,2642.4,172.1,66.3,-200
0.045500,255.7,150.0,1367.0,443.4,2310.8,683.6,783.4,1571.6,2645.1,171.8,69,-168.5
0.047500,262.9,86.2,1300.4,342.4,2390.1,654.4,781.7,1576,2648.2,171.5,71.4,-122.1
0.049500,270.1,67.3,1281.0,215.4,2500.0,762.7,779.8,1580.8,2651.5,171.2,73.5,-70.7
0.051500,281.0,75.9,1295.8,122.1,2659.5,902.5,777.7,1586,2655,170.8,75.3,-24.3
0.053500,298.8,124.0,1310.5,83.9,2707.7,1028.8,775.6,1591.6,2658.8,170.4,76.8,7.1
0.055500,327.4,233.5,1321.0,72.7,2688.6,1220.7,773.3,1597.5,2662.8,170,78,20.1
0.057500,370.6,419.0,1330.0,71.5,2687.9,1356.8,770.8,1603.8,2667.1,169.6,79,21.5
0.059500,452.5,646.8,1337.8,72.3,2719.5,1292.3,768.2,1610.4,2671.5,169.1,79.8,16.1
0.061500,588.2,729.2,1345.7,74.2,2748.1,1031.0,765.5,1617.3,2676.3,168.6,80.5,9.2
0.063500,675.4,703.0,1355.4,81.5,2751.5,732.2,762.6,1624.6,2681.2,168.1,80.9,5.7
0.065500,760.6,663.5,1372.4,99.8,2743.2,512.9,759.7,1632.3,2686.4,167.6,81.2,5.5
0.067500,854.3,576.1,1403.1,129.1,2735.7,388.9,756.6,1640.2,2691.8,167.1,81.3,5.3
0.069500,927.6,470.5,1444.9,159.0,2734.3,354.0,753.3,1648.5,2697.4,166.6,81.4,5.1
0.071500,985.9,382.2,1494.6,189.0,2744.1,401.5,750,1657.1,2703.2,166.2,81.4,5.3
0.073500,1026.6,315.4,1546.0,210.0,2762.4,504.3,746.5,1666,2709.2,165.7,81.4,5.9
0.075500,1048.6,274.0,1592.0,215.9,2781.6,576.6,742.9,1675.1,2715.4,165.2,81.5,7.2
0.077500,1058.6,252.1,1630.2,213.7,2795.8,537.6,739.2,1684.6,2721.8,164.8,81.6,9
0.079500,1062.2,239.0,1661.1,209.3,2803.3,439.5,735.4,1694.4,2728.4,164.4,81.7,11.1
0.081500,1063.0,229.6,1687.4,207.9,2805.2,345.5,731.5,1704.4,2735.1,164,81.9,12.9
0.083500,1063.1,222.9,1709.4,215.2,2802.9,279.5,727.5,1714.7,2742,163.6,82,14.1
0.085500,1062.5,214.2,1730.3,225.2,2799.3,235.9,723.4,1725.3,2749.1,163.3,82.2,14.5
0.087500,1059.4,202.9,1748.4,220.6,2795.9,206.0,719.2,1736.1,2756.4,163,82.3,14.4
0.089500,1054.3,193.2,1760.5,195.2,2792.5,186.5,714.9,1747.1,2763.8,162.7,82.4,14
0.091500,1048.5,187.6,1769.6,160.2,2787.9,176.8,710.5,1758.4,2771.3,162.5,82.5,13.6
0.093500,1042.4,191.0,1778.7,135.0,2784.0,177.1,706.1,1769.9,2779,162.3,82.7,13.3
0.095500,1035.0,205.7,1790.0,124.0,2785.6,179.2,701.5,1781.6,2786.9,162.1,82.8,13.3
0.097500,1025.9,225.9,1803.9,122.0,2796.0,175.1,696.9,1793.5,2794.8,161.9,82.9,13.3
0.099500,1017.0,240.5,1819.5,122.9,2813.0,162.7,692.2,1805.6,2802.9,161.8,83,13.3
0.101500,1008.3,246.2,1837.5,124.0,2834.2,142.1,687.4,1817.9,2811.1,161.7,83.1,13.3
0.103500,998.5,245.1,1857.2,126.5,2853.7,119.8,682.6,1830.4,2819.3,161.5,83.2,13.2
0.105500,986.1,245.6,1878.5,132.3,2868.0,104.5,677.7,1843,2827.7,161.4,83.3,12.9
0.107500,971.7,259.4,1900.4,141.5,2877.8,99.7,672.8,1855.8,2836.2,161.4,83.4,12.4
0.109500,955.8,290.7,1919.2,152.4,2884.8,103.0,667.8,1868.7,2844.7,161.3,83.5,11.9
0.111500,934.5,335.6,1933.9,165.1,2891.1,109.8,662.8,1881.8,2853.3,161.2,83.5,11.4
0.113500,907.8,379.5,1943.1,179.3,2896.2,115.4,657.7,1895,2862,161.1,83.5,11.2
0.115500,881.0,409.3,1946.8,195.1,2898.1,121.4,652.6,1908.3,2870.8,161,83.5,11.2
0.117500,852.2,436.1,1948.3,224.1,2900.2,133.3,647.4,1921.7,2879.6,160.9,83.5,11.5
0.119500,817.3,463.6,1953.7,273.8,2908.4,155.1,642.2,1935.1,2888.4,160.8,83.5,11.8
0.121500,777.8,481.5,1971.6,346.1,2926.1,191.4,637,1948.7,2897.3,160.7,83.5,12
0.123500,742.7,480.9,2005.1,425.7,2952.7,235.4,631.8,1962.3,2906.1,160.6,83.5,12.1
0.125500,715.0,465.2,2044.9,482.7,2982.6,274.8,626.5,1976,2915.1,160.5,83.6,12
0.127500,686.4,444.9,2077.5,509.7,3013.1,306.3,621.2,1989.8,2924,160.4,83.6,11.9
0.129500,653.5,422.1,2097.8,527.5,3051.9,324.4,616,2003.5,2932.9,160.2,83.6,11.6
0.131500,620.6,394.7,2109.5,532.7,3096.4,296.8,610.7,2017.3,2941.8,160.1,83.5,11.2
0.133500,592.4,372.9,2111.6,507.4,3044.8,1048.7,605.4,2031.1,2950.7,160,83.4,10.6
0.135500,565.6,363.9,2100.8,455.9,3019.4,963.8,600.1,2045,2959.6,159.8,83.2,9.6
0.137500,540.5,371.1,2082.9,392.2,3011.1,796.1,594.9,2058.8,2968.4,159.7,82.9,8.3
0.139500,522.7,392.8,2070.2,335.0,3008.0,648.6,589.6,2072.5,2977.2,159.6,82.4,6.8
0.141500,511.0,421.7,2064.1,292.4,3009.6,569.8,584.4,2086.3,2985.9,159.5,81.8,5.5
0.143500,493.1,443.6,2059.2,272.1,3017.1,583.0,579.2,2100,2994.6,159.4,81.1,4.7
0.145500,440.2,428.7,2048.7,280.6,3016.1,725.4,574,2113.7,3003.3,159.4,80.3,4.3
0.147500,367.1,308.1,2037.9,340.1,2965.6,1157.8,568.8,2127.2,3011.8,159.4,79.6,4.1
0.149500,334.7,192.4,2080.2,444.1,2345.7,3224.1,563.7,2140.8,3020.3,159.4,79,4.2
0.151500,329.0,151.2,1663.7,2418.1,2093.3,517.8,558.6,2154.2,3028.7,159.4,78.6,4.5
0.153500,328.9,141.4,1972.4,707.3,2931.7,1889.0,553.6,2167.5,3037,159.5,78.1,5
0.155500,326.3,145.4,1812.2,704.7,2797.5,886.4,548.6,2180.7,3045.2,159.7,77.7,6.1
0.157500,326.4,184.7,1729.7,637.8,2812.1,703.6,543.7,2193.9,3053.3,159.9,77.2,7.7
0.159500,329.8,274.9,1698.0,674.9,2823.3,654.8,538.8,2206.8,3061.3,160.1,76.5,9.3
0.161500,331.5,471.4,1705.7,940.1,2810.2,681.6,534,2219.7,3069.2,160.4,75.8,10.6
0.163500,408.4,1430.3,2166.7,1749.0,2738.7,828.1,529.2,2232.4,3076.9,160.7,75.3,11.2
0.165500,779.6,781.9,2475.4,623.9,3026.5,1460.0,524.5,2244.9,3084.5,161.1,74.8,10.8
0.167500,760.1,615.1,2457.8,411.7,3219.0,863.0,519.9,2257.3,3091.9,161.6,74.7,9.5
0.169500,698.3,549.1,2443.8,356.9,3137.2,632.1,515.3,2269.5,3099.2,162.1,74.9,8
0.171500,606.2,505.0,2419.7,358.0,3063.3,480.3,510.9,2281.5,3106.3,162.6,75.2,6.7
0.173500,503.7,456.1,2401.1,370.2,3037.9,364.9,506.5,2293.3,3113.3,163.2,75.8,6.1
0.175500,428.8,369.1,2396.7,377.1,3041.3,293.4,502.1,2304.9,3120.1,163.8,76.4,6.5
0.177500,386.8,280.3,2399.0,394.5,3052.7,258.3,497.9,2316.3,3126.7,164.5,77.1,7.5
0.179500,361.1,211.0,2401.5,435.2,3067.7,251.4,493.8,2327.4,3133.2,165.2,77.8,8.8
0.181500,344.8,159.0,2396.9,482.0,3090.4,259.2,489.8,2338.3,3139.5,165.9,78.4,10
0.183500,336.6,124.9,2382.6,492.0,3127.1,265.5,485.8,2349,3145.5,166.6,79,11
