time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025625,267.0,151.7,1514.6,429.7,2332.0,1009.5,573.1,1641.4,2709.9,164.1,62.2,-186.7
0.027625,272.5,99.5,1429.5,517.5,2267.1,1013.9,573.1,1641.5,2709.9,163.9,65.4,-146.6
0.029625,276.5,78.0,1389.1,570.2,2184.2,1247.7,573.1,1641.7,2710,163.7,68.2,-96.4
0.031625,281.4,73.6,1444.5,635.6,1932.4,1811.7,573,1642,2710,163.5,70.6,-46.3
0.033625,287.8,77.0,1516.5,556.1,1521.4,2741.2,572.9,1642.4,2710,163.2,72.6,-6
0.035625,294.0,80.3,669.2,4772.9,1496.7,469.4,572.8,1642.8,2710.1,163,74.3,15.9
0.037625,296.0,76.8,1426.9,405.0,2702.0,813.1,572.7,1643.3,2710.1,162.8,75.8,23.3
0.039625,295.5,69.2,1356.2,309.1,2640.2,865.3,572.5,1643.9,2710.2,162.6,76.9,21.6
0.041625,296.7,62.7,1317.1,219.5,2590.4,814.9,572.4,1644.6,2710.2,162.4,77.9,15.6
0.043625,301.5,59.2,1300.9,160.6,2577.8,731.0,572.2,1645.4,2710.3,162.2,78.6,10.3
0.045625,309.6,58.6,1293.6,122.9,2585.7,695.5,572,1646.2,2710.4,162,79.3,9.3
0.047625,319.4,63.2,1285.4,100.4,2601.9,787.2,571.7,1647.1,2710.5,161.8,79.9,8.8
0.049625,332.7,78.4,1274.7,84.7,2630.2,1002.9,571.5,1648.1,2710.6,161.6,80.3,8.2
0.051625,352.3,111.1,1268.5,72.0,2686.5,1092.0,571.2,1649.2,2710.7,161.4,80.7,7.4
0.053625,380.2,164.7,1269.5,62.3,2727.2,936.0,571,1650.3,2710.8,161.2,81,6.7
0.055625,420.9,237.1,1276.2,56.4,2719.7,753.6,570.7,1651.6,2711,161,81.2,6.1
0.057625,472.7,308.9,1287.1,55.7,2696.0,655.8,570.4,1652.9,2711.1,160.8,81.2,5.4
0.059625,543.0,373.7,1303.7,60.4,2677.3,609.0,570,1654.2,2711.2,160.6,81.1,4.7
0.061625,637.5,407.8,1328.2,68.8,2680.1,576.4,569.7,1655.7,2711.4,160.5,80.8,4.2
0.063625,736.4,399.0,1362.2,77.0,2705.4,534.7,569.3,1657.2,2711.5,160.3,80.5,4
0.065625,819.2,381.0,1402.9,81.8,2736.5,489.8,568.9,1658.8,2711.7,160.1,80.2,4.4
0.067625,871.5,383.3,1436.1,84.2,2752.5,467.8,568.5,1660.4,2711.9,160,80,5.5
0.069625,901.5,411.6,1458.7,90.9,2755.0,483.3,568.1,1662.2,2712.1,159.9,79.9,6.9
0.071625,919.0,458.0,1472.6,106.4,2749.1,530.0,567.7,1664,2712.2,159.7,79.9,8.5
0.073625,933.1,495.1,1481.7,129.7,2737.1,575.9,567.2,1665.8,2712.4,159.6,79.9,9.9
0.075625,943.5,493.9,1489.7,152.2,2720.6,587.6,566.8,1667.8,2712.6,159.5,79.9,11
0.077625,945.1,461.9,1496.0,162.0,2703.8,560.9,566.3,1669.8,2712.8,159.4,80,11.9
0.079625,941.3,429.2,1498.6,165.3,2691.1,516.0,565.8,1671.8,2713.1,159.3,80.1,12.8
0.081625,936.0,414.2,1498.9,171.2,2692.3,457.2,565.3,1674,2713.3,159.2,80.2,13.5
0.083625,931.5,409.5,1504.0,178.7,2704.6,382.3,564.8,1676.1,2713.5,159.1,80.3,14
0.085625,929.7,397.2,1520.9,182.2,2716.0,323.7,564.3,1678.4,2713.7,159.1,80.3,14.2
0.087625,930.7,366.6,1549.2,174.1,2722.3,302.3,563.7,1680.7,2714,159,80.4,14.1
0.089625,932.6,328.3,1583.8,153.7,2725.6,310.0,563.2,1683.1,2714.2,159,80.5,13.9
0.091625,933.8,298.2,1615.6,130.7,2726.2,342.9,562.6,1685.5,2714.5,158.9,80.6,13.5
0.093625,932.6,275.8,1639.6,114.9,2722.7,387.7,562,1688,2714.7,158.9,80.6,13.1
0.095625,927.2,255.8,1659.4,111.2,2714.9,431.0,561.4,1690.5,2715,158.9,80.7,12.8
