time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025719,151.8,750.8,1576.4,470.4,2341.8,756.0,455.1,1547.5,2699.7,0,49.6,-200
0.027719,203.1,718.4,1612.5,588.9,2214.6,869.2,455.2,1547.5,2699.8,0,49.6,-200
0.029719,220.6,698.6,1679.0,675.3,2091.9,989.9,455.5,1547.6,2699.9,0,49.7,-200
0.031719,206.9,682.5,1710.7,657.1,2048.9,1141.2,455.8,1547.6,2700.2,0,50.1,-200
0.033719,180.3,653.1,1675.0,629.5,2106.4,1224.6,456.2,1547.7,2700.5,0,51.4,-200
0.035719,170.1,586.5,1620.8,612.9,2200.8,1242.8,456.7,1547.8,2700.9,0,53.6,-200.9
0.037719,185.7,467.0,1578.5,601.3,2280.0,1208.4,457.3,1547.9,2701.3,0,56.4,-206.6
0.039719,210.0,300.7,1546.9,608.4,2316.8,1136.4,458,1548,2701.9,0,59.5,-213.1
0.041719,221.6,171.8,1524.0,687.2,2277.2,1138.0,458.8,1548.2,2702.4,168.1,62.3,-215.4
0.043719,227.6,110.4,1545.0,864.3,2119.3,1354.5,459.7,1548.3,2703.1,167.8,65,-208.5
0.045719,234.6,88.5,1668.0,768.5,1703.2,2278.7,460.6,1548.5,2703.8,167.6,67.2,-186.6
0.047719,242.2,84.5,1219.9,3412.1,1610.7,575.3,461.7,1548.7,2704.6,167.4,69.2,-146.2
0.049719,250.8,85.5,1526.5,461.5,2958.2,416.5,462.8,1548.9,2705.5,167.2,70.9,-95.7
0.051719,260.6,86.5,1461.8,372.2,2920.4,433.9,464.1,1549.1,2706.4,167,72.3,-45.1
0.053719,271.2,85.7,1427.4,315.0,2879.9,481.2,465.4,1549.4,2707.4,166.8,73.5,-4.3
0.055719,282.3,83.0,1410.4,284.0,2833.3,536.8,466.8,1549.7,2708.4,166.6,74.5,18.3
0.057719,291.4,78.2,1397.8,262.6,2791.3,545.8,468.3,1549.9,2709.6,166.4,75.3,26.1
0.059719,297.4,71.4,1382.9,234.9,2764.0,488.6,469.9,1550.2,2710.7,166.2,76,25
0.061719,300.5,64.0,1367.7,204.1,2754.2,411.1,471.5,1550.6,2712,166.1,76.6,20
0.063719,301.7,57.6,1355.3,182.4,2755.8,367.9,473.3,1550.9,2713.3,165.9,77.1,16
0.065719,301.2,51.9,1344.2,174.1,2764.3,385.6,475.1,1551.3,2714.6,165.8,77.5,17.1
0.067719,299.0,47.1,1332.6,173.3,2775.9,475.4,477.1,1551.6,2716.1,165.7,77.8,20.3
0.069719,296.7,43.9,1319.6,168.3,2775.7,644.0,479.1,1552,2717.5,165.6,78.1,23.9
0.071719,295.4,43.2,1309.1,156.3,2730.0,813.2,481.2,1552.4,2719.1,165.5,78.3,26.9
0.073719,296.3,46.5,1301.7,142.4,2693.9,848.8,483.3,1552.9,2720.7,165.5,78.6,28.5
0.075719,302.5,59.3,1294.2,126.2,2751.1,936.4,485.6,1553.3,2722.3,165.4,78.8,27.5
0.077719,317.2,86.9,1290.6,106.8,2984.1,1211.9,487.9,1553.8,2724,165.4,79.1,23.8
