time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025771,1529.3,228.0,2819.7,1475.6,3511.3,826.8,551.2,1738.7,3074,0,48.6,-200.9
0.027771,1566.4,217.2,3263.5,903.5,3264.3,1911.0,551,1739.4,3074.2,0,51.5,-206.6
0.029771,1610.4,194.5,3119.7,539.1,3898.1,2054.4,550.8,1740.6,3074.3,0,55.3,-213
0.031771,234.0,433.0,1615.4,164.8,3104.8,357.1,550.4,1742.3,3074.6,0,58.8,-215.3
0.033771,273.8,341.9,1605.9,143.8,3102.8,292.4,549.8,1744.4,3074.9,180.4,62,-208.4
0.035771,305.6,365.6,1613.0,135.6,3094.0,299.1,549.2,1747.1,3075.3,180,64.8,-186.7
0.037771,350.6,428.6,1627.8,131.7,3078.1,386.6,548.5,1750.2,3075.8,179.5,67.3,-146.2
0.039771,410.9,474.6,1642.4,130.8,3062.3,505.2,547.6,1753.7,3076.3,179.1,69.3,-95.8
0.041771,480.3,485.0,1655.2,126.9,3050.2,491.8,546.7,1757.8,3077,178.6,71,-45.4
0.043771,542.9,454.0,1665.1,119.0,3036.0,345.0,545.6,1762.2,3077.6,178.2,72.3,-4.9
0.045771,581.9,410.5,1672.6,112.8,3019.5,214.6,544.4,1767.2,3078.4,177.7,73.4,17
0.047771,601.1,386.0,1680.1,114.9,3004.7,148.0,543.1,1772.6,3079.2,177.3,74.2,24.1
0.049771,606.9,389.5,1693.2,133.9,2992.3,132.9,541.7,1778.4,3080.1,176.8,74.9,22.1
0.051771,605.9,405.6,1719.6,173.0,2983.2,158.2,540.2,1784.7,3081,176.4,75.4,16
0.053771,608.5,413.3,1763.3,214.8,2981.1,218.7,538.6,1791.4,3082,175.9,75.9,10.7
0.055771,610.4,410.8,1813.6,228.0,2994.5,297.6,536.9,1798.5,3083.1,175.5,76.3,9.9
0.057771,600.1,404.6,1851.3,209.6,3024.3,335.7,535.1,1806.1,3084.2,175.1,76.8,10.1
0.059771,573.5,395.4,1871.1,186.8,3049.2,302.0,533.2,1814,3085.3,174.7,77.2,10.3
0.061771,544.6,382.5,1878.7,171.7,3059.8,254.7,531.2,1822.4,3086.6,174.3,77.6,10.4
0.063771,529.4,384.3,1879.2,159.0,3063.6,218.6,529.1,1831.1,3087.8,173.9,77.9,10.6
0.065771,525.6,407.3,1877.6,144.9,3065.4,184.6,526.9,1840.2,3089.1,173.6,78.3,10.8
0.067771,526.8,438.0,1877.0,129.8,3066.8,146.0,524.6,1849.7,3090.5,173.2,78.6,11
0.069771,529.0,462.3,1877.7,116.4,3069.1,107.6,522.2,1859.6,3091.9,172.9,78.9,11.2
0.071771,531.9,473.5,1878.0,110.1,3073.3,78.4,519.8,1869.7,3093.3,172.6,79.1,11.5
0.073771,529.9,471.2,1877.4,116.2,3079.7,62.8,517.2,1880.3,3094.8,172.3,79.4,11.9
0.075771,514.1,458.2,1877.6,137.8,3088.3,59.0,514.6,1891.1,3096.3,172.1,79.6,12.7
0.077771,491.4,431.1,1881.2,171.7,3098.9,62.4,511.9,1902.3,3097.8,171.8,79.8,13.8
0.079771,473.4,394.7,1888.4,214.4,3110.3,69.0,509.2,1913.8,3099.3,171.6,80,15.2
0.081771,460.1,356.6,1897.0,275.2,3121.7,78.8,506.3,1925.6,3100.9,171.4,80.2,16.4
0.083771,449.7,324.5,1905.1,376.4,3133.7,92.9,503.4,1937.6,3102.5,171.2,80.3,17.4
0.085771,441.3,304.0,1911.1,539.8,3148.6,110.0,500.4,1949.9,3104.1,171.1,80.5,17.8
0.087771,432.7,290.5,1912.7,753.5,3168.3,124.5,497.4,1962.5,3105.7,171,80.7,17.8
0.089771,422.3,274.6,1911.8,928.6,2890.3,3430.7,494.3,1975.3,3107.3,170.9,80.8,17.4
0.091771,410.0,253.7,1928.3,989.9,2771.6,2953.0,491.1,1988.3,3109,170.8,80.9,16.9
0.093771,396.1,229.5,1967.3,972.5,2675.0,2889.4,487.9,2001.5,3110.6,170.8,81,16.2
0.095771,380.6,202.6,2005.4,913.7,2580.6,2949.2,484.6,2014.9,3112.2,170.8,81,15.4
0.097771,363.2,172.0,2022.2,829.8,2539.5,3075.1,481.3,2028.5,3113.8,170.8,80.9,14.3
0.099771,346.9,142.3,2023.2,747.5,2583.0,3429.5,478,2042.3,3115.4,170.9,80.8,13
0.101771,330.9,110.8,2025.5,674.2,2720.2,4491.5,474.6,2056.2,3117,170.9,80.7,11.7
0.103771,318.3,83.8,2035.0,629.0,3205.1,121.2,471.1,2070.2,3118.6,171.1,80.6,10.6
0.105771,312.1,69.6,2042.8,606.4,3204.0,119.6,467.7,2084.4,3120.1,171.2,80.5,10
0.107771,314.6,71.5,2028.5,593.0,3192.2,127.9,464.2,2098.6,3121.6,171.4,80.4,9.5
0.109771,324.2,82.3,1998.2,575.1,3178.1,141.3,460.6,2113,3123.1,171.6,80.3,9.2
0.111771,334.1,91.3,1979.0,570.0,3185.0,143.9,457.1,2127.4,3124.5,171.9,80.3,9.2
0.113771,339.0,95.4,1977.2,558.1,3209.4,132.5,453.5,2141.9,3125.9,172.2,80.3,9.8
0.115771,341.3,96.6,1971.1,527.1,3235.2,131.9,450,2156.4,3127.3,172.5,80.3,11
0.117771,341.7,95.5,1970.2,521.7,3257.1,160.0,446.4,2170.9,3128.6,172.8,80.4,13.2
0.119771,340.1,92.2,1991.9,548.8,3270.7,216.3,442.8,2185.5,3129.9,173.2,80.4,15.9
0.121771,338.6,87.7,2030.9,595.6,3269.2,291.3,439.1,2200,3131.1,173.6,80.5,18.8
0.123771,338.9,83.6,2071.2,664.6,3246.1,384.3,435.5,2214.5,3132.2,174.1,80.6,21.2
0.125771,341.5,81.1,2086.8,781.3,3195.6,511.5,431.9,2229,3133.3,174.5,80.6,22.9
0.127771,344.2,79.4,2058.5,941.6,3118.5,635.2,428.3,2243.4,3134.3,175,80.7,24.2
0.129771,344.3,78.8,2029.9,1114.6,3076.6,699.7,424.7,2257.7,3135.2,175.5,80.7,25.2
0.131771,342.4,78.6,2065.2,1311.6,3118.7,754.5,421.2,2271.9,3136.1,176.1,80.7,26
0.133771,340.9,77.9,2122.6,1433.3,3195.1,715.0,417.6,2286,3136.9,176.7,80.7,26.4
0.135771,341.4,77.0,2023.5,1484.9,3201.2,570.2,414.1,2300,3137.6,177.2,80.8,26.6
0.137771,343.6,76.5,1886.3,1319.2,3169.4,393.9,410.6,2313.9,3138.2,177.8,80.8,26.3
0.139771,346.0,75.8,1874.1,1128.6,3151.6,265.4,407.1,2327.6,3138.7,178.5,80.8,25.8
0.141771,346.9,74.7,1910.9,1024.6,3145.5,191.6,403.6,2341.1,3139.1,179.1,80.7,25.1
0.143771,345.8,73.2,1964.4,1033.3,3145.0,153.0,400.2,2354.5,3139.5,179.7,80.7,24.4
0.145771,344.1,71.2,2055.2,1113.2,3147.9,138.9,396.9,2367.6,3139.7,180.4,80.7,23.7
0.147771,343.1,69.3,2208.4,1109.7,3154.6,145.1,393.5,2380.5,3139.8,181,80.6,23
0.149771,343.0,67.3,2363.6,900.9,3164.9,167.2,390.2,2393.2,3139.8,181.7,80.6,22.3
0.151771,342.4,63.6,2471.1,657.0,3179.7,200.5,387,2405.6,3139.8,182.4,80.5,21.6
0.153771,341.2,58.7,2538.9,490.6,3198.2,247.7,383.8,2417.8,3139.6,183,80.4,20.9
0.155771,341.3,55.8,2576.5,379.8,3217.1,305.0,380.7,2429.7,3139.2,183.7,80.3,20.4
0.157771,343.0,55.4,2594.6,299.8,3234.2,358.2,377.6,2441.3,3138.8,184.3,80.3,19.9
0.159771,345.1,55.3,2602.7,246.9,3247.5,402.4,374.6,2452.6,3138.2,185,80.3,19.6
0.161771,346.7,53.8,2607.1,217.6,3258.2,443.0,371.7,2463.6,3137.6,185.6,80.3,19.2
0.163771,347.8,52.0,2609.2,201.8,3270.3,467.9,368.8,2474.2,3136.8,186.3,80.2,18.8
0.165771,349.5,52.5,2608.3,187.0,3285.1,447.2,366.1,2484.5,3135.8,186.9,80.2,18.2
0.167771,351.9,56.4,2606.4,173.1,3295.1,395.4,363.3,2494.5,3134.7,187.5,80.3,17.4
0.169771,354.9,61.8,2605.7,167.0,3294.4,351.2,360.7,2504,3133.5,188.1,80.3,16.6
0.171771,358.2,66.9,2606.5,170.7,3284.1,323.2,358.2,2513.2,3132.2,188.7,80.4,15.8
0.173771,361.9,71.2,2609.8,181.2,3272.0,308.1,355.7,2522,3130.7,189.2,80.4,15.3
0.175771,365.4,74.4,2614.8,189.7,3263.5,310.9,353.3,2530.4,3129.1,189.8,80.6,15.3
0.177771,368.0,77.2,2617.3,187.1,3256.1,320.3,351,2538.4,3127.4,190.3,80.7,15.7
0.179771,370.0,79.9,2615.2,178.7,3245.6,319.2,348.8,2545.9,3125.5,190.8,80.8,16.4
0.181771,371.7,82.7,2610.6,176.3,3232.4,303.5,346.7,2553,3123.5,191.3,80.8,17.1
0.183771,373.4,86.3,2605.6,186.0,3218.4,281.8,344.7,2559.7,3121.3,191.7,80.9,17.5
0.185771,375.9,91.8,2600.8,204.4,3203.9,262.4,342.8,2565.8,3119,192.2,80.9,17.5
0.187771,379.7,100.7,2595.7,218.2,3189.3,247.0,341,2571.6,3116.5,192.6,80.9,17.2
0.189771,383.9,112.4,2590.6,216.8,3177.7,237.3,339.3,2576.8,3113.9,193,81,16.6
