time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025677,857.2,2563.2,2335.2,608.0,2911.8,1039.1,400.2,1817.5,2778.9,0,51,-201
0.027677,2280.4,576.0,2918.7,835.7,4528.7,303.0,400.1,1817.7,2778.9,0,53.7,-206.7
0.029677,200.2,533.8,2222.3,499.3,2913.4,649.4,400,1818,2779,0,56.5,-213.3
0.031677,246.5,328.4,2169.2,473.3,2900.9,539.6,399.9,1818.5,2779.1,169.1,59.3,-215.7
0.033677,255.8,259.0,2109.7,500.7,2869.1,512.0,399.7,1819.1,2779.2,168.7,61.9,-208.6
0.035677,260.7,233.3,2060.3,538.3,2808.1,545.2,399.5,1819.9,2779.4,168.3,64.1,-186.3
0.037677,266.8,224.1,2058.1,559.1,2757.2,591.5,399.3,1820.8,2779.5,167.9,66,-144.9
0.039677,277.7,227.9,2098.7,520.5,2793.0,591.8,399,1821.8,2779.7,167.4,67.6,-93.2
0.041677,297.3,251.4,2149.8,439.9,2873.8,503.8,398.7,1823,2780,167,68.9,-41.6
0.043677,326.5,292.9,2197.7,369.8,2917.6,429.5,398.3,1824.3,2780.2,166.5,70,-0.3
0.045677,370.9,342.0,2243.6,298.4,2940.7,401.2,397.9,1825.7,2780.5,166,70.9,21.7
0.047677,423.0,361.0,2276.8,239.1,2957.1,414.1,397.5,1827.3,2780.8,165.5,71.7,28.1
0.049677,466.5,337.2,2297.2,199.1,2973.8,466.2,397,1829,2781.1,164.9,72.4,25
0.051677,490.9,295.0,2306.2,181.3,2989.9,562.7,396.5,1830.8,2781.5,164.4,73.1,17.7
0.053677,496.4,261.5,2304.5,190.7,2994.8,676.2,396,1832.8,2781.9,163.8,73.7,11.5
0.055677,491.2,244.0,2288.4,240.0,2979.1,740.1,395.4,1834.8,2782.3,163.3,74.3,10.6
0.057677,485.4,244.5,2239.5,316.0,2966.5,604.7,394.8,1837.1,2782.7,162.7,74.8,11.2
0.059677,484.1,259.9,2186.0,320.9,2984.7,383.2,394.1,1839.4,2783.1,162.2,75.2,12
0.061677,480.2,295.7,2192.5,274.4,3000.5,267.2,393.5,1841.8,2783.6,161.7,75.6,12.9
0.063677,473.6,328.7,2219.1,233.9,3003.1,217.8,392.7,1844.4,2784.1,161.2,76,13.7
0.065677,470.7,341.6,2236.9,202.4,2994.0,187.8,392,1847.1,2784.6,160.7,76.3,14.3
0.067677,461.8,341.0,2241.5,188.3,2983.7,167.1,391.2,1849.9,2785.1,160.2,76.5,14.6
0.069677,444.3,334.8,2234.8,188.7,2978.3,149.8,390.4,1852.9,2785.7,159.7,76.7,14.8
0.071677,425.4,320.6,2219.8,194.9,2978.7,135.0,389.6,1855.9,2786.3,159.3,76.9,15
0.073677,409.2,297.6,2201.5,199.0,2980.8,126.4,388.7,1859,2786.9,158.9,77,15.2
0.075677,390.8,264.2,2175.7,205.5,2978.5,126.9,387.8,1862.3,2787.5,158.5,77.2,15.7
0.077677,372.3,227.7,2141.3,219.5,2967.6,136.6,386.9,1865.7,2788.1,158.1,77.3,16.4
0.079677,356.8,195.1,2103.2,229.6,2946.7,144.4,386,1869.2,2788.7,157.8,77.4,17.2
0.081677,343.5,169.2,2075.6,221.2,2923.7,141.5,385,1872.7,2789.4,157.5,77.5,17.9
0.083677,331.6,147.5,2059.7,213.8,2908.4,143.6,384,1876.4,2790.1,157.3,77.6,18.3
0.085677,320.5,125.0,2034.9,231.9,2895.8,167.3,382.9,1880.2,2790.8,157.1,77.7,18.1
0.087677,311.4,103.9,1434.1,7516.5,1987.1,289.4,381.9,1884,2791.5,156.9,77.7,17.3
0.089677,303.7,85.4,1897.1,379.7,2318.5,2749.6,380.8,1888,2792.2,156.7,77.8,16.3
0.091677,297.7,72.0,1768.2,406.4,2559.7,2073.0,379.7,1892,2793,156.6,77.9,15.1
0.093677,295.8,66.0,1678.2,389.7,2732.3,503.9,378.6,1896.2,2793.7,156.5,78.1,14.2
0.095677,299.1,64.0,1602.7,403.4,2749.1,440.6,377.4,1900.4,2794.5,156.5,78.4,13.5
0.097677,303.7,59.8,1528.9,412.1,2796.0,392.3,376.3,1904.7,2795.3,156.5,78.7,12.9
0.099677,306.3,52.9,1479.6,415.6,2815.9,409.7,375.1,1909.1,2796.1,156.5,79.1,12.4
0.101677,306.6,45.5,1458.8,463.3,2758.2,519.2,373.9,1913.5,2796.9,156.6,79.4,12.2
0.103677,306.6,40.7,1446.4,506.9,2646.6,534.7,372.7,1918,2797.7,156.7,79.7,12.6
0.105677,306.9,38.7,1446.1,524.2,2597.6,464.1,371.5,1922.6,2798.5,156.8,79.8,13.9
0.107677,306.8,38.1,1449.3,542.0,2616.5,448.3,370.2,1927.2,2799.3,157,79.9,16.4
0.109677,306.5,38.0,1447.9,545.5,2678.7,464.4,369,1932,2800.2,157.1,79.9,19.6
0.111677,306.4,38.4,1443.0,508.5,2762.5,446.9,367.7,1936.7,2801,157.3,79.9,22.8
