time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025250,287.4,565.3,1414.5,410.6,2215.1,737.2,375.1,1184.6,2067.6,0,46.2,-200
0.027250,223.8,565.5,1389.3,401.9,2167.7,680.3,375.1,1185,2068,0,48.1,-200
0.029250,166.7,495.4,1365.9,390.7,2118.3,544.4,375,1185.6,2068.7,0,53.1,-203.4
0.031250,201.3,289.1,1357.7,401.9,2084.8,434.1,375,1186.5,2069.7,0,55.4,-210.1
0.033250,222.0,153.7,1339.2,524.9,2050.3,423.2,375,1187.7,2070.9,173.4,58.9,-215.1
0.035250,234.2,107.0,1289.1,927.3,1984.7,510.0,374.9,1189,2072.4,173.2,62.2,-213.4
0.037250,248.7,104.0,1124.9,2217.1,1832.1,606.1,374.9,1190.7,2074.2,172.9,65.1,-200
0.039250,269.5,109.7,1663.9,505.9,3050.4,774.1,374.8,1192.6,2076.3,172.6,67.8,-168.2
0.041250,290.3,103.3,1556.8,364.3,2898.8,583.6,374.8,1194.7,2078.6,172.3,70.1,-121.3
0.043250,299.6,94.7,1497.7,246.3,2877.4,507.0,374.7,1197.1,2081.2,171.9,72.1,-69.3
0.045250,302.4,90.0,1468.2,191.7,2883.7,631.3,374.6,1199.7,2084.1,171.5,73.8,-22.4
0.047250,309.2,90.6,768.4,2575.7,1452.0,187.8,374.5,1202.5,2087.2,171.2,75.1,9.4
0.049250,319.5,99.1,1098.5,1452.9,1454.2,200.9,374.4,1205.6,2090.6,170.7,76.3,22.8
0.051250,330.2,111.2,1093.0,925.1,1481.1,203.4,374.3,1208.9,2094.2,170.3,77.2,24.4
0.053250,339.0,120.3,1056.8,670.7,1519.4,176.0,374.2,1212.4,2098.1,169.8,77.9,19.3
0.055250,345.8,123.8,1024.8,523.4,1562.8,127.7,374.1,1216.2,2102.2,169.4,78.4,12.5
0.057250,350.5,126.1,1001.9,460.1,1598.9,81.8,374,1220.2,2106.6,168.9,78.8,9.2
0.059250,354.4,137.8,989.1,465.0,1622.4,55.6,373.9,1224.3,2111.2,168.4,79,9
0.061250,359.6,170.9,986.5,527.7,1640.0,48.7,373.8,1228.7,2116,167.9,79.2,8.8
0.063250,367.1,235.4,978.2,617.7,1658.0,53.4,373.7,1233.3,2121.1,167.4,79.3,8.6
0.065250,375.6,344.5,946.2,672.2,1682.6,61.4,373.5,1238.1,2126.4,166.9,79.4,8.6
0.067250,377.4,479.1,908.7,651.8,1714.0,65.3,373.4,1243.1,2131.8,166.3,79.5,9
0.069250,370.7,597.2,887.7,606.0,1747.9,62.8,373.3,1248.3,2137.5,165.8,79.6,10
0.071250,362.9,694.5,874.0,572.0,1776.9,57.4,373.1,1253.7,2143.4,165.3,79.8,11.4
0.073250,356.3,774.8,864.6,540.4,1798.5,54.0,373,1259.2,2149.5,164.8,79.9,13
0.075250,350.9,851.3,860.9,509.0,1819.0,54.6,372.9,1264.9,2155.8,164.3,80.1,14.4
0.077250,344.4,956.2,856.3,486.7,1840.2,58.5,372.7,1270.7,2162.3,163.9,80.3,15.1
0.079250,326.9,1124.6,844.5,474.9,1859.6,62.8,372.6,1276.8,2168.9,163.4,80.5,15.1
0.081250,277.1,1377.5,826.5,477.5,1873.4,66.3,372.5,1282.9,2175.7,162.9,80.7,14.6
0.083250,274.6,1556.3,812.8,497.9,1881.6,68.5,372.3,1289.2,2182.6,162.5,80.9,13.8
0.085250,346.3,1565.5,804.5,512.9,1887.7,70.5,372.2,1295.7,2189.7,162,81.1,13.1
0.087250,306.4,1579.0,801.5,486.7,1892.9,73.8,372.1,1302.2,2197,161.6,81.2,12.8
0.089250,796.2,430.5,1896.5,82.4,2912.7,217.1,371.9,1308.9,2204.4,161.1,81.3,12.9
0.091250,785.1,374.1,1894.6,102.3,2940.5,206.0,371.8,1315.7,2211.9,160.7,81.3,13.3
0.093250,772.8,334.2,1884.5,136.3,2969.0,201.8,371.7,1322.6,2219.5,160.3,81.4,13.8
0.095250,760.6,313.4,1868.8,186.7,2999.3,205.2,371.6,1329.6,2227.2,159.9,81.4,14.3
0.097250,749.4,319.5,1865.5,243.1,2957.6,1630.0,371.5,1336.7,2235.1,159.5,81.5,14.5
0.099250,735.9,342.6,1889.5,308.5,2757.5,1600.7,371.4,1343.8,2243,159.1,81.5,14.5
0.101250,715.6,370.8,1947.2,391.6,2499.9,1560.8,371.3,1351,2251,158.7,81.6,14.3
0.103250,686.8,397.8,2039.4,462.0,2244.8,1433.1,371.2,1358.3,2259.1,158.3,81.6,14
0.105250,645.5,425.4,2083.6,1442.6,2132.0,431.8,371.1,1365.7,2267.2,157.9,81.7,13.7
0.107250,582.3,459.1,2153.2,2026.2,2153.7,369.6,371.1,1373.1,2275.4,157.6,81.7,13.4
0.109250,499.4,420.3,1027.8,1712.8,2150.6,319.7,371,1380.5,2283.7,157.2,81.7,13.4
0.111250,455.3,343.2,1120.1,1225.8,2149.4,284.8,371,1387.9,2292,156.8,81.7,13.4
0.113250,430.9,294.9,1151.8,1075.6,2152.0,260.7,371,1395.4,2300.3,156.5,81.6,13.4
0.115250,409.8,258.5,1176.3,1022.8,2155.8,243.8,370.9,1402.9,2308.6,156.2,81.5,13.1
0.117250,392.2,226.6,1209.2,1037.6,2159.4,241.3,370.9,1410.4,2316.9,155.9,81.3,12.3
0.119250,377.9,202.1,1240.5,1114.3,2165.0,252.5,370.9,1417.9,2325.3,155.6,80.9,10.4
0.121250,364.8,190.5,1253.1,1252.1,2175.1,269.7,371,1425.3,2333.6,155.3,80.5,7.7
0.123250,351.4,190.4,1241.2,1392.6,2188.5,284.0,371,1432.8,2341.9,155,79.9,4.9
0.125250,333.7,188.7,1212.1,1387.5,2203.9,291.4,371,1440.2,2350.2,154.8,79.2,2.7
0.127250,314.3,157.4,1174.9,1130.5,2212.8,280.2,371.1,1447.6,2358.4,154.6,78.6,1.7
0.129250,302.1,106.0,1113.2,826.2,2207.0,238.0,371.2,1454.9,2366.6,154.5,78,2.5
0.131250,297.6,68.4,1049.5,606.3,2195.6,180.0,371.3,1462.2,2374.7,154.4,77.7,4.7
0.133250,296.9,50.9,1028.3,528.5,2185.6,147.6,371.4,1469.4,2382.8,154.3,77.4,7.4
