time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025406,692.8,167.3,1641.0,174.9,3115.6,483.1,558.2,1372,2263.7,0,57.3,-203.2
0.027406,686.7,186.7,1638.7,226.8,3082.4,523.1,558.2,1372,2263.7,0,58.4,-209.6
0.029406,685.2,174.2,1601.9,351.6,3008.2,609.1,558.2,1371.9,2263.6,0,59.7,-214.4
0.031406,678.2,154.3,1488.1,538.5,2909.1,669.2,558.1,1371.8,2263.6,0,61.4,-212.8
0.033406,662.2,134.7,1308.6,655.9,2823.2,693.9,558.1,1371.7,2263.6,0,63.9,-200
0.035406,642.7,126.1,1133.2,700.4,2710.0,752.2,558.1,1371.6,2263.6,216.5,66.9,-169.8
0.037406,622.5,151.3,970.2,688.7,2578.3,687.5,558,1371.5,2263.6,216.5,70,-125.3
0.039406,601.1,181.2,930.3,551.4,2552.0,593.6,557.9,1371.3,2263.5,216.6,72.9,-76.1
0.041406,582.6,177.5,958.0,408.2,2551.5,579.6,557.9,1371.1,2263.5,216.6,75.5,-31.3
0.043406,573.3,153.7,988.0,293.0,2541.0,584.9,557.8,1370.9,2263.4,216.7,77.7,-0.6
0.045406,573.6,127.8,1014.5,209.9,2530.8,574.6,557.7,1370.7,2263.4,216.8,79.7,13.2
0.047406,580.1,108.2,1037.3,151.5,2529.1,542.7,557.6,1370.4,2263.3,217,81.4,16.2
0.049406,591.2,95.2,1058.1,107.7,2536.7,489.0,557.5,1370.2,2263.3,217.2,82.9,13
0.051406,603.8,90.8,1074.5,79.5,2550.7,428.1,557.4,1369.9,2263.2,217.4,84.1,8.2
0.053406,617.2,94.8,1088.1,61.7,2568.0,372.3,557.3,1369.6,2263.2,217.6,85.1,6.2
0.055406,630.2,107.1,1098.5,52.1,2582.4,339.2,557.2,1369.2,2263.1,217.9,85.9,6.9
0.057406,642.1,123.6,1106.3,48.0,2590.1,332.9,557,1368.9,2263,218.2,86.5,7.5
0.059406,653.6,141.3,1113.9,46.8,2591.1,349.3,556.9,1368.5,2263,218.6,86.9,7.9
0.061406,663.1,154.8,1121.7,48.1,2586.1,383.2,556.7,1368.2,2262.9,219,87.1,8.3
0.063406,671.2,163.4,1131.8,53.1,2575.3,436.8,556.6,1367.8,2262.8,219.4,87.1,8.6
0.065406,677.4,165.5,1145.7,63.8,2554.6,510.3,556.4,1367.4,2262.7,219.9,87,8.8
0.067406,681.3,158.2,1166.8,80.7,2517.7,592.2,556.2,1366.9,2262.7,220.5,86.7,8.8
0.069406,681.9,139.7,1201.4,98.8,2469.4,661.8,556,1366.5,2262.6,221.1,86.3,8.8
0.071406,679.2,119.9,1239.6,104.5,2442.7,693.9,555.9,1366.1,2262.5,221.7,86,9
0.073406,677.2,107.5,1268.9,99.7,2441.4,690.3,555.6,1365.6,2262.4,222.4,85.8,9.3
0.075406,677.7,102.2,1286.0,94.1,2447.4,643.9,555.4,1365.1,2262.3,223.1,85.7,10.1
