time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025417,888.2,527.5,1691.8,209.3,2342.7,254.7,456.7,1257.4,2385.2,0,59.1,-203.3
0.027417,866.5,516.4,1683.5,212.3,2338.1,251.7,456.7,1257.5,2385.3,0,60.5,-209.8
0.029417,834.9,504.5,1672.7,217.4,2333.0,251.8,456.8,1257.8,2385.4,0,61.5,-214.7
0.031417,771.3,497.3,1654.3,231.2,2324.9,261.0,456.9,1258.2,2385.5,0,63,-213.1
0.033417,652.1,453.0,1621.8,270.1,2312.3,290.8,457,1258.8,2385.7,0,65.2,-200
0.035417,563.0,342.7,1552.9,427.9,2292.9,385.9,457.2,1259.4,2385.9,0,67.6,-169
0.037417,559.8,345.9,1314.7,814.6,2284.2,530.1,457.4,1260.2,2386.1,173.5,70.1,-123.3
0.039417,540.6,312.9,1078.1,562.9,2408.5,533.5,457.6,1261,2386.4,173.4,72.3,-72.7
0.041417,537.9,261.5,1059.1,434.8,2409.0,4678.4,457.9,1262,2386.7,173.3,74.1,-26.9
0.043417,536.9,223.0,1062.7,367.6,1436.6,6344.1,458.2,1263.1,2387.1,173.2,75.7,4.4
0.045417,529.9,191.9,1059.3,304.5,2496.7,179.2,458.5,1264.3,2387.5,173,76.9,17.9
0.047417,522.9,169.2,1059.4,255.2,2484.5,170.1,458.8,1265.7,2387.9,172.9,77.9,20.1
0.049417,518.1,152.7,1064.4,221.2,2481.7,171.8,459.2,1267.1,2388.4,172.8,78.7,16
0.051417,515.1,138.8,1073.4,196.1,2340.0,3742.7,459.6,1268.7,2388.9,172.7,79.3,10.4
0.053417,515.6,128.8,1087.1,176.4,2224.9,2971.2,460.1,1270.3,2389.4,172.6,79.8,8.2
0.055417,520.5,122.8,1105.7,157.4,2264.3,3129.8,460.5,1272.1,2390,172.5,80.2,9.7
0.057417,527.9,119.1,1125.8,138.2,2527.3,267.6,461,1274,2390.6,172.4,80.6,11.6
0.059417,534.6,115.5,1143.7,120.9,2540.5,292.5,461.5,1276,2391.3,172.3,80.9,13.6
0.061417,538.8,110.7,1160.4,105.0,2547.1,315.7,462.1,1278.1,2392,172.1,81.2,15.4
0.063417,539.3,105.8,1175.2,92.0,2540.3,339.2,462.6,1280.3,2392.7,172,81.5,16.6
0.065417,537.4,103.5,1188.3,81.8,2526.7,352.7,463.2,1282.6,2393.4,171.9,81.7,17.2
0.067417,535.1,105.3,1199.8,73.6,2522.4,338.4,463.9,1285,2394.2,171.8,81.9,17.3
