time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025115,763.7,796.9,1823.1,624.3,2761.5,498.7,513.4,1118,2637.1,0,53.8,-200
0.027115,706.5,602.6,1856.1,562.9,2750.8,456.0,513.4,1118.3,2637.1,0,55.7,-200
0.029115,664.3,455.5,1881.5,525.7,2750.6,424.5,513.4,1118.9,2637.2,0,56.9,-203.3
0.031115,635.2,359.5,1899.0,517.6,2759.4,405.3,513.5,1119.6,2637.2,0,58.3,-209.8
0.033115,616.1,305.2,1901.4,544.6,2767.4,399.9,513.5,1120.5,2637.3,0,59.9,-214.7
0.035115,602.8,279.5,1872.8,647.8,2763.2,418.9,513.5,1121.7,2637.4,0,61.9,-213.1
0.037115,598.4,288.0,1751.7,970.2,2728.6,473.6,513.6,1123,2637.5,0,64.3,-200
0.039115,605.8,324.6,1292.4,1200.2,2657.6,467.1,513.6,1124.6,2637.6,0,66.8,-169
0.041115,566.1,305.1,1049.0,604.3,2583.5,435.4,513.7,1126.4,2637.7,171.9,69,-123.3
0.043115,536.4,227.3,1018.8,363.8,2482.7,431.0,513.7,1128.3,2637.9,171.8,71,-72.6
0.045115,532.8,183.8,1020.7,296.4,2435.5,399.4,513.8,1130.5,2638.1,171.7,72.7,-26.7
0.047115,538.6,172.2,1040.1,292.8,2452.3,349.0,513.8,1132.9,2638.3,171.6,74,4.8
0.049115,545.0,171.4,1065.0,295.4,2482.9,283.0,513.9,1135.5,2638.5,171.4,75.1,18.8
0.051115,547.1,167.5,1082.3,278.8,2505.9,229.3,514,1138.3,2638.7,171.3,76,21.6
0.053115,545.3,156.3,1091.2,249.7,2517.5,194.7,514.1,1141.3,2638.9,171.1,76.7,18
0.055115,543.3,141.1,1099.9,220.4,2520.2,175.6,514.2,1144.4,2639.2,170.9,77.3,13
0.057115,544.2,129.2,1114.0,201.8,2518.1,173.9,514.3,1147.8,2639.4,170.8,77.7,11.2
0.059115,548.3,123.2,1134.2,195.0,2517.4,186.8,514.4,1151.4,2639.7,170.6,78.2,13
0.061115,553.1,120.8,1156.1,192.9,2523.0,205.2,514.5,1155.2,2640,170.4,78.5,15
