time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025229,691.6,1157.7,1804.8,365.6,2348.9,826.1,592.1,1226.7,2529.2,0,58.6,-200
0.027229,677.2,1060.1,1803.8,351.5,2387.4,834.4,592,1227.4,2529.5,0,59.8,-200
0.029229,660.8,949.0,1796.3,338.7,2420.0,812.8,591.9,1228.5,2530,0,60.9,-203.3
0.031229,644.9,844.6,1782.3,331.3,2438.1,775.5,591.6,1230,2530.6,0,61.7,-209.8
0.033229,631.4,761.4,1762.1,336.3,2445.2,746.9,591.3,1231.9,2531.5,0,62.8,-214.6
0.035229,625.6,720.4,1737.4,384.8,2450.5,780.1,590.9,1234.3,2532.5,181.9,64.5,-213
0.037229,665.0,720.2,1728.0,572.4,2491.5,946.6,590.5,1237.1,2533.7,181.9,66.9,-200
0.039229,745.7,592.6,1597.5,953.9,2481.0,841.8,589.9,1240.4,2535.1,181.9,69.3,-169.3
0.041229,591.3,440.7,1168.9,501.5,2453.3,497.8,589.3,1244.1,2536.6,181.8,71.6,-124.1
0.043229,543.0,253.5,1116.3,242.4,2470.0,325.7,588.7,1248.2,2538.4,181.8,73.6,-74
0.045229,537.6,191.5,1106.8,178.8,2488.5,226.1,588,1252.7,2540.3,181.8,75.4,-28.4
0.047229,539.2,171.0,1111.2,163.4,2504.0,167.6,587.2,1257.6,2542.4,181.7,76.8,3.2
0.049229,540.3,157.6,1119.4,159.9,2516.2,137.0,586.3,1262.9,2544.7,181.7,77.9,17.7
0.051229,539.1,142.6,1127.1,158.2,2524.3,128.4,585.4,1268.6,2547.1,181.6,78.8,21.4
0.053229,537.0,127.3,1134.5,156.8,2530.0,135.4,584.4,1274.8,2549.7,181.5,79.5,19
0.055229,535.6,114.2,1142.5,156.5,2536.9,152.7,583.4,1281.3,2552.5,181.5,80,14.9
0.057229,536.0,104.1,1153.7,158.2,2550.9,170.3,582.3,1288.2,2555.4,181.4,80.4,13.7
0.059229,537.9,96.5,1171.8,163.2,2574.7,181.4,581.1,1295.5,2558.5,181.3,80.8,15.4
0.061229,540.4,91.3,1197.4,172.2,2601.1,189.1,579.9,1303.2,2561.8,181.1,81.1,17.1
0.063229,542.5,86.5,1229.7,182.1,2625.6,197.0,578.6,1311.2,2565.2,181,81.4,18.5
0.065229,543.4,80.2,1262.2,184.4,2641.1,203.4,577.3,1319.7,2568.8,180.8,81.6,19.6
0.067229,542.6,72.4,1288.2,175.0,2642.5,214.8,575.9,1328.4,2572.5,180.7,81.8,20.2
0.069229,540.5,64.4,1309.5,157.4,2627.2,237.9,574.5,1337.5,2576.3,180.5,82,20.2
0.071229,537.7,59.2,1331.0,141.4,2600.0,252.5,573,1347,2580.3,180.3,82.2,19.8
0.073229,534.7,56.3,1356.3,131.7,2576.1,264.5,571.5,1356.8,2584.5,180,82.3,19
0.075229,531.3,53.4,1383.7,127.3,2550.7,310.0,569.9,1366.9,2588.7,179.8,82.3,17.9
0.077229,527.5,50.1,1410.3,121.9,2503.3,376.7,568.3,1377.3,2593.1,179.6,82.3,16.7
0.079229,523.1,47.9,1433.2,112.5,2436.4,409.7,566.6,1388,2597.6,179.3,82,15.1
0.081229,518.7,48.7,1449.1,104.0,2368.5,425.8,564.9,1399,2602.3,179,81.6,13
0.083229,514.0,54.5,1462.7,100.9,2296.1,454.9,563.2,1410.3,2607,178.7,81,10.8
0.085229,508.1,69.7,1478.2,106.3,2234.7,515.1,561.4,1421.9,2611.9,178.4,80.1,8.7
0.087229,499.7,100.8,1498.4,118.2,2214.9,613.6,559.6,1433.7,2616.9,178.1,79.1,7.1
0.089229,485.8,153.2,1519.6,129.7,2246.4,655.8,557.8,1445.8,2621.9,177.8,77.9,5.8
0.091229,461.4,212.3,1527.1,143.1,2249.1,605.9,555.9,1458.2,2627.1,177.5,76.7,4.6
0.093229,424.4,246.1,1511.3,159.4,2260.8,543.4,554,1470.8,2632.4,177.2,75.7,3.8
0.095229,399.9,236.4,1491.8,166.0,2296.9,420.0,552.1,1483.6,2637.7,176.8,75,3.3
0.097229,400.4,224.1,1506.7,185.0,2333.7,365.7,550.2,1496.6,2643.2,176.5,74.8,3.6
0.099229,412.4,210.2,1552.5,210.7,2372.4,381.4,548.2,1509.8,2648.7,176.2,75,4.8
0.101229,424.1,191.1,1599.0,220.3,2430.0,430.7,546.2,1523.2,2654.2,175.9,75.4,6.9
0.103229,432.6,174.6,1631.0,211.7,2521.8,491.2,544.3,1536.8,2659.9,175.7,75.9,9.4
0.105229,436.4,162.2,1647.2,189.8,2652.0,514.2,542.2,1550.6,2665.6,175.4,76.4,11.5
0.107229,434.7,149.6,1654.4,164.8,2775.5,365.1,540.2,1564.5,2671.3,175.2,76.9,12.8
0.109229,427.2,135.1,1658.1,146.4,2796.8,258.9,538.2,1578.5,2677.1,175,77.2,12.9
0.111229,416.2,121.3,1660.1,141.1,2812.3,236.6,536.2,1592.7,2683,174.8,77.4,12.3
0.113229,403.0,110.2,1661.5,150.0,2831.4,874.4,534.2,1607,2688.9,174.7,77.4,11.3
0.115229,388.3,106.4,1667.0,176.1,2788.1,949.3,532.1,1621.4,2694.8,174.6,77.3,10.3
0.117229,372.0,114.6,1686.6,214.9,2848.6,244.6,530.1,1635.9,2700.7,174.5,76.9,9.7
0.119229,353.2,131.8,1721.1,248.3,2868.1,259.8,528.1,1650.5,2706.7,174.5,76.5,9.6
0.121229,338.0,156.6,1760.7,269.5,2914.4,224.3,526.1,1665.1,2712.6,174.5,75.9,9.7
0.123229,347.2,225.0,1805.5,231.9,2934.5,183.2,524.1,1679.8,2718.6,174.6,75.2,9.9
0.125229,415.7,303.8,1820.8,199.8,2934.5,193.1,522.1,1694.6,2724.6,174.8,74.5,10.1
0.127229,459.6,281.2,1842.6,247.2,2924.4,276.3,520.1,1709.3,2730.6,175,73.9,10.1
0.129229,470.7,271.6,1893.1,327.4,2913.1,416.0,518.2,1724.1,2736.6,175.2,73.3,13.1
0.131229,475.5,278.4,1942.7,387.3,2900.8,526.1,516.3,1738.9,2742.5,175.5,72.8,19.3
0.133229,475.8,297.3,1959.6,474.1,2870.4,542.0,514.3,1753.7,2748.5,175.9,72.3,23.8
0.135229,468.3,327.9,1917.4,630.7,2831.9,460.5,512.5,1768.5,2754.4,176.4,71.7,21.6
0.137229,446.9,359.8,1797.9,784.3,2819.0,347.9,510.6,1783.2,2760.3,176.9,71,8
0.139229,424.0,368.3,1666.7,789.4,2836.6,271.0,508.8,1797.9,2766.1,177.6,70.1,-23.8
0.141229,427.6,360.9,1624.8,688.3,2867.9,242.3,507,1812.5,2771.9,178.3,69.1,-70.4
0.143229,455.0,330.0,1636.7,578.5,2896.7,229.5,505.3,1827.1,2777.7,179,67.9,-121.9
0.145229,485.7,259.0,1659.2,502.1,2902.3,212.5,503.5,1841.5,2783.4,179.9,66.6,-168.4
