time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025229,1603.0,2087.4,2562.8,736.6,3801.3,993.9,521.3,1801.8,3152.9,0,48.4,-200
0.027229,264.0,370.6,1969.3,934.3,2829.2,803.3,521.2,1802.3,3152.8,0,52.1,-200
0.029229,284.1,145.0,1893.2,725.1,2963.5,700.1,521,1803.2,3152.6,0,55.5,-200
0.031229,284.2,78.4,1867.3,766.5,3075.8,708.0,520.8,1804.3,3152.4,0,58.3,-200
0.033229,286.1,67.0,1996.9,932.5,3204.7,755.9,520.5,1805.8,3152.1,171.7,60.7,-200
0.035229,293.8,80.0,2143.4,793.8,3313.0,785.5,520.2,1807.6,3151.7,171.1,62.8,-200
0.037229,309.2,97.1,2170.9,683.5,3418.4,901.2,519.8,1809.8,3151.2,170.5,64.4,-200
0.039229,323.0,104.1,2164.1,650.4,3584.7,1046.8,519.3,1812.3,3150.7,169.9,65.6,-203.5
0.041229,330.8,107.4,2160.0,654.0,3776.9,791.5,518.8,1815,3150.1,169.3,66.6,-210.6
0.043229,333.1,107.9,2179.6,669.5,3768.2,622.9,518.2,1818.2,3149.5,168.7,67.4,-216
0.045229,332.2,102.7,2212.4,664.4,3761.1,580.8,517.5,1821.6,3148.8,168.1,68,-214.2
0.047229,329.2,93.5,2225.4,647.6,3751.7,625.7,516.8,1825.3,3148,167.6,68.5,-200
0.049229,324.6,85.3,2210.1,658.8,3711.2,761.7,516,1829.4,3147.1,167.1,68.9,-166.3
0.051229,319.9,79.6,2170.6,693.4,3575.3,894.6,515.2,1833.7,3146.2,166.6,69.3,-116.7
0.053229,316.0,76.4,2113.1,701.0,3420.3,826.0,514.3,1838.4,3145.2,166.1,69.6,-61.7
0.055229,311.5,74.2,2056.0,659.9,3333.8,721.5,513.4,1843.4,3144.2,165.7,69.9,-12.1
0.057229,305.2,72.4,2019.9,617.4,3295.3,670.2,512.4,1848.6,3143,165.3,70.1,21.6
0.059229,298.4,70.6,2008.3,624.3,3287.3,667.1,511.3,1854.2,3141.9,165,70.3,35.6
0.061229,291.5,68.2,2015.0,695.5,3303.9,697.0,510.2,1860,3140.6,164.8,70.5,37.2
0.063229,286.0,66.4,2027.1,805.9,3332.9,732.4,509,1866.1,3139.3,164.6,70.6,31.6
0.065229,282.8,67.3,2016.8,871.0,3343.8,729.9,507.8,1872.5,3137.9,164.5,70.6,24.4
0.067229,281.3,70.7,1988.1,821.7,3333.8,680.3,506.5,1879.2,3136.5,164.5,70.6,20.8
0.069229,279.9,75.0,1977.8,730.0,3332.5,641.3,505.2,1886.1,3135,164.5,70.5,21.1
0.071229,278.5,79.9,1980.9,570.1,3344.8,641.2,503.8,1893.3,3133.4,164.6,70.4,21.8
0.073229,273.6,79.4,1955.9,272.5,3338.0,714.4,502.4,1900.7,3131.8,164.8,70.2,22.5
0.075229,266.3,70.1,1923.9,167.8,2349.8,5263.9,500.9,1908.4,3130.1,165,70.1,22.6
0.077229,269.6,119.2,1895.2,134.3,2503.4,1434.7,499.4,1916.3,3128.4,165.2,70.1,21.7
0.079229,267.8,312.1,1890.7,112.7,2533.2,1250.8,497.8,1924.5,3126.6,165.5,70.3,19.4
0.081229,100.9,811.2,1894.4,101.4,2752.3,1304.9,496.2,1932.8,3124.7,165.8,70.7,15.9
0.083229,385.6,2658.1,1893.4,87.1,2832.6,1055.1,494.6,1941.4,3122.8,166.2,71.5,11.9
0.085229,409.3,902.2,1886.2,68.5,2809.5,858.2,492.9,1950.2,3120.9,166.6,72.6,8.3
0.087229,507.3,487.8,1877.2,51.3,2808.5,630.4,491.2,1959.2,3118.8,167,73.8,5.7
0.089229,528.6,288.3,1867.3,40.8,2837.4,419.8,489.4,1968.4,3116.7,167.4,75.2,4.1
0.091229,540.0,186.4,1854.4,39.8,2867.1,271.2,487.6,1977.7,3114.6,167.8,76.5,3.1
0.093229,549.2,144.8,1840.7,52.6,2882.2,216.9,485.8,1987.3,3112.4,168.2,77.7,2.7
0.095229,557.6,138.3,1839.3,75.7,2887.3,230.0,483.9,1997,3110.2,168.6,78.7,2.6
0.097229,568.3,157.1,1858.1,91.4,2890.4,274.9,482,2006.8,3107.9,169,79.5,2.8
0.099229,583.7,196.6,1882.9,95.2,2893.3,307.4,480.1,2016.8,3105.5,169.4,80.1,3.5
0.101229,609.2,260.9,1909.5,95.6,2893.7,296.9,478.2,2027,3103.1,169.7,80.6,4.8
0.103229,650.0,341.5,1939.6,94.1,2893.1,248.7,476.2,2037.3,3100.7,170,80.9,6.3
0.105229,707.0,407.8,1971.4,88.8,2895.0,197.4,474.2,2047.7,3098.2,170.3,81.2,7.8
0.107229,760.2,426.4,1998.4,82.6,2899.1,164.8,472.1,2058.2,3095.6,170.6,81.4,8.8
0.109229,789.5,410.6,2017.9,80.7,2902.1,153.4,470.1,2068.8,3093,170.8,81.6,9.4
0.111229,798.8,382.1,2033.5,83.8,2902.1,159.0,468,2079.5,3090.4,171,81.9,9.8
0.113229,793.0,357.1,2044.2,88.0,2899.4,180.0,465.9,2090.3,3087.7,171.2,82.1,10
0.115229,780.8,343.0,2050.0,86.7,2895.7,213.6,463.9,2101.2,3085,171.4,82.2,10.2
0.117229,767.9,341.4,2053.3,80.5,2890.9,254.7,461.7,2112.1,3082.2,171.5,82.4,10.4
0.119229,750.8,345.5,2055.8,78.6,2883.6,294.4,459.6,2123.1,3079.4,171.6,82.6,10.8
0.121229,726.4,340.6,2056.8,85.3,2873.2,331.9,457.5,2134.1,3076.6,171.7,82.7,11.2
0.123229,706.0,323.8,2056.0,97.2,2863.9,366.0,455.3,2145.2,3073.7,171.8,82.8,11.6
0.125229,695.4,310.7,2056.3,105.0,2860.1,388.3,453.2,2156.3,3070.7,171.9,82.9,12
0.127229,692.1,312.5,2060.6,103.3,2862.7,387.0,451,2167.4,3067.8,172,83,12.3
0.129229,691.2,326.6,2068.7,98.6,2872.7,374.8,448.9,2178.5,3064.8,172,83,12.5
0.131229,691.4,349.0,2083.0,94.8,2894.1,354.8,446.7,2189.6,3061.7,172.1,82.9,12.7
0.133229,693.0,371.2,2105.2,91.1,2925.4,324.6,444.6,2200.7,3058.6,172.2,82.9,12.9
0.135229,691.9,386.3,2130.8,86.4,2956.6,294.3,442.4,2211.7,3055.5,172.3,82.8,12.9
0.137229,683.2,397.7,2151.6,84.3,2978.8,280.4,440.3,2222.8,3052.4,172.4,82.7,12.8
