time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025750,637.2,408.4,2178.7,430.3,2657.6,463.7,397.8,2102.9,2806.8,0,40.5,-200
0.027750,645.0,460.9,2175.2,476.5,2698.5,447.3,397.7,2103,2806.9,0,42.3,-200.9
0.029750,660.5,539.1,2231.1,568.7,2688.2,477.4,397.6,2103.1,2807,0,44.5,-206.6
0.031750,646.1,611.3,2315.0,547.3,2666.9,581.5,397.5,2103.3,2807.2,0,46.1,-213
0.033750,547.3,677.4,2316.6,433.1,2696.3,640.7,397.4,2103.5,2807.4,0,49.2,-215.3
0.035750,376.6,631.2,2271.3,339.7,2753.9,565.0,397.2,2103.7,2807.6,0,52.8,-208.5
0.037750,301.2,417.6,2226.8,284.5,2814.8,438.2,397.1,2104,2807.9,0,56.2,-186.6
0.039750,292.4,250.0,2176.1,318.9,2852.5,349.9,396.8,2104.3,2808.3,0,59.3,-146
0.041750,301.2,175.5,2111.8,472.4,2859.1,324.0,396.6,2104.7,2808.7,171.3,62.1,-95.4
0.043750,321.9,158.4,2077.5,799.8,2826.3,367.1,396.3,2105.1,2809.1,171,64.6,-44.8
0.045750,355.9,176.8,2283.0,1589.5,2709.4,461.2,396,2105.6,2809.6,170.6,66.6,-4.4
0.047750,399.5,204.0,2575.5,353.2,3008.0,1785.8,395.7,2106.1,2810.1,170.3,68.3,17
0.049750,435.7,207.6,2540.7,262.8,3148.1,1528.0,395.3,2106.6,2810.7,169.9,69.8,23
0.051750,449.8,196.5,2539.5,223.4,3140.0,1537.8,395,2107.2,2811.3,169.6,70.9,19.6
0.053750,447.8,185.1,2553.1,202.2,3085.6,1732.1,394.5,2107.8,2811.9,169.3,71.8,12.1
0.055750,440.0,175.0,2575.0,181.7,2994.5,2028.0,394.1,2108.5,2812.6,169,72.6,6.1
0.057750,432.6,169.4,2599.4,162.8,2917.9,2120.1,393.6,2109.2,2813.4,168.7,73.2,5.5
0.059750,426.9,169.5,2619.7,157.1,2908.1,1716.2,393.2,2109.9,2814.2,168.4,73.8,6.6
0.061750,421.3,171.2,2624.1,178.8,2894.0,1130.0,392.6,2110.7,2815,168.1,74.3,8.3
0.063750,413.8,170.3,2601.1,227.9,2872.0,710.2,392.1,2111.5,2815.9,167.9,74.8,10.1
0.065750,404.4,167.0,2547.0,270.6,2864.4,468.6,391.5,2112.3,2816.8,167.6,75.2,11.9
0.067750,396.6,163.8,2489.1,279.8,2865.1,359.8,391,2113.2,2817.7,167.4,75.7,13.4
0.069750,391.4,162.1,2442.8,267.1,2878.6,306.1,390.4,2114.1,2818.7,167.2,76.1,14.9
0.071750,386.9,160.9,2410.7,245.3,2904.0,270.9,389.7,2115.1,2819.7,167.1,76.5,16.4
0.073750,382.9,160.8,2396.6,221.5,2925.1,246.4,389.1,2116,2820.8,166.9,76.9,17.8
0.075750,379.8,162.1,2404.2,195.3,2932.2,237.7,388.4,2117.1,2821.9,166.8,77.2,18.9
0.077750,377.0,162.0,2426.4,172.1,2922.3,250.6,387.7,2118.1,2823,166.7,77.6,19.7
0.079750,374.2,157.3,2446.9,159.6,2898.7,280.5,387,2119.2,2824.2,166.7,77.9,20.1
0.081750,371.3,148.9,2456.9,160.7,2868.5,312.3,386.2,2120.3,2825.4,166.6,78.3,20.4
0.083750,368.3,141.1,2454.0,169.7,2842.2,322.7,385.5,2121.4,2826.6,166.6,78.6,20.5
0.085750,365.0,136.0,2437.4,176.9,2825.8,300.9,384.7,2122.5,2827.9,166.6,78.9,20.4
0.087750,362.2,133.2,2414.5,172.6,2823.5,263.4,383.9,2123.7,2829.2,166.6,79.1,20.4
0.089750,360.0,130.4,2392.6,161.7,2829.2,231.6,383.1,2124.9,2830.5,166.7,79.3,20.3
0.091750,358.6,128.1,2368.5,155.0,2833.5,213.3,382.3,2126.1,2831.9,166.8,79.5,20.1
0.093750,357.9,128.4,2334.5,160.2,2827.1,209.7,381.5,2127.4,2833.3,166.9,79.7,19.8
0.095750,356.6,131.1,2277.2,172.4,2805.8,210.5,380.6,2128.7,2834.7,167,79.8,19.2
0.097750,354.2,132.1,2204.6,167.3,2780.5,203.4,379.7,2129.9,2836.1,167.1,79.9,18.5
0.099750,350.8,127.9,2143.0,145.9,2760.0,199.3,378.9,2131.2,2837.6,167.3,79.9,17.3
0.101750,346.2,119.2,2100.3,134.1,2736.2,210.8,378,2132.6,2839.1,167.5,79.8,16
0.103750,340.1,110.1,2066.2,147.7,2698.8,240.4,377,2133.9,2840.6,167.7,79.6,14.6
0.105750,332.3,101.1,2018.6,202.1,2635.5,280.5,376.1,2135.2,2842.2,167.9,79.4,13.5
0.107750,323.2,89.9,1931.6,301.6,2556.6,279.2,375.2,2136.6,2843.8,168.1,79.2,12.8
0.109750,315.9,77.2,1798.6,396.1,2512.2,221.9,374.3,2138,2845.4,168.4,79.1,12
0.111750,314.0,68.4,1652.8,478.1,2511.4,172.5,373.3,2139.3,2847,168.7,79,11.4
0.113750,315.4,62.7,1504.4,524.9,2525.0,146.5,372.4,2140.7,2848.6,169,79.1,11.3
0.115750,317.1,55.8,1385.5,483.7,2538.2,141.2,371.4,2142.1,2850.2,169.3,79.2,11.8
0.117750,318.7,50.6,1329.1,425.6,2546.2,157.8,370.5,2143.5,2851.9,169.6,79.4,13.3
0.119750,320.4,48.5,1303.0,395.9,2550.9,190.9,369.5,2144.9,2853.6,170,79.6,16.2
0.121750,322.4,49.0,1291.0,398.9,2556.5,238.5,368.5,2146.3,2855.3,170.3,79.8,19.8
0.123750,325.0,52.1,1296.8,434.8,2564.2,296.8,367.5,2147.7,2857,170.6,79.9,23.5
0.125750,327.8,55.7,1319.5,487.2,2573.9,360.7,366.6,2149.1,2858.7,171,80,26.3
0.127750,329.9,57.1,1341.0,517.4,2587.2,412.7,365.6,2150.4,2860.4,171.4,80.1,27.7
0.129750,331.2,56.4,1349.9,512.6,2610.0,442.2,364.6,2151.8,2862.2,171.7,80.2,27.8
0.131750,331.8,55.5,1355.1,487.7,2643.2,437.1,363.6,2153.2,2863.9,172.1,80.2,27.2
0.133750,331.6,55.7,1363.7,467.0,2670.7,401.9,362.7,2154.6,2865.7,172.4,80.3,26.3
0.135750,331.2,57.0,1374.0,469.3,2683.2,362.8,361.7,2155.9,2867.4,172.8,80.3,25.6
0.137750,330.8,58.3,1379.8,502.1,2681.1,342.6,360.7,2157.3,2869.2,173.2,80.3,25.6
0.139750,330.5,58.7,1376.0,554.5,2668.0,338.8,359.8,2158.6,2871,173.5,80.3,25.9
0.141750,330.7,58.9,1366.4,606.6,2652.1,334.8,358.8,2159.9,2872.7,173.9,80.2,26.4
0.143750,331.4,60.3,1367.7,645.0,2647.7,323.1,357.8,2161.2,2874.5,174.2,80.2,26.9
0.145750,333.2,63.9,1394.8,664.6,2657.0,303.5,356.9,2162.5,2876.3,174.5,80.2,27.4
0.147750,336.5,69.4,1439.1,646.7,2666.0,277.3,356,2163.7,2878,174.8,80.2,27.8
0.149750,341.0,75.3,1473.2,596.6,2665.3,250.8,355.1,2165,2879.8,175.2,80.2,28.1
0.151750,345.4,79.1,1486.4,546.3,2664.1,231.3,354.1,2166.2,2881.5,175.5,80.2,28.5
0.153750,347.8,79.6,1488.5,519.1,2675.7,224.4,353.2,2167.3,2883.3,175.8,80.3,28.8
0.155750,348.1,77.2,1492.1,511.3,2700.8,233.3,352.4,2168.5,2885,176.1,80.3,29
0.157750,347.7,73.9,1504.8,512.3,2726.5,263.9,351.5,2169.6,2886.8,176.4,80.3,29
0.159750,347.5,71.4,1527.6,512.3,2739.4,317.7,350.6,2170.7,2888.5,176.7,80.4,28.9
0.161750,347.0,69.3,1552.0,512.8,2732.8,374.4,349.8,2171.8,2890.2,177,80.4,28.7
0.163750,346.6,67.5,1568.4,516.0,2715.5,399.0,349,2172.8,2891.9,177.3,80.5,28.5
0.165750,346.5,66.2,1576.8,517.1,2701.5,389.9,348.1,2173.8,2893.6,177.6,80.5,28.3
0.167750,347.2,65.7,1578.3,511.5,2698.2,369.6,347.4,2174.8,2895.3,177.9,80.6,28.2
0.169750,348.4,65.7,1573.4,494.4,2702.6,352.0,346.6,2175.7,2896.9,178.2,80.6,28.4
0.171750,349.8,66.3,1563.2,464.0,2708.8,338.6,345.8,2176.6,2898.6,178.5,80.6,28.6
0.173750,351.5,67.3,1552.2,436.0,2713.0,331.3,345.1,2177.4,2900.2,178.8,80.6,28.8
0.175750,353.0,68.6,1543.2,431.5,2716.9,333.6,344.4,2178.2,2901.8,179.1,80.6,28.7
0.177750,352.7,69.3,1552.5,464.5,2721.2,360.0,343.7,2178.9,2903.4,179.4,80.6,28.3
0.179750,350.3,69.0,1620.7,503.9,2705.6,430.0,343.1,2179.6,2904.9,179.7,80.6,27.5
0.181750,345.7,64.8,1712.4,526.2,2638.5,515.9,342.4,2180.3,2906.5,180,80.6,26.5
0.183750,342.0,59.0,1740.6,610.0,2182.4,2845.2,341.8,2180.8,2908,180.3,80.5,25.4
0.185750,341.3,59.1,1721.3,659.0,2342.1,852.7,341.2,2181.4,2909.4,180.7,80.6,24.4
0.187750,343.1,69.6,1837.6,660.7,2278.1,874.9,340.7,2181.9,2910.9,181,80.6,23.6
0.189750,346.8,86.4,2008.2,396.9,2416.3,2061.2,340.2,2182.3,2912.3,181.3,80.6,22.9
0.191750,350.3,95.2,2070.5,247.4,2901.1,203.1,339.7,2182.7,2913.7,181.6,80.6,22.3
0.193750,350.7,85.6,2123.6,209.6,2930.2,111.8,339.2,2183,2915.1,182,80.5,21.7
0.195750,348.8,67.9,2190.1,235.7,2955.0,76.6,338.8,2183.3,2916.4,182.3,80.5,21.3
0.197750,348.3,57.4,2294.9,307.5,2975.8,68.1,338.4,2183.5,2917.7,182.6,80.5,20.9
0.199750,351.3,58.5,2448.9,364.8,2997.5,74.9,338,2183.6,2919,182.9,80.4,20.6
0.201750,360.2,66.3,2580.9,373.4,3019.4,93.7,337.7,2183.7,2920.2,183.3,80.3,20.3
0.203750,370.8,68.9,2626.0,409.9,3031.1,114.4,337.4,2183.7,2921.4,183.6,80.2,20.2
0.205750,376.7,68.2,2606.7,485.1,3030.3,137.8,337.1,2183.6,2922.5,183.9,80.2,20.3
0.207750,377.8,68.8,2608.0,541.3,3018.3,193.2,336.9,2183.5,2923.6,184.2,80.1,20.7
0.209750,376.4,70.1,2690.2,597.3,2984.8,309.1,336.7,2183.3,2924.7,184.5,80,21.5
0.211750,375.0,70.7,2854.3,336.5,2915.3,828.7,336.6,2183,2925.7,184.7,79.9,22.6
0.213750,374.9,71.0,2836.0,225.8,3058.1,1278.5,336.5,2182.6,2926.7,185,79.8,23.6
0.215750,376.1,71.9,2836.2,190.0,3204.4,1698.2,336.4,2182.2,2927.7,185.2,79.6,24.4
0.217750,378.1,73.3,2845.9,191.1,3254.6,1855.9,336.4,2181.7,2928.6,185.5,79.5,24.6
0.219750,380.9,74.4,2866.8,203.3,3196.4,1755.5,336.4,2181.2,2929.4,185.7,79.3,24.3
0.221750,384.4,74.9,2886.5,211.2,3155.6,1644.9,336.4,2180.5,2930.2,185.9,79.2,23.7
0.223750,387.9,74.3,2889.8,218.0,3213.7,1651.9,336.5,2179.8,2931,186.1,79,23
0.225750,391.4,72.5,2866.6,233.0,3417.9,1724.5,336.6,2179,2931.7,186.3,78.9,22.5
0.227750,394.7,68.7,2810.0,254.0,3715.5,1644.0,336.8,2178.1,2932.4,186.5,78.7,22.2
0.229750,397.3,63.4,2734.5,259.5,3976.8,1396.5,337,2177.2,2933,186.6,78.5,22
0.231750,397.6,59.5,2675.7,253.8,4125.5,257.2,337.3,2176.1,2933.5,186.8,78.4,22
0.233750,395.2,58.9,2641.5,251.1,4147.8,287.3,337.6,2175,2934,186.9,78.2,22
0.235750,390.9,60.9,2618.0,242.3,4161.7,1174.5,337.9,2173.8,2934.5,187,78.1,21.9
0.237750,384.8,64.5,2611.2,216.9,4258.8,236.5,338.3,2172.5,2934.9,187.1,78,21.8
0.239750,378.4,67.2,2615.8,188.5,4252.8,274.7,338.8,2171.1,2935.3,187.1,77.8,21.7
0.241750,374.9,68.9,2618.5,181.4,4182.4,331.2,339.3,2169.7,2935.6,187.2,77.7,21.5
0.243750,373.0,71.3,2615.3,184.3,4094.1,320.3,339.8,2168.1,2935.8,187.3,77.6,21.4
0.245750,371.1,75.7,2608.0,186.1,4028.0,273.7,340.4,2166.5,2936,187.3,77.4,21.3
0.247750,367.3,81.7,2609.1,193.1,3988.3,242.9,341,2164.8,2936.1,187.4,77.2,21.2
0.249750,359.6,86.6,2640.0,222.2,3966.6,253.2,341.7,2162.9,2936.2,187.4,77,21.2
0.251750,350.6,88.8,2716.2,271.9,3976.9,321.2,342.4,2161,2936.2,187.5,76.8,21.4
0.253750,344.4,93.0,2813.8,292.3,4044.9,1900.2,343.2,2159.1,2936.2,187.6,76.6,21.3
0.255750,339.8,100.7,2887.9,254.5,3577.5,1872.3,344,2157,2936,187.6,76.3,21
0.257750,335.5,110.1,2917.4,229.3,3226.2,1637.6,344.8,2154.8,2935.9,187.7,76.1,20.1
0.259750,326.7,113.4,2928.7,234.5,2950.1,1446.4,345.7,2152.6,2935.7,187.8,75.8,18.6
0.261750,312.3,98.0,2731.6,1979.0,2902.3,227.5,346.7,2150.2,2935.4,187.9,75.5,16.7
0.263750,305.3,90.1,2314.4,2028.1,2838.0,257.4,347.7,2147.8,2935,188.1,75.1,14.8
0.265750,305.6,101.1,2508.0,1968.7,2745.0,284.9,348.8,2145.2,2934.6,188.2,74.7,13.3
0.267750,311.4,119.5,2684.3,236.5,2803.0,2084.2,349.9,2142.6,2934.2,188.4,74.3,12.6
0.269750,319.1,132.4,2666.4,185.8,2984.8,2051.6,351,2139.9,2933.7,188.6,73.8,12.4
0.271750,323.2,132.0,2665.3,161.6,2957.1,1937.2,352.2,2137.1,2933.1,188.9,73.4,12.6
0.273750,320.1,121.0,2672.9,166.6,2795.2,1707.6,353.5,2134.2,2932.4,189.1,73.1,13
