time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025917,307.9,93.1,1392.6,581.2,2524.2,514.2,501.9,1531.1,2354.3,179.1,61.6,-200
0.027917,306.0,82.5,1390.8,635.1,2679.2,683.6,501.9,1531.2,2354.4,178.3,64.7,-168.9
0.029917,312.9,99.2,1460.5,500.3,2807.2,642.4,501.9,1531.3,2354.5,177.6,67.3,-123.2
0.031917,323.3,118.7,1468.4,415.0,2885.4,813.4,501.9,1531.4,2354.7,176.7,69.3,-72.5
0.033917,324.4,128.8,1479.6,457.6,3082.9,1595.6,501.9,1531.6,2355,175.9,71,-26.8
0.035917,316.1,125.5,1498.3,617.7,2461.8,2408.4,501.9,1531.8,2355.3,175.1,72.3,4.2
0.037917,305.9,104.5,1381.4,820.4,2130.6,1286.9,501.9,1532.1,2355.7,174.3,73.3,17.2
0.039917,301.7,83.9,1336.9,521.2,2255.1,690.7,502,1532.4,2356.1,173.5,74.2,18.7
0.041917,306.3,85.4,1361.7,312.6,2301.7,459.6,502,1532.7,2356.6,172.8,74.8,13.7
0.043917,318.9,115.8,1367.0,226.0,2331.1,390.6,502,1533.1,2357.2,172,75.4,7.1
0.045917,339.2,173.3,1363.7,177.3,2384.2,370.1,502,1533.5,2357.8,171.3,75.9,3.8
0.047917,367.4,253.5,1365.8,140.3,2462.4,318.0,502.1,1533.9,2358.5,170.6,76.5,3.7
0.049917,414.2,380.1,1377.1,108.4,2525.9,224.3,502.1,1534.4,2359.2,169.9,77,3.6
0.051917,535.2,550.9,1395.6,82.8,2559.2,155.2,502.1,1534.9,2360,169.3,77.6,3.5
0.053917,669.5,525.8,1417.6,67.7,2572.2,128.6,502.2,1535.5,2360.9,168.7,78.1,3.6
0.055917,739.9,481.7,1443.3,59.8,2575.3,127.6,502.2,1536.1,2361.8,168.2,78.6,4
0.057917,780.3,479.4,1466.7,56.5,2573.0,142.7,502.2,1536.7,2362.7,167.7,79.1,4.8
0.059917,807.9,510.3,1485.9,56.5,2568.9,168.1,502.3,1537.4,2363.7,167.2,79.4,5.8
0.061917,826.2,580.0,1502.0,60.9,2567.0,201.2,502.3,1538.1,2364.8,166.8,79.7,7.1
0.063917,836.3,672.1,1515.9,68.8,2571.8,228.5,502.4,1538.9,2365.9,166.4,79.9,8.3
0.065917,849.4,732.6,1530.3,76.5,2580.7,238.3,502.4,1539.7,2367.1,166.1,79.9,9.3
0.067917,877.1,697.0,1545.4,79.3,2581.6,234.8,502.5,1540.5,2368.3,165.8,79.9,10.1
0.069917,905.6,615.8,1562.8,80.0,2571.8,234.7,502.5,1541.4,2369.6,165.5,79.9,10.7
0.071917,918.6,557.8,1583.3,83.3,2554.7,253.7,502.6,1542.2,2370.9,165.3,79.8,11.3
0.073917,912.2,553.8,1602.4,89.4,2539.6,291.4,502.7,1543.2,2372.3,165.1,79.8,11.9
0.075917,890.7,601.1,1619.4,96.5,2546.3,321.0,502.7,1544.1,2373.7,164.9,79.8,12.4
0.077917,858.2,672.2,1631.9,100.7,2577.9,311.5,502.8,1545.1,2375.1,164.8,79.7,13.1
0.079917,824.7,712.4,1640.9,99.9,2604.9,286.5,502.9,1546.2,2376.6,164.7,79.8,13.7
0.081917,831.1,671.4,1649.3,93.1,2607.4,284.4,502.9,1547.2,2378.2,164.6,79.8,14.3
0.083917,852.7,602.7,1660.6,87.0,2587.3,302.1,503,1548.3,2379.8,164.5,79.8,14.7
0.085917,861.9,565.8,1677.8,86.7,2557.2,326.6,503.1,1549.5,2381.4,164.5,79.9,14.9
0.087917,861.4,564.5,1698.0,89.4,2527.4,349.1,503.1,1550.6,2383.1,164.4,80,14.6
