time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025427,270.3,87.5,1424.6,875.1,2670.7,476.6,569.1,1502.5,2644.7,172.8,62.3,-168.2
0.027427,276.9,97.1,1226.2,1135.9,2651.9,501.1,569.2,1502.5,2644.7,172.6,64.7,-121.4
0.029427,283.0,110.3,1071.7,1079.6,2652.4,508.7,569.3,1502.6,2644.8,172.3,66.7,-69.6
0.031427,284.8,107.2,1067.9,837.3,2675.0,507.4,569.6,1502.8,2644.8,172.1,68.3,-22.7
0.033427,285.6,93.6,1138.8,606.7,2715.7,446.1,569.8,1502.9,2644.9,171.9,69.6,9.2
0.035427,287.5,80.7,1196.7,436.4,2736.3,344.6,570.2,1503.1,2645,171.6,70.6,22.7
0.037427,291.5,72.2,1235.1,332.7,2737.8,264.4,570.6,1503.3,2645.1,171.4,71.4,24.2
0.039427,297.0,68.8,1267.6,279.5,2731.7,216.4,571.1,1503.6,2645.2,171.3,71.9,19.3
0.041427,301.9,68.9,1300.8,254.8,2723.4,191.1,571.6,1503.9,2645.3,171.1,72.4,13.1
0.043427,305.4,71.2,1333.6,244.5,2714.6,177.5,572.2,1504.2,2645.5,170.9,72.7,10.9
0.045427,308.0,75.6,1360.2,242.8,2707.7,167.4,572.9,1504.6,2645.6,170.8,73,13.2
0.047427,310.2,82.2,1381.4,243.8,2703.1,158.2,573.6,1505,2645.8,170.7,73.3,16.3
0.049427,312.2,89.6,1395.0,242.4,2701.6,153.2,574.4,1505.5,2646,170.7,73.6,19.8
0.051427,313.2,94.8,1398.8,237.0,2703.3,154.0,575.3,1505.9,2646.2,170.6,73.9,23
0.053427,311.5,94.0,1392.0,230.3,2706.8,165.7,576.2,1506.4,2646.4,170.6,74.2,25.4
0.055427,307.7,87.3,1377.3,225.7,2708.5,193.8,577.1,1507,2646.6,170.6,74.5,27.1
0.057427,304.3,79.2,1358.4,223.3,2705.7,235.1,578.2,1507.6,2646.8,170.7,74.7,28.3
0.059427,302.3,73.4,1339.9,223.6,2700.5,266.6,579.2,1508.2,2647.1,170.7,75,29
0.061427,302.2,71.4,1327.6,227.9,2699.7,261.7,580.4,1508.8,2647.3,170.8,75.2,29.4
0.063427,303.4,73.7,1325.8,238.1,2703.4,229.7,581.6,1509.5,2647.6,171,75.4,29.5
0.065427,305.2,79.4,1338.2,256.4,2705.1,213.1,582.8,1510.2,2647.9,171.1,75.6,29.3
0.067427,306.9,87.5,1366.7,302.5,2693.3,259.9,584.2,1511,2648.2,171.3,75.8,28.9
0.069427,309.0,100.8,1399.1,381.8,2640.1,396.6,585.5,1511.8,2648.5,171.5,76,28.1
0.071427,315.6,140.7,1400.8,410.5,2554.9,458.6,586.9,1512.6,2648.8,171.7,76.3,26.7
0.073427,332.4,242.3,1356.3,367.9,2519.7,421.6,588.4,1513.4,2649.2,171.9,76.6,24.6
0.075427,363.3,374.2,1312.5,299.0,2528.6,388.4,589.9,1514.3,2649.5,172.1,77,21.2
0.077427,420.4,473.4,1299.8,230.0,2557.4,363.2,591.5,1515.2,2649.9,172.4,77.4,16.5
0.079427,514.7,553.7,1315.4,171.4,2592.5,346.9,593.2,1516.2,2650.3,172.7,77.9,11.6
0.081427,659.6,549.0,1340.4,119.6,2619.1,350.3,594.8,1517.2,2650.6,172.9,78.3,7.3
0.083427,753.4,465.2,1361.1,83.0,2628.1,382.4,596.6,1518.2,2651,173.2,78.8,4.6
0.085427,805.6,455.0,1377.9,67.8,2631.3,407.0,598.3,1519.2,2651.4,173.5,79.3,3.8
0.087427,858.9,481.9,1396.6,62.9,2647.2,375.6,600.1,1520.3,2651.8,173.8,79.7,4.2
0.089427,922.3,490.8,1417.4,61.5,2671.9,311.1,602,1521.4,2652.3,174.1,80.1,5.5
0.091427,980.1,471.0,1438.2,62.0,2697.4,252.9,603.9,1522.6,2652.7,174.4,80.4,6.9
0.093427,1022.8,441.5,1459.7,65.1,2719.9,211.7,605.9,1523.7,2653.1,174.7,80.7,8.1
0.095427,1048.7,413.3,1483.1,70.5,2733.3,188.1,607.9,1524.9,2653.6,175,80.9,9
0.097427,1063.0,387.4,1510.1,75.6,2738.2,175.4,609.9,1526.2,2654,175.4,81.1,10
