time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025708,385.4,252.3,2035.7,818.9,2453.0,236.7,422.9,2251.5,2859.2,168.4,59,-186.5
0.027708,378.8,158.9,1979.7,869.1,2478.7,186.1,422.9,2251.1,2859.1,167.7,62,-145.3
0.029708,382.1,144.4,2051.5,1093.0,2468.6,167.6,423,2250.3,2858.8,166.9,64.6,-94
0.031708,392.3,160.1,2373.7,1139.3,2438.4,185.4,423,2249.3,2858.4,166.1,66.7,-42.8
0.033708,409.4,188.5,2385.2,180.0,2638.8,772.5,423.1,2248,2858,165.4,68.5,-1.9
0.035708,433.3,214.3,2355.6,128.8,2778.1,539.5,423.3,2246.3,2857.4,164.5,69.8,19.7
0.037708,461.9,224.8,2346.5,93.3,2869.8,363.3,423.4,2244.4,2856.8,163.7,70.9,25.9
0.039708,486.7,221.6,2347.3,79.0,2921.1,250.5,423.6,2242.2,2856,162.9,71.8,22.5
0.041708,507.5,206.5,2353.0,75.7,2946.4,191.9,423.7,2239.7,2855.2,162,72.5,14.9
0.043708,524.8,170.9,2359.7,75.6,2960.2,158.2,423.9,2236.9,2854.2,161.2,73.1,8.3
0.045708,534.0,130.8,2362.9,77.9,2966.3,139.6,424.2,2233.9,2853.2,160.3,73.7,6.7
0.047708,537.4,102.8,2362.4,85.3,2967.7,136.4,424.4,2230.5,2852.1,159.5,74.2,6
0.049708,538.7,93.0,2361.2,91.2,2964.7,154.7,424.7,2226.9,2850.8,158.7,74.7,5.5
0.051708,540.2,96.3,2363.2,87.8,2955.6,194.4,425,2223,2849.5,157.8,75.2,5.2
0.053708,540.8,108.3,2370.5,82.2,2936.2,244.5,425.3,2218.8,2848.1,157,75.6,5.2
0.055708,539.4,124.6,2380.1,78.8,2913.3,258.3,425.6,2214.3,2846.5,156.2,76,5.6
0.057708,536.7,144.6,2388.3,73.7,2900.7,233.7,425.9,2209.6,2844.9,155.5,76.4,6.6
0.059708,533.9,163.7,2392.7,67.7,2899.7,212.3,426.3,2204.6,2843.2,154.7,76.7,8
0.061708,531.6,176.7,2394.4,64.5,2900.3,212.3,426.7,2199.3,2841.4,154,77,9.4
0.063708,531.3,186.9,2395.5,64.9,2892.3,234.8,427.1,2193.8,2839.5,153.2,77.3,10.8
0.065708,534.7,196.0,2396.6,66.6,2871.2,265.8,427.5,2188,2837.6,152.5,77.5,11.8
0.067708,541.4,200.6,2397.1,65.3,2846.8,274.6,427.9,2182,2835.5,151.9,77.6,12.8
0.069708,549.2,195.3,2396.6,58.4,2846.2,236.6,428.4,2175.7,2833.3,151.2,77.8,13.8
0.071708,555.0,181.1,2394.9,52.1,2867.9,177.3,428.8,2169.2,2831.1,150.6,77.8,14.5
0.073708,555.0,169.8,2387.8,56.5,2887.6,132.0,429.3,2162.4,2828.8,150,77.8,14.7
0.075708,543.8,180.4,2367.1,82.1,2891.2,121.4,429.8,2155.4,2826.4,149.4,77.8,14.2
0.077708,514.8,206.1,2323.0,140.1,2881.5,136.6,430.3,2148.2,2823.9,148.8,77.7,12.8
