time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025479,1220.5,2270.7,2457.6,161.4,3496.4,871.4,531.5,2064.2,2646.1,0,53.2,-203.3
0.027479,2115.4,2297.3,2471.7,239.6,3562.5,1028.4,531.4,2064,2646.3,0,55.9,-210
0.029479,189.0,364.9,2242.5,1199.6,2529.8,337.9,531.1,2063.8,2646.6,0,58.3,-215
0.031479,226.5,190.0,2214.5,1015.7,2576.5,331.0,530.7,2063.4,2647,154.6,60.5,-213.3
0.033479,240.7,134.2,2233.5,1320.5,2576.9,299.1,530.2,2062.9,2647.5,154.5,62.4,-200
0.035479,257.7,135.7,2497.4,2309.1,2586.3,266.0,529.6,2062.4,2648.1,154.4,64.1,-168.4
0.037479,279.5,160.5,2629.7,239.9,2916.4,1923.6,528.8,2061.7,2648.8,154.3,65.5,-121.8
0.039479,299.2,173.3,2682.9,200.6,2809.7,2275.5,528,2061,2649.7,154.3,66.7,-70.2
0.041479,302.5,153.7,2014.3,3545.8,2709.5,179.8,527.1,2060.1,2650.6,154.2,67.7,-23.5
0.043479,298.9,125.8,1640.9,1679.2,2706.4,203.8,526,2059.1,2651.7,154.2,68.4,8.3
0.045479,295.9,106.2,1690.5,1109.4,2657.5,281.3,524.9,2058.1,2652.9,154.2,69,22.1
0.047479,294.9,93.9,1735.1,787.2,2561.0,348.7,523.6,2056.9,2654.1,154.2,69.5,24.5
0.049479,297.4,92.5,1788.6,552.8,2493.4,346.7,522.2,2055.7,2655.5,154.2,69.9,20.3
0.051479,307.0,108.7,1828.6,438.1,2479.3,360.6,520.7,2054.3,2657,154.3,70.2,14.3
0.053479,331.7,146.1,1865.9,407.8,2501.6,443.8,519.2,2052.9,2658.6,154.3,70.6,11.4
0.055479,378.8,204.5,1927.2,372.5,2636.6,536.4,517.5,2051.3,2660.3,154.3,71,11.4
0.057479,449.5,277.0,1964.4,255.5,2740.4,329.0,515.7,2049.7,2662.1,154.4,71.4,11.1
0.059479,549.0,307.9,1973.6,161.3,2752.2,195.1,513.9,2048,2664,154.5,71.8,10.7
0.061479,608.4,270.8,1984.7,113.9,2750.3,150.9,511.9,2046.2,2666,154.6,72.3,10.5
0.063479,633.4,255.0,2000.7,89.5,2745.4,148.0,509.8,2044.2,2668,154.6,72.8,10.6
0.065479,640.4,264.0,2016.2,81.4,2736.2,175.2,507.7,2042.3,2670.2,154.7,73.2,11.4
0.067479,631.6,278.6,2031.3,84.7,2721.9,224.1,505.5,2040.2,2672.5,154.8,73.6,12.5
0.069479,611.5,280.9,2048.3,93.9,2700.0,289.7,503.1,2038,2674.8,154.9,73.9,13.8
0.071479,596.8,269.7,2062.1,101.6,2673.7,354.9,500.7,2035.8,2677.3,155,74.2,15
0.073479,592.9,260.5,684.3,5139.6,2070.7,104.7,498.2,2033.5,2679.8,155,74.4,16
0.075479,593.0,260.5,2076.9,104.3,2660.8,448.0,495.7,2031,2682.4,155.1,74.6,16.6
0.077479,590.4,266.8,2083.1,105.2,2704.8,471.9,493,2028.6,2685.1,155.2,74.8,17.1
