time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025187,300.2,177.9,1569.9,317.6,2611.4,784.1,150.4,1894.2,2824.2,0,56.1,-200
0.027187,282.5,155.6,1573.4,304.9,2502.3,742.0,150.6,1894.1,2824.2,0,57.3,-200
0.029187,268.2,160.7,1568.3,272.6,2456.9,701.0,151,1893.9,2824.2,0,58.6,-203.4
0.031187,255.2,191.3,1557.1,244.2,2471.8,712.2,151.6,1893.7,2824.1,0,60.1,-210.1
0.033187,246.4,208.2,1543.8,235.6,2546.6,758.6,152.3,1893.4,2824.1,197.9,62.2,-215.1
0.035187,247.7,158.0,1531.4,256.9,2647.5,743.9,153.1,1893,2824.1,197.1,64.5,-213.4
0.037187,246.8,108.5,1521.0,340.8,2708.4,668.9,154.1,1892.5,2824.1,196.3,66.8,-200
0.039187,243.4,86.3,1522.1,542.2,2711.2,619.4,155.3,1892,2824,195.4,68.8,-168.2
0.041187,239.5,79.1,1569.6,900.8,2692.7,636.9,156.6,1891.4,2824,194.5,70.6,-121.3
0.043187,235.0,74.2,1713.8,1189.9,2701.7,715.4,158,1890.7,2824,193.6,72,-69.3
0.045187,229.9,66.8,1772.3,1094.6,2768.4,780.4,159.6,1890,2823.9,192.6,73.2,-22.3
0.047187,226.0,62.1,1734.0,906.1,2866.7,791.2,161.4,1889.2,2823.9,191.7,74,9.9
0.049187,224.9,63.5,1688.0,761.6,2956.7,782.9,163.3,1888.4,2823.8,190.7,74.7,24
0.051187,226.4,70.9,1661.0,677.9,3003.4,812.0,165.4,1887.4,2823.7,189.8,75.1,26.6
0.053187,230.9,84.4,1668.5,598.8,3013.7,898.2,167.6,1886.5,2823.7,188.8,75.4,22.6
0.055187,240.3,103.8,1693.5,459.7,3057.6,961.6,169.9,1885.4,2823.6,187.9,75.6,17
0.057187,258.7,123.8,1700.8,315.8,3153.6,921.6,172.4,1884.3,2823.5,187,75.8,14.6
0.059187,280.6,127.6,1690.6,242.4,3223.9,821.3,175.1,1883.1,2823.4,186.1,76,15.6
0.061187,292.4,122.2,1669.2,243.6,3226.4,772.2,177.9,1881.9,2823.4,185.3,76.2,16.6
0.063187,295.5,120.9,1630.5,301.2,3169.8,764.2,180.8,1880.6,2823.3,184.4,76.4,17.5
0.065187,294.9,122.8,1576.9,378.8,3100.0,745.5,183.8,1879.2,2823.2,183.7,76.6,18.4
0.067187,289.4,123.5,1524.6,470.5,3046.9,773.7,187.1,1877.8,2823.1,182.9,76.8,19.3
0.069187,278.6,116.0,1485.8,612.2,2958.3,934.0,190.4,1876.3,2823,182.2,77,20
0.071187,269.9,101.5,1424.3,783.5,2751.5,1076.9,193.9,1874.8,2822.8,181.5,77.2,20.6
0.073187,266.7,89.6,1321.2,810.1,2555.5,950.4,197.5,1873.2,2822.7,180.9,77.4,21.2
0.075187,267.5,84.3,1266.6,742.1,2486.9,816.0,201.2,1871.6,2822.6,180.3,77.7,21.7
0.077187,270.5,83.0,1241.9,713.1,2475.5,783.7,205.1,1869.9,2822.5,179.8,77.9,22.3
0.079187,274.7,85.1,1253.3,744.0,2502.6,815.3,209.1,1868.1,2822.3,179.3,78.1,22.9
0.081187,280.8,93.0,1364.9,830.8,2560.6,791.1,213.2,1866.3,2822.2,178.8,78.3,23.7
0.083187,289.6,106.9,1614.3,750.3,2649.2,636.0,217.4,1864.5,2822,178.4,78.4,24.4
0.085187,297.6,117.8,1804.1,528.6,2728.1,457.9,221.8,1862.6,2821.8,178,78.6,24.8
0.087187,302.9,120.9,1935.6,372.1,2787.3,342.5,226.3,1860.7,2821.7,177.6,78.7,24.7
0.089187,307.1,116.8,2033.0,270.2,2836.2,274.5,230.9,1858.7,2821.5,177.2,78.9,23.8
0.091187,309.9,105.6,2102.5,209.3,2879.2,235.9,235.6,1856.7,2821.3,176.9,79.1,22.2
0.093187,309.3,87.0,2153.7,192.0,2920.7,224.5,240.4,1854.7,2821.1,176.6,79.4,20.4
0.095187,307.8,69.2,2189.7,215.6,2949.0,232.4,245.4,1852.6,2820.9,176.3,79.6,18.8
0.097187,307.9,57.4,2222.7,274.1,2964.3,246.6,250.4,1850.4,2820.7,176.1,79.8,17.9
0.099187,309.5,52.3,2269.3,360.4,2976.3,262.2,255.6,1848.3,2820.5,175.8,80,17.9
0.101187,311.7,52.1,2349.1,453.2,2993.1,286.9,260.8,1846.1,2820.3,175.6,80.2,18.5
0.103187,314.3,54.2,2461.5,515.7,3012.5,333.0,266.2,1843.8,2820.1,175.3,80.3,19.4
0.105187,316.3,55.6,2562.6,557.9,3017.9,404.3,271.6,1841.6,2819.8,175.1,80.4,20.3
0.107187,317.5,55.8,2649.5,624.4,2997.2,496.1,277.1,1839.3,2819.6,174.9,80.5,21
0.109187,318.3,56.8,2702.1,636.3,3000.8,578.9,282.8,1837,2819.3,174.7,80.5,21.4
0.111187,319.5,60.1,2670.9,541.2,3103.7,560.1,288.5,1834.7,2819,174.5,80.6,21.7
0.113187,320.9,65.0,2634.9,446.1,3198.3,439.7,294.3,1832.3,2818.8,174.3,80.6,22
0.115187,321.5,68.4,2624.9,398.9,3242.2,365.7,300.2,1829.9,2818.5,174.1,80.7,22.2
0.117187,320.7,69.1,2630.2,398.0,3262.0,363.2,306.2,1827.5,2818.2,173.9,80.7,22.4
0.119187,319.0,68.0,2642.7,427.5,3270.6,422.3,312.2,1825.1,2817.9,173.7,80.8,22.7
0.121187,317.6,67.8,2658.1,455.9,3274.7,521.4,318.3,1822.7,2817.6,173.5,80.8,22.9
0.123187,317.5,70.1,2669.6,451.9,3283.8,604.6,324.5,1820.2,2817.2,173.4,80.9,23.2
0.125187,318.3,74.0,2669.2,421.0,3299.5,606.8,330.8,1817.8,2816.9,173.2,80.9,23.4
0.127187,318.7,76.4,2661.2,392.6,3308.0,575.7,337.1,1815.3,2816.6,173,81,23.5
0.129187,317.2,75.6,2646.8,385.6,3300.4,570.1,343.5,1812.9,2816.2,172.8,81,23.7
0.131187,314.4,72.5,2630.5,395.6,3279.4,598.8,350,1810.4,2815.8,172.6,81.1,23.8
0.133187,312.0,69.6,2625.0,405.7,3252.2,665.8,356.5,1807.9,2815.5,172.4,81.2,24
0.135187,310.8,67.9,2639.5,399.9,3224.4,788.6,363,1805.4,2815.1,172.2,81.2,24
0.137187,310.5,66.5,2661.8,372.6,3191.7,988.0,369.6,1802.9,2814.7,172.1,81.2,24
0.139187,310.8,64.2,2664.7,343.2,3144.2,1203.4,376.3,1800.5,2814.3,171.9,81.3,23.8
0.141187,311.0,61.0,2629.6,336.1,3074.7,1289.5,383,1798,2813.8,171.7,81.3,23.5
0.143187,310.7,57.2,2544.6,326.8,3002.6,1211.8,389.7,1795.5,2813.4,171.5,81.3,23.2
0.145187,310.4,54.5,2445.5,272.2,2930.8,1094.6,396.5,1793.1,2812.9,171.3,81.3,22.9
0.147187,310.4,54.1,2372.2,209.1,2836.9,972.4,403.3,1790.7,2812.5,171.2,81.3,22.6
0.149187,310.9,55.9,2327.3,179.6,2732.7,873.5,410.1,1788.2,2812,171,81.3,22.5
0.151187,311.4,58.8,2297.8,194.1,2606.5,836.1,417,1785.8,2811.5,170.8,81.3,22.4
0.153187,311.4,60.5,2283.6,278.3,2404.1,793.1,423.9,1783.4,2811,170.7,81.3,22.3
0.155187,310.6,58.7,2118.0,704.6,2334.8,334.1,430.8,1781,2810.5,170.5,81.2,22.2
0.157187,309.5,54.9,1955.9,648.0,2334.3,338.9,437.7,1778.7,2810,170.3,81.1,21.8
0.159187,308.4,53.2,1905.9,625.1,2314.4,456.8,444.6,1776.3,2809.4,170.2,80.9,20.9
0.161187,307.6,58.0,1950.0,567.5,2328.5,850.8,451.6,1774,2808.9,170.1,80.6,19.7
0.163187,308.3,71.7,1933.9,504.4,2604.8,1271.5,458.5,1771.8,2808.3,169.9,80.3,18.4
0.165187,307.8,84.5,1847.1,766.9,2750.2,1356.3,465.5,1769.5,2807.7,169.8,80,17.4
0.167187,303.3,85.5,1465.6,912.8,2743.0,1185.0,472.4,1767.3,2807.1,169.7,79.7,17.2
0.169187,300.0,83.1,1321.3,636.8,2892.1,1057.1,479.4,1765.1,2806.5,169.6,79.5,18
0.171187,298.8,85.1,1287.0,508.7,3007.1,1064.7,486.4,1762.9,2805.9,169.5,79.2,19.5
0.173187,297.5,88.0,1266.2,430.0,2997.2,1125.1,493.3,1760.8,2805.2,169.5,79.1,21.4
0.175187,296.2,88.6,1249.3,363.5,2915.3,1007.7,500.2,1758.7,2804.6,169.4,78.9,23.2
0.177187,295.8,87.4,1238.7,303.7,2874.0,804.9,507.1,1756.6,2803.9,169.4,78.8,24.6
0.179187,296.8,85.4,1232.8,257.2,2856.3,656.0,514,1754.6,2803.2,169.4,78.7,25.6
0.181187,298.8,83.8,1229.1,227.8,2833.7,571.5,520.9,1752.6,2802.5,169.4,78.7,26.3
0.183187,300.7,82.9,1226.5,213.4,2786.5,535.2,527.7,1750.7,2801.8,169.4,78.6,26.9
0.185187,302.0,82.3,1225.2,208.2,2715.1,525.9,534.6,1748.8,2801.1,169.5,78.5,27.4
0.187187,303.3,82.6,1227.0,206.2,2638.0,512.0,541.3,1747,2800.3,169.5,78.5,27.6
0.189187,305.0,85.0,1233.9,207.8,2581.5,504.7,548.1,1745.2,2799.5,169.6,78.4,27.6
0.191187,307.0,89.1,1244.0,213.4,2549.4,535.6,554.8,1743.4,2798.8,169.7,78.4,27.4
0.193187,309.4,93.6,1254.5,220.2,2527.0,604.0,561.5,1741.8,2798,169.8,78.4,27.1
0.195187,312.1,97.3,1264.4,223.7,2496.0,645.0,568.1,1740.1,2797.2,169.9,78.4,26.7
0.197187,315.1,99.9,1273.8,222.3,2449.0,616.3,574.7,1738.5,2796.3,170,78.4,26.5
0.199187,318.2,100.9,1281.0,217.5,2395.8,553.3,581.2,1737,2795.5,170.1,78.4,26.4
0.201187,321.0,101.1,1286.3,213.1,2350.8,497.0,587.7,1735.5,2794.6,170.2,78.5,26.4
0.203187,323.5,102.7,1291.7,210.8,2326.0,457.3,594.1,1734.1,2793.7,170.4,78.5,26.4
0.205187,326.1,106.7,1296.9,210.5,2323.2,440.5,600.5,1732.7,2792.9,170.5,78.5,26.4
0.207187,328.3,111.3,1300.8,211.7,2326.9,454.4,606.8,1731.4,2791.9,170.7,78.6,26.3
0.209187,329.7,114.0,1301.3,213.7,2320.6,507.6,613,1730.1,2791,170.8,78.6,26
0.211187,330.7,115.7,1299.9,214.7,2297.5,580.9,619.2,1728.9,2790.1,170.9,78.7,25.7
0.213187,331.5,119.0,1300.5,213.5,2269.2,634.9,625.3,1727.8,2789.1,171.1,78.7,25.4
0.215187,332.0,122.4,1302.3,209.4,2250.9,653.1,631.4,1726.7,2788.1,171.2,78.7,25
0.217187,332.2,122.7,1302.5,203.5,2235.6,659.3,637.3,1725.7,2787.2,171.4,78.7,24.9
0.219187,331.1,119.0,1301.7,199.4,2216.5,682.3,643.2,1724.8,2786.1,171.5,78.7,25
0.221187,329.4,114.9,1303.4,199.0,2206.6,744.1,649,1723.9,2785.1,171.7,78.7,25.4
0.223187,327.8,116.3,1311.4,198.8,2242.7,856.6,654.7,1723.1,2784.1,171.8,78.7,25.7
0.225187,327.6,125.3,1322.4,192.0,2340.9,945.0,660.4,1722.3,2783,172,78.7,25.7
0.227187,328.8,137.6,1329.2,180.1,2429.0,949.7,665.9,1721.6,2782,172.1,78.7,25.1
0.229187,331.0,151.1,1334.5,164.8,2488.5,889.0,671.4,1721,2780.9,172.3,78.7,23.8
