time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025396,226.4,90.8,1345.8,1205.9,2730.6,672.6,226.9,2089.2,3000.2,157,65.2,-168.8
0.027396,237.4,105.0,1064.0,1318.7,2738.1,559.2,227,2089.5,3000.3,156.8,67.1,-122.9
0.029396,250.6,120.0,855.7,1273.3,2730.9,522.5,227.1,2089.9,3000.3,156.7,68.7,-71.9
0.031396,264.5,124.3,787.3,1267.5,2727.8,592.8,227.3,2090.6,3000.4,156.5,70,-25.7
0.033396,280.0,121.9,862.4,1660.2,2760.9,659.7,227.6,2091.3,3000.5,156.4,71.1,6.2
0.035396,297.3,115.8,1438.9,1347.2,2778.3,551.0,227.9,2092.3,3000.6,156.3,72.1,20.6
0.037396,311.7,104.5,1608.7,820.6,2757.1,398.0,228.3,2093.5,3000.8,156.2,72.9,23.9
0.039396,315.4,91.8,1735.9,528.4,2739.2,258.3,228.7,2094.8,3000.9,156,73.6,20.9
0.041396,309.8,82.5,1827.6,398.4,2733.0,166.9,229.2,2096.3,3001.1,155.9,74.2,16.2
0.043396,302.8,74.0,1902.5,380.7,2733.1,128.0,229.7,2098,3001.4,155.8,74.6,14.6
0.045396,299.4,68.8,1986.2,427.0,2738.1,118.6,230.3,2099.8,3001.6,155.7,75.1,16
0.047396,299.8,69.3,2106.5,501.4,2751.3,128.2,230.9,2101.8,3001.8,155.7,75.4,17.3
0.049396,303.6,74.3,2285.8,544.1,2779.0,161.4,231.6,2104,3002.1,155.6,75.7,18.6
0.051396,309.7,80.2,2493.1,454.8,2826.9,232.7,232.4,2106.3,3002.4,155.5,75.9,19.6
0.053396,316.2,83.7,2623.8,259.3,2915.7,324.1,233.2,2108.8,3002.7,155.5,76.1,20.3
0.055396,320.9,84.5,2669.7,153.2,3008.4,326.3,234,2111.5,3003.1,155.4,76.3,20.7
0.057396,323.2,84.1,2687.9,114.0,3067.2,299.0,235,2114.3,3003.5,155.3,76.4,20.7
0.059396,324.7,83.1,2695.1,101.4,3108.6,275.9,235.9,2117.3,3003.8,155.3,76.5,20.5
0.061396,326.7,82.5,2700.1,104.9,3139.7,269.2,237,2120.5,3004.2,155.2,76.5,20.3
0.063396,328.7,82.6,2711.1,121.7,3159.6,298.7,238,2123.8,3004.7,155.2,76.6,20.2
0.065396,329.9,83.3,2736.3,140.2,3171.6,394.7,239.2,2127.2,3005.1,155.1,76.7,20.1
0.067396,330.5,84.8,2770.0,134.0,3198.2,599.8,240.4,2130.8,3005.6,155,76.7,20
0.069396,330.8,86.7,2790.0,105.4,3283.4,912.1,241.6,2134.6,3006,154.9,76.8,19.9
0.071396,332.0,88.5,2794.6,89.2,3415.0,1197.4,242.9,2138.4,3006.5,154.8,76.8,19.9
0.073396,335.4,90.7,2796.2,95.4,3476.2,1318.1,244.2,2142.5,3007,154.7,76.8,20
0.075396,340.2,92.8,2800.6,120.0,3410.8,1356.8,245.6,2146.6,3007.6,154.6,76.8,20.3
0.077396,343.5,93.3,2803.8,136.9,3307.5,1443.6,247.1,2150.9,3008.1,154.4,76.8,20.7
0.079396,343.8,92.8,2797.3,114.6,3246.3,1686.3,248.6,2155.4,3008.7,154.2,76.7,21.2
0.081396,341.0,92.7,2786.7,78.5,3261.7,2190.8,250.1,2159.9,3009.2,154,76.7,21.6
0.083396,336.8,91.8,2779.6,58.8,3396.3,2916.0,251.7,2164.6,3009.8,153.8,76.6,21.7
0.085396,333.8,89.2,2776.6,57.3,3623.0,3425.2,253.4,2169.4,3010.4,153.6,76.5,21.5
0.087396,333.2,86.5,2775.6,72.0,3754.3,3268.7,255,2174.3,3011,153.3,76.4,21
0.089396,333.6,84.1,2774.1,102.9,3700.7,2684.2,256.8,2179.3,3011.6,153,76.2,20.4
0.091396,333.4,82.3,2770.6,142.4,3547.0,2098.4,258.6,2184.5,3012.3,152.7,76.1,19.9
0.093396,333.4,81.5,2769.3,177.4,3382.5,1685.2,260.4,2189.7,3012.9,152.3,75.9,19.5
0.095396,334.2,81.6,2775.9,200.2,3231.0,1391.8,262.3,2195.1,3013.6,152,75.6,19.4
0.097396,335.1,80.4,2781.3,215.0,3086.2,1074.2,264.2,2200.5,3014.2,151.6,75.3,19.5
0.099396,335.9,77.3,2770.0,233.0,2991.4,757.9,266.2,2206,3014.9,151.2,75,19.6
0.101396,336.7,74.9,2746.1,225.9,2964.7,592.3,268.2,2211.7,3015.6,150.8,74.6,19.5
0.103396,336.7,74.4,2731.5,193.2,2961.0,581.3,270.3,2217.4,3016.3,150.4,74.2,19.2
