time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025167,739.9,473.3,2183.2,785.6,2622.7,527.8,405.9,2314.1,2853.1,0,42.8,-200
0.027167,728.3,427.9,2179.3,708.9,2568.5,493.7,405.9,2313.9,2853.1,0,43.7,-200
0.029167,730.6,464.7,2184.9,663.2,2503.0,478.0,406.1,2313.4,2852.9,0,46.9,-200
0.031167,729.3,551.9,2148.3,544.1,2484.1,412.3,406.2,2312.7,2852.7,0,47.6,-200
0.033167,715.4,726.3,2115.1,414.7,2485.2,347.1,406.4,2311.8,2852.5,0,50.1,-200
0.035167,654.3,1007.3,2106.2,376.5,2471.9,344.6,406.6,2310.8,2852.2,0,52.8,-200
0.037167,444.3,1328.2,2116.8,382.2,2453.5,401.8,406.9,2309.5,2851.8,196.5,55.5,-200
0.039167,130.8,1328.4,2148.5,336.6,2476.6,518.8,407.3,2308.1,2851.4,195.8,58.1,-203.3
0.041167,284.6,893.3,2162.0,254.2,2572.0,562.2,407.6,2306.5,2850.9,195,60.6,-210
0.043167,364.2,487.1,2171.5,206.4,2669.0,519.0,408.1,2304.7,2850.4,194.2,62.9,-215
0.045167,385.2,277.9,2191.8,203.6,2748.5,502.7,408.5,2302.6,2849.8,193.3,64.9,-213.3
0.047167,406.4,198.6,2238.0,233.4,2841.3,533.7,409,2300.5,2849.2,192.4,66.6,-200
0.049167,444.6,195.1,2305.8,232.3,2938.9,519.1,409.6,2298.1,2848.5,191.5,68.1,-168.3
0.051167,493.3,196.8,2341.8,213.4,2976.9,492.3,410.2,2295.5,2847.7,190.5,69.3,-121.6
0.053167,523.7,170.5,2353.4,221.8,2976.1,495.8,410.8,2292.8,2846.9,189.5,70.3,-70
0.055167,531.0,150.1,2348.0,254.7,2952.9,482.2,411.4,2289.9,2846.1,188.5,71,-23.2
0.057167,528.1,136.4,2316.8,276.3,2926.1,401.3,412.2,2286.8,2845.2,187.5,71.6,8.5
0.059167,522.5,124.7,2273.7,241.8,2911.4,299.4,412.9,2283.5,2844.2,186.4,72.1,22.1
0.061167,518.8,115.9,2251.1,191.7,2899.5,245.5,413.7,2280,2843.2,185.3,72.6,24.1
0.063167,517.4,108.7,2244.5,158.0,2883.2,232.0,414.5,2276.4,2842.1,184.3,73.1,19.5
0.065167,517.5,102.8,2245.9,142.2,2868.4,238.8,415.4,2272.6,2841,183.2,73.7,13.1
0.067167,517.2,97.2,2251.1,132.7,2866.0,245.7,416.3,2268.6,2839.9,182.1,74.2,9.9
0.069167,515.5,92.1,2256.9,124.8,2882.9,239.9,417.3,2264.5,2838.6,181.1,74.8,9.8
0.071167,513.0,87.4,2259.2,117.1,2908.5,217.3,418.2,2260.2,2837.4,180,75.3,9.6
0.073167,510.1,82.7,2255.3,109.6,2928.5,181.4,419.3,2255.7,2836.1,179,75.8,9.3
0.075167,507.3,77.7,2246.5,104.6,2939.7,145.2,420.3,2251.1,2834.7,178,76.3,9
0.077167,504.2,72.2,2232.4,103.3,2946.6,114.8,421.4,2246.3,2833.3,177,76.7,8.8
0.079167,501.2,68.2,2213.9,103.5,2948.7,96.5,422.6,2241.4,2831.9,176,77.1,8.9
0.081167,498.4,66.8,2191.7,100.0,2945.6,85.8,423.7,2236.3,2830.4,175.1,77.4,9.2
0.083167,495.5,67.9,2169.4,91.0,2937.4,78.4,424.9,2231.1,2828.8,174.2,77.6,9.4
0.085167,492.1,70.3,2152.9,81.2,2927.2,72.8,426.1,2225.7,2827.2,173.3,77.6,9.5
0.087167,488.1,74.3,2139.9,74.2,2916.7,68.3,427.4,2220.1,2825.6,172.4,77.6,9.4
0.089167,482.6,82.5,2125.0,71.5,2904.7,66.1,428.7,2214.5,2823.9,171.6,77.3,8.7
0.091167,473.0,98.0,2106.6,73.6,2890.3,68.1,430,2208.7,2822.2,170.8,77,7.5
0.093167,452.9,123.1,2086.4,81.1,2872.9,76.5,431.4,2202.7,2820.4,170,76.6,6.3
0.095167,416.9,143.5,2074.2,103.3,2859.6,101.6,432.8,2196.6,2818.6,169.2,76.1,5.4
0.097167,365.0,133.2,2074.5,173.7,2857.3,181.4,434.2,2190.4,2816.8,168.5,75.7,5.1
0.099167,324.9,108.3,2076.3,309.5,2846.6,358.3,435.6,2184.1,2814.9,167.8,75.4,5.5
0.101167,301.7,95.8,2054.9,429.2,2753.9,477.2,437.1,2177.7,2813,167.2,75.2,6.6
0.103167,288.3,96.8,2007.4,426.1,2724.0,378.7,438.6,2171.1,2811.1,166.6,75.1,7.9
0.105167,279.4,102.1,1945.3,353.9,2729.7,302.7,440.1,2164.4,2809.1,166,75,9.3
0.107167,272.8,108.7,1892.7,273.9,2738.9,249.9,441.7,2157.7,2807,165.5,74.8,10.4
0.109167,269.2,117.9,1866.2,217.2,2739.1,207.1,443.2,2150.8,2805,165,74.7,11.5
0.111167,266.6,126.8,1856.4,178.7,2725.9,179.7,444.8,2143.8,2802.9,164.5,74.5,12.5
0.113167,264.4,126.9,1856.6,158.5,2708.3,181.1,446.4,2136.7,2800.8,164.1,74.3,13.5
0.115167,265.6,119.9,1865.8,163.5,2700.4,220.2,448.1,2129.5,2798.6,163.7,74.1,14.4
0.117167,272.7,116.7,1884.5,197.5,2713.1,300.1,449.7,2122.2,2796.4,163.4,73.9,14.9
0.119167,286.4,121.5,1912.6,266.4,2757.0,392.4,451.4,2114.8,2794.2,163.2,73.8,15.2
0.121167,302.8,129.1,1937.7,354.6,2801.0,417.3,453.1,2107.4,2791.9,162.9,73.5,15.2
0.123167,317.2,132.7,1939.8,442.0,2810.2,395.9,454.8,2099.9,2789.7,162.8,73.3,15
0.125167,322.4,130.9,1910.7,471.2,2801.3,366.1,456.5,2092.3,2787.4,162.7,73,14.7
0.127167,319.8,130.7,1879.1,408.3,2796.4,332.2,458.2,2084.6,2785,162.6,72.7,14.5
0.129167,315.1,139.3,1872.3,312.6,2797.6,313.0,460,2076.9,2782.7,162.6,72.3,14.2
0.131167,310.3,153.9,1880.7,246.1,2814.5,315.0,461.8,2069.1,2780.3,162.6,72,13.9
0.133167,305.9,167.4,1893.8,214.2,2859.0,329.5,463.5,2061.2,2777.9,162.6,71.6,13.5
0.135167,304.6,183.4,1908.7,203.2,2906.4,334.5,465.3,2053.3,2775.5,162.7,71.3,13
0.137167,307.3,214.4,1928.0,203.9,2941.9,308.5,467.1,2045.3,2773.1,162.8,71.2,12.4
0.139167,315.5,267.0,1951.0,207.1,2957.9,264.8,468.9,2037.3,2770.6,163,71.2,11.7
0.141167,334.6,313.0,1968.7,202.9,2964.7,238.1,470.7,2029.3,2768.1,163.2,71.3,10.7
0.143167,369.3,305.9,1975.3,196.5,2973.9,237.9,472.5,2021.2,2765.6,163.4,71.6,9.7
0.145167,400.8,247.5,1969.2,204.1,2987.9,273.6,474.4,2013.1,2763.1,163.6,72.1,8.9
0.147167,420.1,187.4,1952.3,240.1,3007.8,364.5,476.2,2004.9,2760.6,163.9,72.7,8.7
0.149167,431.1,144.1,1914.3,319.1,2762.5,1525.0,478,1996.8,2758.1,164.1,73.3,9.1
0.151167,438.2,120.6,1853.0,374.5,2648.1,900.0,479.9,1988.6,2755.6,164.3,74,9.9
0.153167,445.8,114.4,1825.9,350.5,2646.7,449.1,481.7,1980.4,2753,164.6,74.8,11
0.155167,453.8,118.9,1836.2,304.8,2632.6,277.6,483.5,1972.2,2750.4,164.8,75.5,12.1
0.157167,462.7,122.1,1852.7,262.6,2629.6,215.3,485.4,1963.9,2747.9,165,76.3,13.1
0.159167,470.6,119.6,1865.6,225.7,2635.4,199.9,487.2,1955.7,2745.3,165.2,77,13.8
0.161167,476.8,113.8,1874.4,190.4,2647.6,206.4,489,1947.5,2742.7,165.4,77.7,14.5
0.163167,481.9,108.0,1880.6,158.6,2665.1,217.6,490.9,1939.3,2740.1,165.5,78.4,15.2
0.165167,486.7,103.5,1885.8,134.8,2680.6,209.2,492.7,1931.1,2737.5,165.6,79,15.9
0.167167,491.2,99.3,1891.6,118.8,2691.8,181.3,494.5,1922.9,2734.9,165.7,79.6,16.5
0.169167,494.6,94.8,1897.7,112.8,2698.2,156.8,496.3,1914.8,2732.3,165.8,80.1,17.3
0.171167,497.4,90.7,1903.5,112.9,2700.7,144.4,498.1,1906.6,2729.7,165.8,80.5,18
0.173167,500.2,88.3,1909.2,115.5,2700.8,142.9,499.9,1898.5,2727.1,165.7,80.9,18.8
0.175167,503.2,88.5,1914.6,115.8,2700.5,146.2,501.7,1890.4,2724.6,165.7,81.3,19.3
