time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025448,1131.5,262.2,2765.6,959.5,2811.5,350.6,752.7,2562.4,3110,0,54.4,-200
0.027448,1117.6,211.4,2784.2,362.1,2903.5,1099.2,752.7,2562,3109.8,0,54.9,-200
0.029448,1115.0,168.9,2771.5,386.0,3061.9,1314.7,752.5,2561.4,3109.4,0,55.3,-200
0.031448,1128.2,132.5,2745.9,423.0,3232.0,1334.3,752.3,2560.5,3108.8,0,55.6,-200
0.033448,1144.1,102.8,2692.9,382.4,3366.9,991.1,752.1,2559.3,3108.1,0,55.9,-200
0.035448,1153.6,83.3,2654.5,280.7,3407.9,686.8,751.8,2557.9,3107.2,0,56.2,-200
0.037448,1151.7,80.2,2641.7,204.0,3460.6,472.2,751.5,2556.2,3106.1,0,56.4,-200
0.039448,1137.2,94.4,2641.1,172.1,3488.4,349.1,751.1,2554.3,3104.9,0,56.6,-200
0.041448,1111.1,123.0,2644.9,176.8,3501.0,341.4,750.6,2552.1,3103.6,0,56.7,-200
0.043448,1085.6,150.7,2646.5,201.8,3505.0,454.4,750.1,2549.6,3102,0,56.7,-200
0.045448,1069.2,170.0,2643.0,234.9,3364.6,751.8,749.5,2547,3100.3,0,56.6,-200
0.047448,1059.9,185.1,2639.6,276.7,3232.5,711.6,748.9,2544,3098.5,0,56.3,-200
0.049448,1056.9,207.3,2650.8,338.3,3169.7,819.8,748.3,2540.8,3096.5,0,56,-200
0.051448,1070.2,239.4,2695.2,385.1,3097.2,1245.6,747.6,2537.4,3094.4,0,55.5,-200
0.053448,1101.6,266.8,2730.7,358.4,2985.7,1925.0,746.8,2533.7,3092,0,55,-200
0.055448,1134.3,282.5,2741.9,340.2,2932.4,2319.1,746,2529.8,3089.6,0,54.5,-200
0.057448,1129.8,327.1,2756.9,336.2,2989.3,2473.2,745.1,2525.6,3087,0,54.1,-200
0.059448,1042.8,427.2,2775.7,318.7,3048.3,3578.7,744.2,2521.2,3084.2,0,53.9,-200
0.061448,922.7,406.9,1618.0,2924.8,2780.1,301.8,743.2,2516.5,3081.3,0,53.9,-200
0.063448,906.8,364.2,1569.7,2376.0,2768.0,289.8,742.2,2511.6,3078.2,0,53.9,-200
