time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025177,1487.2,735.1,2253.0,179.1,2904.0,135.2,569.4,2352.5,2874.4,0,55.4,-200
0.027177,1457.4,702.3,2298.2,146.0,2898.8,130.5,569.3,2352.5,2874.5,0,55.7,-200
0.029177,1397.8,730.0,2343.8,108.6,2892.4,133.6,569.1,2352.5,2874.6,0,55.9,-200
0.031177,1269.8,830.1,2376.3,78.4,2894.7,143.7,568.8,2352.5,2874.8,0,55.9,-200
0.033177,1071.3,891.8,2394.9,62.0,2911.2,165.1,568.5,2352.5,2875,0,56,-200
0.035177,902.1,767.3,2403.5,58.4,2936.0,196.0,568.1,2352.5,2875.3,0,56.4,-200
0.037177,838.6,622.2,2403.9,67.5,2943.3,215.6,567.6,2352.6,2875.6,0,56.7,-200
0.039177,821.6,557.3,2398.3,88.8,2931.1,217.7,567,2352.6,2876,0,57.8,-203.3
0.041177,825.8,585.4,2385.9,127.3,2915.3,217.4,566.3,2352.6,2876.4,0,59.6,-209.8
0.043177,827.1,716.8,2367.1,181.5,2906.1,222.9,565.6,2352.6,2876.9,0,61.7,-214.7
0.045177,700.4,817.1,2348.9,217.5,2908.5,233.3,564.8,2352.6,2877.4,0,64.6,-213.1
0.047177,534.5,498.8,2360.2,197.4,2933.7,249.9,563.9,2352.6,2878,0,67.5,-200
0.049177,515.5,306.3,2393.9,174.5,2983.0,275.9,562.9,2352.6,2878.6,174.6,70.2,-169
0.051177,506.2,216.1,2429.0,162.5,3049.8,279.9,561.9,2352.6,2879.3,174.4,72.7,-123.2
0.053177,502.4,169.0,2448.1,146.9,3087.3,242.7,560.8,2352.6,2880,174.1,74.7,-72.6
0.055177,499.8,138.1,571.9,4828.8,2456.7,134.8,559.6,2352.6,2880.8,173.8,76.5,-26.7
0.057177,495.3,113.7,1315.9,3344.5,2464.2,127.2,558.4,2352.6,2881.6,173.5,77.9,4.6
0.059177,492.4,95.2,1528.7,2726.5,2472.0,126.9,557.1,2352.6,2882.4,173.2,78.9,18.2
0.061177,491.0,82.5,1655.2,2348.1,2480.9,132.0,555.7,2352.6,2883.3,172.8,79.7,20.4
0.063177,489.6,75.5,1720.4,2080.3,2490.2,142.9,554.2,2352.5,2884.3,172.5,80.3,16.2
0.065177,486.9,72.7,1775.6,1906.7,2498.0,171.2,552.7,2352.5,2885.3,172.1,80.7,10.5
0.067177,483.5,73.5,1882.4,1934.4,2492.5,237.9,551.1,2352.5,2886.3,171.7,81,8.3
0.069177,481.8,76.8,2122.2,2438.2,2436.6,331.1,549.5,2352.4,2887.4,171.3,81.2,9.7
0.071177,483.5,81.0,2354.5,296.0,2506.5,4470.5,547.7,2352.4,2888.5,170.9,81.4,11.5
0.073177,487.1,84.0,2329.2,226.5,3000.3,314.7,545.9,2352.4,2889.7,170.4,81.6,13.4
0.075177,489.3,85.4,2332.3,190.0,3016.7,353.1,544.1,2352.3,2890.9,169.9,81.9,14.9
0.077177,488.6,86.6,2344.0,180.7,3035.8,395.4,542.2,2352.2,2892.2,169.5,82.1,15.7
0.079177,486.2,89.4,2355.2,185.5,3047.3,391.8,540.2,2352.2,2893.5,169,82.3,15.4
0.081177,483.0,93.8,2366.4,202.6,3050.4,341.0,538.2,2352.1,2894.8,168.5,82.5,14.3
0.083177,479.6,99.0,2380.8,237.8,3051.1,288.9,536.1,2352,2896.2,168,82.6,12.9
0.085177,475.9,106.0,2396.0,296.2,3046.5,261.3,533.9,2351.9,2897.6,167.5,82.7,11.6
0.087177,472.7,114.8,2394.5,344.8,3028.5,259.2,531.7,2351.7,2899.1,166.9,82.8,11
0.089177,470.3,124.2,2373.3,339.6,2996.7,260.7,529.4,2351.6,2900.6,166.4,83,11.2
0.091177,467.4,130.8,2355.7,306.1,2964.6,254.5,527.1,2351.5,2902.1,165.9,83.1,12.1
0.093177,463.3,132.6,2345.9,282.6,2944.2,241.0,524.8,2351.3,2903.6,165.4,83.2,13.1
0.095177,457.3,131.4,2332.8,270.0,2934.1,218.9,522.3,2351.1,2905.2,164.8,83.2,13.9
0.097177,448.8,130.2,2307.0,253.2,2929.9,196.8,519.9,2350.9,2906.9,164.3,83.3,14
0.099177,437.4,130.6,2273.5,222.0,2929.5,189.2,517.4,2350.7,2908.5,163.7,83.2,13.3
0.101177,425.0,135.3,2246.2,191.8,2933.5,198.5,514.8,2350.5,2910.2,163.2,83.1,11.9
0.103177,413.3,147.2,2229.1,170.2,2937.7,205.7,512.2,2350.2,2912,162.7,83,10.3
0.105177,400.6,166.9,2217.8,154.1,2936.6,192.3,509.5,2349.9,2913.7,162.2,82.8,8.8
0.107177,387.6,188.6,2207.7,150.3,2931.7,160.7,506.9,2349.6,2915.5,161.7,82.5,7.8
0.109177,375.5,203.6,2191.4,166.2,2927.9,127.9,504.1,2349.3,2917.3,161.2,82.2,7.3
0.111177,366.5,200.5,2164.1,205.0,2926.7,102.1,501.4,2348.9,2919.2,160.7,81.9,7
0.113177,364.7,182.5,2129.5,258.5,2927.8,82.9,498.6,2348.6,2921,160.2,81.6,7.1
