time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025656,1421.3,2026.1,2385.1,486.9,3842.2,1336.1,507.2,1489.7,2524.1,0,54.5,-186.5
0.027656,208.6,545.2,1755.9,1588.2,2453.8,418.2,507.3,1489.9,2524.1,0,58.1,-145.4
0.029656,276.4,256.4,1664.7,1274.6,2480.1,308.1,507.5,1490.1,2524.2,0,61.3,-94.2
0.031656,291.9,177.9,1561.2,1208.3,2474.0,254.8,507.8,1490.4,2524.3,171.8,64.2,-43.2
0.033656,313.5,183.6,1562.9,1507.4,2471.6,255.5,508.2,1490.8,2524.5,171.3,66.6,-2.6
0.035656,362.9,247.1,1871.5,1280.9,2496.3,259.2,508.6,1491.2,2524.7,170.7,68.7,18.6
0.037656,446.9,247.7,1877.0,890.5,2529.1,218.0,509.1,1491.8,2524.9,170.1,70.4,24
0.039656,485.0,204.6,1842.1,698.0,2559.6,173.8,509.8,1492.4,2525.1,169.6,71.7,19.7
0.041656,485.3,210.7,1789.3,614.1,2593.3,148.1,510.4,1493.1,2525.4,169,72.8,11.3
0.043656,443.5,242.5,1691.5,542.2,2627.6,130.8,511.2,1493.9,2525.7,168.4,73.6,4.3
0.045656,399.1,217.8,1593.0,412.7,2651.3,120.6,512.1,1494.8,2526.1,167.8,74.3,2.9
0.047656,398.2,226.6,1556.9,303.4,2665.2,118.0,513,1495.8,2526.5,167.2,74.9,3.1
0.049656,435.3,301.2,1566.6,268.6,2673.2,125.6,514,1496.8,2526.9,166.7,75.3,3.9
0.051656,517.0,396.5,1602.4,268.5,2673.9,147.3,515.1,1498,2527.3,166.1,75.8,4.9
0.053656,627.3,414.3,1656.1,278.4,2667.3,194.4,516.3,1499.2,2527.8,165.5,76.2,5.9
0.055656,706.4,386.5,1710.2,296.0,2662.3,273.5,517.5,1500.5,2528.3,165,76.6,6.9
0.057656,758.0,367.9,1751.5,319.8,2680.4,367.1,518.9,1501.8,2528.9,164.5,76.9,7.9
0.059656,789.2,360.1,1768.3,340.1,2730.5,420.7,520.3,1503.3,2529.4,164,77.2,9.1
0.061656,806.4,366.6,1755.0,349.8,2788.4,417.2,521.7,1504.8,2530,163.5,77.5,10.2
0.063656,821.4,379.2,1726.5,321.3,2839.0,399.9,523.3,1506.5,2530.7,163,77.7,11.2
0.065656,841.3,367.9,1717.6,252.0,2860.5,415.5,524.9,1508.2,2531.3,162.6,78,11.8
0.067656,860.8,349.3,1723.2,200.4,2829.4,480.6,526.6,1509.9,2532,162.1,78.2,12.2
0.069656,868.3,340.4,1722.2,179.5,2742.0,530.4,528.3,1511.8,2532.8,161.8,78.5,12.5
0.071656,865.2,322.6,1709.3,166.0,2657.2,463.9,530.2,1513.7,2533.5,161.4,78.7,12.7
0.073656,860.8,303.8,1689.4,152.1,2627.2,342.4,532.1,1515.7,2534.3,161,78.8,12.7
0.075656,858.1,303.8,1667.4,146.5,2632.9,253.1,534,1517.8,2535.1,160.7,78.9,12.8
0.077656,854.3,315.8,1645.6,145.5,2638.5,203.2,536.1,1520,2536,160.4,78.9,12.8
0.079656,844.5,343.7,1628.4,151.5,2635.9,193.5,538.2,1522.2,2536.9,160.2,78.9,12.7
0.081656,827.4,398.2,1617.3,175.2,2624.4,229.8,540.3,1524.5,2537.8,159.9,78.8,12.6
0.083656,800.7,479.7,1606.1,230.2,2590.1,334.6,542.6,1526.9,2538.7,159.7,78.6,12.4
0.085656,765.2,551.3,1584.1,314.2,2496.1,478.7,544.8,1529.4,2539.7,159.6,78.3,12
0.087656,716.8,608.1,1538.1,402.8,2363.3,512.4,547.2,1531.9,2540.7,159.4,78.1,11.3
0.089656,619.6,721.1,1460.6,467.6,2267.8,479.3,549.6,1534.5,2541.7,159.3,77.9,10.5
0.091656,363.0,616.2,1357.9,453.8,2203.3,457.5,552.1,1537.1,2542.7,159.2,77.7,9.9
0.093656,310.1,316.6,1277.4,344.4,2162.2,449.3,554.6,1539.9,2543.8,159.1,77.5,9.7
0.095656,292.9,192.7,1237.5,253.7,2161.8,470.2,557.1,1542.7,2544.9,159,77.5,10.1
0.097656,286.6,133.5,1214.5,199.5,2210.3,496.1,559.8,1545.6,2546,159,77.5,11.2
0.099656,285.5,99.5,1200.1,166.0,2285.6,457.8,562.4,1548.5,2547.2,159,77.6,12.7
0.101656,286.4,79.4,1194.0,149.4,2334.7,383.7,565.2,1551.5,2548.3,159,77.7,14.4
0.103656,288.8,70.1,1195.0,149.7,2358.3,332.3,567.9,1554.6,2549.5,159,77.8,16
0.105656,291.6,69.9,1196.8,164.9,2369.4,310.3,570.8,1557.7,2550.7,159,77.9,17.3
0.107656,294.2,75.5,1193.0,186.9,2376.9,295.3,573.6,1560.9,2552,159.1,78,18.4
0.109656,296.7,83.4,1185.6,204.9,2382.5,279.5,576.5,1564.2,2553.3,159.1,78,19.5
0.111656,298.6,89.4,1183.0,214.6,2386.5,275.2,579.5,1567.5,2554.5,159.2,78.1,20.6
0.113656,299.3,91.6,1186.6,219.1,2395.0,289.0,582.5,1570.8,2555.9,159.3,78.1,21.6
0.115656,299.2,90.7,1191.9,220.4,2419.6,304.4,585.5,1574.3,2557.2,159.4,78.2,22.6
0.117656,298.7,88.1,1195.6,219.8,2459.7,294.5,588.6,1577.8,2558.5,159.5,78.3,23.7
0.119656,297.2,82.9,1195.3,218.6,2493.9,268.3,591.6,1581.3,2559.9,159.6,78.3,24.8
0.121656,295.9,77.9,1194.5,221.7,2507.4,245.5,594.8,1584.9,2561.3,159.7,78.4,25.8
0.123656,295.7,76.0,1198.5,235.7,2506.1,226.4,597.9,1588.6,2562.7,159.8,78.5,26.7
0.125656,296.3,77.6,1211.4,263.7,2497.6,208.5,601.1,1592.3,2564.1,160,78.6,27.3
0.127656,298.0,81.3,1235.4,301.0,2487.5,192.1,604.3,1596,2565.6,160.1,78.6,27.7
0.129656,300.5,86.9,1271.4,333.4,2478.2,179.8,607.6,1599.8,2567.1,160.2,78.6,28
0.131656,303.1,93.2,1311.9,342.5,2471.3,173.3,610.8,1603.7,2568.5,160.3,78.7,28.1
0.133656,305.8,98.8,1346.9,328.5,2468.9,172.3,614.1,1607.6,2570.1,160.5,78.7,28
0.135656,308.2,101.9,1371.3,305.8,2473.8,174.9,617.4,1611.6,2571.6,160.6,78.7,27.8
0.137656,310.3,105.0,1395.8,277.0,2482.8,175.4,620.7,1615.5,2573.1,160.7,78.7,27.7
0.139656,311.7,109.3,1423.7,251.1,2492.7,183.9,624,1619.6,2574.7,160.9,78.6,27.4
0.141656,313.1,118.7,1449.7,241.8,2503.9,227.6,627.4,1623.7,2576.2,161,78.6,26.8
0.143656,320.3,158.6,1457.6,251.8,2513.4,349.0,630.7,1627.8,2577.8,161.1,78.7,25.4
0.145656,342.9,273.4,1436.2,280.2,2521.2,530.7,634.1,1631.9,2579.4,161.2,78.8,23
0.147656,396.1,474.7,1416.2,295.9,2541.3,583.0,637.5,1636.1,2581,161.4,79,19.2
0.149656,529.8,656.8,1419.2,268.1,2539.0,463.6,640.8,1640.4,2582.6,161.5,79.4,14.5
0.151656,675.1,592.3,1438.1,214.5,2535.6,340.8,644.2,1644.7,2584.2,161.6,79.9,10
0.153656,753.1,491.0,1463.4,161.9,2543.2,249.8,647.6,1649,2585.9,161.7,80.5,6.4
0.155656,803.2,440.7,1484.3,125.1,2551.2,191.9,651,1653.3,2587.5,161.9,81.1,4.6
0.157656,842.3,423.6,1498.2,102.7,2554.2,156.6,654.3,1657.7,2589.2,162,81.7,4.3
0.159656,875.9,426.1,1510.4,90.6,2553.2,137.2,657.7,1662.1,2590.8,162.1,82.3,4.9
0.161656,910.8,438.3,1526.1,84.7,2551.2,129.2,661,1666.5,2592.5,162.3,82.8,6
0.163656,952.2,447.5,1547.0,80.7,2550.1,127.0,664.4,1670.9,2594.2,162.4,83.3,6.9
0.165656,988.1,453.4,1568.9,77.7,2550.2,129.4,667.7,1675.4,2595.9,162.5,83.8,7.4
0.167656,1011.0,469.1,1590.2,76.6,2551.0,136.7,671.1,1679.9,2597.6,162.7,84.1,7.6
0.169656,1017.8,496.0,1609.4,76.7,2553.5,146.6,674.4,1684.4,2599.3,162.8,84.4,7.9
0.171656,1008.9,523.5,1623.0,76.7,2556.8,156.5,677.7,1689,2601,163,84.6,8.2
0.173656,988.6,550.6,1631.9,77.9,2559.1,169.7,680.9,1693.6,2602.7,163.1,84.7,8.6
0.175656,961.0,574.5,1637.8,82.0,2559.4,187.6,684.2,1698.1,2604.4,163.3,84.7,9.2
0.177656,933.1,579.0,1643.3,87.5,2559.2,200.0,687.4,1702.7,2606.1,163.5,84.6,10
0.179656,916.2,562.0,1650.0,92.4,2561.0,193.7,690.6,1707.4,2607.9,163.6,84.5,11
0.181656,905.4,542.9,1658.5,98.6,2565.6,177.4,693.8,1712,2609.6,163.8,84.3,11.9
0.183656,889.9,527.7,1669.5,109.7,2572.4,166.2,696.9,1716.6,2611.3,164,84.1,12.6
0.185656,867.7,517.6,1682.3,125.4,2580.4,169.2,700,1721.3,2613,164.2,84,13
0.187656,843.4,507.9,1698.2,145.3,2589.3,186.1,703.1,1725.9,2614.8,164.5,83.8,13.1
0.189656,830.0,498.1,1720.9,165.7,2597.4,206.7,706.2,1730.6,2616.5,164.7,83.8,13
0.191656,836.8,498.1,1752.1,178.9,2602.6,217.4,709.2,1735.3,2618.2,165,83.7,12.9
0.193656,860.6,499.4,1793.2,180.3,2606.8,221.4,712.1,1740,2620,165.2,83.7,12.7
0.195656,882.4,483.0,1834.3,168.4,2611.2,227.3,715.1,1744.6,2621.7,165.5,83.7,12.6
0.197656,886.6,459.8,1867.5,151.0,2613.1,236.0,718,1749.3,2623.4,165.8,83.7,12.5
0.199656,875.8,443.8,1892.9,135.7,2609.7,242.6,720.8,1754,2625.1,166.1,83.7,12.4
0.201656,856.1,435.5,1911.8,125.7,2605.1,244.0,723.6,1758.7,2626.8,166.4,83.7,12.2
0.203656,826.8,431.0,1926.4,120.5,2607.2,245.3,726.4,1763.4,2628.5,166.7,83.6,12.1
0.205656,791.1,422.2,1936.4,120.2,2619.6,255.3,729.1,1768.1,2630.2,167.1,83.7,11.9
0.207656,755.4,396.3,1944.7,122.0,2637.9,275.2,731.7,1772.7,2631.9,167.4,83.7,11.6
0.209656,724.7,353.0,1954.2,122.4,2656.8,297.7,734.3,1777.4,2633.6,167.7,83.8,11.2
0.211656,700.6,306.2,1965.5,120.6,2673.2,315.2,736.9,1782,2635.3,168.1,83.9,10.9
0.213656,682.5,263.4,1979.9,118.0,2691.2,326.3,739.4,1786.7,2637,168.4,84.1,10.7
0.215656,672.4,235.8,1996.1,115.9,2714.4,328.1,741.8,1791.3,2638.7,168.8,84.2,10.6
0.217656,667.4,222.2,2012.5,115.1,2582.5,3491.8,744.2,1795.9,2640.3,169.1,84.4,10.7
0.219656,664.5,213.3,2027.6,114.3,2462.4,3131.3,746.5,1800.5,2642,169.5,84.6,10.9
0.221656,663.8,202.5,2039.6,110.6,2406.0,3000.4,748.7,1805.1,2643.6,169.8,84.7,11.1
0.223656,666.0,189.4,2049.9,102.8,2392.4,3175.9,750.9,1809.7,2645.3,170.1,84.9,11.2
0.225656,670.2,177.9,2058.3,93.9,2406.7,3689.6,753,1814.2,2646.9,170.4,85,11.2
0.227656,673.8,170.5,2065.5,87.4,2431.7,4572.8,755.1,1818.8,2648.5,170.7,85.1,11.2
0.229656,675.7,167.7,2072.5,84.5,2442.8,6157.8,757.1,1823.3,2650.1,171,85.1,11.1
0.231656,676.7,168.0,2079.5,84.6,2822.9,227.3,759,1827.8,2651.7,171.3,85,10.9
0.233656,678.1,169.3,2086.3,85.5,2835.1,220.6,760.9,1832.2,2653.2,171.5,84.9,10.8
0.235656,679.1,171.6,2090.9,85.7,2847.9,211.1,762.7,1836.7,2654.8,171.8,84.6,10.8
0.237656,677.3,175.1,2092.1,84.6,2855.7,201.0,764.4,1841.1,2656.3,172,84.3,10.8
0.239656,673.0,180.3,2090.6,80.0,2854.0,192.1,766,1845.4,2657.9,172.1,83.9,10.9
0.241656,670.5,187.2,2088.2,71.1,2844.8,183.4,767.6,1849.8,2659.4,172.3,83.5,10.9
0.243656,672.6,192.5,2086.0,60.1,2835.4,168.4,769.1,1854.1,2660.9,172.4,83,11
0.245656,678.8,192.0,2083.7,53.2,2830.3,154.1,770.5,1858.4,2662.4,172.5,82.5,11
0.247656,686.2,189.0,2078.1,55.9,2820.3,157.6,771.9,1862.6,2663.8,172.5,82.1,11
0.249656,688.8,194.0,2067.7,72.1,2793.3,180.6,773.1,1866.8,2665.3,172.6,81.7,11
0.251656,683.8,212.1,2056.3,101.8,2757.6,196.9,774.3,1871,2666.7,172.6,81.4,11.1
0.253656,672.4,246.3,2050.2,143.2,2737.1,195.9,775.4,1875.2,2668.1,172.5,81.1,11.2
0.255656,657.3,288.5,2055.8,183.7,2737.5,195.5,776.4,1879.3,2669.5,172.4,80.9,11.4
0.257656,648.6,312.2,2062.2,204.8,2739.8,203.6,777.4,1883.3,2670.9,172.3,80.6,11.8
0.259656,654.1,302.7,2055.3,201.0,2732.1,218.5,778.3,1887.3,2672.2,172.2,80.2,12.4
0.261656,664.6,275.6,2038.4,182.6,2715.6,234.6,779,1891.3,2673.6,172,79.9,12.9
0.263656,673.8,253.5,2020.6,160.1,2693.3,256.4,779.7,1895.2,2674.9,171.8,79.4,13.1
0.265656,681.8,254.7,2013.2,147.0,2661.8,285.1,780.4,1899.1,2676.2,171.6,79,13
0.267656,689.9,281.8,2019.5,152.3,2616.6,282.3,780.9,1902.9,2677.4,171.4,78.5,12.4
0.269656,696.7,317.3,2035.7,168.5,2590.2,236.1,781.3,1906.7,2678.7,171.1,78,11.6
0.271656,698.9,340.3,2055.4,183.6,2594.1,208.8,781.7,1910.5,2679.9,170.8,77.5,10.9
0.273656,695.9,348.4,2070.9,197.3,2613.7,211.1,782,1914.2,2681.1,170.6,77.1,10.5
0.275656,690.7,362.1,2073.7,210.1,2641.7,238.7,782.2,1917.8,2682.3,170.3,76.7,10.9
0.277656,687.4,409.1,2061.3,215.6,2675.7,284.3,782.3,1921.4,2683.5,170,76.2,12.1
0.279656,691.9,496.4,2038.3,202.9,2711.8,335.0,782.3,1924.9,2684.6,169.7,75.8,13.7
0.281656,712.1,579.3,2018.0,180.0,2740.8,374.0,782.2,1928.4,2685.7,169.5,75.3,15.4
0.283656,740.6,602.9,2006.1,158.0,2767.7,394.5,782.1,1931.8,2686.8,169.3,74.7,16.6
0.285656,755.1,586.1,2003.6,143.8,2804.0,399.3,781.9,1935.2,2687.9,169.1,74,18.1
0.287656,761.0,579.3,2005.0,137.7,2838.0,396.7,781.5,1938.5,2688.9,168.9,73.2,23.8
0.289656,765.7,590.3,2004.8,140.7,2848.4,398.8,781.1,1941.7,2690,168.8,72.1,30
0.291656,763.9,607.2,2001.4,152.9,2830.6,410.9,780.6,1944.9,2690.9,168.7,70.9,31.8
0.293656,751.5,602.9,1993.7,173.0,2783.3,419.2,780.1,1948.1,2691.9,168.6,69.3,24.3
0.295656,746.8,550.8,1980.9,191.6,2720.9,396.9,779.4,1951.1,2692.9,168.6,67.7,1.6
0.297656,762.1,492.5,1966.4,204.7,2672.6,359.2,778.7,1954.1,2693.8,168.7,66,-40.3
0.299656,789.4,458.5,1952.5,219.3,2643.7,334.8,777.8,1957.1,2694.7,0,64.5,-92.4
0.301656,816.1,440.4,1936.9,241.5,2622.2,317.8,776.9,1960,2695.5,0,63.3,-144.5
0.303656,836.2,443.4,1917.2,280.7,2602.5,298.3,775.9,1962.8,2696.4,0,62.6,-186.2
0.305656,851.1,474.8,1895.1,328.9,2592.5,274.7,774.8,1965.5,2697.2,0,62.2,-208.7
0.307656,863.2,523.3,1875.9,348.5,2604.8,246.2,773.7,1968.2,2697.9,0,61.8,-215.8
0.309656,862.8,570.9,1871.3,311.4,2641.2,220.9,772.4,1970.8,2698.7,0,61.3,-213.5
0.311656,840.0,595.3,1887.1,251.1,2680.7,211.8,771.1,1973.4,2699.4,0,60.8,-206.8
0.313656,809.2,557.8,1923.1,201.1,2710.5,227.9,769.7,1975.9,2700.1,0,60.2,-201
0.315656,801.0,450.7,1966.9,168.2,2728.6,258.2,768.2,1978.3,2700.8,0,59.4,-200
0.317656,804.0,336.1,2002.3,147.0,2744.3,271.5,766.6,1980.6,2701.4,0,58.8,-200
0.319656,800.2,256.4,2018.9,142.1,2754.5,254.6,764.9,1982.9,2702.1,0,58.4,-200
0.321656,792.7,215.6,2014.5,155.9,2750.0,229.6,763.2,1985.1,2702.6,0,58.3,-200
0.323656,792.3,197.2,1994.7,178.5,2731.0,219.2,761.4,1987.3,2703.2,0,58.7,-200
0.325656,805.2,206.8,1986.9,200.4,2717.1,266.4,759.5,1989.3,2703.7,174.7,59.2,-200
0.327656,831.5,277.5,2021.0,230.1,2788.0,431.2,757.5,1991.3,2704.2,175.4,59.9,-200
0.329656,874.3,420.2,2061.9,257.4,2955.5,512.4,755.5,1993.2,2704.7,176.2,60.6,-200
0.331656,938.3,655.9,2081.6,332.4,3027.0,495.6,753.4,1995.1,2705.2,177.1,61.2,-200
0.333656,1059.0,1016.5,2084.3,469.6,3042.2,524.6,751.2,1996.9,2705.6,177.9,61.8,-200
0.335656,1219.8,1392.8,2049.4,627.0,3016.8,567.7,748.9,1998.6,2706,178.8,62.3,-200
0.337656,1237.9,1757.5,1968.1,642.2,2947.9,545.3,746.6,2000.2,2706.3,179.7,62.7,-200
0.339656,1114.7,1611.6,1945.2,516.7,2891.5,434.2,744.2,2001.7,2706.7,180.5,63,-200
0.341656,1108.7,1256.4,1953.0,417.0,2867.1,339.9,741.7,2003.2,2707,181.4,63.2,-200
0.343656,1138.7,984.4,1961.4,340.0,2856.6,273.5,739.1,2004.6,2707.3,182.3,63.3,-200
0.345656,1151.8,802.5,1964.2,277.0,2854.4,228.5,736.5,2006,2707.5,183.2,63.2,-200.9
0.347656,1131.8,667.5,1961.2,217.4,2857.8,195.9,733.9,2007.2,2707.7,184,62.9,-206.3
0.349656,1084.2,553.7,1955.3,162.4,2865.5,167.1,731.1,2008.4,2707.9,184.9,62.5,-212.4
0.351656,1030.3,482.3,1952.6,127.2,2872.2,133.3,728.3,2009.5,2708.1,185.7,61.9,-214.6
0.353656,965.8,497.4,1958.4,121.6,2872.1,101.6,725.5,2010.5,2708.2,186.5,61.5,-208.1
0.355656,875.4,582.1,1973.9,140.0,2869.1,90.4,722.5,2011.5,2708.3,187.2,61.5,-187.3
0.357656,791.2,676.6,1993.8,154.6,2868.8,93.9,719.6,2012.4,2708.4,188,62.1,-148.8
0.359656,750.6,828.1,2002.3,157.4,2870.9,110.4,716.5,2013.2,2708.5,188.6,63.6,-100.8
0.361656,702.1,870.4,1984.1,161.7,2866.8,152.7,713.4,2013.9,2708.5,189.3,65.5,-52.7
0.363656,556.5,759.4,1931.0,187.6,2832.4,250.3,710.3,2014.6,2708.5,189.8,67.3,-13.8
0.365656,460.2,512.6,1839.7,220.2,2740.9,329.9,707.1,2015.2,2708.5,190.4,69.1,7.7
0.367656,437.5,393.8,1755.7,197.2,2676.7,284.3,703.8,2015.7,2708.4,190.8,70.7,15.5
0.369656,439.0,355.1,1722.9,165.0,2655.2,252.7,700.5,2016.1,2708.4,191.3,72.1,14.8
0.371656,461.8,332.8,1726.3,157.3,2641.6,284.5,697.2,2016.5,2708.2,191.6,73.5,10.2
0.373656,502.7,282.9,1752.1,168.6,2629.9,406.0,693.8,2016.7,2708.1,191.9,75,6.2
0.375656,544.5,220.6,1779.6,174.8,2618.3,558.9,690.4,2016.9,2708,192.2,76.5,6.2
0.377656,574.8,175.3,1789.1,166.4,2598.2,603.1,686.9,2017.1,2707.8,192.4,78,6.7
0.379656,591.9,147.3,1789.3,156.6,2577.6,584.3,683.4,2017.1,2707.6,192.5,79.5,6.9
0.381656,599.2,128.9,1789.6,152.2,2559.6,570.9,679.8,2017.1,2707.3,192.6,80.9,7.1
0.383656,601.4,113.6,1792.7,152.5,2539.1,572.0,676.2,2017,2707.1,192.6,82.1,7.4
0.385656,601.1,100.1,1798.7,155.0,2517.4,579.5,672.6,2016.9,2706.8,192.5,83.2,7.9
0.387656,600.0,88.2,1806.9,157.2,2499.3,582.9,668.9,2016.6,2706.5,192.4,84.1,8.7
0.389656,599.0,78.6,1816.4,157.3,2489.5,579.7,665.2,2016.3,2706.1,192.3,84.8,9.4
0.391656,598.3,72.2,1827.2,153.1,2490.8,576.7,661.5,2016,2705.8,192.1,85.4,10.2
0.393656,597.7,68.1,1840.8,142.2,2504.5,579.0,657.8,2015.5,2705.4,191.8,85.8,10.8
0.395656,597.2,65.9,1854.7,125.3,2528.6,579.5,654,2015,2705,191.5,86.1,11.2
0.397656,596.8,65.2,1865.3,107.3,2555.3,566.3,650.2,2014.4,2704.5,191.2,86.3,11.3
0.399656,596.5,65.6,1871.7,92.7,2575.3,539.2,646.3,2013.7,2704.1,190.8,86.4,11.3
0.401656,596.5,67.0,1875.3,83.2,2583.3,508.7,642.5,2013,2703.6,190.4,86.5,11.3
0.403656,596.5,69.7,1878.0,78.2,2579.7,481.5,638.6,2012.2,2703.1,189.9,86.4,11.2
0.405656,596.3,72.7,1880.1,78.0,2565.5,467.1,634.8,2011.4,2702.6,189.4,86.2,11.2
0.407656,595.1,75.4,1881.5,82.0,2544.6,464.5,630.9,2010.4,2702.1,188.8,86,11.2
0.409656,592.9,76.9,1882.6,89.0,2525.9,461.0,626.9,2009.4,2701.5,188.2,85.7,11.2
0.411656,589.8,76.9,1883.4,98.1,2517.9,443.1,623,2008.4,2700.9,187.6,85.3,11.2
0.413656,585.6,76.5,1884.3,109.9,2518.7,406.1,619.1,2007.2,2700.3,187,85,11.2
0.415656,580.6,77.2,1886.8,122.3,2521.0,365.3,615.1,2006,2699.7,186.3,84.6,11.1
0.417656,575.4,79.1,1892.4,131.3,2519.6,338.1,611.2,2004.8,2699,185.6,84.3,11.1
0.419656,569.8,79.9,1899.6,134.2,2514.4,329.9,607.2,2003.5,2698.4,184.9,84,11
0.421656,564.1,77.7,1904.5,131.9,2507.8,334.8,603.3,2002.1,2697.7,184.1,83.7,11
0.423656,557.7,72.8,1902.7,127.1,2501.1,340.5,599.3,2000.7,2697,183.4,83.5,10.9
0.425656,550.9,66.4,1889.3,123.3,2496.9,335.2,595.4,1999.2,2696.3,182.7,83.3,10.9
0.427656,543.8,59.6,1863.4,123.2,2494.8,319.8,591.5,1997.6,2695.5,181.9,83.1,10.9
0.429656,536.9,53.3,1827.4,125.0,2494.1,301.1,587.5,1996,2694.8,181.1,82.9,11
0.431656,530.9,48.6,1790.4,123.5,2498.4,281.5,583.6,1994.3,2694,180.4,82.7,11
