time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025938,1249.1,392.2,2366.4,203.5,3129.4,535.2,725.2,2098.4,2800,0,47,-200
0.027938,1232.2,355.3,2377.3,201.9,3121.6,505.8,725,2098.2,2800.1,0,49,-203.4
0.029938,1226.7,340.7,2414.5,234.8,3104.5,482.3,724.7,2098,2800.3,0,51.8,-210.1
0.031938,1209.2,388.8,2485.4,349.4,3036.7,498.3,724.3,2097.8,2800.5,0,54.8,-215.2
0.033938,1118.2,695.1,2526.5,895.9,2854.9,357.6,723.7,2097.4,2800.8,0,57.8,-213.5
0.035938,247.5,765.5,2016.4,1127.5,2841.0,163.1,723,2097,2801.1,173.4,60.5,-200
0.037938,328.9,263.8,1911.0,769.4,2837.5,122.3,722.2,2096.5,2801.6,172.9,62.8,-167.8
0.039938,341.1,182.6,1905.2,759.3,2832.8,123.8,721.3,2095.9,2802.1,172.4,64.8,-120.3
0.041938,363.7,179.4,1982.3,845.3,2832.9,137.9,720.2,2095.2,2802.6,171.9,66.5,-67.8
0.043938,398.8,194.6,2118.6,809.4,2840.5,146.0,719.1,2094.5,2803.2,171.4,67.8,-20.5
0.045938,435.4,188.9,2232.4,704.9,2848.0,151.3,717.8,2093.6,2803.9,170.9,68.9,11.4
0.047938,456.0,163.0,2313.3,623.3,2849.2,164.5,716.4,2092.7,2804.6,170.3,69.8,24.3
0.049938,458.0,139.9,2327.6,614.9,2837.7,176.7,714.8,2091.8,2805.4,169.8,70.5,24.9
0.051938,448.6,123.1,2217.1,685.6,2812.3,165.1,713.2,2090.7,2806.3,169.2,71,18.8
0.053938,437.6,108.1,2012.7,663.4,2787.7,146.4,711.4,2089.6,2807.2,168.7,71.5,11.2
0.055938,428.3,95.9,1865.5,531.4,2768.9,146.5,709.5,2088.4,2808.2,168.1,72,7.6
0.057938,420.7,85.0,1795.0,442.6,2755.7,168.6,707.5,2087.1,2809.3,167.6,72.4,8.1
0.059938,415.8,75.8,1762.0,419.5,2756.5,209.6,705.4,2085.8,2810.4,167.1,72.8,9.1
0.061938,414.4,70.6,1750.2,438.1,2791.9,248.2,703.1,2084.4,2811.5,166.6,73.2,10.5
0.063938,415.5,69.5,1746.4,467.4,2849.6,225.3,700.8,2082.9,2812.8,166.1,73.5,11.9
0.065938,417.3,74.9,1758.2,499.5,2879.1,164.3,698.3,2081.4,2814,165.6,73.9,13.1
0.067938,419.1,89.3,1806.6,530.4,2887.1,124.2,695.8,2079.7,2815.4,165.2,74.2,14.2
0.069938,420.2,108.4,1878.5,556.9,2887.8,108.7,693.1,2078,2816.8,164.8,74.5,15.5
0.071938,419.4,125.7,1953.0,592.5,2883.7,112.4,690.3,2076.3,2818.2,164.4,74.8,16.6
0.073938,417.4,141.1,2022.0,628.2,2875.4,122.9,687.4,2074.5,2819.7,164,75.1,17.6
0.075938,416.1,156.5,2082.0,645.8,2865.5,125.6,684.5,2072.6,2821.2,163.6,75.4,18.2
0.077938,416.3,171.4,2134.7,648.1,2856.9,118.2,681.4,2070.6,2822.8,163.2,75.6,18.4
0.079938,418.6,186.3,2180.9,640.5,2851.4,107.7,678.2,2068.6,2824.5,162.9,75.8,18.4
0.081938,421.9,200.2,2204.0,643.5,2848.5,100.3,674.9,2066.6,2826.2,162.6,76,18.2
0.083938,422.4,212.4,2171.8,683.1,2846.3,94.9,671.6,2064.4,2827.9,162.3,76.2,17.6
0.085938,418.4,228.0,2032.3,682.7,2844.7,85.2,668.1,2062.3,2829.7,162,76.3,16.8
0.087938,413.0,243.1,1856.0,474.5,2846.9,74.6,664.6,2060,2831.6,161.7,76.3,15.5
0.089938,416.8,259.9,1779.5,264.1,2856.1,73.8,660.9,2057.7,2833.4,161.4,76.4,13.6
0.091938,435.7,295.5,1766.9,159.8,2873.5,84.9,657.2,2055.4,2835.4,161.2,76.6,11.6
0.093938,471.5,371.0,1783.1,112.8,2895.2,104.0,653.4,2053,2837.3,160.9,76.8,9.7
0.095938,528.2,488.0,1810.9,89.5,2906.1,124.8,649.5,2050.5,2839.3,160.7,77.1,8.2
0.097938,602.2,575.5,1837.6,76.7,2899.1,138.6,645.6,2048,2841.4,160.5,77.5,7
0.099938,663.5,572.7,1859.0,68.5,2885.2,144.7,641.5,2045.5,2843.5,160.2,77.8,5.9
0.101938,692.5,528.2,1877.4,65.2,2871.2,155.9,637.4,2042.9,2845.6,160,78.2,5.1
0.103938,703.0,497.1,1895.2,68.2,2857.0,181.8,633.2,2040.2,2847.7,159.8,78.5,4.6
0.105938,714.4,495.3,1911.3,76.4,2843.1,211.8,629,2037.6,2849.9,159.6,78.7,4.5
0.107938,738.1,525.0,1924.6,87.4,2833.5,212.0,624.7,2034.8,2852.1,159.4,78.9,5
0.109938,777.2,580.7,1937.7,102.3,2833.0,179.3,620.3,2032.1,2854.4,159.1,79.1,6
0.111938,829.0,641.2,1953.9,121.1,2839.0,147.3,615.8,2029.3,2856.6,158.9,79.2,7.2
0.113938,873.0,676.7,1971.7,134.6,2848.1,130.1,611.3,2026.4,2858.9,158.7,79.4,8.4
0.115938,892.5,689.5,1984.7,134.1,2858.5,124.2,606.8,2023.6,2861.3,158.5,79.6,9.4
0.117938,897.9,684.2,1991.4,122.9,2867.7,122.7,602.2,2020.7,2863.6,158.3,79.8,10.2
0.119938,893.3,652.4,1994.6,109.4,2873.3,122.0,597.5,2017.7,2866,158,79.9,10.9
0.121938,881.5,597.3,1996.0,97.9,2874.9,122.2,592.8,2014.8,2868.4,157.8,80.1,11.5
0.123938,868.2,537.2,1996.8,90.7,2874.1,127.4,588.1,2011.8,2870.8,157.6,80.1,11.8
0.125938,852.4,488.6,1998.3,89.9,2874.2,143.5,583.3,2008.7,2873.2,157.3,80.1,11.9
0.127938,840.8,466.5,2003.5,93.6,2877.3,164.2,578.5,2005.7,2875.7,157.1,80.1,11.4
0.129938,838.6,475.3,2014.0,98.4,2882.7,174.5,573.6,2002.6,2878.1,156.8,80.1,10.5
0.131938,839.3,492.1,2025.6,102.5,2887.7,172.6,568.8,1999.6,2880.6,156.6,80,9.5
0.133938,837.2,494.0,2034.5,106.0,2889.5,165.6,563.8,1996.5,2883.1,156.3,79.9,8.5
0.135938,832.6,475.4,2040.3,112.9,2887.5,161.5,558.9,1993.3,2885.5,156.1,79.7,7.9
0.137938,826.6,444.3,2044.9,125.7,2881.9,163.2,553.9,1990.2,2888,155.8,79.5,7.7
0.139938,819.1,414.7,2050.4,138.0,2873.7,162.8,549,1987.1,2890.5,155.5,79.3,7.8
0.141938,812.3,395.7,2057.9,138.8,2865.7,150.0,544,1983.9,2893,155.3,79.2,8
0.143938,808.2,386.3,2065.9,129.7,2861.3,130.6,539,1980.8,2895.5,155,79.1,8.4
0.145938,805.0,383.2,2073.8,121.3,2861.9,118.4,533.9,1977.6,2898.1,154.7,79.1,8.7
0.147938,800.1,385.6,2083.7,119.1,2866.9,118.6,528.9,1974.4,2900.6,154.4,79.2,9.1
0.149938,793.6,387.2,2095.5,119.3,2874.1,126.7,523.9,1971.2,2903.1,154.2,79.2,9.7
0.151938,785.3,377.7,2103.8,115.5,2879.8,132.5,518.8,1968,2905.5,153.9,79.3,10.2
0.153938,777.5,362.1,2106.2,107.8,2881.8,130.4,513.8,1964.9,2908,153.6,79.3,10.7
0.155938,774.9,353.3,2105.3,100.2,2881.4,123.7,508.8,1961.7,2910.5,153.4,79.2,10.8
0.157938,774.2,351.5,2104.7,95.9,2881.1,118.7,503.8,1958.5,2913,153.1,79,10.5
0.159938,766.0,347.8,2106.2,95.6,2883.9,118.8,498.8,1955.4,2915.4,152.9,78.8,10
0.161938,750.3,341.8,2109.8,98.7,2891.4,121.4,493.8,1952.2,2917.9,152.7,78.4,9.2
0.163938,735.3,341.9,2114.3,105.3,2903.6,122.1,488.8,1949.1,2920.3,152.4,78.1,8.5
0.165938,718.2,355.3,2118.1,122.4,2921.4,120.9,483.8,1945.9,2922.7,152.2,77.8,7.9
0.167938,680.9,378.6,2120.0,156.5,2940.5,124.7,478.9,1942.8,2925.1,152.1,77.5,7.4
0.169938,630.9,372.9,2117.3,190.2,2957.4,134.9,474,1939.7,2927.5,151.9,77.4,6.8
0.171938,593.2,336.4,2113.6,207.8,2973.6,136.6,469.1,1936.6,2929.8,151.8,77.2,6.4
0.173938,566.9,299.9,2115.7,211.9,2630.6,2459.2,464.3,1933.5,2932.1,151.7,77.1,6
0.175938,545.1,286.0,2124.4,207.3,2415.1,2522.4,459.5,1930.5,2934.4,151.6,76.8,5.9
0.177938,521.5,307.8,2133.0,203.5,2195.7,3079.8,454.7,1927.4,2936.7,151.6,76.5,6
0.179938,487.6,368.8,1767.1,4303.7,2134.5,214.6,450,1924.4,2938.9,151.6,76.2,6.5
0.181938,436.7,438.7,2126.0,238.6,2949.7,157.7,445.3,1921.5,2941.1,151.6,76,7
0.183938,376.5,423.3,2117.5,250.4,2947.7,180.3,440.7,1918.5,2943.3,151.7,75.9,7.5
0.185938,333.3,299.7,2124.5,221.6,2993.7,196.6,436.1,1915.6,2945.4,151.8,76.1,7.9
0.187938,311.6,189.0,2128.5,165.8,3057.5,193.6,431.5,1912.7,2947.5,151.9,76.3,8
0.189938,300.6,126.4,2114.9,138.5,3092.2,193.7,427.1,1909.8,2949.6,152.1,76.7,7.9
0.191938,296.0,95.2,2086.1,138.9,3092.2,206.2,422.6,1907,2951.6,152.3,77,7.9
0.193938,295.4,81.5,2046.0,145.2,3070.1,207.6,418.3,1904.2,2953.6,152.6,77.3,8.1
0.195938,297.4,78.6,2004.3,148.4,3049.1,184.1,414,1901.4,2955.5,152.8,77.5,9
0.197938,301.3,83.0,1972.9,155.8,3045.1,157.3,409.7,1898.7,2957.4,153.1,77.7,10.9
0.199938,305.9,92.1,1956.1,173.4,3054.6,144.9,405.6,1896,2959.3,153.5,77.7,13.7
0.201938,310.7,106.2,1951.2,192.1,3069.4,145.2,401.5,1893.4,2961.1,153.8,77.8,16.6
0.203938,317.5,126.0,1955.0,197.3,3084.3,153.1,397.4,1890.8,2962.8,154.1,77.8,19.3
0.205938,326.6,146.2,1965.2,190.1,3093.7,168.3,393.5,1888.2,2964.5,154.5,77.7,21
0.207938,333.6,157.8,1976.3,185.1,3091.7,196.5,389.6,1885.7,2966.2,154.9,77.6,21.7
0.209938,336.9,160.8,1983.8,194.6,3068.0,248.7,385.8,1883.3,2967.8,155.3,77.5,21.5
0.211938,338.9,158.5,1989.6,225.5,3007.9,318.4,382.1,1880.8,2969.3,155.7,77.4,21
0.213938,339.2,151.3,1999.4,269.7,2926.3,363.0,378.5,1878.5,2970.8,156.1,77.3,20.6
0.215938,336.4,139.4,2014.3,301.1,2871.3,373.3,374.9,1876.1,2972.3,156.5,77.2,20.6
0.217938,332.5,126.0,2024.8,308.4,2861.5,361.9,371.5,1873.9,2973.7,156.9,77.1,21.4
0.219938,329.3,115.0,2023.0,309.5,2891.7,316.8,368.1,1871.6,2975,157.2,77,22.7
0.221938,325.6,107.7,2008.8,321.4,2935.8,255.3,364.9,1869.5,2976.3,157.6,76.9,24.1
0.223938,321.9,104.8,1983.8,326.9,2969.2,214.4,361.7,1867.4,2977.5,158,76.8,25.2
0.225938,320.3,106.9,1958.0,312.5,2987.0,204.8,358.6,1865.3,2978.6,158.3,76.7,25.8
0.227938,320.2,112.0,1944.2,302.8,2986.2,224.8,355.6,1863.3,2979.7,158.7,76.6,25.5
0.229938,320.7,117.5,1947.9,307.8,2964.7,273.6,352.7,1861.3,2980.7,159,76.5,24.8
0.231938,322.1,122.5,1967.3,320.6,2931.5,348.5,349.9,1859.4,2981.6,159.3,76.5,23.8
0.233938,323.5,127.0,1993.0,342.0,2907.8,449.2,347.3,1857.6,2982.5,159.7,76.4,22.8
0.235938,323.8,129.8,2014.2,380.9,2912.7,550.1,344.7,1855.8,2983.4,160,76.3,22.1
0.237938,322.3,127.9,2021.3,442.6,2932.1,563.0,342.2,1854.1,2984.1,160.3,76.2,21.6
0.239938,318.8,121.8,2005.0,518.3,2927.8,481.7,339.8,1852.4,2984.8,160.6,76.2,21.2
0.241938,315.4,116.9,1964.2,546.7,2913.6,371.6,337.6,1850.8,2985.4,160.8,76.1,20.9
0.243938,314.7,117.0,1926.0,504.9,2915.9,278.5,335.4,1849.3,2985.9,161.1,76,20.8
0.245938,316.9,120.8,1906.7,459.1,2928.3,227.1,333.4,1847.8,2986.4,161.4,76,21
0.247938,321.6,125.9,1904.4,443.2,2936.3,213.7,331.5,1846.4,2986.8,161.7,76.1,21.7
0.249938,327.4,130.2,1909.4,455.1,2931.7,223.3,329.7,1845,2987.2,162,76.2,22.9
0.251938,332.0,132.3,1906.8,486.6,2910.7,234.2,328,1843.7,2987.4,162.2,76.3,24.2
0.253938,335.4,132.3,1888.7,514.9,2881.2,225.8,326.4,1842.5,2987.6,162.5,76.5,25.3
0.255938,338.2,129.2,1867.4,500.7,2861.5,204.1,324.9,1841.3,2987.7,162.8,76.6,25.9
0.257938,338.0,123.5,1860.7,455.3,2856.9,195.3,323.6,1840.2,2987.7,163.1,76.7,25.9
0.259938,333.8,118.3,1870.1,433.4,2862.4,213.1,322.3,1839.2,2987.7,163.4,76.9,25.5
0.261938,329.6,115.8,1895.4,456.6,2882.3,247.5,321.2,1838.2,2987.6,163.7,77,24.9
0.263938,327.8,117.5,1953.6,524.9,2925.7,252.7,320.2,1837.3,2987.4,164,77.1,24.2
0.265938,327.5,123.4,2082.2,626.2,2967.3,224.9,319.3,1836.4,2987.2,164.3,77.1,23.4
0.267938,330.7,131.2,2261.5,628.6,2997.3,204.1,318.6,1835.6,2986.8,164.6,77.2,22.5
0.269938,331.6,132.8,2390.8,542.6,3020.8,187.7,317.9,1834.9,2986.4,165,77.3,21.3
0.271938,327.1,125.8,2458.3,503.0,3033.4,179.8,317.4,1834.2,2985.9,165.3,77.5,20.2
0.273938,322.2,115.5,2496.9,539.5,3035.6,187.2,317,1833.6,2985.4,165.6,77.6,19.2
0.275938,319.4,106.7,2528.5,653.9,3027.7,210.4,316.7,1833,2984.7,166,77.8,18.6
0.277938,318.1,99.9,2566.7,855.7,3006.1,239.8,316.5,1832.6,2984,166.4,78,18.7
0.279938,317.1,94.1,2616.4,1160.2,2970.2,250.1,316.5,1832.1,2983.2,166.8,78.2,19.1
0.281938,315.4,88.2,2659.5,1624.1,2934.2,223.1,316.6,1831.8,2982.3,167.1,78.3,19.7
0.283938,312.8,82.8,2640.0,2461.9,2911.2,177.3,316.8,1831.5,2981.4,167.5,78.4,20.3
0.285938,309.9,79.4,2009.5,5003.1,2898.3,136.0,317.1,1831.2,2980.4,168,78.5,20.7
0.287938,307.6,79.4,999.2,2249.4,2887.4,107.7,317.5,1831,2979.3,168.4,78.5,20.6
0.289938,306.3,83.3,1020.7,1821.4,2876.7,92.1,318,1830.9,2978.1,168.8,78.6,20.3
0.291938,305.9,88.8,1012.8,1627.8,2869.0,86.4,318.7,1830.8,2976.9,169.2,78.6,19.9
0.293938,305.0,90.4,1008.9,1420.5,2864.6,89.9,319.5,1830.8,2975.6,169.7,78.6,19.6
0.295938,303.7,86.6,1010.8,1216.0,2859.7,105.5,320.4,1830.9,2974.2,170.2,78.7,19.6
0.297938,303.0,81.6,1003.7,1089.3,2847.7,140.4,321.4,1831,2972.7,170.6,78.7,19.9
0.299938,303.6,79.8,981.9,1070.0,2821.2,198.4,322.5,1831.1,2971.2,171.1,78.8,20.4
0.301938,305.3,81.5,949.2,1117.2,2780.9,255.7,323.8,1831.3,2969.5,171.6,78.9,21
0.303938,307.4,84.1,919.4,1160.9,2751.8,261.8,325.1,1831.6,2967.9,172.2,78.9,21.6
0.305938,309.6,87.3,902.1,1198.9,2752.9,228.0,326.6,1831.9,2966.1,172.7,78.9,22
0.307938,312.6,93.5,881.0,1275.2,2767.4,201.4,328.1,1832.3,2964.3,173.2,78.9,22.2
0.309938,316.4,103.2,838.2,1376.1,2780.5,195.0,329.8,1832.7,2962.4,173.8,78.8,22.3
0.311938,320.4,115.2,770.0,1488.5,2786.7,210.3,331.6,1833.2,2960.4,174.3,78.8,22.4
0.313938,325.2,127.3,674.3,1659.8,2782.8,251.1,333.5,1833.7,2958.4,174.9,78.7,22.3
0.315938,330.5,137.6,515.7,1971.4,2769.6,312.6,335.5,1834.3,2956.2,175.5,78.6,22.3
0.317938,334.6,145.1,2758.7,367.3,4226.0,136.0,337.6,1834.9,2954.1,176.1,78.5,22.3
0.319938,337.9,152.0,1382.3,3848.7,2763.1,387.6,339.8,1835.5,2951.8,176.8,78.4,22.2
0.321938,342.3,159.2,1527.2,2895.3,2773.3,376.5,342.2,1836.2,2949.5,177.4,78.4,22.1
0.323938,347.2,164.8,1495.2,2446.9,2773.1,359.0,344.6,1837,2947.1,178,78.3,22
