time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025396,241.1,264.7,2028.7,948.9,3040.8,1239.0,349.8,1818,2731.7,166.9,61.7,-168.2
0.027396,240.1,161.4,1913.6,880.5,2939.0,1126.1,349.8,1818,2731.7,166.5,64.3,-121.3
0.029396,246.3,124.7,1626.7,578.4,2830.0,851.6,349.8,1818,2731.7,166.1,66.5,-69.4
0.031396,260.7,125.7,1543.1,251.9,2757.5,637.7,349.9,1818,2731.8,165.7,68.5,-22.6
0.033396,272.9,133.3,1518.8,154.4,2706.3,635.1,349.9,1818.1,2731.8,165.2,70.1,9.1
0.035396,281.8,151.8,1506.5,109.0,2668.2,841.5,350,1818.2,2731.9,164.8,71.5,22.2
0.037396,287.8,191.6,1502.2,82.8,2506.8,985.0,350.1,1818.2,2732,164.3,72.7,23.5
0.039396,291.7,236.3,1502.1,69.8,2440.2,973.1,350.2,1818.3,2732.1,163.9,73.6,18
0.041396,296.7,262.5,1504.3,62.3,2428.2,989.9,350.3,1818.4,2732.3,163.4,74.4,11.1
0.043396,302.6,251.1,1508.5,58.5,2469.0,1045.8,350.4,1818.5,2732.4,163,75,8
0.045396,306.4,209.7,1514.4,58.5,2507.8,1160.9,350.5,1818.7,2732.6,162.6,75.6,8.7
0.047396,306.7,152.3,1522.3,65.1,2520.8,1148.5,350.7,1818.8,2732.7,162.1,76,9.8
0.049396,304.6,103.9,1532.1,83.7,2597.0,1032.3,350.9,1818.9,2732.9,161.7,76.4,11.1
0.051396,301.8,73.1,1549.9,142.4,2661.8,159.7,351,1819.1,2733.1,161.3,76.7,12.5
0.053396,300.5,61.6,1590.2,348.0,2656.4,145.1,351.2,1819.3,2733.3,161,77,13.8
0.055396,302.6,64.6,1771.4,1341.4,2681.0,180.6,351.4,1819.5,2733.6,160.6,77.3,15.1
0.057396,309.8,74.4,2486.2,319.5,2759.7,190.9,351.6,1819.7,2733.8,160.3,77.5,16.4
0.059396,313.3,77.2,2505.2,248.4,2780.0,188.2,351.9,1819.9,2734.1,159.9,77.7,17.7
0.061396,313.7,78.6,2525.7,284.7,2774.3,209.2,352.1,1820.1,2734.3,159.6,77.9,19
0.063396,314.8,80.8,2533.2,328.8,2773.6,201.1,352.4,1820.3,2734.6,159.3,78,20.1
0.065396,317.3,83.3,2525.9,337.3,2793.5,163.9,352.6,1820.6,2734.9,159.1,78.1,21.1
0.067396,320.9,84.3,2530.0,317.4,2821.6,124.6,352.9,1820.8,2735.2,158.8,78.2,22
0.069396,323.7,82.8,2555.8,302.7,2843.6,101.9,353.2,1821.1,2735.6,158.6,78.3,22.8
0.071396,326.0,80.9,2593.3,301.1,2857.9,93.1,353.5,1821.4,2735.9,158.3,78.4,23.5
0.073396,329.3,80.5,2620.7,304.4,2863.9,91.3,353.8,1821.7,2736.3,158.1,78.5,23.9
0.075396,333.7,81.8,2630.4,305.3,2865.5,90.5,354.1,1822,2736.6,157.9,78.5,23.9
0.077396,337.5,85.1,2626.8,304.2,2865.8,91.9,354.5,1822.3,2737,157.7,78.6,23.7
0.079396,339.8,90.8,2623.0,304.0,2868.0,100.0,354.8,1822.6,2737.4,157.6,78.6,23.2
0.081396,339.3,97.3,2630.0,298.8,2876.5,117.7,355.2,1822.9,2737.8,157.4,78.6,22.8
0.083396,335.7,100.9,2641.3,271.1,2895.6,133.3,355.6,1823.3,2738.2,157.3,78.6,22.6
0.085396,331.2,101.6,2641.5,228.6,2919.6,126.7,356,1823.7,2738.6,157.2,78.5,22.5
0.087396,327.6,100.6,2626.1,196.7,2934.7,105.0,356.4,1824,2739.1,157.1,78.5,22.5
0.089396,324.4,98.9,2598.7,187.0,2939.7,91.9,356.8,1824.4,2739.5,157,78.4,22.5
0.091396,321.9,98.3,2563.3,191.4,2942.1,91.3,357.2,1824.8,2739.9,156.9,78.3,22.6
0.093396,322.0,100.1,2535.3,204.5,2943.9,101.1,357.7,1825.2,2740.4,156.8,78.2,23
0.095396,324.4,103.6,2520.9,233.4,2943.5,116.0,358.1,1825.7,2740.9,156.8,78.2,23.6
0.097396,328.5,108.0,2519.5,297.4,2938.5,130.0,358.6,1826.1,2741.4,156.7,78.2,24.5
0.099396,331.8,111.9,2529.3,408.4,2929.7,137.7,359,1826.6,2741.9,156.7,78.2,25.5
0.101396,330.2,114.0,2550.6,568.1,2918.0,138.2,359.5,1827,2742.4,156.7,78.2,26.5
0.103396,323.5,111.9,2569.1,719.1,2906.9,136.5,360,1827.5,2742.9,156.7,78.2,27.3
0.105396,317.7,106.2,471.9,2247.9,2549.4,896.4,360.5,1828,2743.4,156.7,78.3,28
0.107396,316.2,101.4,687.1,2244.9,2425.4,1280.3,361.1,1828.5,2743.9,156.7,78.3,28.8
0.109396,318.7,101.7,1871.2,1487.9,2862.9,146.8,361.6,1829,2744.5,156.7,78.3,29.4
0.111396,325.2,106.1,1660.5,927.8,2863.2,177.9,362.1,1829.5,2745,156.8,78.3,29.9
0.113396,330.9,110.1,1620.3,787.2,2898.9,241.6,362.7,1830,2745.6,156.9,78.3,30.2
0.115396,332.3,113.6,1633.7,838.8,2948.2,273.7,363.3,1830.6,2746.1,156.9,78.3,30.3
0.117396,331.5,116.9,1683.7,1014.9,2956.5,253.1,363.8,1831.2,2746.7,157,78.3,30.1
0.119396,331.2,118.8,1764.8,1181.9,2944.3,218.0,364.4,1831.7,2747.2,157.1,78.3,29.8
0.121396,330.5,117.9,1824.4,1243.8,2933.3,178.7,365,1832.3,2747.8,157.2,78.3,29.5
0.123396,329.1,115.7,1819.6,1268.0,2928.1,152.2,365.6,1832.9,2748.4,157.4,78.3,29.2
0.125396,328.0,114.2,1805.4,1300.5,2925.5,142.6,366.3,1833.5,2749,157.5,78.4,28.9
0.127396,326.5,113.3,1859.2,1332.4,2924.4,148.5,366.9,1834.1,2749.6,157.7,78.4,28.6
0.129396,325.0,113.3,328.0,2329.2,1949.9,1266.9,367.5,1834.8,2750.2,157.8,78.4,28.3
0.131396,325.5,115.1,463.4,2050.4,1998.3,1158.9,368.2,1835.4,2750.8,158,78.4,28
0.133396,326.8,117.4,483.9,1941.5,2023.4,1107.7,368.9,1836.1,2751.4,158.2,78.4,27.7
