time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025635,490.0,654.3,1643.2,752.1,2955.3,601.3,234.6,2045.4,2880.4,0,47.3,-200.9
0.027635,167.7,986.0,1650.6,719.7,2925.7,624.7,234.7,2045.6,2880.3,0,51.3,-206.6
0.029635,243.7,403.7,1632.8,583.8,2891.5,768.0,234.8,2045.9,2880.3,0,55.2,-213.1
0.031635,259.3,211.6,1667.3,536.8,2904.3,917.7,235,2046.3,2880.2,172.6,58.5,-215.4
0.033635,276.9,177.6,1701.9,493.5,2923.9,936.8,235.2,2046.9,2880.1,172.3,61.4,-208.5
0.035635,312.9,182.6,1690.6,516.6,2863.4,927.2,235.5,2047.5,2879.9,172,63.8,-186.6
0.037635,338.4,176.8,1698.4,711.4,2709.2,951.9,235.8,2048.3,2879.8,171.7,65.9,-146.1
0.039635,345.6,182.0,1911.5,1304.1,2420.5,862.5,236.2,2049.2,2879.6,171.4,67.6,-95.5
0.041635,343.9,183.0,2218.8,509.3,2683.0,939.0,236.6,2050.3,2879.4,171,69,-44.9
0.043635,328.8,164.3,2183.4,295.1,2735.5,426.7,237,2051.5,2879.1,170.7,70.2,-4.1
0.045635,313.3,125.7,2188.0,218.3,2764.6,260.2,237.6,2052.7,2878.9,170.4,71.1,18
0.047635,308.0,95.2,342.3,2950.8,2195.0,196.6,238.1,2054.1,2878.6,170.1,71.8,25.3
0.049635,312.0,82.4,2195.5,194.4,2792.3,145.0,238.7,2055.6,2878.3,169.7,72.4,23.4
0.051635,321.3,82.4,2195.1,190.4,2793.7,112.6,239.4,2057.3,2877.9,169.4,72.9,17.5
0.053635,331.8,84.9,2210.8,203.6,2800.4,88.5,240.1,2059,2877.6,169.1,73.3,12.6
0.055635,339.8,85.8,2251.6,286.5,2811.9,89.9,240.8,2060.9,2877.2,168.8,73.7,12.7
0.057635,343.4,87.2,2326.8,504.1,2820.1,125.8,241.6,2062.9,2876.8,168.5,74,14
