time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025927,577.2,23.9,1245.2,813.4,2542.3,747.0,519.5,1550.2,2749.2,0,57.9,-200
0.027927,577.6,23.2,1285.9,840.5,2569.5,657.8,519.5,1550,2749.3,0,57.8,-203.4
0.029927,577.5,25.2,1396.2,809.4,2638.6,570.6,519.6,1549.6,2749.3,0,57.2,-210.1
0.031927,577.5,37.8,1510.9,751.6,2734.0,520.8,519.7,1549.1,2749.4,0,57.6,-215.1
0.033927,581.3,95.6,1536.9,913.3,2832.6,570.9,519.8,1548.4,2749.4,0,60.5,-213.5
0.035927,601.7,171.3,1524.5,1530.6,2920.3,608.9,519.9,1547.6,2749.5,0,64.5,-200
0.037927,609.3,181.1,1097.0,1507.5,2826.3,766.3,520.1,1546.6,2749.6,215.2,68.2,-168
0.039927,586.3,195.5,908.4,766.1,2585.0,841.0,520.2,1545.5,2749.8,215.2,71.4,-120.8
0.041927,555.9,181.3,897.3,476.1,2459.8,794.8,520.4,1544.2,2749.9,215.2,74.1,-68.5
0.043927,543.6,158.1,915.6,376.7,2438.7,850.3,520.6,1542.8,2750,215.3,76.4,-21.4
0.045927,542.0,141.8,948.3,323.8,2448.9,931.5,520.9,1541.2,2750.2,215.4,78.3,10.4
0.047927,547.4,133.2,985.7,284.3,2463.0,937.6,521.1,1539.5,2750.4,215.5,79.9,23.4
0.049927,559.1,129.7,1022.9,253.4,2484.9,885.9,521.4,1537.7,2750.6,215.6,81.2,24.3
0.051927,574.7,126.5,1055.4,229.9,2506.3,817.9,521.7,1535.7,2750.8,215.8,82.3,18.4
0.053927,590.2,120.5,1081.2,213.5,2521.1,758.8,522,1533.6,2751.1,215.9,83.2,11.2
0.055927,603.3,112.9,1101.9,205.5,2528.4,721.3,522.4,1531.3,2751.3,216.2,83.9,8
0.057927,613.2,106.7,1118.0,207.9,2530.1,709.7,522.7,1528.9,2751.6,216.4,84.5,9
0.059927,621.3,102.1,1132.5,219.6,2531.4,716.7,523.1,1526.3,2751.9,216.7,85,10.7
0.061927,628.3,98.9,1147.4,239.7,2536.8,739.1,523.5,1523.7,2752.2,217.1,85.3,12.6
0.063927,634.5,97.1,1165.9,266.0,2548.6,777.7,523.9,1520.9,2752.5,217.5,85.5,14.4
0.065927,640.5,97.0,1192.4,291.0,2570.4,833.5,524.4,1517.9,2752.8,217.9,85.7,15.6
0.067927,645.5,98.2,1223.7,296.3,2599.1,890.8,524.8,1514.9,2753.2,218.4,85.7,16.1
0.069927,649.7,100.9,1255.4,275.4,2628.5,937.3,525.3,1511.7,2753.5,218.9,85.8,16.1
0.071927,653.7,105.4,1283.2,238.7,2651.3,963.7,525.8,1508.4,2753.9,219.4,85.8,15.9
0.073927,658.2,111.9,1305.9,201.1,2661.3,964.4,526.3,1505,2754.3,220,85.7,15.6
0.075927,663.1,120.1,1324.3,169.3,2650.8,944.4,526.8,1501.4,2754.7,220.7,85.7,15.4
0.077927,667.3,127.2,1338.4,147.3,2620.3,924.5,527.4,1497.8,2755.1,221.3,85.6,15.3
0.079927,670.8,132.4,1350.7,134.1,2584.4,925.0,527.9,1494,2755.6,222,85.5,15.2
0.081927,675.0,139.1,1364.4,132.9,2570.1,983.7,528.5,1490.1,2756,222.8,85.3,15
0.083927,682.3,150.7,1383.3,146.4,2608.2,1148.9,529,1486.1,2756.5,223.5,85.2,14.8
0.085927,694.0,163.8,1412.3,170.9,2742.0,1454.1,529.6,1482.1,2757,224.3,85.1,14.6
0.087927,706.3,169.7,1445.6,188.7,3002.9,1967.7,530.2,1477.9,2757.5,225.2,85,14.2
0.089927,716.2,170.0,1473.8,189.5,3095.6,815.9,530.9,1473.6,2758,226,85,13.8
0.091927,723.1,170.2,1490.3,178.8,3072.5,783.2,531.5,1469.2,2758.5,226.8,85,13.4
0.093927,727.4,172.3,1497.3,167.0,3037.3,744.7,532.1,1464.7,2759,227.7,85,13
0.095927,730.4,177.2,1500.1,157.9,2984.3,676.8,532.8,1460.2,2759.6,228.5,85,12.7
0.097927,733.1,185.4,1502.1,151.1,2941.1,605.2,533.4,1455.6,2760.2,229.4,85,12.5
0.099927,735.6,196.2,1503.8,144.8,2918.8,557.9,534.1,1450.8,2760.8,230.3,84.9,12.4
0.101927,736.5,206.4,1503.8,139.2,2919.2,550.4,534.7,1446.1,2761.4,231.1,84.8,12.4
0.103927,734.6,212.2,1501.4,134.3,2938.2,584.9,535.4,1441.2,2762,232,84.7,12.4
0.105927,729.3,211.8,1495.9,127.4,2964.2,647.9,536.1,1436.3,2762.6,232.8,84.5,12.4
0.107927,721.6,207.0,1487.6,115.6,2968.6,701.6,536.8,1431.3,2763.2,233.6,84.3,12.4
0.109927,712.3,200.2,1477.7,99.1,2937.6,712.9,537.5,1426.2,2763.9,234.5,84,12.5
0.111927,702.8,193.2,1470.1,82.8,2894.8,668.6,538.2,1421.1,2764.6,235.3,83.7,12.6
0.113927,693.8,184.4,1467.2,70.6,2860.1,593.4,538.9,1415.9,2765.2,236.1,83.4,12.6
0.115927,684.6,171.0,1468.7,62.8,2832.6,497.7,539.6,1410.7,2765.9,236.8,83,12.6
0.117927,676.4,157.6,1472.7,59.0,2815.4,397.8,540.3,1405.4,2766.6,237.6,82.7,12.3
0.119927,669.5,150.7,1476.5,58.2,2807.3,309.0,541,1400.1,2767.4,238.4,82.3,12
0.121927,662.4,151.0,1477.7,59.1,2803.1,254.0,541.7,1394.8,2768.1,239.1,81.9,11.6
0.123927,652.6,157.8,1476.0,60.3,2800.5,233.7,542.4,1389.4,2768.8,239.8,81.4,11.2
0.125927,638.4,174.7,1473.4,60.9,2802.2,241.1,543.1,1384,2769.6,240.5,80.9,10.8
0.127927,620.9,204.8,1471.7,61.8,2818.6,274.0,543.8,1378.6,2770.4,241.2,80.4,10.3
0.129927,603.3,252.0,1471.3,65.0,2865.2,320.8,544.4,1373.1,2771.2,241.9,80,9.7
0.131927,596.3,310.0,1472.9,71.8,2937.7,342.2,545.1,1367.7,2771.9,242.6,79.8,9.1
0.133927,598.5,350.9,1474.3,86.0,3000.2,319.8,545.8,1362.2,2772.8,243.3,79.8,8.9
0.135927,575.5,390.9,1468.0,119.2,3024.6,283.0,546.5,1356.7,2773.6,244,80,9.2
0.137927,483.7,454.7,1442.2,174.8,3007.4,258.9,547.2,1351.2,2774.4,244.7,80.3,10.2
0.139927,353.5,332.9,1399.3,216.0,2966.6,240.7,547.8,1345.7,2775.2,245.3,80.7,11.8
0.141927,308.8,203.8,1381.6,206.3,2923.0,220.2,548.5,1340.2,2776.1,246,81.1,13.6
0.143927,287.5,133.6,1405.4,180.4,2891.8,204.2,549.1,1334.8,2777,246.7,81.5,15.5
0.145927,275.2,91.3,1446.8,152.7,2875.4,204.7,549.7,1329.3,2777.8,247.4,81.8,17.2
0.147927,269.7,71.2,1474.8,131.1,2871.4,227.0,550.3,1323.9,2778.7,248.1,82,18.6
0.149927,268.8,65.7,1482.9,121.7,2877.0,268.6,550.9,1318.5,2779.6,248.8,82.2,20.1
0.151927,269.8,66.4,1479.9,122.5,2889.8,310.6,551.5,1313.1,2780.5,249.5,82.3,21.5
0.153927,270.5,66.2,1474.7,126.9,2899.5,327.8,552.1,1307.7,2781.4,250.2,82.4,22.8
0.155927,269.5,60.3,1468.5,129.8,2896.9,325.7,552.7,1302.4,2782.4,251,82.4,23.7
0.157927,267.4,49.5,1460.1,125.1,2886.3,326.5,553.2,1297.1,2783.3,251.7,82.5,24.2
0.159927,265.7,38.9,1454.5,110.6,2872.7,344.9,553.8,1291.9,2784.2,252.5,82.6,24.4
0.161927,265.2,32.5,1457.4,96.7,2861.6,392.3,554.3,1286.7,2785.2,253.2,82.6,24.3
0.163927,265.8,30.5,1465.2,94.1,2863.0,471.2,554.8,1281.6,2786.2,254,82.7,24.3
0.165927,267.1,31.7,1473.4,107.6,2899.2,603.0,555.3,1276.5,2787.1,254.8,82.7,24.3
