time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025417,558.6,35.6,1581.5,923.8,3290.0,604.3,560.3,1208.2,2588,0,55.6,-200
0.027417,566.4,41.2,1431.7,1302.9,3181.3,1469.5,560.2,1208.4,2588,0,56,-200
0.029417,573.5,43.2,1262.1,1595.1,2793.2,1041.5,560.1,1208.7,2588.2,0,55.7,-200
0.031417,577.5,41.3,1189.9,2054.4,2683.8,907.2,560,1209.1,2588.3,0,56.1,-200
0.033417,577.3,39.1,1285.7,3104.3,2566.0,978.6,559.9,1209.7,2588.5,0,55.8,-200
0.035417,576.4,45.8,1696.2,3989.7,2425.4,1076.3,559.7,1210.4,2588.7,0,58.3,-203.3
0.037417,605.7,102.4,1046.5,3668.2,2505.4,1075.8,559.5,1211.2,2589,0,61.7,-209.9
0.039417,667.1,168.7,731.2,1649.3,2649.9,749.9,559.2,1212.2,2589.3,248.9,65.7,-214.8
0.041417,660.6,247.5,758.8,674.4,2609.9,562.0,559,1213.2,2589.6,249.1,69.3,-213.2
0.043417,606.0,269.7,798.0,406.1,2539.3,532.6,558.7,1214.4,2590,249.2,72.4,-200
0.045417,594.3,251.1,799.1,374.1,2493.2,549.3,558.3,1215.8,2590.4,249.4,75,-168.8
0.047417,603.3,245.3,784.6,408.0,2471.1,584.1,557.9,1217.2,2590.9,249.6,77.1,-122.9
0.049417,626.3,229.9,761.9,511.9,2468.4,636.2,557.5,1218.8,2591.4,249.8,78.8,-72
0.051417,645.0,194.1,748.3,688.9,2472.9,702.5,557.1,1220.4,2591.9,250.1,80.1,-25.8
0.053417,655.8,164.3,746.5,905.6,2475.0,769.2,556.7,1222.3,2592.5,250.4,81.1,6.2
0.055417,664.2,145.3,750.9,1143.4,2477.1,806.3,556.2,1224.2,2593.1,250.8,81.8,20.7
0.057417,673.0,132.8,765.3,1411.2,2488.3,786.9,555.6,1226.2,2593.8,251.2,82.2,24.4
0.059417,682.0,125.6,802.6,1664.2,2505.3,717.0,555.1,1228.4,2594.5,251.6,82.5,21.7
0.061417,690.3,121.3,877.9,1837.1,2518.1,637.4,554.5,1230.7,2595.2,252.1,82.7,17.2
0.063417,697.6,118.5,985.2,1872.3,2526.0,571.4,553.9,1233.1,2596,252.6,82.8,15.3
0.065417,703.9,116.6,1096.1,1775.8,2533.8,517.9,553.3,1235.6,2596.8,253.2,83,15.9
0.067417,709.4,116.2,1197.5,1527.7,2547.0,458.6,552.6,1238.2,2597.7,253.8,83.2,16.2
0.069417,713.1,118.6,1263.1,1155.9,2565.0,388.3,551.9,1240.9,2598.5,254.4,83.4,16.1
0.071417,714.0,121.4,1293.8,779.9,2580.2,319.1,551.2,1243.8,2599.5,255.1,83.8,15.8
0.073417,713.8,120.5,1307.5,495.0,2588.8,269.0,550.5,1246.7,2600.4,255.8,84.1,15.6
0.075417,715.4,117.6,1316.6,322.1,2594.3,243.0,549.7,1249.8,2601.4,256.5,84.5,15.2
0.077417,719.3,116.5,1325.5,218.9,2599.6,235.5,548.9,1252.9,2602.4,257.3,84.9,14.6
0.079417,724.4,118.8,1334.6,164.0,2604.2,245.2,548.1,1256.2,2603.5,258,85.2,14
0.081417,730.3,125.8,1344.8,138.4,2608.2,271.2,547.3,1259.5,2604.6,258.8,85.4,13.5
0.083417,736.6,138.1,1356.6,132.2,2611.8,313.4,546.4,1263,2605.7,259.7,85.5,13.2
0.085417,742.7,154.4,1370.3,139.8,2614.1,369.3,545.6,1266.6,2606.9,260.5,85.5,13.2
0.087417,748.9,173.4,1388.1,160.2,2611.7,442.8,544.7,1270.2,2608,261.3,85.3,13.4
0.089417,754.3,190.1,1411.2,192.1,2600.1,522.1,543.8,1274,2609.3,262.2,85.1,13.8
0.091417,758.3,200.2,1440.4,228.1,2584.1,575.3,542.8,1277.8,2610.5,263.1,84.7,14.1
0.093417,761.2,203.4,1472.1,251.9,2583.3,572.1,541.9,1281.7,2611.8,263.9,84.4,14.3
0.095417,764.9,205.3,1498.4,255.6,2608.0,525.0,540.9,1285.8,2613.1,264.8,84,14.5
0.097417,770.8,209.4,1517.7,246.9,2647.0,461.2,540,1289.9,2614.4,265.7,83.6,14.7
0.099417,776.2,214.0,1529.4,233.2,2682.0,410.2,539,1294,2615.8,266.5,83.2,14.8
0.101417,777.7,219.5,1535.5,218.3,2706.5,389.5,538,1298.3,2617.2,267.4,82.7,14.8
0.103417,774.4,231.2,1538.1,205.4,2720.9,407.6,536.9,1302.6,2618.6,268.2,82.2,14.5
0.105417,767.1,256.9,1537.8,197.6,2728.7,467.0,535.9,1307.1,2620.1,269,81.6,13.9
0.107417,754.8,310.5,1532.3,196.2,2733.1,579.3,534.9,1311.6,2621.6,269.8,81.1,13
0.109417,734.4,399.8,1516.8,198.7,2729.8,743.6,533.8,1316.1,2623.1,270.6,80.5,11.9
0.111417,699.4,495.8,1490.2,193.8,2702.2,934.4,532.7,1320.8,2624.6,271.3,80,11.1
0.113417,655.3,531.4,1464.0,176.3,2653.1,1091.1,531.7,1325.5,2626.1,272.1,79.7,10.7
0.115417,621.5,531.1,1452.0,162.3,2653.7,1223.5,530.6,1330.2,2627.7,272.8,79.5,10.9
0.117417,594.9,576.4,1458.7,159.7,2768.1,1374.8,529.5,1335,2629.3,273.4,79.5,11.4
0.119417,568.5,706.5,1482.1,158.9,2904.2,1457.0,528.4,1339.9,2630.9,274.1,79.6,12.2
0.121417,501.9,855.3,1504.7,149.7,2902.0,1775.3,527.3,1344.9,2632.5,274.7,79.9,12.9
0.123417,375.0,690.3,1507.2,140.1,2357.3,2279.1,526.2,1349.9,2634.2,275.3,80.1,13.6
0.125417,331.6,473.3,1491.0,126.8,2062.0,1453.1,525.1,1354.9,2635.9,275.9,80.4,13.9
0.127417,313.7,351.0,1474.2,105.4,2131.0,1249.2,524,1360,2637.6,276.5,80.7,14.1
0.129417,306.2,281.3,1464.4,89.9,2344.4,1380.6,522.9,1365.1,2639.3,277,80.9,14.3
0.131417,303.0,222.2,1456.9,85.7,2676.1,1472.7,521.8,1370.3,2641,277.5,81,14.7
0.133417,299.7,169.4,1448.3,96.7,2917.5,1418.6,520.7,1375.5,2642.8,278,81.1,15.4
0.135417,296.0,130.1,1433.7,121.2,2962.6,1474.3,519.6,1380.8,2644.5,278.6,81.1,16.7
0.137417,293.2,101.3,1409.2,141.6,2827.8,1550.0,518.5,1386.1,2646.3,279.1,81.1,18.4
0.139417,291.7,82.8,1386.9,140.9,2734.5,1440.4,517.4,1391.4,2648.1,279.6,81.1,20.2
0.141417,291.0,70.8,1372.6,131.8,2752.4,1311.4,516.3,1396.8,2649.9,280.1,81.2,21.8
0.143417,290.5,61.0,1361.6,123.4,2771.3,1036.5,515.2,1402.2,2651.7,280.6,81.2,22.8
0.145417,289.9,52.2,1354.7,114.7,2727.2,722.0,514.2,1407.6,2653.5,281.1,81.3,22.9
0.147417,289.6,44.8,1355.7,99.6,2669.9,494.8,513.1,1413,2655.4,281.6,81.4,22.5
0.149417,290.1,40.1,1361.7,81.5,2623.5,377.4,512.1,1418.4,2657.2,282.2,81.5,21.8
0.151417,291.8,38.3,1367.0,70.3,2589.2,333.2,511,1423.9,2659.1,282.7,81.5,21.1
0.153417,294.3,38.8,1371.8,70.1,2572.3,328.6,510,1429.3,2660.9,283.3,81.6,20.7
0.155417,297.0,40.9,1378.7,79.6,2577.7,335.7,509,1434.8,2662.8,283.9,81.6,20.6
0.157417,299.6,43.4,1390.7,96.1,2599.8,347.7,508,1440.3,2664.7,284.6,81.7,20.6
0.159417,302.2,45.8,1408.0,112.5,2627.2,370.7,507,1445.8,2666.6,285.2,81.8,20.7
0.161417,304.7,48.8,1429.8,122.9,2649.0,388.9,506,1451.3,2668.4,285.9,81.9,21
0.163417,307.0,52.0,1455.4,128.4,2661.6,379.1,505.1,1456.7,2670.3,286.6,81.9,21.4
0.165417,308.3,53.8,1480.6,129.1,2669.5,349.2,504.1,1462.2,2672.2,287.3,82,22.1
0.167417,308.2,52.1,1501.1,127.1,2677.6,329.7,503.2,1467.7,2674.1,288,82.1,23
0.169417,306.7,46.7,1514.6,127.3,2691.1,345.1,502.3,1473.2,2676,288.8,82.1,24.1
0.171417,304.8,40.4,1525.9,129.5,2715.9,392.8,501.4,1478.6,2677.9,289.6,82.2,25
0.173417,303.6,35.9,1533.8,128.4,2751.9,448.7,500.6,1484,2679.8,290.4,82.2,25.5
0.175417,303.3,34.2,1529.5,120.7,2786.1,493.5,499.8,1489.4,2681.7,291.3,82.2,25.6
0.177417,303.4,34.2,1511.6,107.4,2812.8,548.3,498.9,1494.8,2683.6,292.1,82.2,25.4
0.179417,303.8,34.6,1491.8,92.6,2835.5,633.2,498.2,1500.2,2685.5,293,82.1,25
0.181417,304.5,34.8,1480.2,80.5,2856.3,732.8,497.4,1505.5,2687.4,293.9,82.1,24.6
0.183417,305.4,34.7,1477.1,71.6,2863.2,783.2,496.7,1510.8,2689.3,294.9,82,24.5
0.185417,306.4,34.6,1478.8,65.3,2852.8,749.5,496,1516.1,2691.2,295.8,82,24.8
0.187417,307.4,34.7,1483.4,61.4,2841.6,675.2,495.3,1521.3,2693,296.8,82,25.3
0.189417,308.6,35.0,1490.8,61.6,2841.9,606.6,494.7,1526.5,2694.9,297.8,81.9,25.8
0.191417,309.8,35.0,1500.0,66.5,2844.3,543.1,494,1531.7,2696.8,298.8,81.9,26.3
0.193417,311.1,34.6,1508.5,76.4,2830.4,476.1,493.5,1536.8,2698.6,299.8,81.9,26.5
0.195417,312.4,34.5,1514.0,89.4,2803.4,414.1,492.9,1541.9,2700.5,300.9,81.9,26.5
