time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025427,496.0,84.7,1210.7,705.6,2638.9,466.9,579.7,1136.3,2407.1,0,55.7,-203.3
0.027427,485.2,102.1,1144.3,920.9,2555.9,635.7,579.6,1136.6,2407.3,0,56,-209.8
0.029427,486.3,137.2,1091.8,1251.5,2408.5,813.6,579.4,1137.1,2407.6,0,56.1,-214.6
0.031427,505.1,189.8,1041.2,1514.9,2290.1,853.7,579.2,1137.8,2408,0,55.3,-213
0.033427,545.4,245.0,1065.5,1484.8,2258.8,842.6,578.8,1138.7,2408.6,0,55.2,-200
0.035427,599.8,255.4,1186.8,1301.2,2260.8,888.9,578.4,1139.8,2409.2,0,56.3,-169.1
0.037427,661.9,249.4,1213.2,1102.3,2264.8,946.1,577.9,1141,2410,0,59.9,-123.5
0.039427,695.8,297.6,1013.9,836.5,2247.0,900.0,577.3,1142.5,2410.9,0,64.4,-73.1
0.041427,650.8,308.4,959.8,494.5,2238.0,830.7,576.6,1144.2,2411.9,267.9,68.5,-27.5
0.043427,637.9,266.2,962.3,467.5,2250.7,892.4,575.9,1146,2413.1,268,72.1,3.4
0.045427,650.1,235.6,982.1,588.2,2335.2,1109.3,575,1148,2414.4,268.1,75.1,16.3
0.047427,656.3,204.6,1032.7,730.6,2517.9,1309.0,574.1,1150.3,2415.7,268.2,77.7,17.8
0.049427,655.4,182.3,1098.3,822.9,2713.0,1297.2,573.2,1152.7,2417.2,268.3,79.7,12.8
0.051427,652.5,167.8,1159.7,865.0,2835.4,1214.8,572.1,1155.3,2418.9,268.5,81.4,6.4
0.053427,650.4,157.9,1218.2,877.5,2916.6,1168.2,571,1158.1,2420.6,268.7,82.6,3.7
0.055427,650.1,152.1,1271.9,856.3,2973.3,1172.0,569.8,1161.1,2422.4,269,83.6,5
0.057427,650.4,149.9,1311.3,781.3,3007.7,1226.5,568.6,1164.2,2424.4,269.3,84.2,6.8
0.059427,649.8,150.0,1325.8,641.4,2995.2,1328.6,567.2,1167.6,2426.5,269.7,84.6,8.8
0.061427,649.3,148.4,1329.5,464.1,2907.5,1401.0,565.8,1171.1,2428.6,270.1,84.9,10.6
0.063427,651.8,145.2,1336.5,302.8,2787.7,1314.3,564.3,1174.8,2430.9,270.5,85,11.9
0.065427,658.0,145.3,1345.6,198.3,2714.8,1139.0,562.8,1178.7,2433.3,271,85.1,12.5
0.067427,666.6,151.9,1354.5,135.9,2676.1,963.5,561.2,1182.7,2435.9,271.6,85.2,12.6
0.069427,677.3,166.8,1362.9,101.0,2655.2,822.6,559.5,1187,2438.5,272.2,85.4,12.5
0.071427,689.8,190.1,1370.5,82.4,2639.1,734.9,557.7,1191.3,2441.2,272.8,85.5,12.3
0.073427,702.4,217.6,1377.1,72.5,2610.6,711.7,555.9,1195.9,2444,273.5,85.6,12.2
0.075427,711.1,238.8,1382.2,67.5,2555.2,746.6,554,1200.6,2447,274.2,85.6,12.2
0.077427,715.8,253.7,1386.7,65.2,2470.2,795.0,552.1,1205.5,2450,275,85.5,12.1
0.079427,718.6,270.5,1391.6,66.5,2383.9,832.9,550.1,1210.6,2453.2,275.8,85.3,12
0.081427,722.0,300.3,1397.4,73.1,2318.1,899.5,548,1215.8,2456.4,276.6,85,12
0.083427,727.7,348.1,1404.7,87.3,2265.0,1034.7,545.9,1221.1,2459.7,277.5,84.6,12
0.085427,734.4,397.6,1413.1,107.6,2214.0,1218.5,543.7,1226.6,2463.2,278.4,84.1,12.1
0.087427,739.0,432.0,1423.3,131.7,2151.9,1410.6,541.5,1232.3,2466.7,279.2,83.6,12.1
0.089427,738.7,452.8,1436.4,157.0,2082.1,1584.9,539.2,1238.1,2470.3,280.2,83.2,12.2
0.091427,735.6,485.4,1454.5,179.8,2034.9,1789.7,536.9,1244,2474,281.1,82.8,12.4
0.093427,727.4,555.7,1476.4,194.1,2063.7,1992.2,534.5,1250.1,2477.8,282,82.6,12.6
0.095427,702.1,674.2,1491.3,197.5,2117.4,1885.9,532,1256.3,2481.7,282.9,82.5,13
0.097427,651.8,865.6,1497.4,193.2,2124.4,1662.2,529.5,1262.6,2485.7,283.8,82.5,13.4
0.099427,575.4,1191.0,1499.3,183.4,2163.1,1510.2,527,1269.1,2489.7,284.7,82.6,13.9
0.101427,587.4,1779.2,1499.7,169.6,2218.6,1350.6,524.4,1275.7,2493.9,285.6,82.7,14.3
0.103427,415.0,1865.5,1498.2,151.5,2248.9,1150.4,521.8,1282.4,2498.1,286.5,82.8,14.6
0.105427,323.8,981.2,1495.1,132.2,2261.6,976.7,519.1,1289.3,2502.4,287.3,82.8,14.7
0.107427,348.1,742.5,1491.5,112.8,2294.7,865.3,516.4,1296.2,2506.7,288.1,82.9,14.6
0.109427,352.6,680.9,1488.5,96.4,2367.7,824.7,513.6,1303.3,2511.2,288.9,82.8,14.6
0.111427,357.1,729.6,1487.6,85.8,2475.8,831.6,510.8,1310.5,2515.7,289.7,82.8,14.5
0.113427,380.6,808.9,1490.8,79.6,2605.3,866.0,508,1317.8,2520.3,290.4,82.7,14.5
0.115427,416.2,751.6,1496.9,75.2,2726.8,927.2,505.1,1325.2,2524.9,291,82.5,14.6
0.117427,429.8,602.4,1503.9,70.3,2830.1,997.5,502.2,1332.6,2529.7,291.7,82.4,14.7
0.119427,422.1,461.4,1509.3,64.4,2885.1,1072.2,499.3,1340.2,2534.4,292.3,82.3,14.8
0.121427,401.8,349.6,1512.1,57.9,2861.3,1185.2,496.3,1347.9,2539.3,292.8,82.2,15
0.123427,376.7,264.4,1513.2,50.1,2727.3,1283.9,493.4,1355.6,2544.2,293.4,82.2,15.3
0.125427,354.5,206.5,1514.0,42.3,2569.6,1225.1,490.3,1363.4,2549.1,293.8,82.2,15.7
0.127427,336.4,165.0,1515.0,35.6,2469.4,1134.3,487.3,1371.3,2554.1,294.3,82.2,16.1
0.129427,322.5,136.1,1516.4,31.2,2416.8,1106.2,484.3,1379.3,2559.2,294.7,82.2,16.6
0.131427,312.3,115.0,1518.1,29.5,2386.7,1137.6,481.2,1387.4,2564.3,295.1,82.1,17.1
0.133427,305.3,95.4,1519.6,29.9,2347.8,1175.4,478.1,1395.5,2569.4,295.4,82.1,17.5
0.135427,301.1,73.6,1518.9,32.0,2295.2,1170.2,475,1403.6,2574.6,295.7,82,17.7
0.137427,299.7,55.6,1514.6,34.9,2275.7,1171.8,471.9,1411.9,2579.9,296,82,17.9
0.139427,300.5,44.7,1507.9,38.7,2345.8,1296.1,468.8,1420.1,2585.1,296.3,82,18
0.141427,303.1,41.4,1501.2,45.2,2654.1,1557.4,465.6,1428.5,2590.4,296.6,82.1,18.2
0.143427,307.3,43.7,1494.6,56.5,2855.1,913.3,462.5,1436.8,2595.8,296.8,82.1,18.6
0.145427,312.8,50.3,1485.4,70.5,2836.1,702.2,459.3,1445.2,2601.2,297,82.1,19.4
0.147427,319.0,60.1,1475.1,81.7,2803.2,586.9,456.2,1453.7,2606.6,297.2,82.1,20.5
0.149427,325.9,72.5,1467.8,94.0,2765.9,518.6,453,1462.1,2612,297.4,82.1,21.7
0.151427,332.3,84.3,1466.5,115.6,2730.3,490.3,449.9,1470.6,2617.5,297.6,82.1,22.7
0.153427,337.0,92.1,1475.0,151.1,2701.9,485.9,446.7,1479.2,2622.9,297.7,82,23.4
0.155427,338.9,94.2,1493.9,179.9,2693.2,494.1,443.6,1487.7,2628.4,297.9,81.8,23.6
0.157427,338.1,90.5,1512.4,174.9,2703.1,504.4,440.4,1496.3,2633.9,298,81.7,23.5
0.159427,334.5,81.5,1519.2,145.2,2716.0,514.3,437.3,1504.8,2639.5,298.2,81.5,23.3
0.161427,329.0,68.7,1519.2,116.3,2721.5,537.1,434.2,1513.4,2645,298.3,81.4,23.1
0.163427,323.1,53.9,1519.8,96.0,2721.2,586.3,431,1522,2650.5,298.4,81.2,23.2
0.165427,319.1,42.4,1522.9,85.3,2720.2,645.6,427.9,1530.6,2656.1,298.5,81,23.7
0.167427,317.5,36.0,1526.0,81.5,2719.3,662.7,424.9,1539.1,2661.6,298.6,80.8,24.5
0.169427,318.2,34.4,1524.8,82.2,2710.1,602.2,421.8,1547.7,2667.2,298.7,80.7,25.3
0.171427,320.1,35.9,1518.8,84.9,2690.5,519.0,418.8,1556.2,2672.7,298.8,80.5,26
0.173427,322.4,39.5,1511.6,87.7,2669.9,469.8,415.7,1564.7,2678.3,298.9,80.4,26.3
0.175427,324.3,44.6,1506.3,89.1,2659.1,469.4,412.8,1573.2,2683.8,299,80.3,26.1
0.177427,325.1,50.0,1501.8,89.0,2664.2,510.1,409.8,1581.7,2689.4,299.1,80.2,25.5
0.179427,324.6,53.1,1496.6,88.4,2690.2,581.1,406.8,1590.1,2694.9,299.2,80.1,24.8
0.181427,323.3,52.7,1490.7,88.2,2726.6,657.8,403.9,1598.6,2700.4,299.3,80.1,24.1
0.183427,322.5,51.4,1485.0,91.1,2755.3,726.4,401.1,1606.9,2705.9,299.4,80,23.7
0.185427,323.2,53.1,1479.7,103.4,2770.9,797.0,398.2,1615.2,2711.3,299.4,80,23.5
0.187427,325.4,60.2,1472.1,130.9,2770.2,882.2,395.4,1623.5,2716.8,299.5,79.9,23.5
0.189427,328.0,70.8,1459.4,170.0,2750.8,938.3,392.6,1631.8,2722.2,299.6,79.9,23.5
0.191427,329.5,79.7,1445.0,201.6,2742.9,926.4,389.9,1639.9,2727.6,299.7,79.8,23.7
0.193427,328.7,81.1,1439.1,213.6,2782.4,879.1,387.2,1648,2732.9,299.8,79.7,23.8
0.195427,325.3,73.0,1447.6,217.4,2847.3,811.5,384.5,1656.1,2738.3,299.9,79.6,24.3
0.197427,320.8,59.1,1465.6,228.6,2855.8,725.9,381.9,1664.1,2743.6,300,79.5,25
0.199427,317.9,50.1,1494.0,230.4,2798.4,633.7,379.4,1672,2748.8,300,79.3,25.6
0.201427,317.5,52.5,1539.1,222.9,2767.5,511.7,376.9,1679.9,2754.1,300.1,79.1,25.9
0.203427,318.6,64.3,1585.9,221.2,2771.7,430.3,374.4,1687.6,2759.2,300.1,78.9,25.4
0.205427,321.1,82.2,1616.1,216.3,2784.4,384.4,372,1695.3,2764.4,300.1,78.6,23.8
0.207427,326.6,109.7,1618.7,192.8,2794.2,358.4,369.6,1703,2769.5,300.1,78.4,21.3
0.209427,341.6,150.9,1596.9,150.1,2798.2,367.0,367.3,1710.5,2774.5,300,78.4,18.5
0.211427,374.8,189.0,1576.9,108.8,2797.1,438.7,365.1,1717.9,2779.5,299.9,78.6,15.9
0.213427,420.9,194.9,1566.4,78.3,2770.1,618.5,362.9,1725.3,2784.5,299.7,79,14
0.215427,453.6,174.6,1559.6,59.6,2663.0,859.9,360.7,1732.5,2789.3,299.5,79.6,12.8
0.217427,469.1,151.6,1552.9,47.1,2508.6,935.6,358.7,1739.7,2794.2,299.2,80.3,12.1
0.219427,473.5,135.6,1546.8,38.0,2433.6,873.6,356.7,1746.8,2799,298.9,80.9,11.8
0.221427,472.3,127.2,1541.4,31.9,2419.2,825.8,354.7,1753.7,2803.7,298.4,81.5,11.7
0.223427,468.8,121.7,1535.7,28.3,2413.8,809.5,352.8,1760.6,2808.3,297.9,81.9,11.9
0.225427,466.1,118.3,1529.5,26.8,2407.2,809.0,351,1767.3,2812.9,297.3,82.2,12.6
0.227427,465.4,119.7,1522.5,26.9,2413.7,832.8,349.2,1774,2817.4,296.6,82.3,13.7
0.229427,466.4,125.4,1514.7,28.1,2432.1,881.9,347.6,1780.5,2821.9,295.8,82.4,15.1
0.231427,468.4,132.7,1506.6,30.1,2453.8,950.3,345.9,1786.9,2826.2,294.9,82.4,16.4
0.233427,470.6,140.2,1498.6,32.3,2478.8,1048.6,344.4,1793.2,2830.6,293.9,82.3,17.4
0.235427,472.4,146.8,1491.7,34.5,2508.8,1181.9,342.9,1799.3,2834.8,292.8,82.2,18.1
