time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025125,1291.8,1378.0,1917.4,807.0,2933.8,337.2,565.8,1398.1,2780.4,0,55.5,-200
0.027125,1270.3,1331.7,1838.3,860.4,2925.3,347.1,565.8,1398.3,2780.4,0,56.2,-200
0.029125,1181.2,1486.9,1698.1,799.0,2910.1,363.6,565.8,1398.8,2780.4,0,56.8,-203.3
0.031125,861.5,1358.3,1609.9,590.7,2890.5,381.4,565.7,1399.3,2780.3,0,57,-209.9
0.033125,734.6,981.8,1579.8,452.0,2878.7,401.9,565.7,1400.1,2780.2,0,57.8,-214.8
0.035125,686.8,780.5,1595.2,413.4,2887.3,431.4,565.7,1401,2780.2,0,59.7,-213.1
0.037125,619.8,500.8,1663.6,402.6,2912.3,470.3,565.7,1402.1,2780,177.6,62.5,-200
0.039125,563.5,225.5,1736.6,446.2,2969.9,541.4,565.6,1403.4,2779.9,177.3,65.5,-168.8
0.041125,561.5,157.1,1834.2,637.5,3072.6,590.1,565.6,1404.8,2779.8,177.1,68.4,-122.9
0.043125,572.0,140.8,1855.4,1021.4,3061.0,721.1,565.6,1406.4,2779.6,176.8,71,-72.1
0.045125,560.8,139.3,1196.0,1946.3,2849.4,816.2,565.5,1408.1,2779.5,176.5,73.3,-26
0.047125,543.9,130.1,999.9,1033.4,2749.3,531.2,565.5,1410,2779.3,176.2,75.2,5.4
0.049125,534.1,112.8,994.0,780.6,2736.4,367.3,565.4,1412.1,2779.1,176,76.8,18.9
0.051125,527.5,96.8,980.6,622.3,2734.4,270.8,565.4,1414.3,2778.9,175.7,78.2,21
0.053125,521.6,83.3,960.8,496.7,2736.0,209.4,565.3,1416.7,2778.6,175.4,79.3,16.6
0.055125,517.4,72.6,950.9,419.7,2739.1,171.8,565.2,1419.3,2778.4,175.1,80.2,11
0.057125,515.8,64.3,955.9,391.2,2743.1,143.4,565.2,1422,2778.1,174.9,80.9,9.2
0.059125,516.7,58.5,974.8,397.3,2747.2,118.8,565.1,1424.9,2777.8,174.6,81.5,11.5
0.061125,518.2,53.6,1002.0,403.3,2751.4,97.1,565,1427.9,2777.5,174.3,82,14.5
0.063125,518.9,49.1,1025.9,385.2,2755.6,82.5,564.9,1431.1,2777.2,174.1,82.4,17.8
0.065125,518.9,45.7,1041.8,356.2,2758.7,75.6,564.8,1434.5,2776.9,173.8,82.8,20.9
0.067125,519.7,44.0,1064.9,339.9,2759.9,68.8,564.7,1438,2776.6,173.6,83.1,23.1
0.069125,521.4,43.8,1100.2,347.2,2759.4,60.9,564.6,1441.6,2776.2,173.3,83.4,24.4
0.071125,522.8,43.4,1139.6,376.3,2759.2,57.2,564.5,1445.4,2775.9,173.1,83.7,25.2
0.073125,522.6,41.6,1176.1,431.1,2760.0,59.3,564.4,1449.3,2775.5,172.9,83.9,25.6
0.075125,521.0,39.0,1200.3,501.1,2763.5,65.9,564.3,1453.4,2775.1,172.6,84.1,25.7
0.077125,518.4,36.0,1207.1,570.8,2770.7,75.4,564.2,1457.7,2774.7,172.4,84.2,25.8
0.079125,515.5,32.7,1190.6,600.5,2779.7,85.8,564.1,1462,2774.2,172.1,84.3,26
0.081125,512.6,29.2,1169.8,575.4,2641.9,2003.2,564,1466.6,2773.8,171.9,84.3,26.3
0.083125,510.2,26.4,1171.4,550.2,2534.1,1419.3,563.8,1471.2,2773.4,171.6,84.3,26.3
0.085125,508.3,25.3,1191.1,565.9,2455.5,1190.5,563.7,1476,2772.9,171.4,84.3,25.8
0.087125,506.6,25.7,1221.7,623.2,2360.6,1082.6,563.6,1480.9,2772.4,171.1,84.1,24.4
0.089125,505.6,27.4,1259.5,702.5,2267.8,1048.8,563.4,1486,2772,170.8,83.8,21.7
0.091125,504.9,30.0,1293.2,743.6,2211.3,1041.2,563.3,1491.2,2771.5,170.6,83.4,18
0.093125,503.8,32.7,1288.5,653.0,2208.7,969.5,563.1,1496.5,2770.9,170.3,82.8,13.8
0.095125,502.9,35.4,1282.4,501.9,2223.9,987.9,563,1502,2770.4,170,82,9.9
0.097125,503.5,40.5,1303.8,358.6,2290.8,1257.9,562.8,1507.5,2769.9,169.6,80.9,6.8
0.099125,504.0,51.4,1331.3,272.9,2370.5,1522.9,562.7,1513.2,2769.4,169.3,79.6,4.5
0.101125,497.3,79.1,1362.4,294.7,2194.0,963.2,562.5,1519,2768.8,169,78.1,2.5
0.103125,473.8,158.6,1445.1,435.6,2068.3,638.7,562.3,1525,2768.2,168.6,76.5,1
0.105125,432.3,301.1,1642.0,543.1,2000.5,740.3,562.2,1531,2767.7,168.3,75.1,0.1
0.107125,390.4,432.7,1754.6,335.1,2143.3,1175.3,562,1537.2,2767.1,167.9,74.1,0
0.109125,394.6,456.0,1766.6,242.9,2526.2,850.5,561.8,1543.4,2766.5,167.6,73.6,1.3
0.111125,427.3,379.5,1765.0,202.1,2581.0,497.8,561.6,1549.8,2765.9,167.2,73.6,3.7
0.113125,448.6,270.6,1749.0,202.8,2634.2,294.0,561.4,1556.3,2765.3,166.8,73.7,6.6
0.115125,450.5,188.5,1708.7,256.6,2669.4,187.6,561.2,1562.8,2764.7,166.5,73.9,9.3
0.117125,442.7,137.1,1630.5,369.1,2696.0,141.0,561,1569.5,2764,166.1,74.1,10.9
