time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025385,550.2,415.2,1526.3,237.1,2566.9,270.8,466.7,1204.5,2470.1,177.3,58.7,-203.3
0.027385,537.3,387.7,1497.0,216.5,2554.1,274.4,466.8,1204.7,2470.1,177.2,61.1,-209.9
0.029385,543.8,321.3,1467.1,266.3,2550.2,305.6,466.8,1205.2,2470.1,177.2,64,-214.9
0.031385,592.0,261.4,1461.5,474.6,2549.9,353.9,466.9,1205.8,2470.1,177.1,66.9,-213.2
0.033385,619.1,197.3,1306.2,985.4,2469.1,490.9,467,1206.5,2470.2,177.1,69.6,-200
0.035385,569.5,238.3,791.3,493.9,2358.0,514.7,467.2,1207.5,2470.2,177,71.9,-168.8
0.037385,527.1,192.3,784.9,298.5,2397.7,552.9,467.3,1208.6,2470.2,176.9,73.9,-123
0.039385,521.7,157.7,786.1,285.6,2555.0,624.7,467.5,1209.8,2470.3,176.9,75.6,-72.1
0.041385,520.3,132.5,792.9,300.5,2321.4,2331.9,467.7,1211.3,2470.3,176.8,76.9,-25.8
0.043385,519.0,107.1,810.5,310.4,2106.5,2309.4,467.9,1212.9,2470.3,176.7,78.1,6.4
0.045385,518.4,85.0,834.6,302.1,2130.8,2499.4,468.2,1214.7,2470.4,176.6,79.1,21.3
0.047385,518.5,68.6,856.4,285.1,2068.7,2536.1,468.5,1216.6,2470.4,176.5,80,25.4
0.049385,519.3,56.6,875.8,276.5,1837.2,2075.9,468.8,1218.7,2470.5,176.4,80.8,23.2
0.051385,520.7,49.1,893.6,282.5,1687.6,1634.4,469.1,1221,2470.6,176.3,81.5,19.2
0.053385,522.8,43.8,919.2,294.2,1631.1,1507.7,469.4,1223.5,2470.6,176.2,82.1,18.1
0.055385,524.8,40.3,951.7,297.7,1638.9,1668.1,469.8,1226.1,2470.7,176.1,82.6,19.8
0.057385,526.3,37.9,978.9,290.2,1688.9,1957.8,470.2,1228.8,2470.8,176,83.1,21.3
0.059385,526.9,35.8,996.8,276.7,1769.7,2167.7,470.6,1231.7,2470.9,175.8,83.5,22.5
0.061385,526.7,33.8,1004.8,260.7,1842.5,2109.6,471,1234.8,2470.9,175.7,83.8,23.5
0.063385,525.9,31.9,1009.1,239.8,1913.7,1875.3,471.5,1238.1,2471,175.5,84,24.2
0.065385,524.9,30.4,1016.0,216.7,2008.6,1608.7,472,1241.5,2471.1,175.4,84.2,24.5
0.067385,524.2,29.9,1027.6,198.6,2112.6,1343.0,472.5,1245,2471.3,175.2,84.3,24.6
0.069385,524.1,30.5,1043.2,188.0,2195.7,1077.4,473,1248.7,2471.4,175,84.4,24.4
0.071385,524.5,31.8,1059.6,187.3,2255.7,882.1,473.5,1252.5,2471.5,174.8,84.5,24.1
0.073385,525.4,33.7,1079.8,197.2,2320.5,714.8,474.1,1256.6,2471.6,174.6,84.5,23.7
0.075385,526.8,35.5,1107.1,219.1,2386.1,563.6,474.7,1260.7,2471.8,174.4,84.6,23.2
0.077385,528.0,36.4,1143.5,251.7,2452.5,444.9,475.3,1265,2471.9,174.2,84.6,22.7
