time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025187,614.3,389.3,2239.2,381.0,2781.1,554.7,590.6,2387.9,2971.5,0,46.3,-200
0.027187,617.7,338.5,2194.2,317.2,2766.3,495.7,590.5,2387.4,2971.3,0,47.5,-200
0.029187,629.8,302.8,2152.6,289.1,2769.8,415.7,590.4,2386.6,2970.9,0,48.6,-200
0.031187,643.9,280.0,2127.2,270.1,2808.0,285.1,590.2,2385.5,2970.4,0,49.7,-200
0.033187,660.5,288.0,2144.2,264.7,2847.5,195.0,590,2384.1,2969.8,0,50.5,-200
0.035187,681.6,334.6,2200.7,258.9,2880.4,160.1,589.7,2382.4,2968.9,0,51.4,-200
0.037187,714.7,428.5,2266.8,227.4,2913.2,139.7,589.3,2380.3,2968,0,52.6,-200
0.039187,771.0,593.1,2314.6,175.6,2939.9,118.3,588.9,2378,2966.9,0,54.4,-203.3
0.041187,843.4,824.2,2338.2,131.5,2953.5,104.0,588.4,2375.3,2965.6,0,55.2,-209.8
0.043187,879.3,1041.0,2348.0,100.3,2955.2,97.6,587.9,2372.4,2964.3,209.9,57.5,-214.6
0.045187,666.7,877.6,2348.5,83.5,2948.3,94.6,587.4,2369.1,2962.7,209,60.4,-213
0.047187,558.8,445.6,2348.2,78.5,2941.8,93.1,586.7,2365.5,2961.1,208.1,63.6,-200
0.049187,542.2,257.9,2353.7,83.5,2935.6,94.8,586.1,2361.6,2959.2,207.2,66.7,-169.1
0.051187,551.8,199.8,2363.7,93.2,2924.5,101.6,585.4,2357.4,2957.3,206.2,69.6,-123.4
0.053187,569.2,182.7,2368.9,102.2,2908.8,117.7,584.6,2353,2955.2,205.2,72.1,-72.9
0.055187,580.4,180.8,2362.3,101.9,2900.1,135.9,583.8,2348.2,2953,204.2,74.4,-27.4
0.057187,583.1,187.0,2353.0,95.5,2902.4,148.7,582.9,2343.2,2950.6,203.1,76.2,3.4
0.059187,577.3,192.8,2346.9,90.8,2908.2,156.3,582,2337.8,2948.1,202.1,77.8,15.8
0.061187,565.6,187.9,2343.8,90.4,2910.4,162.6,581,2332.2,2945.5,201,79,16.6
0.063187,552.3,170.3,2341.3,94.3,2907.6,173.8,580,2326.3,2942.8,200,80,10.8
0.065187,543.5,149.5,2337.6,102.4,2901.9,191.8,578.9,2320.1,2939.9,198.9,80.8,3.8
0.067187,540.5,133.5,2332.3,114.6,2899.9,209.1,577.8,2313.7,2936.9,197.9,81.4,0.8
0.069187,541.7,123.7,2330.0,130.4,2907.6,209.0,576.6,2307,2933.7,196.8,81.9,2
0.071187,544.9,117.6,2336.0,146.8,2911.8,196.7,575.4,2300,2930.5,195.8,82.4,4
0.073187,548.3,112.9,2347.0,162.3,2902.6,187.4,574.1,2292.8,2927.1,194.9,82.7,6.4
0.075187,550.5,110.4,2353.8,173.5,2885.5,182.7,572.8,2285.3,2923.6,193.9,83,8.5
0.077187,551.9,109.1,2350.5,179.1,2868.8,178.1,571.5,2277.6,2920,193,83.3,10.1
